gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
AL_AL111,AL,AL1,AL11,AL111,Bulqizë,31210,678.96568334,2019,AL_AL111,official
AL_AL112,AL,AL1,AL11,AL112,Dibër,61619,938.72629946,2019,AL_AL112,official
AL_AL113,AL,AL1,AL11,AL113,Klos,16618,357.72307074,2019,AL_AL113,official
AL_AL114,AL,AL1,AL11,AL114,Mat,27600,493.81308099,2019,AL_AL114,official
AL_AL121,AL,AL1,AL12,AL121,Durrës,175110,338.46683403,2019,AL_AL121,official
AL_AL122,AL,AL1,AL12,AL122,Krujë,59814,339.20365764,2019,AL_AL122,official
AL_AL123,AL,AL1,AL12,AL123,Shijak,27861,92.21624318,2019,AL_AL123,official
AL_AL131,AL,AL1,AL13,AL131,Has,16790,399.79961121,2019,AL_AL131,official
AL_AL132,AL,AL1,AL13,AL132,Kukës,47985,934.4276099,2019,AL_AL132,official
AL_AL133,AL,AL1,AL13,AL133,Tropojë,20517,1057.78154779,2019,AL_AL133,official
AL_AL141,AL,AL1,AL14,AL141,Kurbin,46291,269.17877907,2019,AL_AL141,official
AL_AL142,AL,AL1,AL14,AL142,Lezhë,65633,509.34284857,2019,AL_AL142,official
AL_AL143,AL,AL1,AL14,AL143,Mirditë,22103,870.24955277,2019,AL_AL143,official
AL_AL151,AL,AL1,AL15,AL151,Fushë Arrës,7405,540.79777777,2019,AL_AL151,official
AL_AL152,AL,AL1,AL15,AL152,Malësi e Madhe,30823,951.44162807,2019,AL_AL152,official
AL_AL153,AL,AL1,AL15,AL153,Pukë,11069,505.83441979,2019,AL_AL153,official
AL_AL154,AL,AL1,AL15,AL154,Shkodër,135612,872.99551701,2019,AL_AL154,official
AL_AL155,AL,AL1,AL15,AL155,Vau i Dejës,30438,499.31148459,2019,AL_AL155,official
AL_AL211,AL,AL2,AL21,AL211,Belsh,19503,196.56019507,2019,AL_AL211,official
AL_AL212,AL,AL2,AL21,AL212,Cërrik,27445,189.76448506,2019,AL_AL212,official
AL_AL213,AL,AL2,AL21,AL213,Elbasan,141714,872.60553476,2019,AL_AL213,official
AL_AL214,AL,AL2,AL21,AL214,Gramsh,24231,739.7302601,2019,AL_AL214,official
AL_AL215,AL,AL2,AL21,AL215,Librazhd,31892,793.94010314,2019,AL_AL215,official
AL_AL216,AL,AL2,AL21,AL216,Peqin,26136,197.88599689,2019,AL_AL216,official
AL_AL217,AL,AL2,AL21,AL217,Prrenjas,24906,323.18965751,2019,AL_AL217,official
AL_AL221,AL,AL2,AL22,AL221,Kamëz,104190,37.18983639,2019,AL_AL221,official
AL_AL222,AL,AL2,AL22,AL222,Kavajë,40094,198.89126266,2019,AL_AL222,official
AL_AL223,AL,AL2,AL22,AL223,Rrogozhinë,22148,223.62647075,2019,AL_AL223,official
