gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
DK_101,DK,DK01,DK011,101,København,613288,91.10100162,2018,DK_101,official
DK_147,DK,DK01,DK011,147,Frederiksberg,104410,8.71423338,2018,DK_147,official
DK_151,DK,DK01,DK012,151,Ballerup,48295,34.09996075,2018,DK_151,official
DK_153,DK,DK01,DK012,153,Brøndby,35538,21.0398063,2018,DK_153,official
DK_155,DK,DK01,DK011,155,Dragør,14272,18.70948576,2018,DK_155,official
DK_157,DK,DK01,DK012,157,Gentofte,75803,25.81466933,2018,DK_157,official
DK_159,DK,DK01,DK012,159,Gladsaxe,69484,24.9634197,2018,DK_159,official
DK_161,DK,DK01,DK012,161,Glostrup,22663,13.32495951,2018,DK_161,official
DK_163,DK,DK01,DK012,163,Herlev,28572,12.08748694,2018,DK_163,official
DK_165,DK,DK01,DK012,165,Albertslund,27743,23.20570844,2018,DK_165,official
DK_167,DK,DK01,DK012,167,Hvidovre,53282,23.19533505,2018,DK_167,official
DK_169,DK,DK01,DK012,169,Høje-Taastrup,50596,78.26334414,2018,DK_169,official
DK_173,DK,DK01,DK012,173,Lyngby-Taarbæk,55472,38.92881545,2018,DK_173,official
DK_175,DK,DK01,DK012,175,Rødovre,39343,12.13769773,2018,DK_175,official
DK_183,DK,DK01,DK012,183,Ishøj,22988,26.14131703,2018,DK_183,official
DK_185,DK,DK01,DK011,185,Tårnby,43063,66.73249058,2018,DK_185,official
DK_187,DK,DK01,DK012,187,Vallensbæk,16280,9.13527989,2018,DK_187,official
DK_190,DK,DK01,DK013,190,Furesø,40911,56.73826011,2018,DK_190,official
DK_201,DK,DK01,DK013,201,Allerød,25235,67.45802979,2018,DK_201,official
DK_210,DK,DK01,DK013,210,Fredensborg,40779,112.73144066,2018,DK_210,official
DK_217,DK,DK01,DK013,217,Helsingør,62686,123.58604064,2018,DK_217,official
DK_219,DK,DK01,DK013,219,Hillerød,50650,213.31031324,2018,DK_219,official
DK_223,DK,DK01,DK013,223,Hørsholm,25028,31.56858534,2018,DK_223,official
DK_230,DK,DK01,DK013,230,Rudersdal,55989,73.77712758,2018,DK_230,official
DK_240,DK,DK01,DK013,240,Egedal,43000,125.71093534,2018,DK_240,official
DK_250,DK,DK01,DK013,250,Frederikssund,45189,250.92655011,2018,DK_250,official
DK_253,DK,DK02,DK021,253,Greve,49974,60.59885729,2018,DK_253,official
DK_259,DK,DK02,DK021,259,Køge,60356,257.20193237,2018,DK_259,official
DK_260,DK,DK01,DK013,260,Halsnæs,31168,123.54876251,2018,DK_260,official
DK_265,DK,DK02,DK021,265,Roskilde,87382,212.66333839,2018,DK_265,official
DK_269,DK,DK02,DK021,269,Solrød,22518,40.38718967,2018,DK_269,official
DK_270,DK,DK01,DK013,270,Gribskov,41217,280.47073818,2018,DK_270,official
DK_306,DK,DK02,DK022,306,Odsherred,33083,358.53227379,2018,DK_306,official
DK_316,DK,DK02,DK022,316,Holbæk,70983,579.7498572,2018,DK_316,official
DK_320,DK,DK02,DK022,320,Faxe,36139,405.32667541,2018,DK_320,official
DK_326,DK,DK02,DK022,326,Kalundborg,48982,607.21826903,2018,DK_326,official
DK_329,DK,DK02,DK022,329,Ringsted,34473,295.26844894,2018,DK_329,official
DK_330,DK,DK02,DK022,330,Slagelse,78968,575.39326884,2018,DK_330,official
DK_336,DK,DK02,DK022,336,Stevns,22727,252.0892549,2018,DK_336,official
DK_340,DK,DK02,DK022,340,Sorø,29669,309.07866901,2018,DK_340,official
DK_350,DK,DK02,DK021,350,Lejre,27544,240.73329427,2018,DK_350,official
DK_360,DK,DK02,DK022,360,Lolland,41982,902.22856881,2018,DK_360,official
DK_370,DK,DK02,DK022,370,Næstved,82938,685.47371323,2018,DK_370,official
DK_376,DK,DK02,DK022,376,Guldborgsund,61219,909.27929379,2018,DK_376,official
DK_390,DK,DK02,DK022,390,Vordingborg,46087,628.85720451,2018,DK_390,official
DK_400,DK,DK01,DK014,400,Bornholm,39632,590.42564988,2018,DK_400,official
DK_410,DK,DK03,DK031,410,Middelfart,38210,300.89464897,2018,DK_410,official
DK_411,DK,DK01,DK014,411,Christiansø,83,0.36676024,2018,DK_411,official
DK_420,DK,DK03,DK031,420,Assens,41328,513.66491277,2018,DK_420,official
DK_430,DK,DK03,DK031,430,Faaborg-Midtfyn,51536,639.10966557,2018,DK_430,official
DK_440,DK,DK03,DK031,440,Kerteminde,23756,208.03572433,2018,DK_440,official
DK_450,DK,DK03,DK031,450,Nyborg,32032,278.24840131,2018,DK_450,official
DK_461,DK,DK03,DK031,461,Odense,202348,304.84204666,2018,DK_461,official
DK_479,DK,DK03,DK031,479,Svendborg,58698,417.68097832,2018,DK_479,official
