gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
EL_01010101,EL,EL51,EL513,01010101,Δημοτική Κοινότητα Κομοτηνής,54272,66.87473937,2018,EL_01010101,official
EL_01010102,EL,EL51,EL513,01010102,Τοπική Κοινότητα Ανθοχωρίου,82,15.23479286,2018,EL_01010102,official
EL_01010103,EL,EL51,EL513,01010103,Τοπική Κοινότητα Γρατίνης,365,13.86760746,2018,EL_01010103,official
EL_01010104,EL,EL51,EL513,01010104,Δημοτική Κοινότητα Θρυλορίου,1910,26.75300855,2018,EL_01010104,official
EL_01010105,EL,EL51,EL513,01010105,Τοπική Κοινότητα Ιτέας,77,4.55994613,2018,EL_01010105,official
EL_01010106,EL,EL51,EL513,01010106,Τοπική Κοινότητα Κάλχαντος,1160,114.42740937,2018,EL_01010106,official
EL_01010107,EL,EL51,EL513,01010107,Τοπική Κοινότητα Καρυδιάς,357,9.68401238,2018,EL_01010107,official
EL_01010108,EL,EL51,EL513,01010108,Τοπική Κοινότητα Κηκιδίου,610,3.01900854,2018,EL_01010108,official
EL_01010109,EL,EL51,EL513,01010109,Τοπική Κοινότητα Κοσμίου,922,23.04750741,2018,EL_01010109,official
EL_01010110,EL,EL51,EL513,01010110,Τοπική Κοινότητα Πανδρόσου,394,86.67777811,2018,EL_01010110,official
EL_01010111,EL,EL51,EL513,01010111,Τοπική Κοινότητα Σιδηράδων,199,14.58934898,2018,EL_01010111,official
EL_01010112,EL,EL51,EL513,01010112,Τοπική Κοινότητα Στυλάριου,300,6.33362302,2018,EL_01010112,official
EL_01010201,EL,EL51,EL513,01010201,Τοπική Κοινότητα Αιγείρου,1207,29.39178528,2018,EL_01010201,official
EL_01010202,EL,EL51,EL513,01010202,Τοπική Κοινότητα Αρωγής,9,3.96088165,2018,EL_01010202,official
EL_01010203,EL,EL51,EL513,01010203,Τοπική Κοινότητα Γλυφάδας,136,21.77630374,2018,EL_01010203,official
EL_01010204,EL,EL51,EL513,01010204,Τοπική Κοινότητα Καλλίστης,122,4.28550741,2018,EL_01010204,official
EL_01010205,EL,EL51,EL513,01010205,Τοπική Κοινότητα Μελέτης,497,4.78624893,2018,EL_01010205,official
EL_01010206,EL,EL51,EL513,01010206,Τοπική Κοινότητα Μέσης,183,11.60732977,2018,EL_01010206,official
EL_01010207,EL,EL51,EL513,01010207,Τοπική Κοινότητα Νέας Καλλίστης,391,15.87468957,2018,EL_01010207,official
EL_01010208,EL,EL51,EL513,01010208,Τοπική Κοινότητα Παραλίας Μέσης,6,7.61601484,2018,EL_01010208,official
EL_01010209,EL,EL51,EL513,01010209,Τοπική Κοινότητα Πόρπης,452,25.33692447,2018,EL_01010209,official
EL_01010210,EL,EL51,EL513,01010210,Τοπική Κοινότητα Φαναρίου,490,13.67537228,2018,EL_01010210,official
EL_01010301,EL,EL51,EL513,01010301,Τοπική Κοινότητα Νέου Σιδηροχωρίου,1327,48.14298536,2018,EL_01010301,official
EL_01010302,EL,EL51,EL513,01010302,Τοπική Κοινότητα Αγίων Θεοδώρων,491,12.42671535,2018,EL_01010302,official
EL_01010303,EL,EL51,EL513,01010303,Τοπική Κοινότητα Μεγάλου Δουκάτου,418,14.08623373,2018,EL_01010303,official
EL_01010304,EL,EL51,EL513,01010304,Τοπική Κοινότητα Παγουρίων,542,47.49051101,2018,EL_01010304,official
EL_01020101,EL,EL51,EL513,01020101,Τοπική Κοινότητα Φιλλύρας,909,9.3034639,2018,EL_01020101,official
EL_01020102,EL,EL51,EL513,01020102,Τοπική Κοινότητα Άγρας,197,6.61279784,2018,EL_01020102,official
EL_01020103,EL,EL51,EL513,01020103,Τοπική Κοινότητα Άνω Δροσίνης,106,9.4344457,2018,EL_01020103,official
EL_01020104,EL,EL51,EL513,01020104,Τοπική Κοινότητα Αράτου,1158,4.22318707,2018,EL_01020104,official
EL_01020105,EL,EL51,EL513,01020105,Τοπική Κοινότητα Αρδείας,27,7.18733864,2018,EL_01020105,official
EL_01020106,EL,EL51,EL513,01020106,Τοπική Κοινότητα Αρχοντικών,365,4.52817265,2018,EL_01020106,official
EL_01020107,EL,EL51,EL513,01020107,Τοπική Κοινότητα Βραγιάς,521,5.00932707,2018,EL_01020107,official
EL_01020108,EL,EL51,EL513,01020108,Τοπική Κοινότητα Δοκού,970,16.58763814,2018,EL_01020108,official
EL_01020109,EL,EL51,EL513,01020109,Τοπική Κοινότητα Δροσιάς,223,14.40148135,2018,EL_01020109,official
EL_01020110,EL,EL51,EL513,01020110,Τοπική Κοινότητα Δρύμης,302,24.94833007,2018,EL_01020110,official
EL_01020111,EL,EL51,EL513,01020111,Τοπική Κοινότητα Εσοχής,323,28.13250539,2018,EL_01020111,official
EL_01020112,EL,EL51,EL513,01020112,Τοπική Κοινότητα Κάτω Δροσινής,66,4.7567155,2018,EL_01020112,official
EL_01020113,EL,EL51,EL513,01020113,Τοπική Κοινότητα Λαμπρού,492,5.67571269,2018,EL_01020113,official
EL_01020114,EL,EL51,EL513,01020114,Τοπική Κοινότητα Νέου Καλλυντήριου,241,10.32421773,2018,EL_01020114,official
EL_01020115,EL,EL51,EL513,01020115,Τοπική Κοινότητα Νεύρων,158,8.48046554,2018,EL_01020115,official
EL_01020116,EL,EL51,EL513,01020116,Τοπική Κοινότητα Ομηρικού,313,4.61024296,2018,EL_01020116,official
EL_01020117,EL,EL51,EL513,01020117,Τοπική Κοινότητα Πάσσου,747,14.33583474,2018,EL_01020117,official
EL_01020118,EL,EL51,EL513,01020118,Τοπική Κοινότητα Πατερμών,109,12.16744598,2018,EL_01020118,official
EL_01020119,EL,EL51,EL513,01020119,Τοπική Κοινότητα Ραγάδας,270,36.99077157,2018,EL_01020119,official
