gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
HU_01508,HU,HU31,HU313,01508,Ipolyszög,562,6.06885774,2018,HU_01508,official
HU_01526,HU,HU31,HU313,01526,Somoskőújfalu,2081,10.15519361,2018,HU_01526,official
HU_02015,HU,HU21,HU211,02015,Ráckeresztúr,3353,35.3158163,2018,HU_02015,official
HU_02024,HU,HU31,HU311,02024,Martonyi,370,17.55695332,2018,HU_02024,official
HU_02033,HU,HU23,HU233,02033,Kakasd,1625,20.80007266,2018,HU_02033,official
HU_02042,HU,HU22,HU222,02042,Narda,468,10.34649654,2018,HU_02042,official
HU_02051,HU,HU23,HU232,02051,Sávoly,461,26.84527075,2018,HU_02051,official
HU_02060,HU,HU22,HU221,02060,Gönyű,3045,21.71383712,2018,HU_02060,official
HU_02079,HU,HU22,HU221,02079,Dunaremete,252,4.36321756,2018,HU_02079,official
HU_02088,HU,HU32,HU323,02088,Mánd,283,5.17503634,2018,HU_02088,official
HU_02097,HU,HU22,HU223,02097,Gutorfölde,916,24.8496599,2018,HU_02097,official
HU_02103,HU,HU22,HU223,02103,Maróc,65,5.16568855,2018,HU_02103,official
HU_02121,HU,HU33,HU333,02121,Csanádalberti,420,15.30855115,2018,HU_02121,official
HU_02130,HU,HU22,HU223,02130,Mihályfa,336,12.08238516,2018,HU_02130,official
HU_02149,HU,HU33,HU331,02149,Foktő,1521,31.45823688,2018,HU_02149,official
HU_02158,HU,HU31,HU311,02158,Muhi,455,9.62586704,2018,HU_02158,official
HU_02167,HU,HU32,HU321,02167,Komádi,5188,144.56574259,2018,HU_02167,official
HU_02185,HU,HU21,HU213,02185,Csopak,1773,24.00386763,2018,HU_02185,official
HU_02194,HU,HU21,HU213,02194,Nemesvámos,2801,40.77627218,2018,HU_02194,official
HU_02200,HU,HU21,HU211,02200,Isztimér,947,53.90801618,2018,HU_02200,official
HU_02219,HU,HU21,HU213,02219,Balatonfűzfő,4365,9.2596198,2018,HU_02219,official
HU_02228,HU,HU23,HU231,02228,Martonfa,203,5.68105071,2018,HU_02228,official
HU_02237,HU,HU22,HU221,02237,Vág,448,14.03102098,2018,HU_02237,official
HU_02246,HU,HU22,HU222,02246,Vát,678,23.28384789,2018,HU_02246,official
HU_02264,HU,HU23,HU231,02264,Vásárosdombó,1049,11.7341052,2018,HU_02264,official
HU_02273,HU,HU31,HU311,02273,Abaújvár,213,7.3435219,2018,HU_02273,official
HU_02282,HU,HU31,HU311,02282,Hejőkürt,261,14.90604855,2018,HU_02282,official
HU_02291,HU,HU31,HU311,02291,Tiszabábolna,332,32.71471016,2018,HU_02291,official
HU_02307,HU,HU32,HU321,02307,Kaba,5584,94.99809903,2018,HU_02307,official
HU_02316,HU,HU21,HU211,02316,Etyek,4108,53.28457217,2018,HU_02316,official
HU_02325,HU,HU32,HU323,02325,Baktalórántháza,3918,35.24919512,2018,HU_02325,official
HU_02343,HU,HU21,HU211,02343,Kincsesbánya,1402,10.86786166,2018,HU_02343,official
HU_02352,HU,HU33,HU332,02352,Újkígyós,4899,54.92423401,2018,HU_02352,official
HU_02361,HU,HU22,HU221,02361,Nagybajcs,1001,7.74963813,2018,HU_02361,official
HU_02370,HU,HU12,HU120,02370,Rád,1973,17.74906116,2018,HU_02370,official
HU_02389,HU,HU31,HU313,02389,Bercel,1822,35.87526298,2018,HU_02389,official
HU_02404,HU,HU22,HU223,02404,Surd,559,21.93741202,2018,HU_02404,official
HU_02413,HU,HU22,HU221,02413,Kisbabot,223,6.09833917,2018,HU_02413,official
HU_02422,HU,HU21,HU213,02422,Hegyesd,149,11.0428596,2018,HU_02422,official
HU_02431,HU,HU22,HU222,02431,Bük,3631,20.86822386,2018,HU_02431,official
HU_02440,HU,HU22,HU222,02440,Szatta,69,6.00354206,2018,HU_02440,official
HU_02459,HU,HU21,HU211,02459,Vajta,849,23.40609315,2018,HU_02459,official
HU_02468,HU,HU31,HU311,02468,Hegymeg,122,5.68997887,2018,HU_02468,official
HU_02477,HU,HU23,HU232,02477,Csombárd,231,8.97430843,2018,HU_02477,official
HU_02486,HU,HU22,HU223,02486,Zalacséb,475,9.64018221,2018,HU_02486,official
HU_02495,HU,HU22,HU221,02495,Nagycenk,2147,19.45393995,2018,HU_02495,official
HU_02501,HU,HU22,HU222,02501,Kisunyom,427,9.99732226,2018,HU_02501,official
HU_02510,HU,HU21,HU212,02510,Kocs,2501,58.31959743,2018,HU_02510,official
HU_02529,HU,HU22,HU223,02529,Várfölde,192,14.87163923,2018,HU_02529,official
HU_02547,HU,HU23,HU231,02547,Sumony,423,20.20240764,2018,HU_02547,official
HU_02556,HU,HU22,HU221,02556,Mórichida,809,32.30545857,2018,HU_02556,official
HU_02565,HU,HU23,HU233,02565,Döbrököz,1952,43.11909117,2018,HU_02565,official
HU_02574,HU,HU22,HU222,02574,Kenéz,278,7.17170432,2018,HU_02574,official
HU_02583,HU,HU22,HU223,02583,Csesztreg,792,22.99601293,2018,HU_02583,official
HU_02608,HU,HU22,HU223,02608,Zalaszentiván,1011,13.09779079,2018,HU_02608,official
HU_02617,HU,HU22,HU221,02617,Sopronnémeti,304,7.1020217,2018,HU_02617,official
HU_02626,HU,HU32,HU322,02626,Martfű,6107,23.09357457,2018,HU_02626,official
HU_02635,HU,HU22,HU221,02635,Öttevény,3048,23.66151296,2018,HU_02635,official
HU_02644,HU,HU22,HU223,02644,Alibánfa,408,5.83936276,2018,HU_02644,official
HU_02653,HU,HU23,HU231,02653,Nagyharsány,1414,25.98904221,2018,HU_02653,official
HU_02662,HU,HU22,HU223,02662,Milejszeg,341,9.07407551,2018,HU_02662,official
HU_02671,HU,HU32,HU323,02671,Kántorjánosi,2060,41.6132751,2018,HU_02671,official
HU_02680,HU,HU33,HU332,02680,Békésszentandrás,3471,77.43654637,2018,HU_02680,official
HU_02699,HU,HU21,HU211,02699,Sárkeszi,602,14.79362503,2018,HU_02699,official
HU_02705,HU,HU33,HU331,02705,Pálmonostora,1798,53.27030978,2018,HU_02705,official
HU_02714,HU,HU21,HU213,02714,Tótvázsony,1324,42.49417009,2018,HU_02714,official
HU_02723,HU,HU21,HU211,02723,Sáregres,720,26.13218588,2018,HU_02723,official
HU_02741,HU,HU31,HU311,02741,Fáj,448,19.31960094,2018,HU_02741,official
HU_02750,HU,HU21,HU211,02750,Vértesacsa,1765,36.18144282,2018,HU_02750,official
HU_02769,HU,HU12,HU120,02769,Tápiószőlős,2792,31.82135158,2018,HU_02769,official
HU_02778,HU,HU31,HU313,02778,Ludányhalászi,1365,21.13984397,2018,HU_02778,official
HU_02787,HU,HU21,HU213,02787,Nemesgulács,927,8.35051563,2018,HU_02787,official
HU_02796,HU,HU23,HU233,02796,Nak,542,27.77857579,2018,HU_02796,official
HU_02802,HU,HU21,HU211,02802,Enying,6655,82.79227404,2018,HU_02802,official
HU_02811,HU,HU23,HU233,02811,Miszla,250,34.70286948,2018,HU_02811,official
HU_02820,HU,HU31,HU311,02820,Abaújlak,56,7.05860838,2018,HU_02820,official
HU_02839,HU,HU22,HU222,02839,Nemeskocs,303,7.93378743,2018,HU_02839,official
HU_02848,HU,HU31,HU311,02848,Felsőzsolca,6446,16.24828086,2018,HU_02848,official
HU_02857,HU,HU23,HU231,02857,Geresdlak,741,25.29736407,2018,HU_02857,official
HU_02866,HU,HU31,HU311,02866,Oszlár,341,5.70673379,2018,HU_02866,official
HU_02875,HU,HU31,HU311,02875,Sáta,1077,16.45746766,2018,HU_02875,official
HU_02884,HU,HU22,HU222,02884,Vasalja,331,11.25339569,2018,HU_02884,official
HU_02893,HU,HU21,HU211,02893,Söréd,538,6.24409518,2018,HU_02893,official
HU_02909,HU,HU22,HU223,02909,Magyarszentmiklós,228,4.17579114,2018,HU_02909,official
HU_02918,HU,HU32,HU321,02918,Balmazújváros,17109,205.34850067,2018,HU_02918,official
HU_02927,HU,HU22,HU222,02927,Duka,223,15.23991247,2018,HU_02927,official
HU_02936,HU,HU21,HU213,02936,Dudar,1673,24.60000993,2018,HU_02936,official
HU_02945,HU,HU32,HU323,02945,Biri,1419,22.58959901,2018,HU_02945,official
HU_02954,HU,HU33,HU331,02954,Felsőszentiván,1759,53.50236262,2018,HU_02954,official
HU_02963,HU,HU31,HU312,02963,Bükkszék,681,15.31048205,2018,HU_02963,official
HU_02972,HU,HU22,HU223,02972,Zalasárszeg,115,3.0401927,2018,HU_02972,official
HU_02981,HU,HU31,HU312,02981,Egerfarmos,684,23.80338638,2018,HU_02981,official
HU_02990,HU,HU32,HU323,02990,Bátorliget,711,33.26004947,2018,HU_02990,official
HU_03009,HU,HU22,HU222,03009,Szombathely,77984,97.48031786,2018,HU_03009,official
HU_03018,HU,HU23,HU231,03018,Szebény,297,14.36630047,2018,HU_03018,official
HU_03036,HU,HU22,HU222,03036,Döröske,79,4.40268511,2018,HU_03036,official
HU_03045,HU,HU32,HU321,03045,Hajdúböszörmény,30437,370.77655108,2018,HU_03045,official
HU_03054,HU,HU22,HU223,03054,Lickóvadamos,170,6.69224686,2018,HU_03054,official
HU_03063,HU,HU31,HU311,03063,Zádorfalva,452,13.74449997,2018,HU_03063,official
HU_03072,HU,HU21,HU213,03072,Balatoncsicsó,226,13.19510371,2018,HU_03072,official
HU_03081,HU,HU31,HU311,03081,Sajóhídvég,1086,13.44056002,2018,HU_03081,official
HU_03090,HU,HU22,HU222,03090,Borgáta,162,6.2224248,2018,HU_03090,official
HU_03106,HU,HU33,HU332,03106,Kétsoprony,1282,51.24722251,2018,HU_03106,official
HU_03115,HU,HU21,HU211,03115,Dunaújváros,44358,52.67754631,2018,HU_03115,official
HU_03124,HU,HU22,HU223,03124,Szentkozmadombja,62,5.08040277,2018,HU_03124,official
HU_03133,HU,HU31,HU311,03133,Taktaszada,1863,25.75684228,2018,HU_03133,official
HU_03142,HU,HU22,HU222,03142,Vönöck,712,17.60885495,2018,HU_03142,official
HU_03151,HU,HU23,HU231,03151,Kistapolca,166,3.5683562,2018,HU_03151,official
HU_03160,HU,HU31,HU311,03160,Szuhafő,136,16.05016473,2018,HU_03160,official
HU_03188,HU,HU22,HU223,03188,Iborfia,8,2.58143199,2018,HU_03188,official
HU_03197,HU,HU22,HU222,03197,Rábahídvég,1022,22.39674347,2018,HU_03197,official
HU_03203,HU,HU23,HU232,03203,Nyim,318,9.74767218,2018,HU_03203,official
HU_03212,HU,HU31,HU311,03212,Sajóivánka,594,10.22150276,2018,HU_03212,official
HU_03221,HU,HU22,HU222,03221,Magyarlak,796,7.60490387,2018,HU_03221,official
HU_03230,HU,HU33,HU331,03230,Fajsz,1621,31.98146556,2018,HU_03230,official
HU_03249,HU,HU31,HU313,03249,Őrhalom,909,17.45825554,2018,HU_03249,official
HU_03258,HU,HU32,HU321,03258,Földes,3846,65.2467401,2018,HU_03258,official
HU_03267,HU,HU21,HU213,03267,Badacsonytördemic,865,10.25182852,2018,HU_03267,official
HU_03276,HU,HU31,HU312,03276,Füzesabony,7412,46.35329354,2018,HU_03276,official
HU_03285,HU,HU23,HU231,03285,Hirics,248,14.67092826,2018,HU_03285,official
HU_03294,HU,HU22,HU222,03294,Molnaszecsőd,411,11.7112298,2018,HU_03294,official
HU_03300,HU,HU12,HU120,03300,Iklad,2000,11.22600002,2018,HU_03300,official
HU_03319,HU,HU32,HU321,03319,Ártánd,552,19.80987473,2018,HU_03319,official
HU_03328,HU,HU31,HU313,03328,Ipolytarnóc,426,13.57637419,2018,HU_03328,official
HU_03337,HU,HU23,HU231,03337,Ivánbattyán,123,6.13001366,2018,HU_03337,official
HU_03346,HU,HU23,HU231,03346,Ivándárda,214,7.68428115,2018,HU_03346,official
HU_03355,HU,HU22,HU223,03355,Nova,797,39.29485757,2018,HU_03355,official
HU_03364,HU,HU22,HU221,03364,Szilsárkány,688,16.67440265,2018,HU_03364,official
HU_03373,HU,HU32,HU322,03373,Tiszapüspöki,1993,37.45154988,2018,HU_03373,official
HU_03382,HU,HU31,HU312,03382,Szarvaskő,309,12.58735534,2018,HU_03382,official
HU_03391,HU,HU32,HU323,03391,Piricse,1870,36.97081169,2018,HU_03391,official
HU_03407,HU,HU12,HU120,03407,Budajenő,1942,12.41183639,2018,HU_03407,official
HU_03416,HU,HU23,HU232,03416,Somogyszil,708,38.45779767,2018,HU_03416,official
HU_03425,HU,HU23,HU233,03425,Bogyiszló,2080,55.93855201,2018,HU_03425,official
HU_03434,HU,HU22,HU223,03434,Lasztonya,75,8.76932249,2018,HU_03434,official
HU_03443,HU,HU31,HU311,03443,Mezőzombor,2426,38.76443971,2018,HU_03443,official
HU_03452,HU,HU31,HU312,03452,Boldog,2898,26.76170385,2018,HU_03452,official
HU_03461,HU,HU33,HU332,03461,Kétegyháza,3264,50.50271861,2018,HU_03461,official
HU_03470,HU,HU23,HU231,03470,Meződ,118,10.41475063,2018,HU_03470,official
HU_03489,HU,HU23,HU232,03489,Edde,193,8.50412014,2018,HU_03489,official
HU_03498,HU,HU21,HU211,03498,Vereb,774,22.32661017,2018,HU_03498,official
HU_03504,HU,HU31,HU311,03504,Sajóbábony,2625,13.43206657,2018,HU_03504,official
HU_03513,HU,HU31,HU312,03513,Visznek,1065,22.7211873,2018,HU_03513,official
HU_03522,HU,HU33,HU331,03522,Baja,34788,177.86266008,2018,HU_03522,official
HU_03531,HU,HU31,HU311,03531,Léh,395,8.4265967,2018,HU_03531,official
HU_03540,HU,HU23,HU231,03540,Kökény,604,4.90642108,2018,HU_03540,official
HU_03559,HU,HU23,HU232,03559,Balatonvilágos,1180,29.211220139999998,2018,HU_03559,official
HU_03568,HU,HU21,HU213,03568,Szentantalfa,474,6.6115988,2018,HU_03568,official
HU_03577,HU,HU33,HU331,03577,Géderlak,989,18.7281117,2018,HU_03577,official
HU_03586,HU,HU32,HU323,03586,Szabolcsveresmart,1610,22.904374,2018,HU_03586,official
HU_03595,HU,HU31,HU311,03595,Abaújszántó,2951,47.39007567,2018,HU_03595,official
HU_03601,HU,HU21,HU213,03601,Sóly,515,10.28018468,2018,HU_03601,official
HU_03610,HU,HU21,HU213,03610,Malomsok,475,25.73626064,2018,HU_03610,official
HU_03629,HU,HU32,HU323,03629,Géberjén,476,5.37178505,2018,HU_03629,official
HU_03638,HU,HU21,HU213,03638,Balatonhenye,124,11.73412725,2018,HU_03638,official
HU_03647,HU,HU32,HU323,03647,Döge,2285,16.53719591,2018,HU_03647,official
HU_03656,HU,HU33,HU331,03656,Bátmonostor,1473,37.95602592,2018,HU_03656,official
HU_03665,HU,HU31,HU313,03665,Cered,1064,38.57977289,2018,HU_03665,official
HU_03674,HU,HU22,HU222,03674,Nemeskeresztúr,261,12.16888093,2018,HU_03674,official
HU_03683,HU,HU32,HU321,03683,Magyarhomorog,848,39.56509723,2018,HU_03683,official
HU_03692,HU,HU12,HU120,03692,Mende,4149,27.17308434,2018,HU_03692,official
HU_03708,HU,HU31,HU311,03708,Taktabáj,591,16.80129585,2018,HU_03708,official
HU_03717,HU,HU31,HU311,03717,Tiszadorogma,318,46.64119638,2018,HU_03717,official
HU_03726,HU,HU22,HU223,03726,Zebecke,57,4.44575241,2018,HU_03726,official
HU_03735,HU,HU23,HU232,03735,Bárdudvarnok,1100,48.57808266,2018,HU_03735,official
HU_03744,HU,HU31,HU311,03744,Gagyvendégi,204,12.31247741,2018,HU_03744,official
HU_03753,HU,HU22,HU221,03753,Rábcakapi,144,7.87009001,2018,HU_03753,official
HU_03762,HU,HU31,HU311,03762,Kiskinizs,311,7.16158962,2018,HU_03762,official
HU_03771,HU,HU31,HU311,03771,Arnót,2350,17.54299495,2018,HU_03771,official
HU_03780,HU,HU23,HU231,03780,Ócsárd,375,12.63223222,2018,HU_03780,official
HU_03799,HU,HU23,HU232,03799,Csákány,225,16.06782553,2018,HU_03799,official
HU_03805,HU,HU31,HU311,03805,Szakáld,466,11.39918346,2018,HU_03805,official
HU_03814,HU,HU22,HU223,03814,Hévíz,4633,8.32553409,2018,HU_03814,official
HU_03823,HU,HU31,HU311,03823,Ároktő,1116,46.40619703,2018,HU_03823,official
HU_03832,HU,HU23,HU231,03832,Keszü,1229,7.32495397,2018,HU_03832,official
HU_03841,HU,HU31,HU313,03841,Bokor,100,6.74055486,2018,HU_03841,official
