gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
IS_0000,IS,IS00,IS001,0000,Reykjavíkurborg,126041,274.25970411,2018,IS_0000,official
IS_1000,IS,IS00,IS001,1000,Kópavogsbær,35970,80.02985224,2018,IS_1000,official
IS_1100,IS,IS00,IS001,1100,Seltjarnarnesbær,4575,2.0801652,2018,IS_1100,official
IS_1300,IS,IS00,IS001,1300,Garðabær,15709,75.50231339,2018,IS_1300,official
IS_1400,IS,IS00,IS001,1400,Hafnarfjarðarkaupstaður,29412,143.64552872,2018,IS_1400,official
IS_1604,IS,IS00,IS001,1604,Mosfellsbær,10556,186.06994113,2018,IS_1604,official
IS_1606,IS,IS00,IS001,1606,Kjósarhreppur,221,284.08244158,2018,IS_1606,official
IS_2000,IS,IS00,IS002,2000,Reykjanesbær,17805,144.40137323,2018,IS_2000,official
IS_2300,IS,IS00,IS002,2300,Grindavíkurbær,3323,423.6471013,2018,IS_2300,official
IS_2503,IS,IS00,IS002,2503,Sandgerðisbær,1779,61.64438049,2018,IS_2503,official
IS_2504,IS,IS00,IS002,2504,Sveitarfélagið Garður,1595,20.67407402,2018,IS_2504,official
IS_2506,IS,IS00,IS002,2506,Sveitarfélagið Vogar,1268,164.6708043,2018,IS_2506,official
IS_3000,IS,IS00,IS002,3000,Akraneskaupstaður,7259,8.57410255,2018,IS_3000,official
IS_3506,IS,IS00,IS002,3506,Skorradalshreppur,56,215.77602143,2018,IS_3506,official
IS_3511,IS,IS00,IS002,3511,Hvalfjarðarsveit,648,480.78984586,2018,IS_3511,official
IS_3609,IS,IS00,IS002,3609,Borgarbyggð,3745,4923.72590529,2018,IS_3609,official
IS_3709,IS,IS00,IS002,3709,Grundarfjarðarbær,877,148.97445313,2018,IS_3709,official
IS_3710,IS,IS00,IS002,3710,Helgafellssveit,58,241.47739013,2018,IS_3710,official
IS_3711,IS,IS00,IS002,3711,Stykkishólmsbær,1177,9.13792644,2018,IS_3711,official
IS_3713,IS,IS00,IS002,3713,Eyja- og Miklaholtshreppur,129,383.39713049,2018,IS_3713,official
IS_3714,IS,IS00,IS002,3714,Snæfellsbær,1641,682.14228257,2018,IS_3714,official
IS_3811,IS,IS00,IS002,3811,Dalabyggð,667,2415.06159246,2018,IS_3811,official
IS_4100,IS,IS00,IS002,4100,Bolungarvíkurkaupstaður,945,108.04824251,2018,IS_4100,official
IS_4200,IS,IS00,IS002,4200,Ísafjarðarbær,3707,2381.62437768,2018,IS_4200,official
IS_4502,IS,IS00,IS002,4502,Reykhólahreppur,275,1082.5702572,2018,IS_4502,official
IS_4604,IS,IS00,IS002,4604,Tálknafjarðarhreppur,244,175.39975499,2018,IS_4604,official
IS_4607,IS,IS00,IS002,4607,Vesturbyggð,1024,1335.17160617,2018,IS_4607,official
IS_4803,IS,IS00,IS002,4803,Súðavíkurhreppur,196,750.25031843,2018,IS_4803,official
IS_4901,IS,IS00,IS002,4901,Árneshreppur,43,705.05220768,2018,IS_4901,official
IS_4902,IS,IS00,IS002,4902,Kaldrananeshreppur,109,458.09994618,2018,IS_4902,official
IS_4911,IS,IS00,IS002,4911,Strandabyggð,451,1835.16768539,2018,IS_4911,official
IS_5200,IS,IS00,IS002,5200,Sveitarfélagið Skagafjörður,3955,4177.46737686,2018,IS_5200,official
IS_5508,IS,IS00,IS002,5508,Húnaþing vestra,1193,3022.96979571,2018,IS_5508,official
IS_5604,IS,IS00,IS002,5604,Blönduóssbær,895,182.73796477,2018,IS_5604,official
IS_5609,IS,IS00,IS002,5609,Sveitarfélagið Skagaströnd,482,52.71734543,2018,IS_5609,official
IS_5611,IS,IS00,IS002,5611,Skagabyggð,93,488.24678293,2018,IS_5611,official
IS_5612,IS,IS00,IS002,5612,Húnavatnshreppur,383,3816.7571167,2018,IS_5612,official
IS_5706,IS,IS00,IS002,5706,Akrahreppur,194,1364.41964541,2018,IS_5706,official
IS_6000,IS,IS00,IS002,6000,Akureyrarkaupstaður,18787,135.52774928,2018,IS_6000,official
IS_6100,IS,IS00,IS002,6100,Norðurþing,3234,3732.6715229,2018,IS_6100,official
IS_6250,IS,IS00,IS002,6250,Fjallabyggð,2015,363.82225503,2018,IS_6250,official
IS_6400,IS,IS00,IS002,6400,Dalvíkurbyggð,1880,597.39098023,2018,IS_6400,official
IS_6513,IS,IS00,IS002,6513,Eyjafjarðarsveit,1016,1775.83271813,2018,IS_6513,official
