gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
LI_LI00001001,LI,LI00,LI000,LI00001001,Vaduz,5521,16.84885439,2018,LI_LI00001001,official
LI_LI00001002,LI,LI00,LI000,LI00001002,Triesen,5155,26.12345023,2018,LI_LI00001002,official
LI_LI00001003,LI,LI00,LI000,LI00001003,Balzers,4591,19.39954641,2018,LI_LI00001003,official
LI_LI00001004,LI,LI00,LI000,LI00001004,Triesenberg,2608,29.75689333,2018,LI_LI00001004,official
LI_LI00001005,LI,LI00,LI000,LI00001005,Schaan,6039,27.31219876,2018,LI_LI00001005,official
LI_LI00001006,LI,LI00,LI000,LI00001006,Planken,456,5.32292474,2018,LI_LI00001006,official
LI_LI00002001,LI,LI00,LI000,LI00002001,Eschen,4387,10.31569232,2018,LI_LI00002001,official
LI_LI00002002,LI,LI00,LI000,LI00002002,Mauren,4344,7.55579566,2018,LI_LI00002002,official
LI_LI00002003,LI,LI00,LI000,LI00002003,Gamprin,1658,6.22374328,2018,LI_LI00002003,official
LI_LI00002004,LI,LI00,LI000,LI00002004,Ruggell,2268,7.47226016,2018,LI_LI00002004,official
LI_LI00002005,LI,LI00,LI000,LI00002005,Schellenberg,1084,3.59789427,2018,LI_LI00002005,official
