gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
LU_0101,LU,LU00,LU000,0101,Dippach,4210,17.26069091,2018,LU_0101,official
LU_0102,LU,LU00,LU000,0102,Garnich,2129,20.92955376,2018,LU_0102,official
LU_0103,LU,LU00,LU000,0103,Habscht,4426,32.58726122,2018,LU_0103,official
LU_0104,LU,LU00,LU000,0104,Käerjeng,10294,33.70573376,2018,LU_0104,official
LU_0105,LU,LU00,LU000,0105,Kehlen,6056,28.56067111,2018,LU_0105,official
LU_0106,LU,LU00,LU000,0106,Koerich,2579,19.01093975,2018,LU_0106,official
LU_0107,LU,LU00,LU000,0107,Kopstal,3839,8.01628992,2018,LU_0107,official
LU_0108,LU,LU00,LU000,0108,Mamer,9528,27.80964181,2018,LU_0108,official
LU_0110,LU,LU00,LU000,0110,Steinfort,5126,12.16851078,2018,LU_0110,official
LU_0201,LU,LU00,LU000,0201,Bettembourg,11003,21.60252121,2018,LU_0201,official
LU_0202,LU,LU00,LU000,0202,Differdange,26193,22.13070631,2018,LU_0202,official
LU_0203,LU,LU00,LU000,0203,Dudelange,20869,21.28861964,2018,LU_0203,official
LU_0204,LU,LU00,LU000,0204,Esch-sur-Alzette,35040,14.48547107,2018,LU_0204,official
LU_0205,LU,LU00,LU000,0205,Frisange,4612,18.30926209,2018,LU_0205,official
LU_0206,LU,LU00,LU000,0206,Kayl,9098,14.87504808,2018,LU_0206,official
LU_0207,LU,LU00,LU000,0207,Leudelange,2579,13.68132365,2018,LU_0207,official
LU_0208,LU,LU00,LU000,0208,Mondercange,6936,21.4046638,2018,LU_0208,official
LU_0209,LU,LU00,LU000,0209,Pétange,18688,11.98491668,2018,LU_0209,official
LU_0210,LU,LU00,LU000,0210,Reckange-sur-Mess,2449,20.53112307,2018,LU_0210,official
LU_0211,LU,LU00,LU000,0211,Roeser,6278,24.08157111,2018,LU_0211,official
LU_0212,LU,LU00,LU000,0212,Rumelange,5545,6.80499015,2018,LU_0212,official
LU_0213,LU,LU00,LU000,0213,Sanem,16780,24.46404639,2018,LU_0213,official
LU_0214,LU,LU00,LU000,0214,Schifflange,10750,7.75896166,2018,LU_0214,official
LU_0301,LU,LU00,LU000,0301,Bertrange,8157,17.2616245,2018,LU_0301,official
LU_0302,LU,LU00,LU000,0302,Contern,3816,20.80778936,2018,LU_0302,official
LU_0303,LU,LU00,LU000,0303,Hesperange,15246,27.39803268,2018,LU_0303,official
LU_0304,LU,LU00,LU000,0304,Luxembourg,116323,51.73715415,2018,LU_0304,official
LU_0305,LU,LU00,LU000,0305,Niederanven,6156,41.48256129,2018,LU_0305,official
