gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
MK_MK00101,MK,MK00,MK001,MK00101,Велес,54266,427.84642821,2018,MK_MK00101,official
MK_MK00102,MK,MK00,MK001,MK00102,Градско,3553,236.26048717,2018,MK_MK00102,official
MK_MK00103,MK,MK00,MK001,MK00103,Демир Капија,4026,310.75239994,2018,MK_MK00103,official
MK_MK00104,MK,MK00,MK001,MK00104,Кавадарци,38838,1004.70222636,2018,MK_MK00104,official
MK_MK00105,MK,MK00,MK001,MK00105,Лозово,2559,166.13640621,2018,MK_MK00105,official
MK_MK00106,MK,MK00,MK001,MK00106,Неготино,19257,480.42278204,2018,MK_MK00106,official
MK_MK00107,MK,MK00,MK001,MK00107,Росоман,4054,133.00791269,2018,MK_MK00107,official
MK_MK00108,MK,MK00,MK001,MK00108,Свети Николе,17583,482.77412631,2018,MK_MK00108,official
MK_MK00109,MK,MK00,MK001,MK00109,Чашка,8113,819.56635238,2018,MK_MK00109,official
MK_MK00201,MK,MK00,MK002,MK00201,Берово,12728,597.78854876,2018,MK_MK00201,official
MK_MK00202,MK,MK00,MK002,MK00202,Виница,19346,432.53477439,2018,MK_MK00202,official
MK_MK00203,MK,MK00,MK002,MK00203,Делчево,16057,422.25893674,2018,MK_MK00203,official
MK_MK00204,MK,MK00,MK002,MK00204,Зрновци,3009,55.81104175,2018,MK_MK00204,official
MK_MK00205,MK,MK00,MK002,MK00205,Карбинци,3960,229.66114557,2018,MK_MK00205,official
MK_MK00206,MK,MK00,MK002,MK00206,Кочани,37663,360.33028159,2018,MK_MK00206,official
MK_MK00207,MK,MK00,MK002,MK00207,Македонска Каменица,7461,190.32147562,2018,MK_MK00207,official
MK_MK00208,MK,MK00,MK002,MK00208,Пехчево,4822,208.0614854,2018,MK_MK00208,official
MK_MK00209,MK,MK00,MK002,MK00209,Пробиштип,14973,325.9049485,2018,MK_MK00209,official
MK_MK00210,MK,MK00,MK002,MK00210,Чешиново - Облешево,6834,131.94174379,2018,MK_MK00210,official
MK_MK00211,MK,MK00,MK002,MK00211,Штип,48763,583.53753833,2018,MK_MK00211,official
MK_MK00301,MK,MK00,MK003,MK00301,Вевчани,2432,22.79121832,2018,MK_MK00301,official
MK_MK00303,MK,MK00,MK003,MK00303,Дебар,20939,150.18064084,2018,MK_MK00303,official
MK_MK00304,MK,MK00,MK003,MK00304,Дебарца,3795,422.02684673,2018,MK_MK00304,official
MK_MK00307,MK,MK00,MK003,MK00307,Кичево,56814,823.85827046,2018,MK_MK00307,official
MK_MK00308,MK,MK00,MK003,MK00308,Македонски Брод,6107,889.11540902,2018,MK_MK00308,official
MK_MK00310,MK,MK00,MK003,MK00310,Охрид,51560,393.44970568,2018,MK_MK00310,official
MK_MK00311,MK,MK00,MK003,MK00311,Пласница,4961,54.45630779,2018,MK_MK00311,official
MK_MK00312,MK,MK00,MK003,MK00312,Струга,65929,485.73091702,2018,MK_MK00312,official
MK_MK00313,MK,MK00,MK003,MK00313,Центар Жупа,7126,103.16948942,2018,MK_MK00313,official
MK_MK00401,MK,MK00,MK004,MK00401,Богданци,8120,114.21243414,2018,MK_MK00401,official
MK_MK00402,MK,MK00,MK004,MK00402,Босилово,13966,161.93228908,2018,MK_MK00402,official
MK_MK00403,MK,MK00,MK004,MK00403,Валандово,11750,328.36676798,2018,MK_MK00403,official
MK_MK00404,MK,MK00,MK004,MK00404,Василево,12989,230.35427501,2018,MK_MK00404,official
MK_MK00405,MK,MK00,MK004,MK00405,Гевгелија,22671,486.83998497,2018,MK_MK00405,official
