gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
RS_70017,RS,RS21,RS216,70017,Александровац,24564,386.54378912,2018,RS_70017,official
RS_70025,RS,RS22,RS225,70025,Алексинац,48087,706.81881799,2018,RS_70025,official
RS_70033,RS,RS21,RS218,70033,Аранђеловац,44197,376.01579186,2018,RS_70033,official
RS_70041,RS,RS21,RS211,70041,Ариље,18109,349.31997125,2018,RS_70041,official
RS_70050,RS,RS22,RS226,70050,Бабушница,10659,528.43326449,2018,RS_70050,official
RS_70068,RS,RS21,RS211,70068,Бајина Башта,24539,673.34259291,2018,RS_70068,official
RS_70076,RS,RS21,RS218,70076,Баточина,11085,135.68579365,2018,RS_70076,official
RS_70084,RS,RS22,RS226,70084,Бела Паланка,11065,516.9593648,2018,RS_70084,official
RS_70092,RS,RS11,RS110,70092,Београд - Барајево,26964,213.16764678,2018,RS_70092,official
RS_70106,RS,RS11,RS110,70106,Београд - Вождовац,168242,148.55361334,2018,RS_70106,official
RS_70114,RS,RS11,RS110,70114,Београд - Врачар,57483,2.8930159,2018,RS_70114,official
RS_70122,RS,RS11,RS110,70122,Београд - Гроцка,86391,299.18625871,2018,RS_70122,official
RS_70149,RS,RS11,RS110,70149,Београд - Звездара,163542,31.1969874,2018,RS_70149,official
RS_70157,RS,RS11,RS110,70157,Београд - Земун,173460,149.86605296,2018,RS_70157,official
RS_70165,RS,RS11,RS110,70165,Београд - Лазаревац,57136,383.37356958,2018,RS_70165,official
RS_70173,RS,RS11,RS110,70173,Београд - Младеновац,52159,338.99195436,2018,RS_70173,official
RS_70181,RS,RS11,RS110,70181,Београд - Нови Београд,213985,40.71570103,2018,RS_70181,official
RS_70190,RS,RS11,RS110,70190,Београд - Обреновац,72209,409.96690159,2018,RS_70190,official
RS_70203,RS,RS11,RS110,70203,Београд - Палилула,181414,451.13795675,2018,RS_70203,official
RS_70211,RS,RS11,RS110,70211,Београд - Раковица,108477,29.97587877,2018,RS_70211,official
RS_70220,RS,RS11,RS110,70220,Београд - Савски венац,36222,14.15152123,2018,RS_70220,official
RS_70238,RS,RS11,RS110,70238,Београд - Сопот,19870,270.64348352,2018,RS_70238,official
RS_70246,RS,RS11,RS110,70246,Београд - Стари град,45877,5.44585582,2018,RS_70246,official
RS_70254,RS,RS11,RS110,70254,Београд - Чукарица,177586,157.00986466,2018,RS_70254,official
RS_70262,RS,RS22,RS229,70262,Блаце,10651,306.33581355,2018,RS_70262,official
RS_70289,RS,RS21,RS213,70289,Богатић,26941,384.46947627,2018,RS_70289,official
RS_70297,RS,RS22,RS224,70297,Бојник,10310,263.89985513,2018,RS_70297,official
RS_70319,RS,RS22,RS223,70319,Бољевац,11560,827.76135976,2018,RS_70319,official
RS_70327,RS,RS22,RS221,70327,Бор,45834,856.79756286,2018,RS_70327,official
RS_70335,RS,RS22,RS228,70335,Босилеград,7304,571.05108337,2018,RS_70335,official
RS_70343,RS,RS21,RS216,70343,Брус,15025,605.69921047,2018,RS_70343,official
RS_70351,RS,RS22,RS228,70351,Бујановац,37769,460.91329024,2018,RS_70351,official
RS_70360,RS,RS21,RS212,70360,Ваљево,86677,905.65840182,2018,RS_70360,official
RS_70378,RS,RS21,RS216,70378,Варварин,16561,249.20212239,2018,RS_70378,official
RS_70386,RS,RS22,RS227,70386,Велика Плана,38423,346.08667856,2018,RS_70386,official
RS_70394,RS,RS22,RS222,70394,Велико Градиште,16235,343.21455723,2018,RS_70394,official
RS_70408,RS,RS21,RS213,70408,Владимирци,16057,337.94972406,2018,RS_70408,official
RS_70416,RS,RS22,RS228,70416,Владичин Хан,19201,365.91021734,2018,RS_70416,official
RS_70424,RS,RS22,RS224,70424,Власотинце,28029,307.93371055,2018,RS_70424,official
