gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
SI_001,SI,SI04,SI043,001,NA,19130,245.22481221,2018,SI_001,official
SI_002,SI,SI03,SI031,002,NA,8183,62.22975811,2018,SI_002,official
SI_003,SI,SI04,SI042,003,NA,7873,72.2972893,2018,SI_003,official
SI_004,SI,SI04,SI042,004,NA,5125,333.76712744,2018,SI_004,official
SI_005,SI,SI04,SI041,005,NA,4412,42.32903883,2018,SI_005,official
SI_006,SI,SI04,SI043,006,NA,3049,367.28340304,2018,SI_006,official
SI_007,SI,SI04,SI043,007,NA,5623,71.96947775,2018,SI_007,official
SI_008,SI,SI04,SI041,008,NA,12186,91.18135439,2018,SI_008,official
SI_009,SI,SI03,SI036,009,NA,24086,267.91929959,2018,SI_009,official
SI_010,SI,SI03,SI031,010,NA,3976,38.81076843,2018,SI_010,official
SI_011,SI,SI03,SI034,011,NA,49377,94.93270918,2018,SI_011,official
SI_012,SI,SI04,SI042,012,NA,7619,78.05325206,2018,SI_012,official
SI_013,SI,SI03,SI038,013,NA,11491,241.0122137,2018,SI_013,official
SI_014,SI,SI04,SI043,014,NA,4588,131.61291197,2018,SI_014,official
SI_015,SI,SI03,SI031,015,NA,3926,33.69406971,2018,SI_015,official
SI_016,SI,SI03,SI033,016,NA,3314,155.95809753,2018,SI_016,official
SI_017,SI,SI03,SI037,017,NA,14313,339.15346775,2018,SI_017,official
SI_018,SI,SI03,SI032,018,NA,2554,34.36104165,2018,SI_018,official
SI_019,SI,SI04,SI044,019,NA,4085,145.05529294,2018,SI_019,official
SI_020,SI,SI04,SI041,020,NA,3881,103.17690639,2018,SI_020,official
SI_021,SI,SI04,SI041,021,NA,7661,117.48460334,2018,SI_021,official
SI_022,SI,SI04,SI041,022,NA,6008,33.2942927,2018,SI_022,official
SI_023,SI,SI04,SI041,023,NA,35675,72.30082215,2018,SI_023,official
SI_024,SI,SI03,SI032,024,NA,2885,28.40619796,2018,SI_024,official
SI_025,SI,SI03,SI033,025,NA,8799,105.05038801,2018,SI_025,official
SI_026,SI,SI03,SI032,026,NA,6890,39.98731143,2018,SI_026,official
SI_027,SI,SI04,SI042,027,NA,7541,153.2554597,2018,SI_027,official
SI_028,SI,SI03,SI032,028,NA,4025,29.09858369,2018,SI_028,official
SI_029,SI,SI03,SI031,029,NA,8403,74.60489903,2018,SI_029,official
SI_030,SI,SI03,SI034,030,NA,2543,90.11971362,2018,SI_030,official
SI_031,SI,SI03,SI031,031,NA,2013,66.86531206,2018,SI_031,official
SI_032,SI,SI04,SI041,032,NA,20672,133.82727481,2018,SI_032,official
SI_033,SI,SI03,SI031,033,NA,1411,58.17312562,2018,SI_033,official
SI_034,SI,SI03,SI035,034,NA,9188,58.58507831,2018,SI_034,official
SI_035,SI,SI04,SI044,035,NA,4402,194.88299918,2018,SI_035,official
SI_036,SI,SI04,SI043,036,NA,11757,293.70360802,2018,SI_036,official
SI_037,SI,SI04,SI041,037,NA,7366,98.78020667,2018,SI_037,official
SI_038,SI,SI03,SI038,038,NA,13329,479.90209921,2018,SI_038,official
