gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
AT_10101,AT,AT11,AT112,10101,Eisenstadt,14637,42.46519302,2019,AT_10101,official
AT_10201,AT,AT11,AT112,10201,Rust,1940,20.12168637,2019,AT_10201,official
AT_10301,AT,AT11,AT112,10301,Breitenbrunn am Neusiedler See,1910,25.61635912,2019,AT_10301,official
AT_10302,AT,AT11,AT112,10302,Donnerskirchen,1822,34.20501912,2019,AT_10302,official
AT_10303,AT,AT11,AT112,10303,Großhöflein,2080,14.30640624,2019,AT_10303,official
AT_10304,AT,AT11,AT112,10304,Hornstein,3091,37.00828323,2019,AT_10304,official
AT_10305,AT,AT11,AT112,10305,Klingenbach,1153,4.80632447,2019,AT_10305,official
AT_10306,AT,AT11,AT112,10306,Leithaprodersdorf,1198,18.89059074,2019,AT_10306,official
AT_10307,AT,AT11,AT112,10307,Mörbisch am See,2244,28.10744059,2019,AT_10307,official
AT_10308,AT,AT11,AT112,10308,Müllendorf,1394,12.74639927,2019,AT_10308,official
AT_10309,AT,AT11,AT112,10309,Neufeld an der Leitha,3451,4.23712259,2019,AT_10309,official
AT_10310,AT,AT11,AT112,10310,Oggau am Neusiedler See,1748,51.462982,2019,AT_10310,official
AT_10311,AT,AT11,AT112,10311,Oslip,1262,18.10140064,2019,AT_10311,official
AT_10312,AT,AT11,AT112,10312,Purbach am Neusiedler See,2912,45.97247973,2019,AT_10312,official
AT_10313,AT,AT11,AT112,10313,Sankt Margarethen im Burgenland,2650,26.48055582,2019,AT_10313,official
AT_10314,AT,AT11,AT112,10314,Schützen am Gebirge,1365,21.30772672,2019,AT_10314,official
AT_10315,AT,AT11,AT112,10315,Siegendorf,3027,23.17054872,2019,AT_10315,official
AT_10316,AT,AT11,AT112,10316,Steinbrunn,2671,15.36079324,2019,AT_10316,official
AT_10317,AT,AT11,AT112,10317,Trausdorf an der Wulka,2091,15.47464171,2019,AT_10317,official
AT_10318,AT,AT11,AT112,10318,Wimpassing an der Leitha,1594,7.85928238,2019,AT_10318,official
AT_10319,AT,AT11,AT112,10319,Wulkaprodersdorf,1966,12.04131789,2019,AT_10319,official
AT_10320,AT,AT11,AT112,10320,Loretto,475,2.40047386,2019,AT_10320,official
AT_10321,AT,AT11,AT112,10321,Stotzing,834,12.9590984,2019,AT_10321,official
AT_10322,AT,AT11,AT112,10322,Zillingtal,939,13.16819305,2019,AT_10322,official
AT_10323,AT,AT11,AT112,10323,Zagersdorf,1050,7.40428661,2019,AT_10323,official
AT_10401,AT,AT11,AT113,10401,Bocksdorf,801,9.95186188,2019,AT_10401,official
AT_10402,AT,AT11,AT113,10402,Burgauberg-Neudauberg,1339,10.96109378,2019,AT_10402,official
AT_10403,AT,AT11,AT113,10403,Eberau,917,30.61809475,2019,AT_10403,official
AT_10404,AT,AT11,AT113,10404,Gerersdorf-Sulz,1016,21.72137766,2019,AT_10404,official
AT_10405,AT,AT11,AT113,10405,Güssing,3686,49.26607692,2019,AT_10405,official
AT_10406,AT,AT11,AT113,10406,Güttenbach,880,15.73224081,2019,AT_10406,official
AT_10407,AT,AT11,AT113,10407,Heiligenbrunn,739,33.5099041,2019,AT_10407,official
