gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
CY_1000,CY,CY00,CY000,1000,Λευκωσία,55014,50.25372758,2020,CY_1000,official
CY_1010,CY,CY00,CY000,1010,Άγιος Δομέτιος,12456,12.08109332,2020,CY_1010,official
CY_1011,CY,CY00,CY000,1011,Έγκωμη Λευκωσίας,18010,9.49047011,2020,CY_1011,official
CY_1012,CY,CY00,CY000,1012,Στρόβολος,67904,25.2986013,2020,CY_1012,official
CY_1013,CY,CY00,CY000,1013,Αγλαντζιά ή Αγλαγγιά,20783,31.61156723,2020,CY_1013,official
CY_1014,CY,CY00,CY000,1014,Ορτάκιοϊ (Μιντζέλι),0,7.56384279,2020,CY_1014,official
CY_1015,CY,CY00,CY000,1015,Τράχωνας,0,6.21237577,2020,CY_1015,official
CY_1021,CY,CY00,CY000,1021,Λακατάμεια,38345,27.43791748,2020,CY_1021,official
CY_1022,CY,CY00,CY000,1022,Συνοικισμός Ανθούπολης,1756,0.44192721,2020,CY_1022,official
CY_1023,CY,CY00,CY000,1023,Λατσιά ή Λακκιά,16774,16.55660914,2020,CY_1023,official
CY_1024,CY,CY00,CY000,1024,Γέρι,8235,32.97320582,2020,CY_1024,official
CY_1100,CY,CY00,CY000,1100,Σιά,754,17.34662756,2020,CY_1100,official
CY_1101,CY,CY00,CY000,1101,Μαθιάτης,646,21.34473145,2020,CY_1101,official
CY_1102,CY,CY00,CY000,1102,Αλάμπρα,1585,16.52483687,2020,CY_1102,official
CY_1103,CY,CY00,CY000,1103,Αγία Βαρβάρα Λευκωσίας,2204,24.19422155,2020,CY_1103,official
CY_1104,CY,CY00,CY000,1104,Κοτσιάτης,160,5.05320411,2020,CY_1104,official
CY_1105,CY,CY00,CY000,1105,Νήσου,2179,9.57346288,2020,CY_1105,official
CY_1106,CY,CY00,CY000,1106,Πέρα Χωριό,2637,8.67937979,2020,CY_1106,official
CY_1107,CY,CY00,CY000,1107,Δάλι,10466,31.02362685,2020,CY_1107,official
CY_1108,CY,CY00,CY000,1108,Λύμπια,2694,23.93532329,2020,CY_1108,official
CY_1109,CY,CY00,CY000,1109,Λυθροδόντας,3043,42.00999832,2020,CY_1109,official
CY_1110,CY,CY00,CY000,1110,Λουρουκίνα,11,28.63046305,2020,CY_1110,official
CY_1120,CY,CY00,CY000,1120,Ποταμιά,505,10.91366889,2020,CY_1120,official
CY_1121,CY,CY00,CY000,1121,'Αγιος Σωζόμενος,11,10.69612976,2020,CY_1121,official
CY_1122,CY,CY00,CY000,1122,Πυρόγι,0,9.08016958,2020,CY_1122,official
CY_1123,CY,CY00,CY000,1123,Μαργό,0,17.211978,2020,CY_1123,official
CY_1124,CY,CY00,CY000,1124,Αγιά (Aγιά Κεπίρ),0,16.15267386,2020,CY_1124,official
CY_1125,CY,CY00,CY000,1125,Τύμβου,0,27.66239024,2020,CY_1125,official
CY_1130,CY,CY00,CY000,1130,Μόρα,0,20.622371,2020,CY_1130,official
CY_1131,CY,CY00,CY000,1131,Μια Μηλιά,0,17.3356935,2020,CY_1131,official
CY_1132,CY,CY00,CY000,1132,Μάνδρες Λευκωσίας,0,17.692184,2020,CY_1132,official
CY_1133,CY,CY00,CY000,1133,Παλαίκυθρο,0,20.36599246,2020,CY_1133,official
CY_1134,CY,CY00,CY000,1134,'Εξω Μετόχι,0,12.67239684,2020,CY_1134,official
CY_1135,CY,CY00,CY000,1135,Επιχό,0,12.47781245,2020,CY_1135,official
CY_1136,CY,CY00,CY000,1136,Βώνη,0,4.66781836,2020,CY_1136,official
CY_1137,CY,CY00,CY000,1137,Τραχώνι Λευκωσίας,0,2.79527627,2020,CY_1137,official
CY_1138,CY,CY00,CY000,1138,Νέο Χωριό Λευκωσίας,0,17.47544097,2020,CY_1138,official
CY_1139,CY,CY00,CY000,1139,Κυθρέα,0,31.81257288,2020,CY_1139,official
CY_1141,CY,CY00,CY000,1141,Μπέϊκιοϊ,0,2.24780314,2020,CY_1141,official
CY_1142,CY,CY00,CY000,1142,Πέτρα του Διγενή,0,3.9399091,2020,CY_1142,official
CY_1143,CY,CY00,CY000,1143,Καλυβάκια,0,9.11331399,2020,CY_1143,official
CY_1144,CY,CY00,CY000,1144,Κουρού Μοναστήρι,0,3.62991004,2020,CY_1144,official
CY_1200,CY,CY00,CY000,1200,Καμπί,97,5.23393398,2020,CY_1200,official
CY_1201,CY,CY00,CY000,1201,Φαρμακάς,480,15.35834692,2020,CY_1201,official
CY_1202,CY,CY00,CY000,1202,Απλίκι,87,3.71996085,2020,CY_1202,official
CY_1203,CY,CY00,CY000,1203,Λαζανιάς,39,40.90617343,2020,CY_1203,official
CY_1204,CY,CY00,CY000,1204,Γούρρη,196,16.70556377,2020,CY_1204,official
CY_1205,CY,CY00,CY000,1205,Φικάρδου,15,6.61215269,2020,CY_1205,official
CY_1206,CY,CY00,CY000,1206,Άγιος Επιφάνιος Ορεινής,412,17.20034138,2020,CY_1206,official
CY_1207,CY,CY00,CY000,1207,Καλό Χωριό Ορεινής,734,8.59843283,2020,CY_1207,official
CY_1208,CY,CY00,CY000,1208,Μαλούντα,490,6.51383271,2020,CY_1208,official
