gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
FR_01001,FR,FRK2,FRK21,01001,Abergement-Clémenciat,767,15.66088814,2018,FR_01001,official
FR_01002,FR,FRK2,FRK21,01002,Abergement-de-Varey,243,9.12505466,2018,FR_01002,official
FR_01004,FR,FRK2,FRK21,01004,Ambérieu-en-Bugey,14081,24.5775566,2018,FR_01004,official
FR_01005,FR,FRK2,FRK21,01005,Ambérieux-en-Dombes,1671,16.06330486,2018,FR_01005,official
FR_01006,FR,FRK2,FRK21,01006,Ambléon,110,6.03925813,2018,FR_01006,official
FR_01007,FR,FRK2,FRK21,01007,Ambronay,2684,33.62913847,2018,FR_01007,official
FR_01008,FR,FRK2,FRK21,01008,Ambutrix,750,5.19520721,2018,FR_01008,official
FR_01009,FR,FRK2,FRK21,01009,Andert-et-Condon,336,6.98551963,2018,FR_01009,official
FR_01010,FR,FRK2,FRK21,01010,Anglefort,1124,29.46523965,2018,FR_01010,official
FR_01011,FR,FRK2,FRK21,01011,Apremont,383,15.07234234,2018,FR_01011,official
FR_01012,FR,FRK2,FRK21,01012,Aranc,326,21.70290028,2018,FR_01012,official
FR_01013,FR,FRK2,FRK21,01013,Arandas,148,14.04549012,2018,FR_01013,official
FR_01014,FR,FRK2,FRK21,01014,Arbent,3379,23.75692012,2018,FR_01014,official
FR_01015,FR,FRK2,FRK21,01015,Arboys en Bugey,640,22.52202673,2018,FR_01015,official
FR_01016,FR,FRK2,FRK21,01016,Arbigny,462,17.61369644,2018,FR_01016,official
FR_01017,FR,FRK2,FRK21,01017,Argis,438,7.88877091,2018,FR_01017,official
FR_01019,FR,FRK2,FRK21,01019,Armix,26,6.92629941,2018,FR_01019,official
FR_01021,FR,FRK2,FRK21,01021,Ars-sur-Formans,1389,5.58958695,2018,FR_01021,official
FR_01022,FR,FRK2,FRK21,01022,Artemare,1227,3.35439223,2018,FR_01022,official
FR_01023,FR,FRK2,FRK21,01023,Asnières-sur-Saône,63,4.69917585,2018,FR_01023,official
FR_01024,FR,FRK2,FRK21,01024,Attignat,3270,18.94242679,2018,FR_01024,official
FR_01025,FR,FRK2,FRK21,01025,Bâgé-Dommartin,4088,57.14395832,2018,FR_01025,official
FR_01026,FR,FRK2,FRK21,01026,Bâgé-le-Châtel,915,0.85968449,2018,FR_01026,official
FR_01027,FR,FRK2,FRK21,01027,Balan,2856,17.86813663,2018,FR_01027,official
FR_01028,FR,FRK2,FRK21,01028,Baneins,596,9.07092143,2018,FR_01028,official
FR_01029,FR,FRK2,FRK21,01029,Beaupont,685,14.0573528,2018,FR_01029,official
FR_01030,FR,FRK2,FRK21,01030,Beauregard,885,0.9412861,2018,FR_01030,official
FR_01031,FR,FRK2,FRK21,01031,Bellignat,3618,7.80703436,2018,FR_01031,official
FR_01032,FR,FRK2,FRK21,01032,Béligneux,3314,13.35265928,2018,FR_01032,official
FR_01033,FR,FRK2,FRK21,01033,Bellegarde-sur-Valserine,11666,15.44771714,2018,FR_01033,official
FR_01034,FR,FRK2,FRK21,01034,Belley,9133,22.6298653,2018,FR_01034,official
FR_01035,FR,FRK2,FRK21,01035,Belleydoux,317,17.85739626,2018,FR_01035,official
FR_01036,FR,FRK2,FRK21,01036,Belmont-Luthézieu,596,19.71068878,2018,FR_01036,official
FR_01037,FR,FRK2,FRK21,01037,Bénonces,294,15.35401258,2018,FR_01037,official
FR_01038,FR,FRK2,FRK21,01038,Bény,762,18.29072449,2018,FR_01038,official
FR_01039,FR,FRK2,FRK21,01039,Béon,464,10.23031081,2018,FR_01039,official
FR_01040,FR,FRK2,FRK21,01040,Béréziat,494,11.31496688,2018,FR_01040,official
FR_01041,FR,FRK2,FRK21,01041,Bettant,750,3.45173811,2018,FR_01041,official
FR_01042,FR,FRK2,FRK21,01042,Bey,276,2.80055908,2018,FR_01042,official
FR_01043,FR,FRK2,FRK21,01043,Beynost,4557,10.73322397,2018,FR_01043,official
FR_01044,FR,FRK2,FRK21,01044,Billiat,611,14.02681866,2018,FR_01044,official
FR_01045,FR,FRK2,FRK21,01045,Birieux,285,15.82163118,2018,FR_01045,official
FR_01046,FR,FRK2,FRK21,01046,Biziat,857,11.67110906,2018,FR_01046,official
FR_01047,FR,FRK2,FRK21,01047,Blyes,993,9.35157845,2018,FR_01047,official
FR_01049,FR,FRK2,FRK21,01049,Boisse,3021,9.39381197,2018,FR_01049,official
FR_01050,FR,FRK2,FRK21,01050,Boissey,338,9.41304283,2018,FR_01050,official
FR_01051,FR,FRK2,FRK21,01051,Bolozon,89,4.98968844,2018,FR_01051,official
FR_01052,FR,FRK2,FRK21,01052,Bouligneux,319,26.27061912,2018,FR_01052,official
FR_01053,FR,FRK2,FRK21,01053,Bourg-en-Bresse,41365,24.08644291,2018,FR_01053,official
FR_01054,FR,FRK2,FRK21,01054,Bourg-Saint-Christophe,1325,8.92494077,2018,FR_01054,official
FR_01056,FR,FRK2,FRK21,01056,Boyeux-Saint-Jérôme,354,16.70848335,2018,FR_01056,official
FR_01057,FR,FRK2,FRK21,01057,Boz,515,7.74636963,2018,FR_01057,official
FR_01058,FR,FRK2,FRK21,01058,Brégnier-Cordon,849,11.37175881,2018,FR_01058,official
FR_01059,FR,FRK2,FRK21,01059,Brénaz,105,9.86409642,2018,FR_01059,geo
FR_01060,FR,FRK2,FRK21,01060,Brénod,522,24.06822296,2018,FR_01060,official
FR_01061,FR,FRK2,FRK21,01061,Brens,1169,6.86238042,2018,FR_01061,official
FR_01062,FR,FRK2,FRK21,01062,Bressolles,891,7.69737766,2018,FR_01062,official
FR_01063,FR,FRK2,FRK21,01063,Brion,515,4.48708691,2018,FR_01063,official
FR_01064,FR,FRK2,FRK21,01064,Briord,991,12.3859733,2018,FR_01064,official
FR_01065,FR,FRK2,FRK21,01065,Buellas,1767,10.2429303,2018,FR_01065,official
FR_01066,FR,FRK2,FRK21,01066,Burbanche,71,11.09550921,2018,FR_01066,official
FR_01067,FR,FRK2,FRK21,01067,Ceignes,253,10.22427955,2018,FR_01067,official
FR_01068,FR,FRK2,FRK21,01068,Cerdon,785,12.1253468,2018,FR_01068,official
FR_01069,FR,FRK2,FRK21,01069,Certines,1532,16.00801582,2018,FR_01069,official
FR_01071,FR,FRK2,FRK21,01071,Cessy,4836,6.45955337,2018,FR_01071,official
FR_01072,FR,FRK2,FRK21,01072,Ceyzériat,3138,9.21163528,2018,FR_01072,official
FR_01073,FR,FRK2,FRK21,01073,Ceyzérieu,1012,19.74797652,2018,FR_01073,official
FR_01074,FR,FRK2,FRK21,01074,Chalamont,2406,33.04382653,2018,FR_01074,official
FR_01075,FR,FRK2,FRK21,01075,Chaleins,1296,17.07469493,2018,FR_01075,official
FR_01076,FR,FRK2,FRK21,01076,Chaley,137,4.69893077,2018,FR_01076,official
FR_01077,FR,FRK2,FRK21,01077,Challes-la-Montagne,193,7.77321234,2018,FR_01077,official
FR_01078,FR,FRK2,FRK21,01078,Challex,1450,8.81640977,2018,FR_01078,official
FR_01079,FR,FRK2,FRK21,01079,Champagne-en-Valromey,825,18.2634341,2018,FR_01079,official
FR_01080,FR,FRK2,FRK21,01080,Champdor-Corcelles,657,31.61111396,2018,FR_01080,official
FR_01081,FR,FRK2,FRK21,01081,Champfromier,729,31.89278176,2018,FR_01081,official
FR_01082,FR,FRK2,FRK21,01082,Chanay,633,18.40141106,2018,FR_01082,official
FR_01083,FR,FRK2,FRK21,01083,Chaneins,898,12.69714989,2018,FR_01083,official
FR_01084,FR,FRK2,FRK21,01084,Chanoz-Châtenay,833,13.33320234,2018,FR_01084,official
FR_01085,FR,FRK2,FRK21,01085,Chapelle-du-Châtelard,387,13.65722482,2018,FR_01085,official
FR_01087,FR,FRK2,FRK21,01087,Charix,285,18.59294265,2018,FR_01087,official
FR_01088,FR,FRK2,FRK21,01088,Charnoz-sur-Ain,923,6.61702913,2018,FR_01088,official
FR_01089,FR,FRK2,FRK21,01089,Château-Gaillard,2080,16.11550519,2018,FR_01089,official
FR_01090,FR,FRK2,FRK21,01090,Châtenay,333,15.26967828,2018,FR_01090,official
FR_01091,FR,FRK2,FRK21,01091,Châtillon-en-Michaille,3586,37.74571833,2018,FR_01091,geo
FR_01092,FR,FRK2,FRK21,01092,Châtillon-la-Palud,1574,14.09915753,2018,FR_01092,official
FR_01093,FR,FRK2,FRK21,01093,Châtillon-sur-Chalaronne,4886,18.01032401,2018,FR_01093,official
FR_01094,FR,FRK2,FRK21,01094,Chavannes-sur-Reyssouze,750,16.51663221,2018,FR_01094,official
FR_01095,FR,FRK2,FRK21,01095,Nivigne et Suran,805,31.13165807,2018,FR_01095,official
FR_01096,FR,FRK2,FRK21,01096,Chaveyriat,1006,16.8480456,2018,FR_01096,official
FR_01097,FR,FRK2,FRK21,01097,Chavornay,222,7.82642709,2018,FR_01097,geo
FR_01098,FR,FRK2,FRK21,01098,Chazey-Bons,1079,15.56994088,2018,FR_01098,official
FR_01099,FR,FRK2,FRK21,01099,Chazey-sur-Ain,1513,22.17305877,2018,FR_01099,official
FR_01100,FR,FRK2,FRK21,01100,Cheignieu-la-Balme,136,5.89979319,2018,FR_01100,official
FR_01101,FR,FRK2,FRK21,01101,Chevillard,153,6.65950704,2018,FR_01101,official
FR_01102,FR,FRK2,FRK21,01102,Chevroux,957,17.30136952,2018,FR_01102,official
FR_01103,FR,FRK2,FRK21,01103,Chevry,1643,5.80753293,2018,FR_01103,official
FR_01104,FR,FRK2,FRK21,01104,Chézery-Forens,460,46.51794345,2018,FR_01104,official
FR_01105,FR,FRK2,FRK21,01105,Civrieux,1606,20.15895635,2018,FR_01105,official
FR_01106,FR,FRK2,FRK21,01106,Cize,170,4.50663931,2018,FR_01106,official
FR_01107,FR,FRK2,FRK21,01107,Cleyzieu,135,7.6922365,2018,FR_01107,official
FR_01108,FR,FRK2,FRK21,01108,Coligny,1187,16.9525856,2018,FR_01108,official
FR_01109,FR,FRK2,FRK21,01109,Collonges,2223,16.2847405,2018,FR_01109,official
FR_01110,FR,FRK2,FRK21,01110,Colomieu,131,5.84680042,2018,FR_01110,official
FR_01111,FR,FRK2,FRK21,01111,Conand,120,15.3334477,2018,FR_01111,official
FR_01112,FR,FRK2,FRK21,01112,Condamine,414,4.533699,2018,FR_01112,official
FR_01113,FR,FRK2,FRK21,01113,Condeissiat,825,21.74235256,2018,FR_01113,official
FR_01114,FR,FRK2,FRK21,01114,Confort,620,11.25849497,2018,FR_01114,official
FR_01115,FR,FRK2,FRK21,01115,Confrançon,1331,18.18111867,2018,FR_01115,official
FR_01116,FR,FRK2,FRK21,01116,Contrevoz,500,14.2784184,2018,FR_01116,official
FR_01117,FR,FRK2,FRK21,01117,Conzieu,146,7.12339143,2018,FR_01117,official
FR_01118,FR,FRK2,FRK21,01118,Corbonod,1255,32.14769392,2018,FR_01118,official
FR_01121,FR,FRK2,FRK21,01121,Corlier,113,5.60624286,2018,FR_01121,official
FR_01122,FR,FRK2,FRK21,01122,Cormaranche-en-Bugey,814,18.99600789,2018,FR_01122,geo
FR_01123,FR,FRK2,FRK21,01123,Cormoranche-sur-Saône,1118,9.9973505,2018,FR_01123,official
FR_01124,FR,FRK2,FRK21,01124,Cormoz,662,19.66081593,2018,FR_01124,official
FR_01125,FR,FRK2,FRK21,01125,Corveissiat,625,22.99195682,2018,FR_01125,official
FR_01127,FR,FRK2,FRK21,01127,Courmangoux,505,15.0426035,2018,FR_01127,official
FR_01128,FR,FRK2,FRK21,01128,Courtes,310,8.92078008,2018,FR_01128,official
FR_01129,FR,FRK2,FRK21,01129,Crans,263,13.23367381,2018,FR_01129,official
FR_01130,FR,FRK2,FRK21,01130,Cras-sur-Reyssouze,1448,13.93547773,2018,FR_01130,official
FR_01133,FR,FRK2,FRK21,01133,Cressin-Rochefort,393,7.71019235,2018,FR_01133,official
FR_01134,FR,FRK2,FRK21,01134,Crottet,1734,12.22066927,2018,FR_01134,official
FR_01135,FR,FRK2,FRK21,01135,Crozet,2126,27.29249248,2018,FR_01135,official
FR_01136,FR,FRK2,FRK21,01136,Cruzilles-lès-Mépillat,855,11.91617726,2018,FR_01136,official
FR_01138,FR,FRK2,FRK21,01138,Culoz,3053,19.20014544,2018,FR_01138,official
FR_01139,FR,FRK2,FRK21,01139,Curciat-Dongalon,443,23.99141416,2018,FR_01139,official
