gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
HR_00019,HR,HR04,HR04C,00019,Andrijaševci,4075,39.61994361,2019,HR_00019,official
HR_00027,HR,HR04,HR04B,00027,Antunovac,3703,56.73944139,2019,HR_00027,official
HR_00035,HR,HR04,HR04C,00035,Babina Greda,3572,79.46410242,2019,HR_00035,official
HR_00043,HR,HR03,HR031,00043,Bakar,8279,125.43823485,2019,HR_00043,official
HR_00051,HR,HR03,HR036,00051,Bale - Valle,1127,82.01719498,2019,HR_00051,official
HR_00060,HR,HR03,HR036,00060,Barban,2721,90.40928281,2019,HR_00060,official
HR_00078,HR,HR04,HR04D,00078,Barilović,2990,175.62305216,2019,HR_00078,official
HR_00086,HR,HR03,HR031,00086,Baška,1674,98.91160971,2019,HR_00086,official
HR_00094,HR,HR03,HR035,00094,Baška Voda,2775,25.66424261,2019,HR_00094,official
HR_00108,HR,HR04,HR04A,00108,Bebrina,3252,101.16175142,2019,HR_00108,official
HR_00116,HR,HR04,HR043,00116,Bedekovčina,8041,51.43401848,2019,HR_00116,official
HR_00124,HR,HR04,HR044,00124,Bednja,3992,76.15746515,2019,HR_00124,official
HR_00132,HR,HR04,HR04B,00132,Beli Manastir,10068,62.31365203,2019,HR_00132,official
HR_00159,HR,HR04,HR046,00159,Belica,3176,27.70930261,2019,HR_00159,official
HR_00167,HR,HR04,HR04B,00167,Belišće,10825,70.1461535,2019,HR_00167,official
HR_00175,HR,HR03,HR033,00175,Benkovac,11026,514.48504958,2019,HR_00175,official
HR_00183,HR,HR04,HR047,00183,Berek,1443,110.97697,2019,HR_00183,official
HR_00191,HR,HR04,HR044,00191,Beretinec,2176,12.34316771,2019,HR_00191,official
HR_00205,HR,HR03,HR033,00205,Bibinje,3985,13.03493488,2019,HR_00205,official
HR_00213,HR,HR04,HR04B,00213,Bilje,5642,242.0887221,2019,HR_00213,official
HR_00221,HR,HR03,HR033,00221,Biograd Na Moru,5569,37.14984956,2019,HR_00221,official
HR_00230,HR,HR04,HR04B,00230,Bizovac,4507,100.55404582,2019,HR_00230,official
HR_00248,HR,HR04,HR047,00248,Bjelovar,40276,187.88187517,2019,HR_00248,official
HR_00256,HR,HR03,HR037,00256,Blato,3593,66.36271389,2019,HR_00256,official
HR_00264,HR,HR04,HR04C,00264,Bogdanovci,1960,51.58544173,2019,HR_00264,official
HR_00272,HR,HR03,HR035,00272,Bol,1630,23.33087445,2019,HR_00272,official
HR_00299,HR,HR04,HR04C,00299,Borovo,5056,28.18432698,2019,HR_00299,official
HR_00302,HR,HR04,HR04D,00302,Bosiljevo,1284,111.41132219,2019,HR_00302,official
HR_00329,HR,HR04,HR04C,00329,Bošnjaci,3901,94.94854142,2019,HR_00329,official
HR_00337,HR,HR04,HR042,00337,Brckovljani,6837,69.84659766,2019,HR_00337,official
HR_00345,HR,HR04,HR042,00345,Brdovec,11134,37.00518851,2019,HR_00345,official
HR_00353,HR,HR04,HR049,00353,Brestovac,3726,279.5029419,2019,HR_00353,official
HR_00361,HR,HR04,HR044,00361,Breznica,2200,33.52226794,2019,HR_00361,official
HR_00370,HR,HR03,HR032,00370,Brinje,3256,328.63230786,2019,HR_00370,official
HR_00388,HR,HR03,HR031,00388,Brod Moravice,866,61.89439077,2019,HR_00388,official
HR_00396,HR,HR04,HR04A,00396,Brodski Stupnik,3036,57.88326893,2019,HR_00396,official
HR_00400,HR,HR03,HR036,00400,Brtonigla - Verteneglio,1626,32.8937565,2019,HR_00400,official
HR_00418,HR,HR04,HR043,00418,Budinščina,2503,55.04546148,2019,HR_00418,official
HR_00426,HR,HR03,HR036,00426,Buje - Buie,5182,98.86350197,2019,HR_00426,official
HR_00434,HR,HR03,HR036,00434,Buzet,6133,168.92886264,2019,HR_00434,official
HR_00442,HR,HR04,HR04C,00442,Cerna,4595,69.50219186,2019,HR_00442,official
HR_00469,HR,HR04,HR04A,00469,Cernik,3640,127.89506541,2019,HR_00469,official
HR_00477,HR,HR03,HR036,00477,Cerovlje,1677,105.57574501,2019,HR_00477,official
HR_00485,HR,HR04,HR044,00485,Cestica,5806,46.09560546,2019,HR_00485,official
HR_00493,HR,HR04,HR04D,00493,Cetingrad,2027,136.84103167,2019,HR_00493,official
HR_00507,HR,HR03,HR035,00507,Cista Provo,2335,108.10955712,2019,HR_00507,official
HR_00515,HR,HR03,HR034,00515,Civljane,239,82.91676716,2019,HR_00515,official
HR_00523,HR,HR03,HR031,00523,Cres,2879,291.31084572,2019,HR_00523,official
HR_00531,HR,HR03,HR031,00531,Crikvenica,11122,28.50046505,2019,HR_00531,official
HR_00540,HR,HR04,HR048,00540,Crnac,1456,79.40045033,2019,HR_00540,official
HR_00558,HR,HR03,HR031,00558,Čabar,3770,278.83482739,2019,HR_00558,official
HR_00566,HR,HR04,HR048,00566,Čačinci,2802,144.8742954,2019,HR_00566,official
HR_00574,HR,HR04,HR048,00574,Čađavica,2009,91.22735215,2019,HR_00574,official
HR_00582,HR,HR04,HR049,00582,Čaglin,2723,178.17487207,2019,HR_00582,official
HR_00604,HR,HR04,HR046,00604,Čakovec,27104,76.96111906,2019,HR_00604,official
HR_00612,HR,HR03,HR031,00612,Čavle,7220,84.66952078,2019,HR_00612,official
HR_00639,HR,HR04,HR047,00639,Čazma,8077,239.96886076,2019,HR_00639,official
HR_00647,HR,HR04,HR04B,00647,Čeminac,2909,61.40415684,2019,HR_00647,official
HR_00655,HR,HR04,HR04B,00655,Čepin,11599,120.63457722,2019,HR_00655,official
HR_00663,HR,HR04,HR04B,00663,Darda,6908,94.0826724,2019,HR_00663,official
HR_00671,HR,HR04,HR047,00671,Daruvar,11633,64.68562343,2019,HR_00671,official
HR_00680,HR,HR04,HR04A,00680,Davor,3015,42.70831916,2019,HR_00680,official
HR_00698,HR,HR03,HR031,00698,Delnice,5952,230.86834029,2019,HR_00698,official
HR_00701,HR,HR04,HR043,00701,Desinić,2933,44.97493715,2019,HR_00701,official
HR_00710,HR,HR04,HR047,00710,Dežanovac,2715,102.67518775,2019,HR_00710,official
HR_00728,HR,HR03,HR035,00728,Dicmo,2802,69.06918653,2019,HR_00728,official
HR_00744,HR,HR03,HR031,00744,Dobrinj,2078,55.07354206,2019,HR_00744,official
HR_00752,HR,HR04,HR046,00752,Domašinec,2251,35.37186515,2019,HR_00752,official
HR_00779,HR,HR03,HR035,00779,Brela,1703,26.80344562,2019,HR_00779,official
HR_00787,HR,HR04,HR046,00787,Donja Dubrava,1920,19.01480413,2019,HR_00787,official
HR_00795,HR,HR04,HR043,00795,Donja Stubica,5680,43.55147363,2019,HR_00795,official
HR_00809,HR,HR04,HR044,00809,Donja Voća,2443,35.98492217,2019,HR_00809,official
HR_00817,HR,HR04,HR04A,00817,Donji Andrijevci,3709,56.97373781,2019,HR_00817,official
HR_00825,HR,HR04,HR046,00825,Donji Kraljevec,4659,36.29405384,2019,HR_00825,official
HR_00833,HR,HR04,HR04E,00833,Donji Kukuruzari,1634,113.92142761,2019,HR_00833,official
HR_00841,HR,HR03,HR032,00841,Donji Lapac,2113,350.78198731,2019,HR_00841,official
HR_00850,HR,HR04,HR044,00850,Martijanec,3843,49.05522194,2019,HR_00850,official
HR_00868,HR,HR04,HR04B,00868,Donji Miholjac,9491,134.38476672,2019,HR_00868,official
HR_00876,HR,HR03,HR035,00876,Muć,3882,222.57427516,2019,HR_00876,official
HR_00884,HR,HR03,HR035,00884,Proložac,3802,54.71242952,2019,HR_00884,official
HR_00892,HR,HR04,HR046,00892,Donji Vidovec,1399,13.81131867,2019,HR_00892,official
HR_00906,HR,HR04,HR04D,00906,Draganić,2741,72.56217124,2019,HR_00906,official
HR_00914,HR,HR04,HR04B,00914,Draž,2767,119.5811329,2019,HR_00914,official
HR_00922,HR,HR04,HR04C,00922,Drenovci,5174,200.17182354,2019,HR_00922,official
HR_00949,HR,HR04,HR04B,00949,Drenje,2700,106.37608285,2019,HR_00949,official
HR_00957,HR,HR03,HR034,00957,Drniš,7498,351.81059377,2019,HR_00957,official
HR_00965,HR,HR04,HR045,00965,Drnje,1863,29.58298251,2019,HR_00965,official
HR_00973,HR,HR04,HR042,00973,Dubrava,5245,115.67812445,2019,HR_00973,official
HR_00981,HR,HR03,HR037,00981,Dubrovnik,42615,142.50515573,2019,HR_00981,official
HR_00990,HR,HR04,HR04D,00990,Duga Resa,11180,60.92228259,2019,HR_00990,official
HR_01007,HR,HR03,HR035,01007,Dugi Rat,7092,11.00133445,2019,HR_01007,official
HR_01015,HR,HR04,HR042,01015,Dugo Selo,17466,54.2911491,2019,HR_01015,official
HR_01023,HR,HR04,HR04E,01023,Dvor,5570,505.75292884,2019,HR_01023,official
HR_01031,HR,HR04,HR04B,01031,Đakovo,27745,168.88769356,2019,HR_01031,official
HR_01040,HR,HR04,HR045,01040,Đelekovec,1533,26.22848917,2019,HR_01040,official
HR_01058,HR,HR04,HR047,01058,Đulovac,3245,186.95828391,2019,HR_01058,official
HR_01066,HR,HR04,HR04B,01066,Đurđenovac,6750,116.35175714,2019,HR_01066,official
HR_01074,HR,HR04,HR045,01074,Đurđevac,8264,157.78984024,2019,HR_01074,official
HR_01082,HR,HR04,HR043,01082,Đurmanec,4235,57.7648768,2019,HR_01082,official
HR_01104,HR,HR04,HR04B,01104,Erdut,7308,154.95677345,2019,HR_01104,official
HR_01112,HR,HR04,HR04B,01112,Ernestinovo,2189,32.00571289,2019,HR_01112,official
HR_01139,HR,HR03,HR034,01139,Ervenik,1105,212.84953682,2019,HR_01139,official
HR_01147,HR,HR04,HR042,01147,Farkaševac,1937,73.79196483,2019,HR_01147,official
HR_01155,HR,HR04,HR045,01155,Ferdinandovac,1750,49.61869078,2019,HR_01155,official
HR_01163,HR,HR04,HR04B,01163,Feričanci,2134,45.78376205,2019,HR_01163,official
HR_01171,HR,HR03,HR031,01171,Fužine,1592,85.78433029,2019,HR_01171,official
HR_01180,HR,HR04,HR04A,01180,Garčin,4806,88.27854368,2019,HR_01180,official
HR_01198,HR,HR04,HR047,01198,Garešnica,10472,226.38675261,2019,HR_01198,official
HR_01201,HR,HR04,HR04D,01201,Generalski Stol,2642,99.99165971,2019,HR_01201,official
HR_01210,HR,HR04,HR04E,01210,Glina,9283,544.28778154,2019,HR_01210,official
HR_01228,HR,HR04,HR045,01228,Gola,2431,76.19426334,2019,HR_01228,official
HR_01236,HR,HR04,HR046,01236,Goričan,2823,21.53447786,2019,HR_01236,official
HR_01244,HR,HR04,HR04B,01244,Gorjani,1591,50.90120763,2019,HR_01244,official
HR_01252,HR,HR04,HR043,01252,Gornja Stubica,5284,48.67573913,2019,HR_01252,official
HR_01279,HR,HR04,HR04A,01279,Gornji Bogićevci,1975,41.85544406,2019,HR_01279,official
HR_01295,HR,HR04,HR044,01295,Gornji Kneginec,5349,22.21263138,2019,HR_01295,official
HR_01309,HR,HR03,HR032,01309,Gospić,12745,967.44569114,2019,HR_01309,official
HR_01317,HR,HR03,HR033,01317,Gračac,4690,958.37425855,2019,HR_01317,official
HR_01325,HR,HR03,HR036,01325,Gračišće,1419,60.02335242,2019,HR_01325,official
HR_01333,HR,HR04,HR041,01333,Grad Zagreb,790017,641.37191486,2019,HR_01333,official
HR_01341,HR,HR03,HR035,01341,Gradac,3261,72.11222435,2019,HR_01341,official
HR_01350,HR,HR04,HR042,01350,Gradec,3681,89.0027035,2019,HR_01350,official
HR_01368,HR,HR04,HR048,01368,Gradina,3850,120.33024113,2019,HR_01368,official
HR_01376,HR,HR04,HR04C,01376,Gradište,2773,57.59818722,2019,HR_01376,official
HR_01384,HR,HR03,HR036,01384,Grožnjan - Grisignana,736,66.99768504,2019,HR_01384,official
HR_01392,HR,HR04,HR047,01392,Grubišno Polje,6478,265.24415692,2019,HR_01392,official
HR_01406,HR,HR04,HR04A,01406,Gundinci,2027,58.45723288,2019,HR_01406,official
HR_01414,HR,HR04,HR04C,01414,Gunja,3732,31.09119429,2019,HR_01414,official
HR_01449,HR,HR04,HR047,01449,Hercegovac,2383,50.61765651,2019,HR_01449,official
HR_01457,HR,HR04,HR045,01457,Hlebine,1304,30.75034026,2019,HR_01457,official
HR_01465,HR,HR04,HR043,01465,Hrašćina,1617,27.27382308,2019,HR_01465,official
HR_01481,HR,HR03,HR035,01481,Hrvace,3617,207.83030484,2019,HR_01481,official
HR_01490,HR,HR04,HR04E,01490,Hrvatska Dubica,2089,129.58661676,2019,HR_01490,official
HR_01503,HR,HR04,HR04E,01503,Hrvatska Kostajnica,2756,52.51481073,2019,HR_01503,official
HR_01511,HR,HR04,HR044,01511,Breznički Hum,1356,26.04962454,2019,HR_01511,official
HR_01520,HR,HR04,HR043,01520,Hum Na Sutli,5060,36.93292288,2019,HR_01520,official
HR_01538,HR,HR03,HR035,01538,Hvar,4251,75.41930685,2019,HR_01538,official
HR_01546,HR,HR04,HR04C,01546,Ilok,6767,117.18566898,2019,HR_01546,official
HR_01554,HR,HR03,HR035,01554,Imotski,10764,58.28612655,2019,HR_01554,official
HR_01562,HR,HR04,HR044,01562,Ivanec,13758,95.95398762,2019,HR_01562,official
HR_01589,HR,HR04,HR042,01589,Ivanić-Grad,14548,173.50597793,2019,HR_01589,official
HR_01597,HR,HR04,HR04C,01597,Ivankovo,8006,103.60794561,2019,HR_01597,official
HR_01619,HR,HR04,HR047,01619,Ivanska,2911,132.14813287,2019,HR_01619,official
HR_01635,HR,HR04,HR042,01635,Jakovlje,3930,35.56993415,2019,HR_01635,official
HR_01643,HR,HR04,HR049,01643,Jakšić,4058,43.41268399,2019,HR_01643,official
HR_01651,HR,HR04,HR044,01651,Jalžabet,3615,37.99479975,2019,HR_01651,official
HR_01660,HR,HR04,HR04C,01660,Jarmina,2458,12.92911586,2019,HR_01660,official
HR_01678,HR,HR03,HR033,01678,Jasenice,1398,121.63221839,2019,HR_01678,official
HR_01686,HR,HR04,HR04E,01686,Jasenovac,1997,163.96010577,2019,HR_01686,official
HR_01694,HR,HR04,HR042,01694,Jastrebarsko,15866,226.41178285,2019,HR_01694,official
HR_01708,HR,HR03,HR031,01708,Jelenje,5344,109.03890979,2019,HR_01708,official
HR_01716,HR,HR03,HR035,01716,Jelsa,3582,139.68641501,2019,HR_01716,official
HR_01724,HR,HR04,HR04D,01724,Josipdol,3773,167.20215677,2019,HR_01724,official
HR_01732,HR,HR03,HR033,01732,Kali,1638,9.44419454,2019,HR_01732,official
HR_01759,HR,HR03,HR036,01759,Kanfanar,1543,59.83844831,2019,HR_01759,official
HR_01767,HR,HR04,HR047,01767,Kapela,2984,104.35650258,2019,HR_01767,official
HR_01775,HR,HR04,HR049,01775,Kaptol,3472,85.44575382,2019,HR_01775,official
HR_01783,HR,HR03,HR032,01783,Karlobag,917,280.81842662,2019,HR_01783,official
HR_01791,HR,HR04,HR04D,01791,Karlovac,55705,401.12377996,2019,HR_01791,official
HR_01805,HR,HR03,HR031,01805,Kastav,10440,11.41241464,2019,HR_01805,official
HR_01813,HR,HR03,HR035,01813,Kaštela,38667,57.61246224,2019,HR_01813,official
HR_01830,HR,HR03,HR034,01830,Kijevo,417,76.87155806,2019,HR_01830,official
HR_01848,HR,HR03,HR034,01848,Kistanje,3481,242.99851517,2019,HR_01848,official
HR_01856,HR,HR04,HR04A,01856,Klakar,2319,53.49351824,2019,HR_01856,official
HR_01864,HR,HR03,HR031,01864,Klana,1975,93.91777232,2019,HR_01864,official
HR_01872,HR,HR04,HR043,01872,Klanjec,2915,25.6016563,2019,HR_01872,official
HR_01899,HR,HR04,HR044,01899,Klenovnik,2022,25.74376768,2019,HR_01899,official
HR_01902,HR,HR04,HR042,01902,Klinča Sela,5231,77.04428592,2019,HR_01902,official
HR_01929,HR,HR03,HR035,01929,Klis,4801,149.08951782,2019,HR_01929,official
HR_01937,HR,HR04,HR042,01937,Kloštar Ivanić,6091,77.49434381,2019,HR_01937,official
HR_01945,HR,HR04,HR045,01945,Kloštar Podravski,3306,51.2743757,2019,HR_01945,official
HR_01953,HR,HR04,HR04B,01953,Kneževi Vinogradi,4614,203.36733238,2019,HR_01953,official
HR_01961,HR,HR03,HR034,01961,Knin,15407,355.10480199,2019,HR_01961,official
HR_01970,HR,HR03,HR035,01970,Komiža,1526,48.22880612,2019,HR_01970,official
HR_01988,HR,HR03,HR037,01988,Konavle,8577,210.02088934,2019,HR_01988,official
HR_01996,HR,HR04,HR047,01996,Končanica,2360,84.00556741,2019,HR_01996,official
HR_02003,HR,HR04,HR043,02003,Konjščina,3790,44.30787625,2019,HR_02003,official
HR_02011,HR,HR04,HR045,02011,Koprivnica,30854,91.87022069,2019,HR_02011,official
HR_02020,HR,HR04,HR045,02020,Koprivnički Bregi,2381,33.54392362,2019,HR_02020,official
HR_02038,HR,HR04,HR045,02038,Koprivnički Ivanec,2121,33.0546919,2019,HR_02038,official
HR_02046,HR,HR03,HR037,02046,Korčula,5663,112.16824877,2019,HR_02046,official
HR_02054,HR,HR04,HR04B,02054,Koška,3980,122.56301636,2019,HR_02054,official
HR_02062,HR,HR04,HR046,02062,Kotoriba,3224,26.47407841,2019,HR_02062,official
HR_02089,HR,HR04,HR043,02089,Kraljevec Na Sutli,1727,26.74969144,2019,HR_02089,official
HR_02097,HR,HR03,HR031,02097,Kraljevica,4618,17.57150798,2019,HR_02097,official
HR_02119,HR,HR04,HR043,02119,Krapina,12480,47.72818676,2019,HR_02119,official
HR_02127,HR,HR04,HR043,02127,Krapinske Toplice,5367,48.83098249,2019,HR_02127,official
HR_02135,HR,HR04,HR042,02135,Križ,6963,117.81067121,2019,HR_02135,official
HR_02143,HR,HR04,HR045,02143,Križevci,21122,264.23585952,2019,HR_02143,official
HR_02151,HR,HR03,HR031,02151,Krk,6281,107.12433331,2019,HR_02151,official
HR_02160,HR,HR04,HR04D,02160,Krnjak,1985,111.81782595,2019,HR_02160,official
HR_02178,HR,HR03,HR036,02178,Kršan,2951,123.27165039,2019,HR_02178,official
HR_02194,HR,HR03,HR037,02194,Kula Norinska,1748,61.59552644,2019,HR_02194,official
HR_02208,HR,HR04,HR04E,02208,Kutina,22760,294.86883096,2019,HR_02208,official
HR_02216,HR,HR04,HR049,02216,Kutjevo,6247,173.96901647,2019,HR_02216,official
HR_02224,HR,HR03,HR036,02224,Labin,11642,72.24412672,2019,HR_02224,official
HR_02232,HR,HR03,HR036,02232,Lanišće,329,143.65691135,2019,HR_02232,official
HR_02259,HR,HR04,HR04D,02259,Lasinja,1624,82.15755167,2019,HR_02259,official
HR_02267,HR,HR03,HR037,02267,Lastovo,792,52.14588965,2019,HR_02267,official
HR_02275,HR,HR04,HR045,02275,Legrad,2241,62.14779393,2019,HR_02275,official
HR_02283,HR,HR04,HR04E,02283,Lekenik,6032,228.2233339,2019,HR_02283,official
HR_02291,HR,HR04,HR044,02291,Lepoglava,8283,65.89473848,2019,HR_02291,official
HR_02305,HR,HR04,HR04B,02305,Levanjska Varoš,1194,123.20565859,2019,HR_02305,official
HR_02313,HR,HR04,HR049,02313,Lipik,6170,208.68623013,2019,HR_02313,official
HR_02321,HR,HR04,HR04E,02321,Lipovljani,3455,103.39006097,2019,HR_02321,official
HR_02348,HR,HR03,HR033,02348,Lišane Ostrovičke,698,48.98960872,2019,HR_02348,official
HR_02356,HR,HR03,HR036,02356,Ližnjan - Lisignano,3965,68.03681504,2019,HR_02356,official
HR_02364,HR,HR04,HR043,02364,Lobor,3188,43.22541196,2019,HR_02364,official
HR_02372,HR,HR03,HR031,02372,Lokve,1049,41.96048861,2019,HR_02372,official
HR_02399,HR,HR04,HR04C,02399,Lovas,1214,42.46353206,2019,HR_02399,official
HR_02402,HR,HR03,HR032,02402,Lovinac,1007,345.8463009,2019,HR_02402,official
HR_02429,HR,HR03,HR031,02429,Lovran,4101,20.29277135,2019,HR_02429,official
HR_02437,HR,HR03,HR035,02437,Lovreć,1699,105.2130979,2019,HR_02437,official
HR_02445,HR,HR04,HR044,02445,Ludbreg,8478,74.25880004,2019,HR_02445,official
HR_02453,HR,HR04,HR048,02453,Lukač,3634,82.64855945,2019,HR_02453,official
HR_02461,HR,HR03,HR036,02461,Lupoglav,924,91.55833473,2019,HR_02461,official
HR_02470,HR,HR04,HR044,02470,Ljubešćica,1858,35.26250302,2019,HR_02470,official
HR_02488,HR,HR04,HR043,02488,Mače,2534,27.80426902,2019,HR_02488,official
HR_02496,HR,HR03,HR035,02496,Makarska,13834,37.77994947,2019,HR_02496,official
HR_02500,HR,HR04,HR046,02500,Mala Subotica,5452,36.68814121,2019,HR_02500,official
HR_02518,HR,HR04,HR044,02518,Mali Bukovec,2212,36.57507925,2019,HR_02518,official
HR_02526,HR,HR03,HR031,02526,Mali Lošinj,8116,224.33149953,2019,HR_02526,official
HR_02534,HR,HR03,HR031,02534,Malinska-Dubašnica,3134,40.91864054,2019,HR_02534,official
HR_02542,HR,HR03,HR036,02542,Marčana,4253,130.91499703,2019,HR_02542,official
HR_02569,HR,HR04,HR043,02569,Marija Bistrica,5976,68.58304786,2019,HR_02569,official
HR_02577,HR,HR04,HR04B,02577,Marijanci,2405,65.61868815,2019,HR_02577,official
HR_02585,HR,HR03,HR035,02585,Marina,4595,118.29020925,2019,HR_02585,official
HR_02593,HR,HR04,HR04E,02593,Martinska Ves,3488,125.85556342,2019,HR_02593,official
HR_02607,HR,HR04,HR044,02607,Maruševec,6381,49.98873257,2019,HR_02607,official
HR_02615,HR,HR03,HR031,02615,Matulji,11246,176.48654071,2019,HR_02615,official
HR_02631,HR,HR03,HR036,02631,Medulin,6481,33.95493524,2019,HR_02631,official
HR_02640,HR,HR03,HR037,02640,Metković,16788,51.18516926,2019,HR_02640,official
HR_02658,HR,HR04,HR043,02658,Mihovljan,1938,26.18861363,2019,HR_02658,official
HR_02666,HR,HR04,HR048,02666,Mikleuš,1464,35.56275685,2019,HR_02666,official
HR_02674,HR,HR03,HR035,02674,Milna,1034,34.85063225,2019,HR_02674,official
HR_02682,HR,HR03,HR037,02682,Mljet,1088,99.00916883,2019,HR_02682,official
HR_02704,HR,HR04,HR045,02704,Molve,2189,46.38102103,2019,HR_02704,official
HR_02712,HR,HR04,HR04B,02712,Podravska Moslavina,1202,44.53751718,2019,HR_02712,official
HR_02739,HR,HR03,HR031,02739,Mošćenička Draga,1535,46.63860109,2019,HR_02739,official
HR_02747,HR,HR03,HR036,02747,Motovun - Montona,1004,32.63396323,2019,HR_02747,official
HR_02755,HR,HR03,HR031,02755,Mrkopalj,1214,156.30713859,2019,HR_02755,official
HR_02763,HR,HR04,HR046,02763,Mursko Središće,6307,33.8483369,2019,HR_02763,official
HR_02780,HR,HR04,HR04B,02780,Našice,16224,205.15246331,2019,HR_02780,official
HR_02798,HR,HR04,HR046,02798,Nedelišće,11975,58.78501142,2019,HR_02798,official
HR_02801,HR,HR03,HR035,02801,Nerežišća,862,78.7899519,2019,HR_02801,official
HR_02810,HR,HR04,HR04D,02810,Netretić,2862,113.69556735,2019,HR_02810,official
HR_02828,HR,HR03,HR033,02828,Nin,2744,53.276507,2019,HR_02828,official
HR_02836,HR,HR04,HR048,02836,Nova Bukovica,1771,74.93815889,2019,HR_02836,official
