gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
MT_MT01101,MT,MT00,MT001,MT01101,Valletta,5891,0.83947771,2020,MT_MT01101,official
MT_MT01103,MT,MT00,MT001,MT01103,Birgu,2480,0.51242858,2020,MT_MT01103,official
MT_MT01104,MT,MT00,MT001,MT01104,L-Isla,2769,0.15776551,2020,MT_MT01104,official
MT_MT01105,MT,MT00,MT001,MT01105,Bormla,5184,0.93722220999999994,2020,MT_MT01105,official
MT_MT01108,MT,MT00,MT001,MT01108,Ħaż-Żabbar,15660,5.34000054,2020,MT_MT01108,official
MT_MT01117,MT,MT00,MT001,MT01117,Il-Fgura,12877,1.10859689,2020,MT_MT01117,official
MT_MT01118,MT,MT00,MT001,MT01118,Il-Furjana,2053,0.95941364,2020,MT_MT01118,official
MT_MT01129,MT,MT00,MT001,MT01129,Il-Kalkara,3112,1.75101362,2020,MT_MT01129,official
MT_MT01133,MT,MT00,MT001,MT01133,Ħal Luqa,6379,6.77874239,2020,MT_MT01133,official
MT_MT01134,MT,MT00,MT001,MT01134,Il-Marsa,5823,2.736221,2020,MT_MT01134,official
MT_MT01145,MT,MT00,MT001,MT01145,Paola,9073,2.49432833,2020,MT_MT01145,official
MT_MT01157,MT,MT00,MT001,MT01157,Santa Luċija,2958,0.72557479,2020,MT_MT01157,official
MT_MT01162,MT,MT00,MT001,MT01162,Ħal Tarxien,8863,0.86903525,2020,MT_MT01162,official
MT_MT01165,MT,MT00,MT001,MT01165,Ix-Xgħajra,1924,0.97317153,2020,MT_MT01165,official
MT_MT01206,MT,MT00,MT001,MT01206,Ħal Qormi,17287,5.04487304,2020,MT_MT01206,official
MT_MT01214,MT,MT00,MT001,MT01214,Birkirkara,25463,2.74508857,2020,MT_MT01214,official
MT_MT01221,MT,MT00,MT001,MT01221,Il-Gżira,12816,0.98159865,2020,MT_MT01221,official
MT_MT01227,MT,MT00,MT001,MT01227,Il-Ħamrun,10075,1.04565392,2020,MT_MT01227,official
MT_MT01241,MT,MT00,MT001,MT01241,L-Imsida,15364,1.68779016,2020,MT_MT01241,official
MT_MT01246,MT,MT00,MT001,MT01246,Pembroke,3934,2.29223199,2020,MT_MT01246,official
MT_MT01247,MT,MT00,MT001,MT01247,Tal-Pieta',5255,0.46311717,2020,MT_MT01247,official
MT_MT01252,MT,MT00,MT001,MT01252,San Ġiljan,14939,1.58856103,2020,MT_MT01252,official
MT_MT01253,MT,MT00,MT001,MT01253,San Ġwann,15107,2.63103108,2020,MT_MT01253,official
MT_MT01258,MT,MT00,MT001,MT01258,Santa Venera,7909,0.91363804,2020,MT_MT01258,official
MT_MT01259,MT,MT00,MT001,MT01259,Tas-Sliema,24358,1.30295283,2020,MT_MT01259,official
MT_MT01260,MT,MT00,MT001,MT01260,Is-Swieqi,15565,3.06614215,2020,MT_MT01260,official
MT_MT01261,MT,MT00,MT001,MT01261,Ta' Xbiex,2148,0.28076834,2020,MT_MT01261,official
MT_MT01310,MT,MT00,MT001,MT01310,Iż-Żejtun,11533,5.37163564,2020,MT_MT01310,official
MT_MT01315,MT,MT00,MT001,MT01315,Birżebbuġa,13453,9.29905144,2020,MT_MT01315,official
MT_MT01320,MT,MT00,MT001,MT01320,Il-Gudja,3215,2.25225101,2020,MT_MT01320,official
MT_MT01326,MT,MT00,MT001,MT01326,Ħal Għaxaq,4928,3.83697922,2020,MT_MT01326,official
MT_MT01331,MT,MT00,MT001,MT01331,Ħal Kirkop,2443,1.12522555,2020,MT_MT01331,official
MT_MT01335,MT,MT00,MT001,MT01335,Marsaskala,15504,5.40721619,2020,MT_MT01335,official
MT_MT01336,MT,MT00,MT001,MT01336,Marsaxlokk,3766,4.72873217,2020,MT_MT01336,official
MT_MT01340,MT,MT00,MT001,MT01340,L-Imqabba,3382,2.6052146,2020,MT_MT01340,official
MT_MT01349,MT,MT00,MT001,MT01349,Il-Qrendi,2850,4.92468284,2020,MT_MT01349,official
MT_MT01351,MT,MT00,MT001,MT01351,Ħal Safi,2375,2.30970309,2020,MT_MT01351,official
MT_MT01367,MT,MT00,MT001,MT01367,Iż-Żurrieq,11140,8.40643034,2020,MT_MT01367,official
MT_MT01402,MT,MT00,MT001,MT01402,L-Imdina,249,0.85489547,2020,MT_MT01402,official
MT_MT01407,MT,MT00,MT001,MT01407,Ħaż-Żebbuġ,12542,8.66439279,2020,MT_MT01407,official
MT_MT01409,MT,MT00,MT001,MT01409,Is-Siġġiewi,8843,19.93342416,2020,MT_MT01409,official
MT_MT01412,MT,MT00,MT001,MT01412,Ħ'Attard,11630,6.61520912,2020,MT_MT01412,official
MT_MT01413,MT,MT00,MT001,MT01413,Ħal Balzan,4768,0.59891602,2020,MT_MT01413,official
MT_MT01416,MT,MT00,MT001,MT01416,Ħad-Dingli,3730,5.71080499,2020,MT_MT01416,official
MT_MT01428,MT,MT00,MT001,MT01428,L-Iklin,3507,1.6933461,2020,MT_MT01428,official
MT_MT01432,MT,MT00,MT001,MT01432,Ħal Lija,3293,1.10706271,2020,MT_MT01432,official
MT_MT01450,MT,MT00,MT001,MT01450,Ir-Rabat,11553,26.59151226,2020,MT_MT01450,official
MT_MT01468,MT,MT00,MT001,MT01468,L-Imtarfa,2618,0.72889021,2020,MT_MT01468,official
MT_MT01524,MT,MT00,MT001,MT01524,Ħal Għargħur,2921,2.02298905,2020,MT_MT01524,official
MT_MT01537,MT,MT00,MT001,MT01537,Il-Mellieħa,11823,22.60657333,2020,MT_MT01537,official
MT_MT01538,MT,MT00,MT001,MT01538,L-Imġarr,3928,16.17438535,2020,MT_MT01538,official
MT_MT01539,MT,MT00,MT001,MT01539,Il-Mosta,21426,6.80794297,2020,MT_MT01539,official
MT_MT01544,MT,MT00,MT001,MT01544,In-Naxxar,15244,11.55753845,2020,MT_MT01544,official
MT_MT01555,MT,MT00,MT001,MT01555,San Pawl Il-Baħar,32204,14.54115659,2020,MT_MT01555,official
MT_MT02611,MT,MT00,MT002,MT02611,"Ir-Rabat, Għawdex",6634,2.88972133,2020,MT_MT02611,official
MT_MT02619,MT,MT00,MT002,MT02619,Il-Fontana,952,0.47273961,2020,MT_MT02619,official
MT_MT02622,MT,MT00,MT002,MT02622,Għajnsielem and Comino,3015,7.14410828,2020,MT_MT02622,official
MT_MT02623,MT,MT00,MT002,MT02623,L-Għarb,1311,4.6235373,2020,MT_MT02623,official
MT_MT02625,MT,MT00,MT002,MT02625,L-Għasri,422,5.02883402,2020,MT_MT02625,official
MT_MT02630,MT,MT00,MT002,MT02630,Ta' Kerċem,1809,5.45159043,2020,MT_MT02630,official
MT_MT02642,MT,MT00,MT002,MT02642,Il-Munxar,1305,2.86463483,2020,MT_MT02642,official
MT_MT02643,MT,MT00,MT002,MT02643,In-Nadur,4221,7.17638674,2020,MT_MT02643,official
MT_MT02648,MT,MT00,MT002,MT02648,Il-Qala,1976,5.84054681,2020,MT_MT02648,official
MT_MT02654,MT,MT00,MT002,MT02654,San Lawrenz,720,3.63429371,2020,MT_MT02654,official
MT_MT02656,MT,MT00,MT002,MT02656,Ta' Sannat,1904,3.88905639,2020,MT_MT02656,official
MT_MT02663,MT,MT00,MT002,MT02663,Ix-Xagħra,4301,7.62803965,2020,MT_MT02663,official
MT_MT02664,MT,MT00,MT002,MT02664,Ix-Xewkija,3279,4.52255255,2020,MT_MT02664,official
MT_MT02666,MT,MT00,MT002,MT02666,Iż-Żebbuġ,2581,7.56481688,2020,MT_MT02666,official
