gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
PT_010103,PT,PT16,PT16D,010103,Aguada de Cima,4013,28.3893341,2019,PT_010103,official
PT_010109,PT,PT16,PT16D,010109,Fermentelos,3258,8.58238333,2019,PT_010109,official
PT_010112,PT,PT16,PT16D,010112,Macinhata do Vouga,3406,31.95404559,2019,PT_010112,official
PT_010119,PT,PT16,PT16D,010119,Valongo do Vouga,4877,43.20397703,2019,PT_010119,official
PT_010121,PT,PT16,PT16D,010121,Águeda e Borralha,13576,36.0264719,2019,PT_010121,official
PT_010122,PT,PT16,PT16D,010122,Barrô e Aguada de Baixo,3209,10.19175259,2019,PT_010122,official
PT_010123,PT,PT16,PT16D,010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",1611,88.09253723,2019,PT_010123,official
PT_010124,PT,PT16,PT16D,010124,Recardães e Espinhel,6036,19.91695319,2019,PT_010124,official
PT_010125,PT,PT16,PT16D,010125,Travassô e Óis da Ribeira,2305,11.12450912,2019,PT_010125,official
PT_010126,PT,PT16,PT16D,010126,"Trofa, Segadães e Lamas do Vouga",4630,16.07071373,2019,PT_010126,official
PT_010127,PT,PT16,PT16D,010127,Préstimo e Macieira de Alcoba,808,41.72603084,2019,PT_010127,official
PT_010202,PT,PT16,PT16D,010202,Alquerubim,2381,15.3557723,2019,PT_010202,official
PT_010203,PT,PT16,PT16D,010203,Angeja,2073,20.39212066,2019,PT_010203,official
PT_010204,PT,PT16,PT16D,010204,Branca,5621,30.28657514,2019,PT_010204,official
PT_010206,PT,PT16,PT16D,010206,Ribeira de Fráguas,1713,26.7438996,2019,PT_010206,official
PT_010209,PT,PT16,PT16D,010209,Albergaria-a-Velha e Valmaior,10568,46.99821823,2019,PT_010209,official
PT_010210,PT,PT16,PT16D,010210,São João de Loure e Frossos,2896,18.18100815,2019,PT_010210,official
PT_010304,PT,PT16,PT16D,010304,Avelãs de Caminho,1252,6.4509231399999996,2019,PT_010304,official
PT_010305,PT,PT16,PT16D,010305,Avelãs de Cima,2185,40.57743556,2019,PT_010305,official
PT_010307,PT,PT16,PT16D,010307,Moita,2484,34.17225544,2019,PT_010307,official
PT_010309,PT,PT16,PT16D,010309,Sangalhos,4068,16.90431139,2019,PT_010309,official
