gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
RO_100004,RO,RO21,RO213,100004,Victoria,4432,61.34902309,2020,RO_100004,official
RO_10006,RO,RO42,RO421,10006,Birchis,1791,103.91075282,2020,RO_10006,official
RO_100086,RO,RO21,RO213,100086,Vânători,4643,51.71832697,2020,RO_100086,official
RO_100148,RO,RO21,RO213,100148,Vlădeni,4242,79.31825287,2020,RO_100148,official
RO_100219,RO,RO21,RO213,100219,Voineşti,8372,62.88322494,2020,RO_100219,official
RO_100273,RO,RO21,RO213,100273,Balş,3653,31.64873799,2020,RO_100273,official
RO_100282,RO,RO21,RO213,100282,Costeşti,1803,26.2549183,2020,RO_100282,official
RO_100308,RO,RO21,RO213,100308,Draguşeni,1468,22.47785747,2020,RO_100308,official
RO_100317,RO,RO21,RO213,100317,Fântânele,2077,33.1822386,2020,RO_100317,official
RO_100326,RO,RO21,RO213,100326,Hărmăneşti,2569,27.81855614,2020,RO_100326,official
RO_100335,RO,RO21,RO213,100335,Rachiţeni,3296,16.50434356,2020,RO_100335,official
RO_100344,RO,RO21,RO213,100344,Roşcani,1568,37.89901182,2020,RO_100344,official
RO_100353,RO,RO21,RO213,100353,Valea Lupului,10086,10.62663797,2020,RO_100353,official
RO_100362,RO,RO21,RO213,100362,Ciohorani,1954,16.47048056,2020,RO_100362,official
RO_10051,RO,RO42,RO421,10051,Bârsa,1807,50.76834934,2020,RO_10051,official
RO_100521,RO,RO31,RO314,100521,Municipiul Giurgiu,66303,53.41120544,2020,RO_100521,official
RO_100549,RO,RO31,RO314,100549,Slobozia,2288,58.34428253,2020,RO_100549,official
RO_100576,RO,RO32,RO322,100576,Oraş Buftea,22718,54.81294431,2020,RO_100576,official
RO_100610,RO,RO31,RO312,100610,Municipiul Olteniţa,26922,100.64663252,2020,RO_100610,official
RO_100638,RO,RO31,RO312,100638,Mitreni,3992,52.18508512,2020,RO_100638,official
RO_100683,RO,RO31,RO315,100683,Municipiul Urziceni,16656,54.04614395,2020,RO_100683,official
RO_100709,RO,RO31,RO315,100709,Ciocârlia,742,15.50729418,2020,RO_100709,official
RO_100736,RO,RO31,RO315,100736,Manasia,4572,33.59405288,2020,RO_100736,official
RO_100754,RO,RO31,RO315,100754,Adâncata,2325,46.95461896,2020,RO_100754,official
RO_100781,RO,RO31,RO314,100781,Adunaţii-Copăceni,6183,77.93179734,2020,RO_100781,official
RO_100834,RO,RO32,RO322,100834,Afumaţi,8187,60.40683531,2020,RO_100834,official
RO_100852,RO,RO31,RO315,100852,Alexeni,2343,43.61031547,2020,RO_100852,official
RO_100870,RO,RO31,RO315,100870,Armăşeşti,2127,47.4213069,2020,RO_100870,official
RO_100923,RO,RO31,RO315,100923,Axintele,2269,121.87631465,2020,RO_100923,official
RO_100969,RO,RO32,RO322,100969,Baloteşti,8970,51.07404041,2020,RO_100969,official
RO_101001,RO,RO31,RO314,101001,Băneasa,4714,112.51555627,2020,RO_101001,official
RO_10104,RO,RO42,RO421,10104,Bârzava,2440,256.32502974,2020,RO_10104,official
RO_101056,RO,RO31,RO315,101056,Bărcăneşti,3516,112.11562857,2020,RO_101056,official
RO_101083,RO,RO31,RO312,101083,Belciugatele,2037,78.94822877,2020,RO_101083,official
RO_101145,RO,RO32,RO322,101145,Berceni,7943,27.30977329,2020,RO_101145,official
RO_101163,RO,RO31,RO314,101163,Bolintin-Deal,6187,28.48069553,2020,RO_101163,official
RO_101190,RO,RO31,RO314,101190,Oraş Bolintin-Vale,13849,37.50272005,2020,RO_101190,official
RO_101243,RO,RO31,RO315,101243,Radulesti,1128,22.46702122,2020,RO_101243,official
RO_101298,RO,RO32,RO322,101298,Brăneşti,9499,53.30134424,2020,RO_101298,official
RO_101341,RO,RO31,RO313,101341,Brezoaele,3477,36.65003292,2020,RO_101341,official
RO_101378,RO,RO31,RO314,101378,Bucşani,3506,87.10637938,2020,RO_101378,official
RO_101458,RO,RO31,RO312,101458,Oraş Budeşti,7572,79.23683899,2020,RO_101458,official
RO_101519,RO,RO31,RO314,101519,Bulbucata,1392,27.9871363,2020,RO_101519,official
RO_101564,RO,RO31,RO313,101564,Butimanu,2286,46.97007722,2020,RO_101564,official
RO_101617,RO,RO31,RO314,101617,Buturugeni,3950,44.65315607,2020,RO_101617,official
RO_101662,RO,RO31,RO314,101662,Calugăreni,5459,122.58761437,2020,RO_101662,official
RO_1017,RO,RO12,RO121,1017,Municipiul Alba Iulia,74885,102.51494587,2020,RO_1017,official
RO_101724,RO,RO31,RO312,101724,Căscioarele,1675,26.40522718,2020,RO_101724,official
RO_101742,RO,RO32,RO322,101742,Cernica,10819,38.76675112,2020,RO_101742,official
RO_101804,RO,RO31,RO312,101804,Chirnogi,7118,195.57117439,2020,RO_101804,official
RO_101822,RO,RO31,RO312,101822,Chiselet,3176,84.32042396,2020,RO_101822,official
RO_101840,RO,RO31,RO313,101840,Ciocăneşti,5202,46.18146797,2020,RO_101840,official
RO_101902,RO,RO32,RO322,101902,Ciolpani,5253,41.87038383,2020,RO_101902,official
RO_10195,RO,RO42,RO421,10195,Bocsig,3421,81.38188892,2020,RO_10195,official
RO_101957,RO,RO32,RO322,101957,Ciorogârla,6210,30.35948363,2020,RO_101957,official
RO_101984,RO,RO31,RO314,101984,Clejani,3540,77.03467801,2020,RO_101984,official
RO_102035,RO,RO32,RO322,102035,Clinceni,7100,23.2651898,2020,RO_102035,official
RO_102071,RO,RO31,RO314,102071,Colibaşi,3130,28.45836488,2020,RO_102071,official
RO_102106,RO,RO31,RO314,102106,Comana,6477,104.73074832,2020,RO_102106,official
RO_102160,RO,RO32,RO322,102160,Corbeanca,8362,30.06935697,2020,RO_102160,official
RO_102213,RO,RO32,RO322,102213,Cornetu,6229,16.68876093,2020,RO_102213,official
RO_102240,RO,RO31,RO315,102240,Coşereni,4339,44.30111071,2020,RO_102240,official
RO_102286,RO,RO31,RO313,102286,Crevedia,5983,55.80015907,2020,RO_102286,official
RO_102348,RO,RO31,RO314,102348,Crevedia Mare,4767,63.62087054,2020,RO_102348,official
RO_10239,RO,RO42,RO421,10239,Brazii,1203,118.75327352,2020,RO_10239,official
RO_102419,RO,RO31,RO312,102419,Curcani,5396,53.60448569,2020,RO_102419,official
RO_102446,RO,RO31,RO314,102446,Daia,2472,59.36161861,2020,RO_102446,official
RO_102473,RO,RO32,RO322,102473,Dascălu,2937,38.89455982,2020,RO_102473,official
RO_102525,RO,RO32,RO322,102525,Dărăşti-Ilfov,2666,14.77822433,2020,RO_102525,official
RO_102543,RO,RO32,RO322,102543,1 Decembrie,8318,17.0468409,2020,RO_102543,official
RO_102570,RO,RO32,RO322,102570,Domneşti,10015,37.4041004,2020,RO_102570,official
RO_102605,RO,RO32,RO322,102605,Dragomireşti-Vale,5474,31.3889757,2020,RO_102605,official
RO_102641,RO,RO31,RO315,102641,Drăgoeşti,924,47.38428056,2020,RO_102641,official
RO_102703,RO,RO31,RO315,102703,Dridu,3131,56.74143338,2020,RO_102703,official
RO_102749,RO,RO31,RO315,102749,Oraş Fierbinţi-Târg,4484,57.64983048,2020,RO_102749,official
