gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
SE_0114,SE,SE11,SE110,0114,Upplands Väsby,46786,83.9694814,2020,SE_0114,official
SE_0115,SE,SE11,SE110,0115,Vallentuna,34090,370.81625977,2020,SE_0115,official
SE_0117,SE,SE11,SE110,0117,Österåker,45574,318.60541384,2020,SE_0117,official
SE_0120,SE,SE11,SE110,0120,Värmdö,45000,427.40934573,2020,SE_0120,official
SE_0123,SE,SE11,SE110,0123,Järfälla,79990,63.38871312,2020,SE_0123,official
SE_0125,SE,SE11,SE110,0125,Ekerö,28690,385.29319679,2020,SE_0125,official
SE_0126,SE,SE11,SE110,0126,Huddinge,112848,140.4115588,2020,SE_0126,official
SE_0127,SE,SE11,SE110,0127,Botkyrka,94606,210.32031228,2020,SE_0127,official
SE_0128,SE,SE11,SE110,0128,Salem,16750,72.03588186,2020,SE_0128,official
SE_0136,SE,SE11,SE110,0136,Haninge,92095,449.17218442,2020,SE_0136,official
SE_0138,SE,SE11,SE110,0138,Tyresö,48333,72.62276248,2020,SE_0138,official
SE_0139,SE,SE11,SE110,0139,Upplands-Bro,29346,326.45649644,2020,SE_0139,official
SE_0140,SE,SE11,SE110,0140,Nykvarn,11014,177.48384795,2020,SE_0140,official
SE_0160,SE,SE11,SE110,0160,Täby,71874,66.68733996,2020,SE_0160,official
SE_0162,SE,SE11,SE110,0162,Danderyd,32857,26.70320607,2020,SE_0162,official
SE_0163,SE,SE11,SE110,0163,Sollentuna,73857,57.94700443,2020,SE_0163,official
SE_0180,SE,SE11,SE110,0180,Stockholm,974073,209.97542205,2020,SE_0180,official
SE_0181,SE,SE11,SE110,0181,Södertälje,98979,609.47622163,2020,SE_0181,official
SE_0182,SE,SE11,SE110,0182,Nacka,105189,100.30529194,2020,SE_0182,official
SE_0183,SE,SE11,SE110,0183,Sundbyberg,52414,7.64294364,2020,SE_0183,official
SE_0184,SE,SE11,SE110,0184,Solna,82429,20.97233167,2020,SE_0184,official
SE_0186,SE,SE11,SE110,0186,Lidingö,48123,31.7989132,2020,SE_0186,official
SE_0187,SE,SE11,SE110,0187,Vaxholm,12003,58.39530327,2020,SE_0187,official
SE_0188,SE,SE11,SE110,0188,Norrtälje,62622,2093.44835192,2020,SE_0188,official
SE_0191,SE,SE11,SE110,0191,Sigtuna,48964,350.40436675,2020,SE_0191,official
SE_0192,SE,SE11,SE110,0192,Nynäshamn,28575,359.79926617,2020,SE_0192,official
SE_0305,SE,SE12,SE121,0305,Håbo,21934,190.09494613,2020,SE_0305,official
SE_0319,SE,SE12,SE121,0319,Älvkarleby,9457,231.83244849,2020,SE_0319,official
SE_0330,SE,SE12,SE121,0330,Knivsta,18835,297.68231726,2020,SE_0330,official
SE_0331,SE,SE12,SE121,0331,Heby,14047,1231.38455376,2020,SE_0331,official
SE_0360,SE,SE12,SE121,0360,Tierp,21136,1605.30899176,2020,SE_0360,official
SE_0380,SE,SE12,SE121,0380,Uppsala,230767,2248.04811389,2020,SE_0380,official
SE_0381,SE,SE12,SE121,0381,Enköping,45287,1329.47695292,2020,SE_0381,official
SE_0382,SE,SE12,SE121,0382,Östhammar,22250,1488.49864167,2020,SE_0382,official
SE_0428,SE,SE12,SE122,0428,Vingåker,9111,443.22564361,2020,SE_0428,official
SE_0461,SE,SE12,SE122,0461,Gnesta,11365,539.83297573,2020,SE_0461,official
SE_0480,SE,SE12,SE122,0480,Nyköping,56591,1553.08623135,2020,SE_0480,official
SE_0481,SE,SE12,SE122,0481,Oxelösund,11983,32.8534239,2020,SE_0481,official
SE_0482,SE,SE12,SE122,0482,Flen,16585,830.67086986,2020,SE_0482,official
SE_0483,SE,SE12,SE122,0483,Katrineholm,34755,1196.02031952,2020,SE_0483,official
SE_0484,SE,SE12,SE122,0484,Eskilstuna,106859,1258.9265533,2020,SE_0484,official
SE_0486,SE,SE12,SE122,0486,Strängnäs,36544,982.37272329,2020,SE_0486,official
SE_0488,SE,SE12,SE122,0488,Trosa,13747,212.66017139,2020,SE_0488,official
SE_0509,SE,SE12,SE123,0509,Ödeshög,5337,672.91389196,2020,SE_0509,official
SE_0512,SE,SE12,SE123,0512,Ydre,3747,782.03894929,2020,SE_0512,official
SE_0513,SE,SE12,SE123,0513,Kinda,9940,1308.66397758,2020,SE_0513,official
SE_0560,SE,SE12,SE123,0560,Boxholm,5476,607.61414727,2020,SE_0560,official
SE_0561,SE,SE12,SE123,0561,Åtvidaberg,11503,786.02857514,2020,SE_0561,official
SE_0562,SE,SE12,SE123,0562,Finspång,21912,1221.47344993,2020,SE_0562,official
SE_0563,SE,SE12,SE123,0563,Valdemarsvik,7873,769.49023206,2020,SE_0563,official
SE_0580,SE,SE12,SE123,0580,Linköping,163051,1578.17043695,2020,SE_0580,official
SE_0581,SE,SE12,SE123,0581,Norrköping,143171,1603.96950754,2020,SE_0581,official
SE_0582,SE,SE12,SE123,0582,Söderköping,14626,681.52611012,2020,SE_0582,official
SE_0583,SE,SE12,SE123,0583,Motala,43673,1275.0099123,2020,SE_0583,official
SE_0584,SE,SE12,SE123,0584,Vadstena,7428,414.16261912,2020,SE_0584,official
SE_0586,SE,SE12,SE123,0586,Mjölby,27758,558.84853468,2020,SE_0586,official
SE_0604,SE,SE21,SE211,0604,Aneby,6848,556.84804191,2020,SE_0604,official
