gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
AL_AL111,20.256530804919855,41.501057349502375,AL,AL01,AL011,AL111,Bulqizë,31210,678.96568334,2019,AL_AL111,TRUE
AL_AL112,20.427740458468318,41.680772958688884,AL,AL01,AL011,AL112,Dibër,61619,938.72629946,2019,AL_AL112,TRUE
AL_AL113,20.070698827009764,41.5165668971219,AL,AL01,AL011,AL113,Klos,16618,357.72307074,2019,AL_AL113,TRUE
AL_AL114,20.008785620900536,41.608864242333595,AL,AL01,AL011,AL114,Mat,27600,493.81308099,2019,AL_AL114,TRUE
AL_AL121,19.45808739945909,41.3260857345672,AL,AL01,AL012,AL121,Durrës,175110,338.46683403,2019,AL_AL121,TRUE
AL_AL122,19.74685211985748,41.4960624543604,AL,AL01,AL012,AL122,Krujë,59814,339.20365764,2019,AL_AL122,TRUE
AL_AL123,19.56353828443228,41.3454431132927,AL,AL01,AL012,AL123,Shijak,27861,92.21624318,2019,AL_AL123,TRUE
AL_AL131,20.40851198387232,42.19675353662838,AL,AL01,AL013,AL131,Has,16790,399.79961121,2019,AL_AL131,TRUE
AL_AL132,20.425469247184903,42.06999527052043,AL,AL01,AL013,AL132,Kukës,47985,934.4276099,2019,AL_AL132,TRUE
AL_AL133,20.077497514201063,42.35865780927302,AL,AL01,AL013,AL133,Tropojë,20517,1057.78154779,2019,AL_AL133,TRUE
AL_AL141,19.708609303963417,41.62510069254692,AL,AL01,AL014,AL141,Kurbin,46291,269.17877907,2019,AL_AL141,TRUE
AL_AL142,19.644686099388313,41.77835826775115,AL,AL01,AL014,AL142,Lezhë,65633,509.34284857,2019,AL_AL142,TRUE
AL_AL143,19.876454919373757,41.77121999796715,AL,AL01,AL014,AL143,Mirditë,22103,870.24955277,2019,AL_AL143,TRUE
AL_AL151,20.033460750506112,42.075470804887246,AL,AL01,AL015,AL151,Fushë Arrës,7405,540.79777777,2019,AL_AL151,TRUE
AL_AL152,19.45897621002421,42.216590412543184,AL,AL01,AL015,AL152,Malësi e Madhe,30823,951.44162807,2019,AL_AL152,TRUE
AL_AL153,19.90397061078539,42.03923016110152,AL,AL01,AL015,AL153,Pukë,11069,505.83441979,2019,AL_AL153,TRUE
AL_AL154,19.512467185210177,42.0671708700135,AL,AL01,AL015,AL154,Shkodër,135612,872.99551701,2019,AL_AL154,TRUE
AL_AL155,19.58624583355359,41.97542637308735,AL,AL01,AL015,AL155,Vau i Dejës,30438,499.31148459,2019,AL_AL155,TRUE
AL_AL211,19.889712834415576,40.951018071046775,AL,AL02,AL021,AL211,Belsh,19503,196.56019507,2019,AL_AL211,TRUE
AL_AL212,20.003640991879013,40.99483091000853,AL,AL02,AL021,AL212,Cërrik,27445,189.76448506,2019,AL_AL212,TRUE
AL_AL213,20.081455346860604,41.11389717210478,AL,AL02,AL021,AL213,Elbasan,141714,872.60553476,2019,AL_AL213,TRUE
AL_AL214,20.18439432099593,40.87002663024768,AL,AL02,AL021,AL214,Gramsh,24231,739.7302601,2019,AL_AL214,TRUE
AL_AL215,20.318991377744666,41.18303248213054,AL,AL02,AL021,AL215,Librazhd,31892,793.94010314,2019,AL_AL215,TRUE
AL_AL216,19.77206719642657,41.04701567012258,AL,AL02,AL021,AL216,Peqin,26136,197.88599689,2019,AL_AL216,TRUE
AL_AL217,20.53961339868987,41.06913445022519,AL,AL02,AL021,AL217,Prrenjas,24906,323.18965751,2019,AL_AL217,TRUE
AL_AL221,19.783105269160117,41.36987166653101,AL,AL02,AL022,AL221,Kamëz,104190,37.18983639,2019,AL_AL221,TRUE
AL_AL222,19.556758493914657,41.1840593799162,AL,AL02,AL022,AL222,Kavajë,40094,198.89126266,2019,AL_AL222,TRUE
AL_AL223,19.64855992536053,41.08222917118629,AL,AL02,AL022,AL223,Rrogozhinë,22148,223.62647075,2019,AL_AL223,TRUE
AL_AL224,19.81469107068147,41.3300081745481,AL,AL02,AL022,AL224,Tiranë,557422,1110.69657813,2019,AL_AL224,TRUE
AL_AL225,19.67822880562514,41.38919405641948,AL,AL02,AL022,AL225,Vorë,25511,82.76832986,2019,AL_AL225,TRUE
AL_AL311,19.95860154386992,40.70440636754739,AL,AL03,AL031,AL311,Berat,60031,380.21221989,2019,AL_AL311,TRUE
AL_AL312,19.91354255186768,40.80349510120879,AL,AL03,AL031,AL312,Kuçovë,31262,160.31345147,2019,AL_AL312,TRUE
