gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
LT_11,24.023412451684546,54.39823919530002,LT,LT02,LT021,11,Alytaus miesto savivaldybė,49895,39.47808077,2020,LT_11,TRUE
LT_12,24.02772095872067,54.602666826280085,LT,LT02,LT022,12,Birštono savivaldybė,4066,121.75734943,2020,LT_12,TRUE
LT_13,25.25029738497645,54.70568045337315,LT,LT01,LT011,13,Vilniaus miesto savivaldybė,561836,400.54144788,2020,LT_13,TRUE
LT_15,23.992786706210147,54.01938037497504,LT,LT02,LT021,15,Druskininkų savivaldybė,19122,453.3542671,2020,LT_15,TRUE
LT_18,23.353413257415237,54.56240712456694,LT,LT02,LT024,18,Marijampolės savivaldybė,53772,755.1208708,2020,LT_18,TRUE
LT_19,23.94095268745788,54.91733228571415,LT,LT02,LT022,19,Kauno miesto savivaldybė,289364,156.93881151,2020,LT_19,TRUE
LT_21,21.17296383308486,55.68067129000696,LT,LT02,LT023,21,Klaipėdos miesto savivaldybė,149116,88.28280593,2020,LT_21,TRUE
LT_23,21.000968890017653,55.310120594243884,LT,LT02,LT023,23,Neringos savivaldybė,3530,89.41296782,2020,LT_23,TRUE
LT_25,21.085134584505173,55.9209574825798,LT,LT02,LT023,25,Palangos miesto savivaldybė,16038,78.87774561,2020,LT_25,TRUE
LT_27,24.343462004711885,55.728430963149634,LT,LT02,LT025,27,Panevėžio miesto savivaldybė,85885,50.16938928,2020,LT_27,TRUE
LT_29,23.277724108098806,55.917013195149615,LT,LT02,LT026,29,Šiaulių miesto savivaldybė,101511,81.1181071,2020,LT_29,TRUE
LT_30,26.434039183663394,55.5988455582755,LT,LT02,LT029,30,Visagino savivaldybė,18243,58.0510019,2020,LT_30,TRUE
LT_32,22.839474591908925,56.291985472936744,LT,LT02,LT026,32,Akmenės rajono savivaldybė,18772,843.98692575,2020,LT_32,TRUE
LT_33,23.99194775561608,54.40956568872775,LT,LT02,LT021,33,Alytaus rajono savivaldybė,25885,1403.93912154,2020,LT_33,TRUE
LT_34,25.10225210512941,55.524802539974885,LT,LT02,LT029,34,Anykščių rajono savivaldybė,23038,1764.6227019,2020,LT_34,TRUE
LT_36,24.75776497316339,56.1940266224788,LT,LT02,LT025,36,Biržų rajono savivaldybė,22719,1476.05101938,2020,LT_36,TRUE
LT_38,24.565350282918995,54.21414905789819,LT,LT02,LT021,38,Varėnos rajono savivaldybė,20844,2216.86431442,2020,LT_38,TRUE
LT_39,23.002632810282698,54.64910148746376,LT,LT02,LT024,39,Vilkaviškio rajono savivaldybė,34666,1263.23265733,2020,LT_39,TRUE
LT_41,25.39356855154201,54.66583113871088,LT,LT01,LT011,41,Vilniaus rajono savivaldybė,100146,2129.45171201,2020,LT_41,TRUE
LT_42,24.684578379421612,54.782186111057726,LT,LT01,LT011,42,Elektrėnų savivaldybė,23984,508.87011784,2020,LT_42,TRUE
LT_43,26.232358947203405,55.73298369138948,LT,LT02,LT029,43,Zarasų rajono savivaldybė,14915,1331.12862931,2020,LT_43,TRUE
LT_45,26.187428689737796,55.3451493091553,LT,LT02,LT029,45,Ignalinos rajono savivaldybė,14430,1440.63097438,2020,LT_45,TRUE
LT_46,24.273271966319875,55.07702608739888,LT,LT02,LT022,46,Jonavos rajono savivaldybė,41151,943.92719573,2020,LT_46,TRUE
LT_47,23.587854826126236,56.245632194004926,LT,LT02,LT026,47,Joniškio rajono savivaldybė,20730,1152.08360368,2020,LT_47,TRUE
LT_48,23.22719919218593,54.415012854244736,LT,LT02,LT024,48,Kalvarijos savivaldybė,10187,440.32819547,2020,LT_48,TRUE
LT_49,24.434799623259558,54.85351021452058,LT,LT02,LT022,49,Kaišiadorių rajono savivaldybė,29526,1087.05599323,2020,LT_49,TRUE
LT_52,23.86422389846495,54.88777575475274,LT,LT02,LT022,52,Kauno rajono savivaldybė,96423,1496.04597199,2020,LT_52,TRUE
LT_53,23.963270882636955,55.288375826415034,LT,LT02,LT022,53,Kėdainių rajono savivaldybė,45275,1677.24858035,2020,LT_53,TRUE
LT_54,22.94169897590431,55.63697190271352,LT,LT02,LT026,54,Kelmės rajono savivaldybė,25383,1705.13154102,2020,LT_54,TRUE
LT_55,21.37956573113476,55.70715418425819,LT,LT02,LT023,55,Klaipėdos rajono savivaldybė,60124,1237.53890415,2020,LT_55,TRUE
LT_56,21.25817663303894,55.89593533016761,LT,LT02,LT023,56,Kretingos rajono savivaldybė,37425,989.04459943,2020,LT_56,TRUE
LT_57,24.98115408114147,55.83382630927113,LT,LT02,LT025,57,Kupiškio rajono savivaldybė,16356,1080.39750535,2020,LT_57,TRUE
LT_58,23.487446077743922,54.75210479936681,LT,LT02,LT024,58,Kazlų Rūdos savivaldybė,11339,554.73877054,2020,LT_58,TRUE
LT_59,23.550081915654,54.21966601789907,LT,LT02,LT021,59,Lazdijų rajono savivaldybė,18324,1306.82734964,2020,LT_59,TRUE
