gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
LU_0101,5.9714323043233994,49.580697708458175,LU,LU00,LU000,0101,Dippach,4449,17.26069092,2020,LU_0101,TRUE
LU_0102,5.947647986382207,49.61418394461093,LU,LU00,LU000,0102,Garnich,2193,20.92955382,2020,LU_0102,TRUE
LU_0103,5.899952441696695,49.686587050028564,LU,LU00,LU000,0103,Habscht,4730,32.58726122,2020,LU_0103,TRUE
LU_0104,5.8994164552470165,49.565930647461435,LU,LU00,LU000,0104,Käerjeng,10464,33.70573371,2020,LU_0104,TRUE
LU_0105,6.018021200920999,49.66589265261937,LU,LU00,LU000,0105,Kehlen,6232,28.56067106,2020,LU_0105,TRUE
LU_0106,5.952129465100568,49.66651021411485,LU,LU00,LU000,0106,Koerich,2616,19.01093972,2020,LU_0106,TRUE
LU_0107,6.0835179215994435,49.659526768868915,LU,LU00,LU000,0107,Kopstal,4038,8.01628986,2020,LU_0107,TRUE
LU_0108,6.017538777049525,49.629682886973164,LU,LU00,LU000,0108,Mamer,9913,27.8096418,2020,LU_0108,TRUE
LU_0110,5.920223920407612,49.65442614734611,LU,LU00,LU000,0110,Steinfort,5459,12.16851077,2020,LU_0110,TRUE
LU_0201,6.101000899139668,49.5174261123258,LU,LU00,LU000,0201,Bettembourg,11319,21.60252128,2020,LU_0201,TRUE
LU_0202,5.8953810364689705,49.523861357884996,LU,LU00,LU000,0202,Differdange,27409,22.13070622,2020,LU_0202,TRUE
LU_0203,6.086303681079128,49.48486996513869,LU,LU00,LU000,0203,Dudelange,21291,21.28861971,2020,LU_0203,TRUE
LU_0204,5.978221286319041,49.49948129032491,LU,LU00,LU000,0204,Esch-sur-Alzette,36218,14.48547106,2020,LU_0204,TRUE
LU_0205,6.205403044500509,49.51936648183259,LU,LU00,LU000,0205,Frisange,4746,18.30926213,2020,LU_0205,TRUE
LU_0206,6.039668964181303,49.48191061113064,LU,LU00,LU000,0206,Kayl,9506,14.87504808,2020,LU_0206,TRUE
LU_0207,6.067510399186577,49.57030607383103,LU,LU00,LU000,0207,Leudelange,2702,13.68132359,2020,LU_0207,TRUE
LU_0208,6.002400542441677,49.52939848826016,LU,LU00,LU000,0208,Mondercange,7007,21.40466378,2020,LU_0208,TRUE
LU_0209,5.861358711598309,49.551908136191095,LU,LU00,LU000,0209,Pétange,19574,11.98491669,2020,LU_0209,TRUE
LU_0210,6.009013326526193,49.559539925590656,LU,LU00,LU000,0210,Reckange-sur-Mess,2594,20.53112313,2020,LU_0210,TRUE
LU_0211,6.140426000981622,49.53909190015111,LU,LU00,LU000,0211,Roeser,6551,24.08157112,2020,LU_0211,TRUE
LU_0212,6.030548541321494,49.462107823375554,LU,LU00,LU000,0212,Rumelange,5604,6.80499013,2020,LU_0212,TRUE
LU_0213,5.933751614133869,49.52229570585125,LU,LU00,LU000,0213,Sanem,17550,24.46404633,2020,LU_0213,TRUE
LU_0214,6.0153682671942,49.50686819549847,LU,LU00,LU000,0214,Schifflange,11293,7.7589617,2020,LU_0214,TRUE
LU_0301,6.050461716309086,49.610096241516025,LU,LU00,LU000,0301,Bertrange,8432,17.26162446,2020,LU_0301,TRUE
LU_0302,6.241164490711271,49.58892792961431,LU,LU00,LU000,0302,Contern,3939,20.8077893,2020,LU_0302,TRUE
LU_0303,6.153657749791433,49.57764755181314,LU,LU00,LU000,0303,Hesperange,15584,27.3980327,2020,LU_0303,TRUE
LU_0304,6.125977169461185,49.60987940573945,LU,LU00,LU000,0304,Luxembourg,122273,51.73715424,2020,LU_0304,TRUE
LU_0305,6.229827128979983,49.65196307850351,LU,LU00,LU000,0305,Niederanven,6312,41.48256119,2020,LU_0305,TRUE
LU_0306,6.219606095587984,49.61336211107731,LU,LU00,LU000,0306,Sandweiler,3698,7.76498991,2020,LU_0306,TRUE
LU_0307,6.267667476103616,49.62493228631499,LU,LU00,LU000,0307,Schuttrange,4274,16.16433756,2020,LU_0307,TRUE
LU_0308,6.129666443804427,49.67538966332167,LU,LU00,LU000,0308,Steinsel,5443,21.88456237,2020,LU_0308,TRUE
LU_0309,6.075182550761239,49.61825828726643,LU,LU00,LU000,0309,Strassen,9888,10.61307048,2020,LU_0309,TRUE
LU_0310,6.130455780606715,49.65710997732778,LU,LU00,LU000,0310,Walferdange,8424,7.05876129,2020,LU_0310,TRUE
LU_0311,6.206643509210676,49.549471655752555,LU,LU00,LU000,0311,Weiler-la-Tour,2404,17.119485,2020,LU_0311,TRUE
LU_0401,6.097659658149127,49.80801554255797,LU,LU00,LU000,0401,Colmar-Berg,2192,12.35533154,2020,LU_0401,TRUE
LU_0402,6.071261579095919,49.787625026529845,LU,LU00,LU000,0402,Bissen,3216,20.82635252,2020,LU_0402,TRUE
LU_0403,6.01738394403477,49.73502442754111,LU,LU00,LU000,0403,Helperknapp,4387,37.71130958,2020,LU_0403,TRUE
LU_0404,6.167725303288503,49.759504150295676,LU,LU00,LU000,0404,Fischbach,1215,19.54094079,2020,LU_0404,TRUE
LU_0405,6.245006873115703,49.76602286410943,LU,LU00,LU000,0405,Heffingen,1504,13.27791377,2020,LU_0405,TRUE
LU_0406,6.214813794905922,49.78319548316935,LU,LU00,LU000,0406,Larochette,2194,15.41560811,2020,LU_0406,TRUE
LU_0407,6.124633216116993,49.719450919984006,LU,LU00,LU000,0407,Lintgen,3155,15.42186152,2020,LU_0407,TRUE
LU_0408,6.141123092593387,49.69646191341406,LU,LU00,LU000,0408,Lorentzweiler,4246,17.6695593,2020,LU_0408,TRUE
LU_0409,6.1040503721715185,49.75008739023434,LU,LU00,LU000,0409,Mersch,9816,49.4935615,2020,LU_0409,TRUE
LU_0410,6.148184869100693,49.79922280866433,LU,LU00,LU000,0410,Nommern,1401,22.68150969,2020,LU_0410,TRUE
LU_0501,6.051090958990764,50.07219974610412,LU,LU00,LU000,0501,Clervaux,5463,85.65360224,2020,LU_0501,TRUE
LU_0502,5.927738705732034,50.068948319747044,LU,LU00,LU000,0502,Wincrange,4503,113.80443542,2020,LU_0502,TRUE
LU_0503,6.085484409761371,49.99758194849846,LU,LU00,LU000,0503,Parc Hosingen,3669,70.65077874,2020,LU_0503,TRUE
LU_0504,5.999664328398626,50.12900839402319,LU,LU00,LU000,0504,Troisvierges,3296,38.11553691,2020,LU_0504,TRUE
LU_0505,6.068936412007676,50.137085262712716,LU,LU00,LU000,0505,Weiswampach,2005,35.16119279,2020,LU_0505,TRUE
LU_0601,6.196455557338554,49.86793130970292,LU,LU00,LU000,0601,Bettendorf,2907,23.24766862,2020,LU_0601,TRUE
LU_0602,6.072786562557351,49.9055537668261,LU,LU00,LU000,0602,Bourscheid,1718,36.85965733,2020,LU_0602,TRUE
LU_0603,6.156763681496364,49.86836649420042,LU,LU00,LU000,0603,Diekirch,7042,12.45473469,2020,LU_0603,TRUE
LU_0604,6.112740242570355,49.86195871904267,LU,LU00,LU000,0604,Erpeldange-sur-Sûre,2482,17.9123651,2020,LU_0604,TRUE
LU_0605,6.096081686716465,49.848470042990655,LU,LU00,LU000,0605,Ettelbruck,9148,15.21066722,2020,LU_0605,TRUE
LU_0606,6.041012625125994,49.85526849255067,LU,LU00,LU000,0606,Feulen,2224,22.81797369,2020,LU_0606,TRUE
LU_0607,6.002518820841715,49.8306437143879,LU,LU00,LU000,0607,Mertzig,2293,11.09572755,2020,LU_0607,TRUE
LU_0608,6.268238055194052,49.864144248094895,LU,LU00,LU000,0608,Reisdorf,1276,14.86632313,2020,LU_0608,TRUE
LU_0609,6.100097916584835,49.82639719374728,LU,LU00,LU000,0609,Schieren,2039,10.40266017,2020,LU_0609,TRUE
LU_0610,6.208708132705203,49.81530458514583,LU,LU00,LU000,0610,Vallée de l'Ernz,2653,39.91757859,2020,LU_0610,TRUE
LU_0701,5.895989694431027,49.728678674739555,LU,LU00,LU000,0701,Beckerich,2708,28.5479777,2020,LU_0701,TRUE
LU_0702,5.936544042757225,49.79534281820336,LU,LU00,LU000,0702,Preizerdaul,1698,15.73759916,2020,LU_0702,TRUE
LU_0703,5.850069224082909,49.76627585267505,LU,LU00,LU000,0703,Ell,1425,21.6602868,2020,LU_0703,TRUE
LU_0704,5.811252044757236,49.82830327780684,LU,LU00,LU000,0704,Rambrouch,4480,79.46722628,2020,LU_0704,TRUE
LU_0705,5.9605730070227425,49.832582998407396,LU,LU00,LU000,0705,Grosbous,1111,20.35142011,2020,LU_0705,TRUE
LU_0706,5.889440757940302,49.76669124221282,LU,LU00,LU000,0706,Redange-sur-Attert,2905,32.33619834,2020,LU_0706,TRUE
LU_0707,5.979193978529605,49.73122226827138,LU,LU00,LU000,0707,Saeul,857,14.93897178,2020,LU_0707,TRUE
LU_0708,5.974301008895911,49.769027417442246,LU,LU00,LU000,0708,Useldange,1942,23.99632181,2020,LU_0708,TRUE
LU_0709,6.002340266866232,49.80442386530276,LU,LU00,LU000,0709,Vichten,1313,12.43464453,2020,LU_0709,TRUE
LU_0710,5.9095831740114795,49.845612644550606,LU,LU00,LU000,0710,Wahl,1034,20.09108201,2020,LU_0710,TRUE
LU_0801,5.812064123988759,49.8912883931107,LU,LU00,LU000,0801,Boulaide,1344,32.28333915,2020,LU_0801,TRUE
LU_0802,5.952009578286896,49.88615866879009,LU,LU00,LU000,0802,Esch-sur-Sûre,2855,51.40838137,2020,LU_0802,TRUE
LU_0804,5.9715512878783965,49.933446391880786,LU,LU00,LU000,0804,Goesdorf,1568,29.39722679,2020,LU_0804,TRUE
LU_0805,6.002941916864238,49.988165449288125,LU,LU00,LU000,0805,Kiischpelt,1214,33.77442487,2020,LU_0805,TRUE
LU_0806,5.813494186620493,49.93399530186515,LU,LU00,LU000,0806,Lac de la Haute-Sûre,2013,48.70030806,2020,LU_0806,TRUE
LU_0807,5.93369141521724,49.9706972328675,LU,LU00,LU000,0807,Wiltz,7273,39.50990199,2020,LU_0807,TRUE
LU_0808,5.877552979798025,49.96931232584529,LU,LU00,LU000,0808,Winseler,1365,30.62063584,2020,LU_0808,TRUE
LU_0901,6.1670084197540636,49.89597293892056,LU,LU00,LU000,0901,Tandel,2222,41.77854582,2020,LU_0901,TRUE
LU_0902,6.119738073802342,49.95180684825033,LU,LU00,LU000,0902,Putscheid,1150,27.13490538,2020,LU_0902,TRUE
LU_0903,6.206467750347177,49.936251201096766,LU,LU00,LU000,0903,Vianden,2138,9.65630701,2020,LU_0903,TRUE
LU_1001,6.294101347260691,49.83394357992808,LU,LU00,LU000,1001,Beaufort,2885,13.80681992,2020,LU_1001,TRUE
LU_1002,6.335934811778076,49.75055864999841,LU,LU00,LU000,1002,Bech,1273,23.40451829,2020,LU_1002,TRUE
LU_1003,6.351287443213631,49.825701233578236,LU,LU00,LU000,1003,Berdorf,1868,22.02928591,2020,LU_1003,TRUE
LU_1004,6.340597432210347,49.77871128613822,LU,LU00,LU000,1004,Consdorf,2101,25.95680132,2020,LU_1004,TRUE
LU_1005,6.41957578935422,49.80874016742588,LU,LU00,LU000,1005,Echternach,5617,20.54165873,2020,LU_1005,TRUE
LU_1006,6.480140729797449,49.785048438524704,LU,LU00,LU000,1006,Rosport - Mompach,3613,57.03706978,2020,LU_1006,TRUE
LU_1008,6.277658335432669,49.79159883041793,LU,LU00,LU000,1008,Waldbillig,1832,23.22431809,2020,LU_1008,TRUE
LU_1101,6.310653288577222,49.66617781146672,LU,LU00,LU000,1101,Betzdorf,4093,26.18057229,2020,LU_1101,TRUE
LU_1102,6.377747495250126,49.70399984557855,LU,LU00,LU000,1102,Biwer,1834,23.05372692,2020,LU_1102,TRUE
LU_1103,6.384430327055219,49.638909553062774,LU,LU00,LU000,1103,Flaxweiler,2148,30.15445898,2020,LU_1103,TRUE
LU_1104,6.443915520348359,49.682738797084724,LU,LU00,LU000,1104,Grevenmacher,4936,16.49013108,2020,LU_1104,TRUE
LU_1105,6.246684497299288,49.70725282210344,LU,LU00,LU000,1105,Junglinster,8090,55.73475433,2020,LU_1105,TRUE
LU_1106,6.416801588194815,49.720338846506536,LU,LU00,LU000,1106,Manternach,2181,27.85769817,2020,LU_1106,TRUE
LU_1107,6.495156506537558,49.711208363213714,LU,LU00,LU000,1107,Mertert,4635,15.41838484,2020,LU_1107,TRUE
LU_1108,6.407999186900749,49.62115162953154,LU,LU00,LU000,1108,Wormeldange,2970,17.26232727,2020,LU_1108,TRUE
LU_1201,6.328362137527073,49.550394834709216,LU,LU00,LU000,1201,Bous,1669,15.3747275,2020,LU_1201,TRUE
LU_1202,6.259749489852185,49.54100704732116,LU,LU00,LU000,1202,Dalheim,2356,19.16693312,2020,LU_1202,TRUE
LU_1203,6.32961599111931,49.6064773090533,LU,LU00,LU000,1203,Lenningen,2017,20.52286511,2020,LU_1203,TRUE
