gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
NL_GM0003,6.861461978139687,53.31871112657676,NL,NL11,NL112,GM0003,Appingedam,11644,24.5852005,2020,NL_GM0003,TRUE
NL_GM0010,6.90863928317515,53.328082993601505,NL,NL11,NL112,GM0010,Delfzijl,24666,136.42503917,2020,NL_GM0010,TRUE
NL_GM0014,6.566924566090272,53.21984665951374,NL,NL11,NL113,GM0014,Groningen,232922,197.86201925,2020,NL_GM0014,TRUE
NL_GM0024,6.702289518851761,53.33851902631298,NL,NL11,NL112,GM0024,Loppersum,9533,112.03558397,2020,NL_GM0024,TRUE
NL_GM0034,5.237140327628643,52.37558503308293,NL,NL23,NL230,GM0034,Almere,211840,248.859188,2020,NL_GM0034,TRUE
NL_GM0037,6.97332212176064,52.983577088475904,NL,NL11,NL111,GM0037,Stadskanaal,31688,119.96824184,2020,NL_GM0037,TRUE
NL_GM0047,6.868010709355785,53.10151467607028,NL,NL11,NL111,GM0047,Veendam,27387,78.70906132,2020,NL_GM0047,TRUE
NL_GM0050,5.528322461775874,52.33425939080424,NL,NL23,NL230,GM0050,Zeewolde,22656,269.06740626,2020,NL_GM0050,TRUE
NL_GM0059,6.1422651554622805,53.20771250594146,NL,NL12,NL124,GM0059,Achtkarspelen,27836,103.99513667,2020,NL_GM0059,TRUE
NL_GM0060,5.708644354687365,53.4438160049166,NL,NL12,NL124,GM0060,Ameland,3718,58.26300853,2020,NL_GM0060,TRUE
NL_GM0072,5.434893655571932,53.1703580653647,NL,NL12,NL124,GM0072,Harlingen,15720,26.03290499,2020,NL_GM0072,TRUE
NL_GM0074,5.925547153097131,52.962743019343414,NL,NL12,NL126,GM0074,Heerenveen,50494,198.31010916,2020,NL_GM0074,TRUE
NL_GM0080,5.804012867636002,53.20063838223446,NL,NL12,NL124,GM0080,Leeuwarden,124058,255.63069844,2020,NL_GM0080,TRUE
NL_GM0085,6.2999735516520365,52.99121062341338,NL,NL12,NL126,GM0085,Ooststellingwerf,25472,226.11549271,2020,NL_GM0085,TRUE
NL_GM0086,6.108734011265652,53.04364337578144,NL,NL12,NL126,GM0086,Opsterland,29742,227.60280895,2020,NL_GM0086,TRUE
NL_GM0088,6.164796389864439,53.48070939348631,NL,NL12,NL124,GM0088,Schiermonnikoog,947,43.95932596,2020,NL_GM0088,TRUE
NL_GM0090,6.090429441663723,53.10725742948158,NL,NL12,NL126,GM0090,Smallingerland,56154,126.1945797,2020,NL_GM0090,TRUE
NL_GM0093,5.2446871720164845,53.37346998215404,NL,NL12,NL124,GM0093,Terschelling,4889,89.88577661,2020,NL_GM0093,TRUE
NL_GM0096,5.069165626515572,53.29708770127054,NL,NL12,NL124,GM0096,Vlieland,1152,42.86485937,2020,NL_GM0096,TRUE
NL_GM0098,6.013735434930594,52.874838894037566,NL,NL12,NL126,GM0098,Weststellingwerf,25916,228.26451293,2020,NL_GM0098,TRUE
NL_GM0106,6.557073240544575,53.00493273259826,NL,NL13,NL131,GM0106,Assen,68606,83.43806213,2020,NL_GM0106,TRUE
NL_GM0109,6.746036297932238,52.692609199839275,NL,NL13,NL132,GM0109,Coevorden,35296,299.60145978,2020,NL_GM0109,TRUE
NL_GM0114,6.923561017550681,52.76349663144349,NL,NL13,NL132,GM0114,Emmen,107055,346.19515511,2020,NL_GM0114,TRUE
