gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,pop_weighted
SI_001,13.907802780465603,45.88741420614123,SI,SI04,SI043,001,Ajdovščina,19418,245.22481222,2020,SI_001,TRUE
SI_002,16.229687762898475,46.60856419048321,SI,SI03,SI031,002,Beltinci,8059,62.2297582,2020,SI_002,TRUE
SI_003,14.114045640441601,46.367094161619086,SI,SI04,SI042,003,Bled,7868,72.29728933,2020,SI_003,TRUE
SI_004,13.944012068172558,46.27857179328845,SI,SI04,SI042,004,Bohinj,5145,333.76712726,2020,SI_004,TRUE
SI_005,14.361360101346273,45.92321998243095,SI,SI04,SI041,005,Borovnica,4579,42.32903884,2020,SI_005,TRUE
SI_006,13.545307930304297,46.333379474069105,SI,SI04,SI043,006,Bovec,3073,367.28340285,2020,SI_006,TRUE
SI_007,13.54462875875332,45.9970646744316,SI,SI04,SI043,007,Brda,5619,71.96947784,2020,SI_007,TRUE
SI_008,14.413449203882209,46.000755402493255,SI,SI04,SI041,008,Brezovica,12671,91.1813546,2020,SI_008,TRUE
SI_009,15.60413165010243,45.90567669769042,SI,SI03,SI036,009,Brežice,24051,267.89195694,2020,SI_009,TRUE
SI_010,16.086931007817938,46.65594114668967,SI,SI03,SI031,010,Tišina,3970,38.81076839,2020,SI_010,TRUE
SI_011,15.262235913683,46.24130840918795,SI,SI03,SI034,011,Celje,49540,94.93270924,2020,SI_011,TRUE
SI_012,14.49070313326901,46.24877786143837,SI,SI04,SI042,012,Cerklje na Gorenjskem,7769,78.05325332,2020,SI_012,TRUE
SI_013,14.357030943277362,45.798218098827626,SI,SI03,SI038,013,Cerknica,11580,241.01221381,2020,SI_013,TRUE
SI_014,13.98776547222015,46.12790231600646,SI,SI04,SI043,014,Cerkno,4547,131.61291213,2020,SI_014,TRUE
SI_015,16.290502845739045,46.5632315455875,SI,SI03,SI031,015,Črenšovci,3968,33.69491652,2020,SI_015,TRUE
SI_016,14.849550714490388,46.47174180548768,SI,SI03,SI033,016,Črna na Koroškem,3285,155.95809736,2020,SI_016,TRUE
SI_017,15.191876861584495,45.57265110722779,SI,SI03,SI037,017,Črnomelj,14241,339.15344397,2020,SI_017,TRUE
SI_018,15.876935579317719,46.48604650989528,SI,SI03,SI032,018,Destrnik,2643,34.36104165,2020,SI_018,TRUE
SI_019,13.98565825054642,45.68717973063626,SI,SI04,SI044,019,Divača,4213,145.05529301,2020,SI_019,TRUE
SI_020,14.697820564241484,45.84330366108816,SI,SI04,SI041,020,Dobrepolje,3878,103.17690663,2020,SI_020,TRUE
