gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
CH_CH0001,8.487911248382684,47.26831008261677,CH,CH04,CH040,CH0001,Aeugst am Albis,1941,7.88800853,2019,CH_CH0001,official,TRUE
CH_CH0002,8.44968216747179,47.27928812669917,CH,CH04,CH040,CH0002,Affoltern am Albis,12146,10.59189006,2019,CH_CH0002,official,TRUE
CH_CH0003,8.471969770037692,47.31946901139976,CH,CH04,CH040,CH0003,Bonstetten,5512,7.44205791,2019,CH_CH0003,official,TRUE
CH_CH0004,8.53115973751981,47.244246945515016,CH,CH04,CH040,CH0004,Hausen am Albis,3664,13.66417444,2019,CH_CH0004,official,TRUE
CH_CH0005,8.447449581096238,47.29867521828188,CH,CH04,CH040,CH0005,Hedingen,3694,6.53856425,2019,CH_CH0005,official,TRUE
CH_CH0006,8.51924522392209,47.225501036449984,CH,CH04,CH040,CH0006,Kappel am Albis,1125,7.84597378,2019,CH_CH0006,official,TRUE
CH_CH0007,8.462828516457337,47.22373159167046,CH,CH04,CH040,CH0007,Knonau,2305,6.55546373,2019,CH_CH0007,official,TRUE
CH_CH0008,8.424544037295977,47.235648382119166,CH,CH04,CH040,CH0008,Maschwanden,641,4.57798319,2019,CH_CH0008,official,TRUE
CH_CH0009,8.46215048840739,47.24536673794253,CH,CH04,CH040,CH0009,Mettmenstetten,4886,12.92005059,2019,CH_CH0009,official,TRUE
CH_CH0010,8.421378353986706,47.26303535509095,CH,CH04,CH040,CH0010,Obfelden,5356,7.53779886,2019,CH_CH0010,official,TRUE
CH_CH0011,8.408363723594867,47.280325993080815,CH,CH04,CH040,CH0011,Ottenbach,2569,4.98643506,2019,CH_CH0011,official,TRUE
CH_CH0012,8.491155227666605,47.24508566557882,CH,CH04,CH040,CH0012,Rifferswil,1103,6.53826064,2019,CH_CH0012,official,TRUE
CH_CH0013,8.483965926713136,47.34061584646256,CH,CH04,CH040,CH0013,Stallikon,3717,12.0139763,2019,CH_CH0013,official,TRUE
CH_CH0014,8.472957603293391,47.334691265249546,CH,CH04,CH040,CH0014,Wettswil am Albis,5112,3.74843894,2019,CH_CH0014,official,TRUE
CH_CH0021,8.697869006449075,47.581971985424794,CH,CH04,CH040,CH0021,Adlikon,665,6.70571298,2019,CH_CH0021,official,TRUE
CH_CH0022,8.650328182365742,47.65282676751921,CH,CH04,CH040,CH0022,Benken (ZH),858,5.5912747,2019,CH_CH0022,official,TRUE
CH_CH0023,8.600293461225414,47.569303978141264,CH,CH04,CH040,CH0023,Berg am Irchel,564,6.9874933,2019,CH_CH0023,official,TRUE
CH_CH0024,8.622834491871995,47.551136817848615,CH,CH04,CH040,CH0024,Buch am Irchel,971,10.15150113,2019,CH_CH0024,official,TRUE
CH_CH0025,8.620119525235454,47.663068728450696,CH,CH04,CH040,CH0025,Dachsen,1936,2.73496694,2019,CH_CH0025,official,TRUE
CH_CH0026,8.651771235043832,47.571809064425615,CH,CH04,CH040,CH0026,Dorf,687,5.55450149,2019,CH_CH0026,official,TRUE
CH_CH0027,8.648942423247826,47.688592735007894,CH,CH04,CH040,CH0027,Feuerthalen,3641,2.58346319,2019,CH_CH0027,official,TRUE
CH_CH0028,8.60699923886589,47.575582617699624,CH,CH04,CH040,CH0028,Flaach,1390,10.08830909,2019,CH_CH0028,official,TRUE
CH_CH0029,8.626156472515607,47.68445346427359,CH,CH04,CH040,CH0029,Flurlingen,1440,2.4103743,2019,CH_CH0029,official,TRUE
CH_CH0030,8.678183379268708,47.5928532257048,CH,CH04,CH040,CH0030,Andelfingen,2208,6.56952104,2019,CH_CH0030,official,TRUE
CH_CH0031,8.679466268621105,47.56313420036878,CH,CH04,CH040,CH0031,Henggart,2268,3.10585123,2019,CH_CH0031,official,TRUE
CH_CH0032,8.666504874864236,47.57452237297572,CH,CH04,CH040,CH0032,Humlikon,486,3.64811449,2019,CH_CH0032,official,TRUE
