gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
CY_1000,33.372015715629615,35.17203450165425,CY,CY00,CY000,1000,Λευκωσία,55014,50.25372764,2015,CY_1000,official,TRUE
CY_1010,33.331541745412444,35.17403149025523,CY,CY00,CY000,1010,Άγιος Δομέτιος,12456,12.08109316,2015,CY_1010,official,TRUE
CY_1011,33.31737787151664,35.15575168147112,CY,CY00,CY000,1011,Έγκωμη Λευκωσίας,18010,9.49047015,2015,CY_1011,official,TRUE
CY_1012,33.346992867179175,35.13836059137988,CY,CY00,CY000,1012,Στρόβολος,67904,25.29860144,2015,CY_1012,official,TRUE
CY_1013,33.393358517821625,35.152654181326994,CY,CY00,CY000,1013,Αγλαντζιά ή Αγλαγγιά,20783,31.61156714,2015,CY_1013,official,TRUE
CY_1014,33.33321969429381,35.207432321492384,CY,CY00,CY000,1014,Ορτάκιοϊ (Μιντζέλι),0,7.56384279,2015,CY_1014,official,FALSE
CY_1015,33.35093189647876,35.209277620983755,CY,CY00,CY000,1015,Τράχωνας,0,6.21237571,2015,CY_1015,official,FALSE
CY_1021,33.30488915392169,35.117288380686226,CY,CY00,CY000,1021,Λακατάμεια,38345,27.4379175,2015,CY_1021,official,TRUE
CY_1022,33.290417112395566,35.105580432313204,CY,CY00,CY000,1022,Συνοικισμός Ανθούπολης,1756,0.4419272,2015,CY_1022,official,TRUE
CY_1023,33.38111012873226,35.105946713460106,CY,CY00,CY000,1023,Λατσιά ή Λακκιά,16774,16.55660916,2015,CY_1023,official,TRUE
CY_1024,33.41211150398238,35.106060455739524,CY,CY00,CY000,1024,Γέρι,8235,32.97320597,2015,CY_1024,official,TRUE
CY_1100,33.39237023926616,34.95191932008197,CY,CY00,CY000,1100,Σιά,754,17.34662753,2015,CY_1100,official,TRUE
CY_1101,33.332991023253506,34.96413575309112,CY,CY00,CY000,1101,Μαθιάτης,646,21.34473152,2015,CY_1101,official,TRUE
CY_1102,33.39969995103798,34.99252447661549,CY,CY00,CY000,1102,Αλάμπρα,1585,16.52483682,2015,CY_1102,official,TRUE
CY_1103,33.369243554344564,34.994998995044156,CY,CY00,CY000,1103,Αγία Βαρβάρα Λευκωσίας,2204,24.1942215,2015,CY_1103,official,TRUE
CY_1104,33.34827317582745,35.0109148127109,CY,CY00,CY000,1104,Κοτσιάτης,160,5.05320419,2015,CY_1104,official,TRUE
CY_1105,33.3969355139636,35.01722907642388,CY,CY00,CY000,1105,Νήσου,2179,9.57346293,2015,CY_1105,official,TRUE
CY_1106,33.39406879185962,35.01376672541995,CY,CY00,CY000,1106,Πέρα Χωριό,2637,8.6793798,2015,CY_1106,official,TRUE
CY_1107,33.40775747119705,35.04439778126823,CY,CY00,CY000,1107,Δάλι,10466,31.02362675,2015,CY_1107,official,TRUE
CY_1108,33.46152925636761,34.998365419276915,CY,CY00,CY000,1108,Λύμπια,2694,23.93532337,2015,CY_1108,official,TRUE
CY_1109,33.2947345852558,34.9498959552322,CY,CY00,CY000,1109,Λυθροδόντας,3043,42.00999845,2015,CY_1109,official,TRUE
CY_1110,33.46901656190625,35.006038904668785,CY,CY00,CY000,1110,Λουρουκίνα,11,28.63046314,2015,CY_1110,official,TRUE
CY_1120,33.445284014034605,35.04037616009239,CY,CY00,CY000,1120,Ποταμιά,505,10.91366884,2015,CY_1120,official,TRUE
CY_1121,33.42777781380521,35.07660198723436,CY,CY00,CY000,1121,'Αγιος Σωζόμενος,11,10.69612969,2015,CY_1121,official,TRUE
CY_1122,33.48223062940212,35.08079483396102,CY,CY00,CY000,1122,Πυρόγι,0,9.08016959,2015,CY_1122,official,FALSE
CY_1123,33.46144817704265,35.111150989867646,CY,CY00,CY000,1123,Μαργό,0,17.21197799,2015,CY_1123,official,TRUE
CY_1124,33.565386956012986,35.11123212207104,CY,CY00,CY000,1124,Αγιά (Aγιά Κεπίρ),0,16.15267394,2015,CY_1124,official,FALSE
CY_1125,33.50932018034882,35.13610991030375,CY,CY00,CY000,1125,Τύμβου,0,27.66239026,2015,CY_1125,official,FALSE
CY_1130,33.53829491357145,35.171187295344836,CY,CY00,CY000,1130,Μόρα,0,20.62237097,2015,CY_1130,official,FALSE
CY_1131,33.41267082863922,35.20318604025956,CY,CY00,CY000,1131,Μια Μηλιά,0,17.33569346,2015,CY_1131,official,TRUE
CY_1132,33.36965994938217,35.226857814885804,CY,CY00,CY000,1132,Μάνδρες Λευκωσίας,0,17.69218408,2015,CY_1132,official,FALSE
CY_1133,33.49105183153699,35.18624363975153,CY,CY00,CY000,1133,Παλαίκυθρο,0,20.36599254,2015,CY_1133,official,FALSE
CY_1134,33.53654803599526,35.20541413112349,CY,CY00,CY000,1134,'Εξω Μετόχι,0,12.67239686,2015,CY_1134,official,FALSE
CY_1135,33.521317808023234,35.23319048069718,CY,CY00,CY000,1135,Επιχό,0,12.47781254,2015,CY_1135,official,FALSE
CY_1136,33.5036257090303,35.21770918863496,CY,CY00,CY000,1136,Βώνη,0,4.66781833,2015,CY_1136,official,FALSE
