gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
ES_01001,-2.5108399244118056,42.84130393185476,ES,ES21,ES211,01001,Alegría-Dulantzi,2935,19.94546187,2020,ES_01001,official,TRUE
ES_01002,-3.0020909842752954,43.0507698634837,ES,ES21,ES211,01002,Amurrio,10264,96.33036404,2020,ES_01002,official,TRUE
ES_01003,-2.567791517662571,43.04947783498552,ES,ES21,ES211,01003,Aramaio,1442,73.27197427,2020,ES_01003,official,TRUE
ES_01004,-3.132044563632339,43.123889643387066,ES,ES21,ES211,01004,Artziniega,1800,27.30627457,2020,ES_01004,official,TRUE
ES_01006,-2.8627145063063044,42.72617958486544,ES,ES21,ES211,01006,Armiñón,223,12.93877582,2020,ES_01006,official,TRUE
ES_01008,-2.6215796965598437,42.88338787553426,ES,ES21,ES211,01008,Arratzua-Ubarrundia,984,57.56549867,2020,ES_01008,official,TRUE
ES_01009,-2.311391921114053,42.88929247515633,ES,ES21,ES211,01009,Asparrena,1623,65.34921666,2020,ES_01009,official,TRUE
ES_01010,-3.008697416498367,43.09231036571336,ES,ES21,ES211,01010,Ayala / Aiara,2968,140.74912492,2020,ES_01010,official,TRUE
ES_01011,-2.6799092120083943,42.53338937762844,ES,ES21,ES211,01011,Baños de Ebro / Mañueta,294,9.45333049,2020,ES_01011,official,TRUE
ES_01013,-2.496400682421585,42.90720054007352,ES,ES21,ES211,01013,Barrundia,881,97.38054349,2020,ES_01013,official,TRUE
ES_01014,-2.860387950733428,42.68436708923138,ES,ES21,ES211,01014,Berantevilla,463,35.69752947,2020,ES_01014,official,TRUE
ES_01016,-2.5170542975693437,42.6469141547482,ES,ES21,ES211,01016,Bernedo,507,130.44503099,2020,ES_01016,official,TRUE
ES_01017,-2.350787880616502,42.668259990416836,ES,ES21,ES211,01017,Campezo / Kanpezu,1034,85.39469663,2020,ES_01017,official,TRUE
ES_01018,-2.727952533659105,42.94899373942961,ES,ES21,ES211,01018,Zigoitia,1749,102.08117206,2020,ES_01018,official,TRUE
ES_01019,-2.5193431366411896,42.59031571775127,ES,ES21,ES211,01019,Kripan,178,12.50537513,2020,ES_01019,official,TRUE
ES_01020,-2.9124945530722464,42.87779555975594,ES,ES21,ES211,01020,Kuartango,385,84.09053203,2020,ES_01020,official,TRUE
ES_01021,-2.5476652682656535,42.86063901292931,ES,ES21,ES211,01021,Elburgo / Burgelu,608,32.09269743,2020,ES_01021,official,TRUE
ES_01022,-2.6274504028761063,42.50381128163846,ES,ES21,ES211,01022,Elciego,1001,16.32074418,2020,ES_01022,official,TRUE
ES_01023,-2.539638721434056,42.569537759021784,ES,ES21,ES211,01023,Elvillar / Bilar,330,17.50926608,2020,ES_01023,official,TRUE
ES_01027,-2.442047473120286,42.83543914937522,ES,ES21,ES211,01027,Iruraiz-Gauna,532,47.15452441,2020,ES_01027,official,TRUE
ES_01028,-2.8009195999244563,42.58982673010564,ES,ES21,ES211,01028,Labastida / Bastida,1517,38.20961467,2020,ES_01028,official,TRUE
ES_01030,-2.5886887630192876,42.62577221059024,ES,ES21,ES211,01030,Lagrán,162,45.60557779,2020,ES_01030,official,TRUE
ES_01031,-2.585788036789016,42.554635747828065,ES,ES21,ES211,01031,Laguardia,1454,80.90857368,2020,ES_01031,official,TRUE
ES_01032,-2.513526412016916,42.56361173888482,ES,ES21,ES211,01032,Lanciego / Lantziego,709,24.24339886,2020,ES_01032,official,TRUE
ES_01033,-2.5726969339333947,42.49240805462528,ES,ES21,ES211,01033,Lapuebla de Labarca,865,5.99835086,2020,ES_01033,official,TRUE
ES_01034,-2.6376352114763533,42.566414975814304,ES,ES21,ES211,01034,Leza,211,9.93131729,2020,ES_01034,official,TRUE
ES_01036,-2.962360163094059,43.144122177946,ES,ES21,ES211,01036,Laudio / Llodio,18118,37.55367395,2020,ES_01036,official,TRUE
ES_01037,-2.44430893144188,42.739136554720105,ES,ES21,ES211,01037,Arraia-Maeztu,733,123.06559826,2020,ES_01037,official,TRUE
ES_01039,-2.406470774507906,42.52254607994779,ES,ES21,ES211,01039,Moreda de Álava / Moreda Araba,211,8.6511729,2020,ES_01039,official,TRUE
ES_01041,-2.621108301178234,42.54668565151451,ES,ES21,ES211,01041,Navaridas,194,8.91428117,2020,ES_01041,official,TRUE
