gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
FI_005,23.815102791100067,62.99128513480498,FI,FI19,FI194,005,Alajärvi,9899,1056.57355023,2018,FI_005,official,TRUE
FI_009,24.30779628164925,64.16821058858112,FI,FI1D,FI1D9,009,Alavieska,2639,254.16438905,2018,FI_009,official,TRUE
FI_010,23.638739662211567,62.59490026398887,FI,FI19,FI194,010,Alavus,11907,1151.97672376,2018,FI_010,official,TRUE
FI_016,25.554830786199208,61.169302258121526,FI,FI1C,FI1C3,016,Asikkala,8323,755.1899077,2018,FI_016,official,TRUE
FI_018,25.563941522178396,60.50802430796034,FI,FI1B,FI1B1,018,Askola,5046,218.11008827,2018,FI_018,official,TRUE
FI_019,22.58154067607496,60.64595912320309,FI,FI1C,FI1C1,019,Aura,3984,95.49901144,2018,FI_019,official,TRUE
FI_020,23.83223355854275,61.180555245550025,FI,FI19,FI197,020,Akaa,16923,314.20956473,2018,FI_020,official,TRUE
FI_035,21.046395549141643,60.41453652143505,FI,FI20,FI200,035,Brändö,471,69.65780926,2018,FI_035,official,TRUE
FI_043,19.568423103987733,60.21982352136862,FI,FI20,FI200,043,Eckerö,928,104.94317376,2018,FI_043,official,TRUE
FI_046,28.92160735517395,62.08851677138269,FI,FI1D,FI1D1,046,Enonkoski,1453,419.29997966,2018,FI_046,official,TRUE
FI_047,23.202184688065802,68.45608449823176,FI,FI1D,FI1D7,047,Enontekiö,1872,8391.27120328,2018,FI_047,official,TRUE
FI_049,24.732512795869678,60.18773827039436,FI,FI1B,FI1B1,049,Espoo,274583,324.26504383,2018,FI_049,official,TRUE
FI_050,22.139338265491954,61.129229242904806,FI,FI19,FI196,050,Eura,12004,630.442101,2018,FI_050,official,TRUE
FI_051,21.70273885092864,61.249782458391046,FI,FI19,FI196,051,Eurajoki,9418,512.34447717,2018,FI_051,official,TRUE
FI_052,23.468524851106732,63.36880497160209,FI,FI19,FI194,052,Evijärvi,2535,388.69970574,2018,FI_052,official,TRUE
FI_060,19.976638993610976,60.233225994360936,FI,FI20,FI200,060,Finström,2594,128.18544364,2018,FI_060,official,TRUE
FI_061,23.623060499159337,60.8139375206884,FI,FI1C,FI1C2,061,Forssa,17332,253.34583945,2018,FI_061,official,TRUE
FI_062,20.416397796969505,60.02925750929553,FI,FI20,FI200,062,Föglö,561,107.04122106,2018,FI_062,official,TRUE
FI_065,19.848533619415843,60.36941246484784,FI,FI20,FI200,065,Geta,499,84.13546733,2018,FI_065,official,TRUE
FI_069,25.323504615428178,63.75382162627621,FI,FI1D,FI1D9,069,Haapajärvi,7332,789.86544069,2018,FI_069,official,TRUE
FI_071,25.365705148277385,64.1392597299016,FI,FI1D,FI1D9,071,Haapavesi,7098,1085.4010534,2018,FI_071,official,TRUE
FI_072,24.731570993527143,65.01622152523606,FI,FI1D,FI1D9,072,Hailuoto,994,201.65464122,2018,FI_072,official,TRUE
FI_074,24.17841262048185,63.45348959795463,FI,FI1D,FI1D5,074,Halsua,1219,428.68238812,2018,FI_074,official,TRUE
FI_075,27.173082130652137,60.57295248900917,FI,FI1C,FI1C4,075,Hamina,20636,624.41924467,2018,FI_075,official,TRUE
FI_076,19.736391909641117,60.217034735301404,FI,FI20,FI200,076,Hammarland,1508,132.51651856,2018,FI_076,official,TRUE
FI_077,26.444028547857414,62.35289392419326,FI,FI19,FI193,077,Hankasalmi,5159,687.55889804,2018,FI_077,official,TRUE
FI_078,22.96928052429135,59.83378399335617,FI,FI1B,FI1B1,078,Hanko,8663,108.90655382999999,2018,FI_078,official,TRUE
FI_079,22.147940345442944,61.316531457368384,FI,FI19,FI196,079,Harjavalta,7240,127.74683107,2018,FI_079,official,TRUE
FI_081,26.020622947298776,61.57908288099304,FI,FI1C,FI1C3,081,Hartola,2924,675.50143334,2018,FI_081,official,TRUE
FI_082,24.37571401201463,61.055893488119644,FI,FI1C,FI1C2,082,Hattula,9682,425.68484047,2018,FI_082,official,TRUE
FI_086,24.876236075873273,60.791121816801365,FI,FI1C,FI1C2,086,Hausjärvi,8641,398.73683809,2018,FI_086,official,TRUE
FI_090,28.63687653418443,62.4246654742793,FI,FI1D,FI1D1,090,Heinävesi,3514,1318.99571772,2018,FI_090,official,TRUE
FI_091,24.973588002365258,60.20387317430847,FI,FI1B,FI1B1,091,Helsinki,635181,208.41141039,2018,FI_091,official,TRUE
FI_092,24.98798587804068,60.29386730379414,FI,FI1B,FI1B1,092,Vantaa,219341,240.40281959,2018,FI_092,official,TRUE
FI_097,26.777507205083367,61.64652722919994,FI,FI1D,FI1D1,097,Hirvensalmi,2274,746.66655976,2018,FI_097,official,TRUE
FI_098,25.51527318913041,60.991170415897585,FI,FI1C,FI1C3,098,Hollola,23791,727.98637531,2018,FI_098,official,TRUE
FI_099,22.26986042840917,61.99483167765504,FI,FI19,FI196,099,Honkajoki,1759,334.49054265,2018,FI_099,official,TRUE
FI_102,22.703172743702577,61.17845671376415,FI,FI19,FI196,102,Huittinen,10403,538.97432269,2018,FI_102,official,TRUE
FI_103,23.368852428765166,60.925888352485046,FI,FI1C,FI1C2,103,Humppila,2345,148.55286164,2018,FI_103,official,TRUE
FI_105,28.48422251341588,64.6766067852745,FI,FI1D,FI1D8,105,Hyrynsalmi,2406,1522.14591236,2018,FI_105,official,TRUE
FI_106,24.85828689909738,60.627105256561414,FI,FI1B,FI1B1,106,Hyvinkää,46596,336.72786495,2018,FI_106,official,TRUE
FI_108,23.18913447236107,61.65635841103886,FI,FI19,FI197,108,Hämeenkyrö,10681,504.66373042,2018,FI_108,official,TRUE
FI_109,24.46079823650441,60.99718917026512,FI,FI1C,FI1C2,109,Hämeenlinna,67850,2034.29105935,2018,FI_109,official,TRUE
FI_111,26.034507795407965,61.204373855696666,FI,FI1C,FI1C3,111,Heinola,19350,839.75144847,2018,FI_111,official,TRUE
FI_139,25.365541188826757,65.3388232848654,FI,FI1D,FI1D9,139,Ii,9628,1660.5620356,2018,FI_139,official,TRUE
FI_140,27.201523789948638,63.56139804557979,FI,FI1D,FI1D2,140,Iisalmi,21767,872.66724574,2018,FI_140,official,TRUE
FI_142,26.341605912843693,60.891158376405066,FI,FI1C,FI1C4,142,Iitti,6889,686.87903058,2018,FI_142,official,TRUE
FI_143,23.070227940364735,61.76871019627134,FI,FI19,FI197,143,Ikaalinen,7128,843.68196967,2018,FI_143,official,TRUE
FI_145,22.596821220785294,62.73741575216273,FI,FI19,FI194,145,Ilmajoki,12167,579.40207184,2018,FI_145,official,TRUE
FI_146,30.92841923425288,62.671179446743245,FI,FI1D,FI1D3,146,Ilomantsi,5237,3172.55561958,2018,FI_146,official,TRUE
FI_148,27.501503242580828,68.66960337436139,FI,FI1D,FI1D7,148,Inari,6825,17331.39749708,2018,FI_148,official,TRUE
FI_149,24.014542969990746,60.051718975387345,FI,FI1B,FI1B1,149,Inkoo,5585,337.64638879,2018,FI_149,official,TRUE
FI_151,21.946835335510634,62.11904978889617,FI,FI19,FI194,151,Isojoki,2079,647.6022531,2018,FI_151,official,TRUE
FI_152,22.29674372586491,62.99660370568328,FI,FI19,FI195,152,Isokyrö,4712,356.94491916,2018,FI_152,official,TRUE
FI_153,28.784721589925326,61.186594602489656,FI,FI1C,FI1C5,153,Imatra,27517,191.19467318,2018,FI_153,official,TRUE
FI_165,24.646499306455357,60.89647145801539,FI,FI1C,FI1C2,165,Janakkala,16709,585.68561053,2018,FI_165,official,TRUE
FI_167,29.77868041903598,62.604516486653296,FI,FI1D,FI1D3,167,Joensuu,75848,2752.32418977,2018,FI_167,official,TRUE
FI_169,23.489850731486822,60.80056083337063,FI,FI1C,FI1C2,169,Jokioinen,5341,181.86980998,2018,FI_169,official,TRUE
FI_170,19.946860094575314,60.13599623890245,FI,FI20,FI200,170,Jomala,4757,140.34410797,2018,FI_170,official,TRUE
FI_171,27.832383360637063,62.195086428079506,FI,FI1D,FI1D1,171,Joroinen,5039,711.897743,2018,FI_171,official,TRUE
FI_172,26.11569509240501,61.75520355171799,FI,FI19,FI193,172,Joutsa,4673,1065.74027245,2018,FI_172,official,TRUE
FI_176,29.251098280259782,63.23906635117877,FI,FI1D,FI1D3,176,Juuka,4938,1847.14960408,2018,FI_176,official,TRUE
FI_177,24.387437657153193,61.79930500810705,FI,FI19,FI197,177,Juupajoki,1957,274.95940634,2018,FI_177,official,TRUE
FI_178,27.85689574590321,61.89768158037981,FI,FI1D,FI1D1,178,Juva,6421,1345.5068051,2018,FI_178,official,TRUE
FI_179,25.749106769164737,62.24556097240002,FI,FI19,FI193,179,Jyväskylä,138850,1465.43450515,2018,FI_179,official,TRUE
FI_181,22.686272512279682,61.82323978703948,FI,FI19,FI196,181,Jämijärvi,1915,224.498474,2018,FI_181,official,TRUE
FI_182,25.17892970647256,61.880565028016385,FI,FI19,FI193,182,Jämsä,21259,1823.35946283,2018,FI_182,official,TRUE
FI_186,25.09261600585061,60.47779429735556,FI,FI1B,FI1B1,186,Järvenpää,41529,40.13338123,2018,FI_186,official,TRUE
FI_202,22.370220116737684,60.41705826202721,FI,FI1C,FI1C1,202,Kaarina,32738,150.7087364,2018,FI_202,official,TRUE
FI_204,28.48245755084428,62.97495114809693,FI,FI1D,FI1D2,204,Kaavi,3154,789.33588943,2018,FI_204,official,TRUE
FI_205,27.73200246866692,64.22165919933025,FI,FI1D,FI1D8,205,Kajaani,37521,2263.33920924,2018,FI_205,official,TRUE
FI_208,23.924940456099865,64.2320487970354,FI,FI1D,FI1D9,208,Kalajoki,12586,923.64850336,2018,FI_208,official,TRUE
FI_211,24.0198647935094,61.474487106824945,FI,FI19,FI197,211,Kangasala,31190,870.95520251,2018,FI_211,official,TRUE
FI_213,26.64350910587605,61.985823562401436,FI,FI1D,FI1D1,213,Kangasniemi,5603,1326.89872723,2018,FI_213,official,TRUE
FI_214,22.389348543597215,61.803395009955146,FI,FI19,FI196,214,Kankaanpää,11637,704.46946743,2018,FI_214,official,TRUE
FI_216,25.264075153591442,62.975166338016116,FI,FI19,FI193,216,Kannonkoski,1424,550.09494416,2018,FI_216,official,TRUE
FI_217,23.926881220097314,63.89625131226095,FI,FI1D,FI1D5,217,Kannus,5578,470.45078939,2018,FI_217,official,TRUE
FI_218,21.688976100400485,62.314420621566036,FI,FI19,FI194,218,Karijoki,1349,186.4166787,2018,FI_218,official,TRUE
FI_224,24.217738409692718,60.533474802407554,FI,FI1B,FI1B1,224,Karkkila,8911,255.24058518,2018,FI_224,official,TRUE
FI_226,24.809419528074063,62.878900206049146,FI,FI19,FI193,226,Karstula,4232,963.05213843,2018,FI_226,official,TRUE
FI_230,22.57426585992691,62.14153010576038,FI,FI19,FI196,230,Karvia,2449,520.0158416,2018,FI_230,official,TRUE
FI_231,21.227638907518887,62.382849072094416,FI,FI19,FI195,231,Kaskinen,1296,9.39145226,2018,FI_231,official,TRUE
FI_232,22.173708064946773,62.426768086385884,FI,FI19,FI194,232,Kauhajoki,13772,1314.29380644,2018,FI_232,official,TRUE
FI_233,22.9880026370766,63.13678021277227,FI,FI19,FI194,233,Kauhava,16599,1326.80012503,2018,FI_233,official,TRUE
FI_235,24.71126573708754,60.21264690734489,FI,FI1B,FI1B1,235,Kauniainen,9397,6.1002135,2018,FI_235,official,TRUE
FI_236,23.701763891869685,63.55466356224569,FI,FI1D,FI1D5,236,Kaustinen,4298,362.32939642,2018,FI_236,official,TRUE
FI_239,26.347138346612436,63.177872244631324,FI,FI1D,FI1D2,239,Keitele,2346,578.50347557,2018,FI_239,official,TRUE
FI_240,24.58534316176976,65.73749698992489,FI,FI1D,FI1D7,240,Kemi,21602,98.98262112,2018,FI_240,official,TRUE
FI_241,24.53321153903136,65.80110533216902,FI,FI1D,FI1D7,241,Keminmaa,8316,647.03257321,2018,FI_241,official,TRUE
FI_244,25.521458914825,64.91261043359414,FI,FI1D,FI1D9,244,Kempele,17297,110.58940847,2018,FI_244,official,TRUE
FI_245,25.10150788233524,60.40397856764496,FI,FI1B,FI1B1,245,Kerava,35511,31.10794427,2018,FI_245,official,TRUE
FI_249,24.698025133715767,62.26134066765407,FI,FI19,FI193,249,Keuruu,9992,1430.26005509,2018,FI_249,official,TRUE
FI_250,23.177120380303986,62.20131494961206,FI,FI19,FI197,250,Kihniö,1994,390.42534073,2018,FI_250,official,TRUE
FI_256,24.974885197013247,63.36344309129708,FI,FI19,FI193,256,Kinnula,1699,495.40391563,2018,FI_256,official,TRUE
FI_257,24.45834243558523,60.14650156336776,FI,FI1B,FI1B1,257,Kirkkonummi,39033,381.26307389,2018,FI_257,official,TRUE
FI_260,30.11353374199522,62.080744463177446,FI,FI1D,FI1D3,260,Kitee,10719,1723.65507446,2018,FI_260,official,TRUE
FI_261,24.89519863607111,67.67262195398776,FI,FI1D,FI1D7,261,Kittilä,6383,8261.60128524,2018,FI_261,official,TRUE
FI_263,26.61659016606948,63.649165616898294,FI,FI1D,FI1D2,263,Kiuruvesi,8444,1422.89247239,2018,FI_263,official,TRUE
FI_265,25.07982948036616,63.12357151613291,FI,FI19,FI193,265,Kivijärvi,1161,600.22740237,2018,FI_265,official,TRUE
FI_271,22.34190113547519,61.260969971677035,FI,FI19,FI196,271,Kokemäki,7498,530.63991129,2018,FI_271,official,TRUE
FI_272,23.138188151864412,63.84005168636286,FI,FI1D,FI1D5,272,Kokkola,47723,1471.72695773,2018,FI_272,official,TRUE
