gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
HU_01508,19.230730608672474,48.04942813116496,HU,HU31,HU313,01508,Ipolyszög,539,6.06885767,2020,HU_01508,official,TRUE
HU_01526,19.82147956148604,48.15403208443659,HU,HU31,HU313,01526,Somoskőújfalu,2076,10.15519357,2020,HU_01526,official,TRUE
HU_02015,18.833749897134034,47.27439386793773,HU,HU21,HU211,02015,Ráckeresztúr,3490,35.31581608,2020,HU_02015,official,TRUE
HU_02024,20.769928232884546,48.47026126650498,HU,HU31,HU311,02024,Martonyi,339,17.55695336,2020,HU_02024,official,TRUE
HU_02033,18.592084646531394,46.34783421114734,HU,HU23,HU233,02033,Kakasd,1610,20.8000727,2020,HU_02033,official,TRUE
HU_02042,16.458756961824882,47.23716554808159,HU,HU22,HU222,02042,Narda,488,10.34649654,2020,HU_02042,official,TRUE
HU_02051,17.267843061981157,46.59474177412973,HU,HU23,HU232,02051,Sávoly,442,26.84527078,2020,HU_02051,official,TRUE
HU_02060,17.829854586822062,47.73239482094867,HU,HU22,HU221,02060,Gönyű,3134,21.71383703,2020,HU_02060,official,TRUE
HU_02079,17.436416222701535,47.877340702168766,HU,HU22,HU221,02079,Dunaremete,250,4.36321755,2020,HU_02079,official,TRUE
HU_02088,22.61004386308011,48.00116279652599,HU,HU32,HU323,02088,Mánd,282,5.17503635,2020,HU_02088,official,TRUE
HU_02097,16.735362791560508,46.64106144762179,HU,HU22,HU223,02097,Gutorfölde,885,24.8496599,2020,HU_02097,official,TRUE
HU_02103,16.665712201372287,46.54689244959602,HU,HU22,HU223,02103,Maróc,59,5.16568858,2020,HU_02103,official,TRUE
HU_02121,20.708356558748783,46.32512963175654,HU,HU33,HU333,02121,Csanádalberti,430,15.30855128,2020,HU_02121,official,TRUE
HU_02130,17.188512798465737,46.97905978302409,HU,HU22,HU223,02130,Mihályfa,305,12.0823852,2020,HU_02130,official,TRUE
HU_02149,18.921844711597956,46.52595788948398,HU,HU33,HU331,02149,Foktő,1570,31.45823687,2020,HU_02149,official,TRUE
HU_02158,20.934920113883805,47.97569896110006,HU,HU31,HU311,02158,Muhi,461,9.62586706,2020,HU_02158,official,TRUE
HU_02167,21.493429951049333,47.00504134289488,HU,HU32,HU321,02167,Komádi,4980,144.5657426,2020,HU_02167,official,TRUE
HU_02185,17.92339957621519,46.977032087479856,HU,HU21,HU213,02185,Csopak,1919,24.00386781,2020,HU_02185,official,TRUE
HU_02194,17.874701427938692,47.05325474815089,HU,HU21,HU213,02194,Nemesvámos,2947,40.7762723,2020,HU_02194,official,TRUE
HU_02200,18.192767237384334,47.280294063062065,HU,HU21,HU211,02200,Isztimér,910,53.90801629,2020,HU_02200,official,TRUE
HU_02219,18.03862947957571,47.07178792229041,HU,HU21,HU213,02219,Balatonfűzfő,4469,9.25961975,2020,HU_02219,official,TRUE
HU_02228,18.373720268534093,46.11748497768461,HU,HU23,HU231,02228,Martonfa,211,5.68105077,2020,HU_02228,official,TRUE
HU_02237,17.21437070531799,47.44948422219775,HU,HU22,HU221,02237,Vág,437,14.03102104,2020,HU_02237,official,TRUE
HU_02246,16.77950450505607,47.27910297240064,HU,HU22,HU222,02246,Vát,688,23.28384787,2020,HU_02246,official,TRUE
HU_02264,18.13431145307791,46.30736755135003,HU,HU23,HU231,02264,Vásárosdombó,1031,11.73410514,2020,HU_02264,official,TRUE
HU_02273,21.316933371847586,48.524420122249964,HU,HU31,HU311,02273,Abaújvár,231,7.34352195,2020,HU_02273,official,TRUE
HU_02282,20.9916932090371,47.85825204608083,HU,HU31,HU311,02282,Hejőkürt,275,14.9060485,2020,HU_02282,official,TRUE
HU_02291,20.819603015125647,47.69281073038137,HU,HU31,HU311,02291,Tiszabábolna,322,32.71471014,2020,HU_02291,official,TRUE
HU_02307,21.27339930136024,47.356634216112745,HU,HU32,HU321,02307,Kaba,5533,94.99809898,2020,HU_02307,official,TRUE
HU_02316,18.750018107193434,47.4476298870625,HU,HU21,HU211,02316,Etyek,4191,53.28457236,2020,HU_02316,official,TRUE
HU_02325,22.08277329611176,47.99744908373112,HU,HU32,HU323,02325,Baktalórántháza,3940,35.2491953,2020,HU_02325,official,TRUE
HU_02343,18.278567108575967,47.265082078367335,HU,HU21,HU211,02343,Kincsesbánya,1377,10.86786163,2020,HU_02343,official,TRUE
HU_02352,21.02612228791845,46.590421094321954,HU,HU33,HU332,02352,Újkígyós,4884,54.92423386,2020,HU_02352,official,TRUE
