gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
IE_01310400,NA,NA,IE,IE05,IE052,01310400,Carlow,22650,62.43730984,2020,IE_01310400,geo,NA
IE_01310401,NA,NA,IE,IE05,IE052,01310401,Tullow,18652,415.21788037,2020,IE_01310401,geo,NA
IE_01310402,NA,NA,IE,IE05,IE052,01310402,Muinebeag,15630,418.80141557,2020,IE_01310402,geo,NA
IE_01320400,NA,NA,IE,IE04,IE041,01320400,Cavan-Belturbet,25959,679.82840611,2020,IE_01320400,geo,NA
IE_01320401,NA,NA,IE,IE04,IE041,01320401,Bailieborough-Cootehill,24415,646.1687013,2020,IE_01320401,geo,NA
IE_01320402,NA,NA,IE,IE04,IE041,01320402,Ballyjamesduff,25802,605.65308723,2020,IE_01320402,geo,NA
IE_01330400,NA,NA,IE,IE05,IE051,01330400,Ennistimon,16408,906.95247937,2020,IE_01330400,geo,NA
IE_01330401,NA,NA,IE,IE05,IE051,01330401,Killaloe,20108,967.31372641,2020,IE_01330401,geo,NA
IE_01330402,NA,NA,IE,IE05,IE051,01330402,Shannon,30397,213.16244735,2020,IE_01330402,geo,NA
IE_01330403,NA,NA,IE,IE05,IE051,01330403,Ennis,30910,169.76516476,2020,IE_01330403,geo,NA
IE_01330404,NA,NA,IE,IE05,IE051,01330404,Kilrush,20994,986.62409864,2020,IE_01330404,geo,NA
IE_01340400,NA,NA,IE,IE05,IE053,01340400,Kanturk,24935,924.89319135,2020,IE_01340400,geo,NA
IE_01340401,NA,NA,IE,IE05,IE053,01340401,Fermoy,36406,946.45165921,2020,IE_01340401,geo,NA
IE_01340402,NA,NA,IE,IE05,IE053,01340402,Midleton,45441,552.89425139,2020,IE_01340402,geo,NA
IE_01340403,NA,NA,IE,IE05,IE053,01340403,Carrigaline,35357,185.00065776,2020,IE_01340403,geo,NA
IE_01340404,NA,NA,IE,IE05,IE053,01340404,Cobh,33901,299.7495445,2020,IE_01340404,geo,NA
IE_01340405,NA,NA,IE,IE05,IE053,01340405,Bandon-Kinsale,37269,646.56969175,2020,IE_01340405,geo,NA
IE_01340406,NA,NA,IE,IE05,IE053,01340406,Bantry-West Cork,22424,1238.82380325,2020,IE_01340406,geo,NA
IE_01340407,NA,NA,IE,IE05,IE053,01340407,Skibbereen-West Cork,30281,759.03899301,2020,IE_01340407,geo,NA
IE_01340408,NA,NA,IE,IE05,IE053,01340408,Macroom,36844,1217.04717363,2020,IE_01340408,geo,NA
IE_01340409,NA,NA,IE,IE05,IE053,01340409,Mallow,29157,571.5678421,2020,IE_01340409,geo,NA
IE_01340410,NA,NA,IE,IE05,IE053,01340410,Cork City North West,40186,49.69921089,2020,IE_01340410,geo,NA
IE_01340411,NA,NA,IE,IE05,IE053,01340411,Cork City North East,42169,39.09782375,2020,IE_01340411,geo,NA
IE_01340412,NA,NA,IE,IE05,IE053,01340412,Cork City South East,42782,41.78930455,2020,IE_01340412,geo,NA
IE_01340413,NA,NA,IE,IE05,IE053,01340413,Cork City South Central,38667,7.23291596,2020,IE_01340413,geo,NA
