gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
IS_0000,-21.868419311510234,64.13049984544577,IS,IS00,IS001,0000,Reykjavíkurborg,NA,244.42257288,2020,IS_0000,official,TRUE
IS_1000,-21.87230857279208,64.10426100997401,IS,IS00,IS001,1000,Kópavogsbær,NA,109.8771872,2020,IS_1000,official,TRUE
IS_1100,-21.990355468513286,64.15289498198167,IS,IS00,IS001,1100,Seltjarnarnesbær,NA,2.08016527,2020,IS_1100,official,TRUE
IS_1300,-21.919679047009712,64.09079479152676,IS,IS00,IS001,1300,Garðabær,NA,45.5812442,2020,IS_1300,official,TRUE
IS_1400,-21.96020330429661,64.0613080115341,IS,IS00,IS001,1400,Hafnarfjarðarkaupstaður,NA,173.59742755,2020,IS_1400,official,TRUE
IS_1604,-21.70207709864942,64.16747289871526,IS,IS00,IS001,1604,Mosfellsbær,NA,186.06966387,2020,IS_1604,official,TRUE
IS_1606,-21.663546130019494,64.31265286871214,IS,IS00,IS001,1606,Kjósarhreppur,NA,284.0824418,2020,IS_1606,official,TRUE
IS_2000,-22.562143721809264,63.994973655863326,IS,IS00,IS002,2000,Reykjanesbær,NA,144.40137369,2020,IS_2000,official,TRUE
IS_2300,-22.439495369699202,63.843558900009675,IS,IS00,IS002,2300,Grindavíkurbær,NA,423.64710086,2020,IS_2300,official,TRUE
IS_2506,-22.378257818911088,63.97842082423987,IS,IS00,IS002,2506,Sveitarfélagið Vogar,NA,164.67080443,2020,IS_2506,official,TRUE
IS_2510,NA,NA,IS,IS00,IS002,2510,Suðurnesjabær,NA,82.31529037,2020,IS_2510,geo,NA
IS_3000,-22.05899126415705,64.31971408477976,IS,IS00,IS002,3000,Akraneskaupstaður,NA,8.57410249,2020,IS_3000,official,TRUE
IS_3506,-21.620555069457957,64.53471306066244,IS,IS00,IS002,3506,Skorradalshreppur,NA,215.87264613,2020,IS_3506,official,TRUE
IS_3511,-21.964147244761694,64.33402155909063,IS,IS00,IS002,3511,Hvalfjarðarsveit,NA,480.77636539,2020,IS_3511,official,TRUE
IS_3609,-21.858942854045694,64.57457239974434,IS,IS00,IS002,3609,Borgarbyggð,NA,4923.49214405,2020,IS_3609,official,TRUE
IS_3709,-23.268521693962715,64.92285514498845,IS,IS00,IS002,3709,Grundarfjarðarbær,NA,148.97445313,2020,IS_3709,official,TRUE
IS_3710,-22.732133176567036,65.01082926603874,IS,IS00,IS002,3710,Helgafellssveit,NA,241.47739033,2020,IS_3710,official,TRUE
IS_3711,-22.73114392832748,65.07179546593207,IS,IS00,IS002,3711,Stykkishólmsbær,NA,9.13792633,2020,IS_3711,official,TRUE
IS_3713,-22.585482488240135,64.86874399191444,IS,IS00,IS002,3713,Eyja- og Miklaholtshreppur,NA,383.39758811,2020,IS_3713,official,FALSE
IS_3714,-23.72944604739126,64.89356656614551,IS,IS00,IS002,3714,Snæfellsbær,NA,682.1422824,2020,IS_3714,official,TRUE
IS_3811,-21.72599689752901,65.05400240467546,IS,IS00,IS002,3811,Dalabyggð,NA,2415.06159218,2020,IS_3811,official,TRUE
IS_4100,-23.260998432198612,66.15658020678643,IS,IS00,IS002,4100,Bolungarvíkurkaupstaður,NA,108.04824258,2020,IS_4100,official,TRUE
IS_4200,-23.162861996333735,66.06824978809831,IS,IS00,IS002,4200,Ísafjarðarbær,NA,2381.62437811,2020,IS_4200,official,TRUE
IS_4502,-22.29764205098147,65.46969407335226,IS,IS00,IS002,4502,Reykhólahreppur,NA,1082.57025734,2020,IS_4502,official,TRUE
IS_4604,-23.82085931215557,65.62594960925851,IS,IS00,IS002,4604,Tálknafjarðarhreppur,NA,175.3997548,2020,IS_4604,official,TRUE
IS_4607,-23.970903789814084,65.59260014747255,IS,IS00,IS002,4607,Vesturbyggð,NA,1335.1716057,2020,IS_4607,official,TRUE
IS_4803,-22.99647124707085,66.02387247676917,IS,IS00,IS002,4803,Súðavíkurhreppur,NA,750.25031825,2020,IS_4803,official,TRUE
IS_4901,-21.537319224603365,66.04934985155712,IS,IS00,IS002,4901,Árneshreppur,NA,705.05220768,2020,IS_4901,official,TRUE
IS_4902,-21.437481210754672,65.69112002445836,IS,IS00,IS002,4902,Kaldrananeshreppur,NA,458.09994634,2020,IS_4902,official,TRUE
IS_4911,-21.68812538257679,65.6996086164325,IS,IS00,IS002,4911,Strandabyggð,NA,1835.16768535,2020,IS_4911,official,TRUE
IS_5200,-19.605192094123865,65.73410478171107,IS,IS00,IS002,5200,Sveitarfélagið Skagafjörður,NA,4177.46737571,2020,IS_5200,official,TRUE
IS_5508,-20.981383459084306,65.35875167897571,IS,IS00,IS002,5508,Húnaþing vestra,NA,3023.11210887,2020,IS_5508,official,TRUE
IS_5604,-20.280127794165367,65.66075474277314,IS,IS00,IS002,5604,Blönduóssbær,NA,182.73796451,2020,IS_5604,official,TRUE
IS_5609,-20.30033118963731,65.82360854305477,IS,IS00,IS002,5609,Sveitarfélagið Skagaströnd,NA,52.71734528,2020,IS_5609,official,TRUE
IS_5611,-20.26631743565405,65.79242721128504,IS,IS00,IS002,5611,Skagabyggð,NA,488.24678286,2020,IS_5611,official,TRUE
IS_5612,-20.036144598278245,65.44928886419228,IS,IS00,IS002,5612,Húnavatnshreppur,NA,3816.75711758,2020,IS_5612,official,TRUE
IS_5706,-18.81744477369474,65.32075743316356,IS,IS00,IS002,5706,Akrahreppur,NA,1365.3290533,2020,IS_5706,official,FALSE
IS_6000,-18.118054254524992,65.68157065660102,IS,IS00,IS002,6000,Akureyrarkaupstaður,NA,135.53821299,2020,IS_6000,official,TRUE
IS_6100,-17.32430673210846,66.03456167331684,IS,IS00,IS002,6100,Norðurþing,NA,3732.67152373,2020,IS_6100,official,TRUE
IS_6250,-18.794270894533472,66.11540374427865,IS,IS00,IS002,6250,Fjallabyggð,NA,363.82225536,2020,IS_6250,official,TRUE
IS_6400,-18.53137764917815,65.97010525632524,IS,IS00,IS002,6400,Dalvíkurbyggð,NA,597.39098024,2020,IS_6400,official,TRUE
IS_6513,-18.215503369129173,65.57839472202265,IS,IS00,IS002,6513,Eyjafjarðarsveit,NA,1775.14488923,2020,IS_6513,official,TRUE
IS_6515,-18.276527160118537,65.64779993235452,IS,IS00,IS002,6515,Hörgársveit,NA,893.93747473,2020,IS_6515,official,TRUE
IS_6601,-18.03220327288228,65.74069790247401,IS,IS00,IS002,6601,Svalbarðsstrandarhreppur,NA,54.2776709,2020,IS_6601,official,FALSE
IS_6602,-18.172129695324557,65.95201783690774,IS,IS00,IS002,6602,Grýtubakkahreppur,NA,431.33671061,2020,IS_6602,official,TRUE
