gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
LT_11,24.023402967643978,54.3982383415728,LT,LT02,LT021,11,Alytaus miesto savivaldybė,49895,39.47808077,2020,LT_11,official,TRUE
LT_12,24.02764999485882,54.60270559429123,LT,LT02,LT022,12,Birštono savivaldybė,4066,121.75734943,2020,LT_12,official,TRUE
LT_13,25.250416058791124,54.70570725107919,LT,LT01,LT011,13,Vilniaus miesto savivaldybė,561836,400.54144788,2020,LT_13,official,TRUE
LT_15,23.992840731397425,54.01935136637996,LT,LT02,LT021,15,Druskininkų savivaldybė,19122,453.3542671,2020,LT_15,official,TRUE
LT_18,23.3534112758394,54.56240707163904,LT,LT02,LT024,18,Marijampolės savivaldybė,53772,755.1208708,2020,LT_18,official,TRUE
LT_19,23.94098307329104,54.91734625111547,LT,LT02,LT022,19,Kauno miesto savivaldybė,289364,156.93881151,2020,LT_19,official,TRUE
LT_21,21.172966839469918,55.680669593778894,LT,LT02,LT023,21,Klaipėdos miesto savivaldybė,149116,88.28280593,2020,LT_21,official,TRUE
LT_23,21.00100578129157,55.310180180966114,LT,LT02,LT023,23,Neringos savivaldybė,3530,89.41296782,2020,LT_23,official,TRUE
LT_25,21.08513410950777,55.92095759643613,LT,LT02,LT023,25,Palangos miesto savivaldybė,16038,78.87774561,2020,LT_25,official,TRUE
LT_27,24.34346257898292,55.72843094629952,LT,LT02,LT025,27,Panevėžio miesto savivaldybė,85885,50.16938928,2020,LT_27,official,TRUE
LT_29,23.27778020199842,55.91704110105333,LT,LT02,LT026,29,Šiaulių miesto savivaldybė,101511,81.1181071,2020,LT_29,official,TRUE
LT_30,26.43401849535268,55.5988469641304,LT,LT02,LT029,30,Visagino savivaldybė,18243,58.0510019,2020,LT_30,official,TRUE
LT_32,22.839472621871014,56.29198465905774,LT,LT02,LT026,32,Akmenės rajono savivaldybė,18772,843.98692575,2020,LT_32,official,TRUE
LT_33,23.991428588773655,54.40939012586141,LT,LT02,LT021,33,Alytaus rajono savivaldybė,25885,1403.93912154,2020,LT_33,official,TRUE
LT_34,25.102252132437354,55.52480277083133,LT,LT02,LT029,34,Anykščių rajono savivaldybė,23038,1764.6227019,2020,LT_34,official,TRUE
LT_36,24.75772664941478,56.1940878919515,LT,LT02,LT025,36,Biržų rajono savivaldybė,22719,1476.05101938,2020,LT_36,official,TRUE
LT_38,24.56534942781428,54.214148916903035,LT,LT02,LT021,38,Varėnos rajono savivaldybė,20844,2216.86431442,2020,LT_38,official,TRUE
LT_39,23.00292223041118,54.64913429312457,LT,LT02,LT024,39,Vilkaviškio rajono savivaldybė,34666,1263.23265733,2020,LT_39,official,TRUE
