gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
PT_010103,-8.421085846532495,40.52172186050635,PT,PT16,PT16D,010103,Aguada de Cima,4013,28.38933408,2020,PT_010103,official,TRUE
PT_010109,-8.526229963863496,40.56593710032366,PT,PT16,PT16D,010109,Fermentelos,3258,8.58238338,2020,PT_010109,official,TRUE
PT_010112,-8.455089172891007,40.65688394680437,PT,PT16,PT16D,010112,Macinhata do Vouga,3406,31.95404565,2020,PT_010112,official,TRUE
PT_010119,-8.435914049387222,40.61897319009797,PT,PT16,PT16D,010119,Valongo do Vouga,4877,43.20397694,2020,PT_010119,official,TRUE
PT_010121,-8.440943228189266,40.575121262880984,PT,PT16,PT16D,010121,Águeda e Borralha,13576,36.02647194,2020,PT_010121,official,TRUE
PT_010122,-8.462953212216616,40.529466885553646,PT,PT16,PT16D,010122,Barrô e Aguada de Baixo,3209,10.19175252,2020,PT_010122,official,TRUE
PT_010123,-8.365034045538838,40.54308585240108,PT,PT16,PT16D,010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",1611,88.09253723,2020,PT_010123,official,TRUE
PT_010124,-8.467881985596117,40.56413376808533,PT,PT16,PT16D,010124,Recardães e Espinhel,6036,19.91695315,2020,PT_010124,official,TRUE
PT_010125,-8.504731403748425,40.590801378699474,PT,PT16,PT16D,010125,Travassô e Óis da Ribeira,2305,11.12450903,2020,PT_010125,official,TRUE
PT_010126,-8.469627069942632,40.61204911993958,PT,PT16,PT16D,010126,"Trofa, Segadães e Lamas do Vouga",4630,16.07071377,2020,PT_010126,official,TRUE
PT_010127,-8.331744760012146,40.6216965351009,PT,PT16,PT16D,010127,Préstimo e Macieira de Alcoba,808,41.72603084,2020,PT_010127,official,TRUE
PT_010202,-8.50617212439259,40.62518660503431,PT,PT16,PT16D,010202,Alquerubim,2381,15.35577221,2020,PT_010202,official,TRUE
PT_010203,-8.555996331214807,40.67904941132084,PT,PT16,PT16D,010203,Angeja,2073,20.39212066,2020,PT_010203,official,TRUE
PT_010204,-8.485783451599133,40.756141216756156,PT,PT16,PT16D,010204,Branca,5621,30.28657524,2020,PT_010204,official,TRUE
PT_010206,-8.447167040872548,40.75425027794101,PT,PT16,PT16D,010206,Ribeira de Fráguas,1713,26.74389951,2020,PT_010206,official,TRUE
PT_010209,-8.47841814092461,40.69166820437093,PT,PT16,PT16D,010209,Albergaria-a-Velha e Valmaior,10568,46.99821826,2020,PT_010209,official,TRUE
PT_010210,-8.540289447567663,40.63990436047866,PT,PT16,PT16D,010210,São João de Loure e Frossos,2896,18.18100815,2020,PT_010210,official,TRUE
PT_010304,-8.449454569685498,40.47893383985078,PT,PT16,PT16D,010304,Avelãs de Caminho,1252,6.45092313,2020,PT_010304,official,TRUE
PT_010305,-8.405818692351314,40.478618912041505,PT,PT16,PT16D,010305,Avelãs de Cima,2185,40.57743563,2020,PT_010305,official,TRUE
PT_010307,-8.412092675096568,40.44237317284087,PT,PT16,PT16D,010307,Moita,2484,34.17225544,2020,PT_010307,official,TRUE
PT_010309,-8.472102469156832,40.48703052076663,PT,PT16,PT16D,010309,Sangalhos,4068,16.9043114,2020,PT_010309,official,TRUE
PT_010310,-8.482478932973212,40.440397936948465,PT,PT16,PT16D,010310,São Lourenço do Bairro,2414,15.38507239,2020,PT_010310,official,TRUE
PT_010312,-8.40408507533051,40.412006395201274,PT,PT16,PT16D,010312,Vila Nova de Monsarros,1713,23.7211743,2020,PT_010312,official,TRUE
PT_010313,-8.553799827587806,40.43410431916023,PT,PT16,PT16D,010313,Vilarinho do Bairro,2764,25.55762838,2020,PT_010313,official,TRUE
PT_010316,-8.515859946984882,40.46337835769447,PT,PT16,PT16D,010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",2675,22.06385629,2020,PT_010316,official,TRUE
PT_010317,-8.441796192980194,40.44293887749442,PT,PT16,PT16D,010317,Arcos e Mogofores,6331,14.38890915,2020,PT_010317,official,TRUE
PT_010318,-8.461128942271866,40.4221835816132,PT,PT16,PT16D,010318,"Tamengos, Aguim e Óis do Bairro",3264,17.4031326,2020,PT_010318,official,TRUE
PT_010402,-8.156690935882938,40.966577159971834,PT,PT11,PT11A,010402,Alvarenga,1223,38.76866198,2020,PT_010402,official,TRUE
PT_010407,-8.352261008301271,40.90342721316602,PT,PT11,PT11A,010407,Chave,1253,10.90468472,2020,PT_010407,official,TRUE
PT_010409,-8.40831000350646,40.939118718324934,PT,PT11,PT11A,010409,Escariz,2222,17.98380106,2020,PT_010409,official,TRUE
PT_010411,-8.41422093181173,40.95558135663435,PT,PT11,PT11A,010411,Fermedo,1340,11.10572964,2020,PT_010411,official,TRUE
PT_010413,-8.36629227833043,40.93351002063561,PT,PT11,PT11A,010413,Mansores,1081,14.07381225,2020,PT_010413,official,TRUE
PT_010414,-8.221170379348935,40.91304409389759,PT,PT11,PT11A,010414,Moldes,1257,28.00650495,2020,PT_010414,official,TRUE
PT_010415,-8.312383786259973,40.91205332546695,PT,PT11,PT11A,010415,Rossas,1599,11.11585482,2020,PT_010415,official,TRUE
PT_010416,-8.276599678803159,40.92740605999768,PT,PT11,PT11A,010416,Santa Eulália,2253,23.05064594,2020,PT_010416,official,TRUE
PT_010417,-8.400367792834253,40.96756681757436,PT,PT11,PT11A,010417,São Miguel do Mato,598,17.10553298,2020,PT_010417,official,TRUE
PT_010418,-8.313684229005457,40.93562439251154,PT,PT11,PT11A,010418,Tropeço,1150,17.83890857,2020,PT_010418,official,TRUE
PT_010419,-8.290623027021537,40.92206415765715,PT,PT11,PT11A,010419,Urrô,1029,10.78603926,2020,PT_010419,official,TRUE
PT_010420,-8.303254958037632,40.926275348498095,PT,PT11,PT11A,010420,Várzea,540,1.78988092,2020,PT_010420,official,TRUE
PT_010421,-8.247444233423705,40.92911261625442,PT,PT11,PT11A,010421,Arouca e Burgo,5178,15.24359276,2020,PT_010421,official,TRUE
PT_010422,-8.22628517665478,40.86782904390498,PT,PT11,PT11A,010422,Cabreiros e Albergaria da Serra,231,31.22441454,2020,PT_010422,official,TRUE
PT_010423,-8.208634204448424,40.97750744983617,PT,PT11,PT11A,010423,Canelas e Espiunca,1183,35.72714722,2020,PT_010423,official,TRUE
PT_010424,-8.170301392615915,40.89835951685123,PT,PT11,PT11A,010424,Covelo de Paivó e Janarde,222,44.3786018,2020,PT_010424,official,TRUE
PT_010501,-8.64226036211493,40.61369445583902,PT,PT16,PT16D,010501,Aradas,9157,8.92653237,2020,PT_010501,official,TRUE
PT_010502,-8.600690476410287,40.68045629484346,PT,PT16,PT16D,010502,Cacia,7354,33.48064838,2020,PT_010502,official,TRUE
PT_010505,-8.626956055764166,40.65114683173874,PT,PT16,PT16D,010505,Esgueira,13431,17.06997668,2020,PT_010505,official,TRUE
PT_010508,-8.60536611080471,40.59776112275553,PT,PT16,PT16D,010508,Oliveirinha,4817,12.06976837,2020,PT_010508,official,TRUE
PT_010510,-8.625452142699261,40.61946813680661,PT,PT16,PT16D,010510,São Bernardo,4960,3.93722549,2020,PT_010510,official,TRUE
PT_010511,-8.735672643969176,40.66162572521879,PT,PT16,PT16D,010511,São Jacinto,993,11.37298932,2020,PT_010511,official,TRUE
PT_010513,-8.6175178904577,40.63534985611397,PT,PT16,PT16D,010513,Santa Joana,8094,5.84547069,2020,PT_010513,official,TRUE
PT_010515,-8.583082436230482,40.63313883882925,PT,PT16,PT16D,010515,Eixo e Eirol,6324,22.4149471,2020,PT_010515,official,TRUE
PT_010516,-8.574620125097214,40.56695235760562,PT,PT16,PT16D,010516,"Requeixo, Nossa Senhora de Fátima e Nariz",4564,32.31664768,2020,PT_010516,official,TRUE
PT_010517,-8.647520842777244,40.63867498023374,PT,PT16,PT16D,010517,Glória e Vera Cruz,18756,36.03588327,2020,PT_010517,official,TRUE
PT_010602,-8.256051351878526,41.05622357978495,PT,PT11,PT11C,010602,Fornos,1439,4.11014977,2020,PT_010602,official,TRUE
PT_010606,-8.278264465716912,41.017444210095064,PT,PT11,PT11C,010606,Real,1300,33.10593978,2020,PT_010606,official,TRUE
PT_010607,-8.298856599728405,41.05494814218676,PT,PT11,PT11C,010607,Santa Maria de Sardoura,2538,10.06323797,2020,PT_010607,official,TRUE
PT_010608,-8.282885062147063,41.05578787242323,PT,PT11,PT11C,010608,São Martinho de Sardoura,1931,4.3141867,2020,PT_010608,official,TRUE
