gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
SI_001,13.907812906411348,45.88741044163624,SI,SI04,SI043,001,Ajdovščina,19418,245.22481222,2020,SI_001,official,TRUE
SI_002,16.229688164940896,46.60856442565557,SI,SI03,SI031,002,Beltinci,8059,62.2297582,2020,SI_002,official,TRUE
SI_003,14.114478735579413,46.366933487935995,SI,SI04,SI042,003,Bled,7868,72.29728933,2020,SI_003,official,TRUE
SI_004,13.94401204662011,46.278571778079574,SI,SI04,SI042,004,Bohinj,5145,333.76712726,2020,SI_004,official,TRUE
SI_005,14.36136025924735,45.92321901601625,SI,SI04,SI041,005,Borovnica,4579,42.32903884,2020,SI_005,official,TRUE
SI_006,13.545307930304297,46.333379474069105,SI,SI04,SI043,006,Bovec,3073,367.28340285,2020,SI_006,official,TRUE
SI_007,13.544628141531755,45.997065078078144,SI,SI04,SI043,007,Brda,5619,71.96947784,2020,SI_007,official,TRUE
SI_008,14.413451378870379,46.00076262409332,SI,SI04,SI041,008,Brezovica,12671,91.1813546,2020,SI_008,official,TRUE
SI_009,15.60415830630989,45.90565424437415,SI,SI03,SI036,009,Brežice,24051,267.89195694,2020,SI_009,official,TRUE
SI_010,16.08699911501483,46.65567707101539,SI,SI03,SI031,010,Tišina,3970,38.81076839,2020,SI_010,official,TRUE
SI_011,15.26223034518501,46.241307957154525,SI,SI03,SI034,011,Celje,49540,94.93270924,2020,SI_011,official,TRUE
SI_012,14.490734933857233,46.24873723247059,SI,SI04,SI042,012,Cerklje na Gorenjskem,7769,78.05325332,2020,SI_012,official,TRUE
SI_013,14.357033369502737,45.7982174072749,SI,SI03,SI038,013,Cerknica,11580,241.01221381,2020,SI_013,official,TRUE
SI_014,13.987767386941616,46.12791914574137,SI,SI04,SI043,014,Cerkno,4547,131.61291213,2020,SI_014,official,TRUE
SI_015,16.290499201638994,46.56322477732818,SI,SI03,SI031,015,Črenšovci,3968,33.69491652,2020,SI_015,official,TRUE
SI_016,14.84955071569784,46.471741805251064,SI,SI03,SI033,016,Črna na Koroškem,3285,155.95809736,2020,SI_016,official,TRUE
SI_017,15.19188032126599,45.572654849461884,SI,SI03,SI037,017,Črnomelj,14241,339.15344397,2020,SI_017,official,TRUE
SI_018,15.876997755508702,46.48611370939425,SI,SI03,SI032,018,Destrnik,2643,34.36104165,2020,SI_018,official,TRUE
SI_019,13.985652365011017,45.68717125555531,SI,SI04,SI044,019,Divača,4213,145.05529301,2020,SI_019,official,TRUE
SI_020,14.697832174159815,45.84330048720464,SI,SI04,SI041,020,Dobrepolje,3878,103.17690663,2020,SI_020,official,TRUE
SI_021,14.377906193847707,46.05790272270691,SI,SI04,SI041,021,Dobrova - Polhov Gradec,7800,117.48460322,2020,SI_021,official,TRUE
SI_022,14.658629426375285,46.09199116564356,SI,SI04,SI041,022,Dol pri Ljubljani,6310,33.29429282,2020,SI_022,official,TRUE
SI_023,14.600044654311727,46.1437263659179,SI,SI04,SI041,023,Domžale,36675,72.30082213,2020,SI_023,official,TRUE
SI_024,15.960799479585546,46.435338246797016,SI,SI03,SI032,024,Dornava,2902,28.40619796,2020,SI_024,official,TRUE
SI_025,15.025761007257575,46.58727863436683,SI,SI03,SI033,025,Dravograd,8884,105.05038791,2020,SI_025,official,TRUE
SI_026,15.74922911531002,46.508134581490175,SI,SI03,SI032,026,Duplek,6996,39.98731159,2020,SI_026,official,TRUE
SI_027,14.149031279449757,46.11015386310911,SI,SI04,SI042,027,Gorenja vas - Poljane,7557,153.25545969,2020,SI_027,official,TRUE
SI_028,16.009868686360917,46.406763793600796,SI,SI03,SI032,028,Gorišnica,4112,29.09858357,2020,SI_028,official,TRUE
SI_029,15.989979379508222,46.671006477321804,SI,SI03,SI031,029,Gornja Radgona,8417,74.60489902,2020,SI_029,official,TRUE
SI_030,14.811586854729663,46.29447872836172,SI,SI03,SI034,030,Gornji Grad,2476,90.11971362,2020,SI_030,official,TRUE
SI_031,16.205213095940437,46.81311870765559,SI,SI03,SI031,031,Gornji Petrovci,1995,66.86531203,2020,SI_031,official,TRUE
SI_032,14.654897405747166,45.95813830210496,SI,SI04,SI041,032,Grosuplje,21314,133.82727477,2020,SI_032,official,TRUE
SI_033,16.271690886056074,46.818209932121,SI,SI03,SI031,033,Šalovci,1380,58.1731256,2020,SI_033,official,TRUE
SI_034,15.082691923891442,46.144363185628926,SI,SI03,SI035,034,Hrastnik,9113,58.58507825,2020,SI_034,official,TRUE
