gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
UK_E06000001,-1.2284287191467291,54.6818765425167,UK,UKC1,UKC11,E06000001,Hartlepool,93242,93.91347565,2020,UK_E06000001,official,TRUE
UK_E06000002,-1.2305487181763304,54.55553812719807,UK,UKC1,UKC12,E06000002,Middlesbrough,140545,54.59449838,2020,UK_E06000002,official,TRUE
UK_E06000003,-1.075631570141034,54.573741813257676,UK,UKC1,UKC12,E06000003,Redcar and Cleveland,136718,246.39713566,2020,UK_E06000003,official,TRUE
UK_E06000004,-1.319729245371274,54.56706035731227,UK,UKC1,UKC11,E06000004,Stockton-on-Tees,197213,207.23128285,2020,UK_E06000004,official,TRUE
UK_E06000005,-1.551917438977707,54.53112514951763,UK,UKC1,UKC13,E06000005,Darlington,106566,197.6103177,2020,UK_E06000005,official,TRUE
UK_E06000006,-2.700441580102047,53.329703840028166,UK,UKD7,UKD71,E06000006,Halton,128432,82.180164,2020,UK_E06000006,official,TRUE
UK_E06000007,-2.5848218057123242,53.397306731604445,UK,UKD6,UKD61,E06000007,Warrington,209547,182.50827777,2020,UK_E06000007,official,TRUE
UK_E06000008,-2.4809205358701694,53.7382489363744,UK,UKD4,UKD41,E06000008,Blackburn with Darwen,148942,137.12426333,2020,UK_E06000008,official,TRUE
UK_E06000009,-3.035660497351625,53.815594388057136,UK,UKD4,UKD42,E06000009,Blackpool,139305,34.89214667,2020,UK_E06000009,official,TRUE
UK_E06000010,-0.34360260272934334,53.76379372795695,UK,UKE1,UKE11,E06000010,"Kingston upon Hull, City of",260645,71.89417273,2020,UK_E06000010,official,TRUE
UK_E06000011,-0.4531816057302547,53.84492945060772,UK,UKE1,UKE12,E06000011,East Riding of Yorkshire,339614,2417.25629342,2020,UK_E06000011,official,TRUE
UK_E06000012,-0.08190727872026665,53.55904473589563,UK,UKE1,UKE13,E06000012,North East Lincolnshire,159821,192.71253963,2020,UK_E06000012,official,TRUE
UK_E06000013,-0.628581314840492,53.584050245687365,UK,UKE1,UKE13,E06000013,North Lincolnshire,172005,854.65211139,2020,UK_E06000013,official,TRUE
UK_E06000014,-1.0843019785611667,53.96230142749257,UK,UKE2,UKE21,E06000014,York,209893,272.17365049,2020,UK_E06000014,official,TRUE
UK_E06000015,-1.47425575148021,52.91108485694296,UK,UKF1,UKF11,E06000015,Derby,257174,78.08656495,2020,UK_E06000015,official,TRUE
UK_E06000016,-1.122434762433509,52.63534424951375,UK,UKF2,UKF21,E06000016,Leicester,355218,73.39136784,2020,UK_E06000016,official,TRUE
UK_E06000017,-0.6979377859164597,52.6592257199852,UK,UKF2,UKF22,E06000017,Rutland,39697,393.96708067,2020,UK_E06000017,official,TRUE
UK_E06000018,-1.1685383538590706,52.96382862452353,UK,UKF1,UKF14,E06000018,Nottingham,331069,74.65998703,2020,UK_E06000018,official,TRUE
UK_E06000019,-2.69439361034477,52.062705809600395,UK,UKG1,UKG11,E06000019,"Herefordshire, County of",192107,2181.24110764,2020,UK_E06000019,official,TRUE
UK_E06000020,-2.4593461932620637,52.688513267808936,UK,UKG2,UKG21,E06000020,Telford and Wrekin,177799,290.53483889,2020,UK_E06000020,official,TRUE
UK_E06000021,-2.1619280414436135,53.018684680507384,UK,UKG2,UKG23,E06000021,Stoke-on-Trent,255833,93.52116488,2020,UK_E06000021,official,TRUE
UK_E06000022,-2.40258432173364,51.37133751745749,UK,UKK1,UKK12,E06000022,Bath and North East Somerset,192106,351.38256433,2020,UK_E06000022,official,TRUE
UK_E06000023,-2.585525489388725,51.45972385462133,UK,UKK1,UKK11,E06000023,"Bristol, City of",463405,111.21698888,2020,UK_E06000023,official,TRUE
UK_E06000024,-2.8779318370459044,51.38788113565702,UK,UKK1,UKK12,E06000024,North Somerset,213919,375.03963533,2020,UK_E06000024,official,TRUE
UK_E06000025,-2.502551382708931,51.50101515249105,UK,UKK1,UKK12,E06000025,South Gloucestershire,282644,497.44614654,2020,UK_E06000025,official,TRUE
UK_E06000026,-4.134333327343747,50.387758520130944,UK,UKK4,UKK41,E06000026,Plymouth,263100,80.22673816,2020,UK_E06000026,official,TRUE
UK_E06000027,-3.547210755171583,50.45459008025729,UK,UKK4,UKK42,E06000027,Torbay,135780,63.00080673,2020,UK_E06000027,official,TRUE
UK_E06000030,-1.7845792479298503,51.570824200498194,UK,UKK1,UKK14,E06000030,Swindon,221996,230.26201488,2020,UK_E06000030,official,TRUE
UK_E06000031,-0.2547432410637044,52.58107549393087,UK,UKH1,UKH11,E06000031,Peterborough,201041,343.60906801,2020,UK_E06000031,official,TRUE
UK_E06000032,-0.4311366298854424,51.89191509838207,UK,UKH2,UKH21,E06000032,Luton,214109,43.37639785,2020,UK_E06000032,official,TRUE
UK_E06000033,0.7039877409111682,51.54586589235646,UK,UKH3,UKH31,E06000033,Southend-on-Sea,182463,41.71712141,2020,UK_E06000033,official,TRUE
UK_E06000034,0.34411393524062095,51.494547781525405,UK,UKH3,UKH32,E06000034,Thurrock,172525,170.26754214,2020,UK_E06000034,official,TRUE
UK_E06000035,0.5382575585334581,51.376865321004125,UK,UKJ4,UKJ41,E06000035,Medway,277855,197.04505622,2020,UK_E06000035,official,TRUE
