gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
AL_AL111,20.25652884607968,41.50105772861773,AL,AL1,AL11,AL111,Bulqizë,31210,678.9656834,2019,AL_AL111,official,TRUE
AL_AL112,20.427741884623657,41.680769977390455,AL,AL1,AL11,AL112,Dibër,61619,938.72629936,2019,AL_AL112,official,TRUE
AL_AL113,20.07066603529146,41.51660608065291,AL,AL1,AL11,AL113,Klos,16618,357.72307083,2019,AL_AL113,official,TRUE
AL_AL114,20.008789499440475,41.608863472285535,AL,AL1,AL11,AL114,Mat,27600,493.81308121,2019,AL_AL114,official,TRUE
AL_AL121,19.45808693078185,41.326082077761384,AL,AL1,AL12,AL121,Durrës,175110,338.466834,2019,AL_AL121,official,TRUE
AL_AL122,19.746828040874796,41.496071820060365,AL,AL1,AL12,AL122,Krujë,59814,339.20365759,2019,AL_AL122,official,TRUE
AL_AL123,19.563530940086466,41.345448259312924,AL,AL1,AL12,AL123,Shijak,27861,92.21624313,2019,AL_AL123,official,TRUE
AL_AL131,20.408510569890773,42.196758720888226,AL,AL1,AL13,AL131,Has,16790,399.79961116,2019,AL_AL131,official,TRUE
AL_AL132,20.42546954528371,42.06999390303159,AL,AL1,AL13,AL132,Kukës,47985,934.42760992,2019,AL_AL132,official,TRUE
AL_AL133,20.077497935000608,42.3586582252722,AL,AL1,AL13,AL133,Tropojë,20517,1057.78154771,2019,AL_AL133,official,TRUE
AL_AL141,19.70859606614262,41.62511371508271,AL,AL1,AL14,AL141,Kurbin,46291,269.17877902,2019,AL_AL141,official,TRUE
AL_AL142,19.64454137635539,41.77856444943818,AL,AL1,AL14,AL142,Lezhë,65633,509.34284866,2019,AL_AL142,official,TRUE
AL_AL143,19.876453185457933,41.77122092356703,AL,AL1,AL14,AL143,Mirditë,22103,870.249553,2019,AL_AL143,official,TRUE
AL_AL151,20.033456165179196,42.07545484187183,AL,AL1,AL15,AL151,Fushë Arrës,7405,540.79777779,2019,AL_AL151,official,TRUE
AL_AL152,19.458871061893177,42.21675824674953,AL,AL1,AL15,AL152,Malësi e Madhe,30823,951.44162813,2019,AL_AL152,official,TRUE
AL_AL153,19.90396819224389,42.03922886386127,AL,AL1,AL15,AL153,Pukë,11069,505.83441979,2019,AL_AL153,official,TRUE
AL_AL154,19.51246682098986,42.06717279094131,AL,AL1,AL15,AL154,Shkodër,135612,872.99551661,2019,AL_AL154,official,TRUE
AL_AL155,19.58628303011853,41.975647345935734,AL,AL1,AL15,AL155,Vau i Dejës,30438,499.31148464,2019,AL_AL155,official,TRUE
AL_AL211,19.889809971556673,40.951034853023494,AL,AL2,AL21,AL211,Belsh,19503,196.56019511,2019,AL_AL211,official,TRUE
AL_AL212,20.003649000362262,40.99487449442426,AL,AL2,AL21,AL212,Cërrik,27445,189.76448508,2019,AL_AL212,official,TRUE
AL_AL213,20.08145704089211,41.11389792896944,AL,AL2,AL21,AL213,Elbasan,141714,872.6055348,2019,AL_AL213,official,TRUE
AL_AL214,20.1843955006178,40.87002702863115,AL,AL2,AL21,AL214,Gramsh,24231,739.73026029,2019,AL_AL214,official,TRUE
AL_AL215,20.31899341121658,41.18303183874968,AL,AL2,AL21,AL215,Librazhd,31892,793.9401032,2019,AL_AL215,official,TRUE
AL_AL216,19.772078765585142,41.047010850605915,AL,AL2,AL21,AL216,Peqin,26136,197.88599699,2019,AL_AL216,official,TRUE
AL_AL217,20.53962283613006,41.06907812053802,AL,AL2,AL21,AL217,Prrenjas,24906,323.18965753,2019,AL_AL217,official,TRUE
AL_AL221,19.783106349298592,41.36987209833799,AL,AL2,AL22,AL221,Kamëz,104190,37.18983642,2019,AL_AL221,official,TRUE
AL_AL222,19.55675533887416,41.18406785915623,AL,AL2,AL22,AL222,Kavajë,40094,198.8912625,2019,AL_AL222,official,TRUE
AL_AL223,19.648535225619618,41.08223457901792,AL,AL2,AL22,AL223,Rrogozhinë,22148,223.62647091,2019,AL_AL223,official,TRUE
