gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
AT_10101,16.52910439508154,47.84567960305285,AT,AT11,AT112,10101,Eisenstadt,14816,42.46519302,2020,AT_10101,official,TRUE
AT_10201,16.67408777070161,47.80117511874649,AT,AT11,AT112,10201,Rust,1980,20.12168637,2020,AT_10201,official,TRUE
AT_10301,16.733160888278064,47.94617333336883,AT,AT11,AT112,10301,Breitenbrunn am Neusiedler See,1871,25.61635914,2020,AT_10301,official,TRUE
AT_10302,16.642850621042367,47.89389569822407,AT,AT11,AT112,10302,Donnerskirchen,1843,34.20501906,2020,AT_10302,official,TRUE
AT_10303,16.477419100183617,47.83641713276153,AT,AT11,AT112,10303,Großhöflein,2104,14.30640626,2020,AT_10303,official,TRUE
AT_10304,16.4420224217879,47.88036078088072,AT,AT11,AT112,10304,Hornstein,3129,37.0082832,2020,AT_10304,official,TRUE
AT_10305,16.539626018819703,47.753711980126745,AT,AT11,AT112,10305,Klingenbach,1147,4.80632436,2020,AT_10305,official,TRUE
AT_10306,16.481840876883552,47.93198408923224,AT,AT11,AT112,10306,Leithaprodersdorf,1208,18.8905907,2020,AT_10306,official,TRUE
AT_10307,16.667635884204458,47.754366010335616,AT,AT11,AT112,10307,Mörbisch am See,2203,28.10744065,2020,AT_10307,official,TRUE
AT_10308,16.46213995266462,47.84004867593148,AT,AT11,AT112,10308,Müllendorf,1383,12.74639932,2020,AT_10308,official,TRUE
AT_10309,16.37585798365666,47.8696154907934,AT,AT11,AT112,10309,Neufeld an der Leitha,3486,4.23712266,2020,AT_10309,official,TRUE
AT_10310,16.66553823149446,47.835559302687,AT,AT11,AT112,10310,Oggau am Neusiedler See,1753,51.46298201,2020,AT_10310,official,TRUE
AT_10311,16.624368769994938,47.830213317283764,AT,AT11,AT112,10311,Oslip,1255,18.1014007,2020,AT_10311,official,TRUE
AT_10312,16.69491009298204,47.91396794665641,AT,AT11,AT112,10312,Purbach am Neusiedler See,2885,45.97247962,2020,AT_10312,official,TRUE
AT_10313,16.608439453691112,47.803583870003976,AT,AT11,AT112,10313,Sankt Margarethen im Burgenland,2669,26.48055572,2020,AT_10313,official,TRUE
AT_10314,16.62580488056543,47.85276752971486,AT,AT11,AT112,10314,Schützen am Gebirge,1421,21.3077268,2020,AT_10314,official,TRUE
AT_10315,16.538215222008436,47.78132665600002,AT,AT11,AT112,10315,Siegendorf,3066,23.17054892,2020,AT_10315,official,TRUE
AT_10316,16.40611667727449,47.83825486470913,AT,AT11,AT112,10316,Steinbrunn,2776,15.36079315,2020,AT_10316,official,TRUE
AT_10317,16.55711897041656,47.81548687588475,AT,AT11,AT112,10317,Trausdorf an der Wulka,2063,15.47464171,2020,AT_10317,official,TRUE
AT_10318,16.434050486886225,47.91583573085835,AT,AT11,AT112,10318,Wimpassing an der Leitha,1664,7.85928232,2020,AT_10318,official,TRUE
AT_10319,16.5008632241361,47.796969071048316,AT,AT11,AT112,10319,Wulkaprodersdorf,1980,12.04131788,2020,AT_10319,official,TRUE
AT_10320,16.517069162657805,47.91680505998488,AT,AT11,AT112,10320,Loretto,483,2.40047383,2020,AT_10320,official,TRUE
AT_10321,16.54091866299991,47.90739739833821,AT,AT11,AT112,10321,Stotzing,810,12.95909846,2020,AT_10321,official,TRUE
AT_10322,16.40758154088394,47.81429734173917,AT,AT11,AT112,10322,Zillingtal,961,13.168193,2020,AT_10322,official,TRUE
AT_10323,16.51989410231304,47.7612511234658,AT,AT11,AT112,10323,Zagersdorf,1076,7.40428669,2020,AT_10323,official,TRUE
AT_10401,16.178676599147114,47.14335430878173,AT,AT11,AT113,10401,Bocksdorf,807,9.95186186,2020,AT_10401,official,TRUE
AT_10402,16.11922492631743,47.167389602493316,AT,AT11,AT113,10402,Burgauberg-Neudauberg,1326,10.96109373,2020,AT_10402,official,TRUE
AT_10403,16.46242115085835,47.09831801873882,AT,AT11,AT113,10403,Eberau,936,30.61809473,2020,AT_10403,official,TRUE
AT_10404,16.25573487231497,47.07130425228174,AT,AT11,AT113,10404,Gerersdorf-Sulz,992,21.72137769,2020,AT_10404,official,TRUE
AT_10405,16.327835873726524,47.06069553005411,AT,AT11,AT113,10405,Güssing,3667,49.2660769,2020,AT_10405,official,TRUE
AT_10406,16.288350278013684,47.15713643679532,AT,AT11,AT113,10406,Güttenbach,880,15.73224094,2020,AT_10406,official,TRUE
AT_10407,16.427522995073147,47.02208916681245,AT,AT11,AT113,10407,Heiligenbrunn,753,33.50990398,2020,AT_10407,official,TRUE
AT_10408,16.184600669672722,47.07054142970959,AT,AT11,AT113,10408,Kukmirn,1983,40.86769069,2020,AT_10408,official,TRUE
AT_10409,16.255712083425088,47.17115723459701,AT,AT11,AT113,10409,Neuberg im Burgenland,968,17.5968766,2020,AT_10409,official,TRUE
AT_10410,16.261817714989423,47.02406095923155,AT,AT11,AT113,10410,Neustift bei Güssing,464,11.35185694,2020,AT_10410,official,TRUE
AT_10411,16.207159801092683,47.194178784823265,AT,AT11,AT113,10411,Olbendorf,1433,17.24492325,2020,AT_10411,official,TRUE
AT_10412,16.156798286232686,47.18509381630886,AT,AT11,AT113,10412,Ollersdorf im Burgenland,938,8.75381253,2020,AT_10412,official,TRUE
AT_10413,16.268979704707036,47.12719383889468,AT,AT11,AT113,10413,Sankt Michael im Burgenland,977,18.34601878,2020,AT_10413,official,TRUE
AT_10414,16.163320752923582,47.161116437633915,AT,AT11,AT113,10414,Stegersbach,2661,17.80117227,2020,AT_10414,official,TRUE
AT_10415,16.131733842326614,47.20149086517772,AT,AT11,AT113,10415,Stinatz,1195,9.32148474,2020,AT_10415,official,TRUE
AT_10416,16.416693743618307,47.051010891150796,AT,AT11,AT113,10416,Strem,871,23.77220277,2020,AT_10416,official,TRUE
AT_10417,16.306190319756915,47.102433939454464,AT,AT11,AT113,10417,Tobaj,1359,58.06097268,2020,AT_10417,official,TRUE
AT_10418,16.114411436758214,47.19295572727393,AT,AT11,AT113,10418,Hackerberg,368,3.94013213,2020,AT_10418,official,TRUE
AT_10419,16.096380396569458,47.22181015353376,AT,AT11,AT113,10419,Wörterberg,483,4.75257159,2020,AT_10419,official,TRUE
AT_10420,16.36109805440304,47.01525752262047,AT,AT11,AT113,10420,Großmürbisch,237,7.91875498,2020,AT_10420,official,TRUE
AT_10421,16.31452126931354,47.01459221024346,AT,AT11,AT113,10421,Inzenhof,315,5.95950284,2020,AT_10421,official,TRUE
AT_10422,16.323965894639283,47.02714584443976,AT,AT11,AT113,10422,Kleinmürbisch,230,4.29495361,2020,AT_10422,official,TRUE
AT_10423,16.310422076236296,47.00919335498857,AT,AT11,AT113,10423,Tschanigraben,65,1.72510816,2020,AT_10423,official,TRUE
AT_10424,16.191310987575136,47.11469871782513,AT,AT11,AT113,10424,Heugraben,232,6.5099047,2020,AT_10424,official,TRUE
AT_10425,16.163236964028286,47.116686170870985,AT,AT11,AT113,10425,Rohr im Burgenland,376,8.50365791,2020,AT_10425,official,TRUE
AT_10426,16.468717512030047,47.12924082625242,AT,AT11,AT113,10426,Bildein,347,15.96932949,2020,AT_10426,official,TRUE
AT_10427,16.23024797875835,47.13149053283562,AT,AT11,AT113,10427,Rauchwart,442,17.58203362,2020,AT_10427,official,TRUE
AT_10428,16.472829166127028,47.05513508437472,AT,AT11,AT113,10428,Moschendorf,394,13.18275175,2020,AT_10428,official,TRUE
AT_10501,16.115989531732993,47.09549293765272,AT,AT11,AT113,10501,Deutsch Kaltenbrunn,1734,23.97459905,2020,AT_10501,official,TRUE
AT_10502,16.204321125893923,47.009622718725915,AT,AT11,AT113,10502,Eltendorf,920,20.65962897,2020,AT_10502,official,TRUE
AT_10503,16.250811011340087,46.9915502231468,AT,AT11,AT113,10503,Heiligenkreuz im Lafnitztal,1234,23.66483536,2020,AT_10503,official,TRUE
AT_10504,16.139021849576892,46.942877100399706,AT,AT11,AT113,10504,Jennersdorf,4111,37.83346891,2020,AT_10504,official,TRUE
AT_10505,16.08090628940282,46.879461304668716,AT,AT11,AT113,10505,Minihof-Liebau,1047,16.28674555,2020,AT_10505,official,TRUE
AT_10506,16.230262412196314,46.959314729926724,AT,AT11,AT113,10506,Mogersdorf,1149,12.85031942,2020,AT_10506,official,TRUE
AT_10507,16.029363443354196,46.86222475429321,AT,AT11,AT113,10507,Neuhaus am Klausenbach,898,20.02992031,2020,AT_10507,official,TRUE
AT_10508,16.12149237201109,47.05113077646995,AT,AT11,AT113,10508,Rudersdorf,2172,21.05790927,2020,AT_10508,official,TRUE
AT_10509,16.123304054183514,46.91608737151179,AT,AT11,AT113,10509,Sankt Martin an der Raab,1995,42.9805312,2020,AT_10509,official,TRUE
AT_10510,16.190704162147146,46.96422385645054,AT,AT11,AT113,10510,Weichselbaum,712,12.15045435,2020,AT_10510,official,TRUE
AT_10511,16.171280664987385,47.009534395356106,AT,AT11,AT113,10511,Königsdorf,741,15.50879073,2020,AT_10511,official,TRUE
AT_10512,16.043562625735323,46.891056468434385,AT,AT11,AT113,10512,Mühlgraben,384,5.56406115,2020,AT_10512,official,TRUE
AT_10601,16.49228376743829,47.747360398948366,AT,AT11,AT112,10601,Draßburg,1227,9.6178574,2020,AT_10601,official,TRUE
AT_10602,16.345214929330282,47.712059186350274,AT,AT11,AT112,10602,Forchtenstein,2778,16.59913191,2020,AT_10602,official,TRUE
AT_10603,16.453883653945464,47.78623705196392,AT,AT11,AT112,10603,Hirm,1020,3.24609727,2020,AT_10603,official,TRUE
AT_10604,16.47494958883269,47.69592792785673,AT,AT11,AT112,10604,Loipersbach im Burgenland,1195,8.56464869,2020,AT_10604,official,TRUE
AT_10605,16.416207968256145,47.71634688059888,AT,AT11,AT112,10605,Marz,2074,17.38849884,2020,AT_10605,official,TRUE
AT_10606,16.397299490155103,47.736905023920045,AT,AT11,AT112,10606,Mattersburg,7456,27.98625401,2020,AT_10606,official,TRUE
AT_10607,16.295224992319543,47.798322403491184,AT,AT11,AT112,10607,Neudörfl,4641,9.0826998,2020,AT_10607,official,TRUE
AT_10608,16.438933462783762,47.7514546153982,AT,AT11,AT112,10608,Pöttelsdorf,762,7.82922088,2020,AT_10608,official,TRUE
AT_10609,16.36218002726417,47.8037512359037,AT,AT11,AT112,10609,Pöttsching,2983,24.75038334,2020,AT_10609,official,TRUE
AT_10610,16.427590394175052,47.7071195504232,AT,AT11,AT112,10610,Rohrbach bei Mattersburg,2639,15.21463897,2020,AT_10610,official,TRUE
AT_10611,16.324043060062607,47.77577701514943,AT,AT11,AT112,10611,Bad Sauerbrunn,2228,2.38086976,2020,AT_10611,official,TRUE
AT_10612,16.504822443525832,47.71133889168163,AT,AT11,AT112,10612,Schattendorf,2351,12.11315422,2020,AT_10612,official,TRUE
AT_10613,16.38113196446172,47.64877314487366,AT,AT11,AT112,10613,Sieggraben,1229,17.24567123,2020,AT_10613,official,TRUE
AT_10614,16.39186241455645,47.77662155854187,AT,AT11,AT112,10614,Sigleß,1161,10.17935156,2020,AT_10614,official,TRUE
AT_10615,16.33751363274223,47.74057406186408,AT,AT11,AT112,10615,Wiesen,2717,18.78079526,2020,AT_10615,official,TRUE
AT_10616,16.480155275937108,47.77552528110567,AT,AT11,AT112,10616,Antau,774,8.6173705,2020,AT_10616,official,TRUE
AT_10617,16.504986070075283,47.738018244745746,AT,AT11,AT112,10617,Baumgarten,885,7.0524581,2020,AT_10617,official,TRUE
AT_10618,16.45531349792682,47.765042026213294,AT,AT11,AT112,10618,Zemendorf-Stöttera,1286,12.91538676,2020,AT_10618,official,TRUE
AT_10619,16.417759420304368,47.786936814152995,AT,AT11,AT112,10619,Krensdorf,636,7.79198745,2020,AT_10619,official,TRUE
AT_10701,17.03009576487096,47.77706683200976,AT,AT11,AT112,10701,Andau,2280,47.27260456,2020,AT_10701,official,TRUE
AT_10702,16.837598994529404,47.744656350247354,AT,AT11,AT112,10702,Apetlon,1760,82.21184362,2020,AT_10702,official,TRUE
AT_10703,16.784290238766022,48.017848694712704,AT,AT11,AT112,10703,Bruckneudorf,3100,37.02596488,2020,AT_10703,official,TRUE
AT_10704,17.105353301943452,48.008241704907476,AT,AT11,AT112,10704,Deutsch Jahrndorf,619,27.43491114,2020,AT_10704,official,TRUE
AT_10705,16.92214403709385,47.83741470995497,AT,AT11,AT112,10705,Frauenkirchen,2856,31.98344588,2020,AT_10705,official,TRUE
AT_10706,16.982460875632512,48.01561602203109,AT,AT11,AT112,10706,Gattendorf,1381,25.50741714,2020,AT_10706,official,TRUE
AT_10707,16.91288322190374,47.89507680452756,AT,AT11,AT112,10707,Gols,3910,42.18692415,2020,AT_10707,official,TRUE
AT_10708,16.976371727908866,47.870837056124536,AT,AT11,AT112,10708,Halbturn,1930,55.16341276,2020,AT_10708,official,TRUE
AT_10709,16.803136825723424,47.76209589161878,AT,AT11,AT112,10709,Illmitz,2395,92.06112773,2020,AT_10709,official,TRUE
AT_10710,16.7909110610492,47.96230276730508,AT,AT11,AT112,10710,Jois,1644,25.90901751,2020,AT_10710,official,TRUE
AT_10711,17.06689325210941,48.091390174714505,AT,AT11,AT112,10711,Kittsee,3307,19.47235852,2020,AT_10711,official,TRUE
AT_10712,16.946376498366696,47.88382086925457,AT,AT11,AT112,10712,Mönchhof,2238,33.57646756,2020,AT_10712,official,TRUE
AT_10713,16.845673993643384,47.94743619294652,AT,AT11,AT112,10713,Neusiedl am See,8585,57.3260871,2020,AT_10713,official,TRUE
AT_10714,17.07082487373894,47.93886379157932,AT,AT11,AT112,10714,Nickelsdorf,1797,60.70277127,2020,AT_10714,official,TRUE
AT_10715,17.032069260456613,48.04744831429442,AT,AT11,AT112,10715,Pama,1208,26.96926252,2020,AT_10715,official,TRUE
AT_10716,16.906419109510413,47.70141909457711,AT,AT11,AT112,10716,Pamhagen,1567,33.05666881,2020,AT_10716,official,TRUE
AT_10717,16.862407851784624,47.99572312417338,AT,AT11,AT112,10717,Parndorf,4858,59.06763153,2020,AT_10717,official,TRUE
AT_10718,16.84030740481317,47.85318440960821,AT,AT11,AT112,10718,Podersdorf am See,2132,41.94087625,2020,AT_10718,official,TRUE
