gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
CZ_500011,17.744042631758532,49.217360739712014,CZ,CZ07,CZ072,500011,Želechovice nad Dřevnicí,1865,16.1982845,2019,CZ_500011,official,TRUE
CZ_500020,17.03891240239621,50.011165758811686,CZ,CZ07,CZ071,500020,Petrov nad Desnou,1224,12.08997909,2019,CZ_500020,official,TRUE
CZ_500046,18.076573445118886,49.62815443816206,CZ,CZ08,CZ080,500046,Libhošť,1719,8.18855154,2019,CZ_500046,official,TRUE
CZ_500062,18.000807855317294,49.48897469331451,CZ,CZ07,CZ072,500062,Krhová,1996,8.08358253,2019,CZ_500062,official,TRUE
CZ_500071,17.94572688148137,49.46691337892224,CZ,CZ07,CZ072,500071,Poličná,1747,11.07146227,2019,CZ_500071,official,TRUE
CZ_500101,13.045458680400024,50.17509006350663,CZ,CZ04,CZ041,500101,Bražec,220,12.63559596,2019,CZ_500101,official,TRUE
CZ_500127,13.007168184405698,50.24568986062074,CZ,CZ04,CZ041,500127,Doupovské Hradiště,159,20.81308386,2019,CZ_500127,official,TRUE
CZ_500135,17.555280018687213,49.56842172021606,CZ,CZ07,CZ071,500135,Kozlov,223,45.54962743,2019,CZ_500135,official,TRUE
CZ_500151,17.6578565923313,49.68712764365855,CZ,CZ07,CZ071,500151,Luboměř pod Strážnou,115,9.5571541,2019,CZ_500151,official,TRUE
CZ_500160,17.520271168551535,49.72422651920854,CZ,CZ07,CZ071,500160,Město Libavá,598,29.35714281,2019,CZ_500160,official,TRUE
CZ_500194,14.13158917803004,48.78225283665279,CZ,CZ03,CZ031,500194,Polná na Šumavě,206,18.99905376,2019,CZ_500194,official,TRUE
CZ_500259,18.12108753831269,49.53723233988942,CZ,CZ08,CZ080,500259,Veřovice,2013,16.61747696,2019,CZ_500259,official,TRUE
CZ_500291,18.12306937591386,49.825018228471045,CZ,CZ08,CZ080,500291,Vřesina,2951,8.6508152,2019,CZ_500291,official,TRUE
CZ_500496,17.247786939398612,49.58631324511588,CZ,CZ07,CZ071,500496,Olomouc,100523,103.21727665,2019,CZ_500496,official,TRUE
CZ_500526,17.3210147545491,49.67269503192721,CZ,CZ07,CZ071,500526,Bělkovice-Lašťany,2306,15.23032184,2019,CZ_500526,official,TRUE
CZ_500623,16.971998545668363,49.71367179437227,CZ,CZ07,CZ071,500623,Bílá Lhota,1137,18.11228819,2019,CZ_500623,official,TRUE
CZ_500801,17.244770273774353,49.525607711170224,CZ,CZ07,CZ071,500801,Blatec,642,6.61184825,2019,CZ_500801,official,TRUE
CZ_500852,17.284265719978084,49.65939229337289,CZ,CZ07,CZ071,500852,Bohuňovice,2532,12.51280853,2019,CZ_500852,official,TRUE
CZ_500861,16.902123126416623,49.701396721652486,CZ,CZ07,CZ071,500861,Bouzov,1500,42.2808751,2019,CZ_500861,official,TRUE
CZ_500879,17.188812075557482,49.53738159622887,CZ,CZ07,CZ071,500879,Bystročice,816,7.96779409,2019,CZ_500879,official,TRUE
CZ_501476,17.186660682563573,49.81815986747608,CZ,CZ07,CZ071,501476,Dlouhá Loučka,1971,26.65890443,2019,CZ_501476,official,TRUE
CZ_501646,17.32595033428613,49.64858927348868,CZ,CZ07,CZ071,501646,Dolany,2772,23.80828812,2019,CZ_501646,official,TRUE
CZ_501751,17.065862323901438,49.58045355723031,CZ,CZ07,CZ071,501751,Drahanovice,1684,13.48114478,2019,CZ_501751,official,TRUE
CZ_501794,17.275879788449224,49.488383173640635,CZ,CZ07,CZ071,501794,Dub nad Moravou,1637,15.21942282,2019,CZ_501794,official,TRUE
CZ_501841,17.313985076266807,49.53823623006966,CZ,CZ07,CZ071,501841,Grygov,1533,12.69480538,2019,CZ_501841,official,TRUE
CZ_502146,17.40109012884351,49.62878132584169,CZ,CZ07,CZ071,502146,Hlubočky,4221,23.80062111,2019,CZ_502146,official,TRUE
CZ_502235,17.167295885184245,49.56645342453708,CZ,CZ07,CZ071,502235,Hněvotín,1834,11.72047181,2019,CZ_502235,official,TRUE
CZ_502405,17.22719273313221,49.71552099120457,CZ,CZ07,CZ071,502405,Hnojice,637,9.62826594,2019,CZ_502405,official,TRUE
CZ_502545,17.206296457031264,49.63699510827377,CZ,CZ07,CZ071,502545,Horka nad Moravou,2488,12.00547766,2019,CZ_502545,official,TRUE
CZ_502839,17.053452164868986,49.65442095295681,CZ,CZ07,CZ071,502839,Cholina,741,8.97880113,2019,CZ_502839,official,TRUE
CZ_503142,17.39427415136629,49.706796953533775,CZ,CZ07,CZ071,503142,Jívová,591,15.1837126,2019,CZ_503142,official,TRUE
CZ_503304,17.25799744315116,49.538422166435105,CZ,CZ07,CZ071,503304,Kožušany-Tážaly,869,6.31370677,2019,CZ_503304,official,TRUE
CZ_503410,15.133387033660348,50.290432064135935,CZ,CZ02,CZ020,503410,Žitovlice,185,6.55105629,2019,CZ_503410,official,TRUE
