gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
LV_0010000,24.136721069356383,56.95357689306006,LV,LV00,LV006,0010000,Rīga,632614,304.15523171,2019,LV_0010000,official,TRUE
LV_0050000,26.54040219367072,55.88292128628798,LV,LV00,LV005,0050000,Daugavpils,82604,72.38305634,2019,LV_0050000,official,TRUE
LV_0090000,23.7178468696671,56.65241656688172,LV,LV00,LV009,0090000,Jelgava,55972,60.55100496,2019,LV_0090000,official,TRUE
LV_0110000,25.865757150495806,56.49611292519177,LV,LV00,LV009,0110000,Jēkabpils,22076,25.4789761,2019,LV_0110000,official,TRUE
LV_0130000,23.63144747753137,56.958971679148114,LV,LV00,LV007,0130000,Jūrmala,49325,100.40074938,2019,LV_0130000,official,TRUE
LV_0170000,21.01381495192099,56.51227859512053,LV,LV00,LV003,0170000,Liepāja,68945,60.99230996,2019,LV_0170000,official,TRUE
LV_0210000,27.341201464486705,56.51549623680938,LV,LV00,LV005,0210000,Rēzekne,27820,17.48618161,2019,LV_0210000,official,TRUE
LV_0250000,25.4200144847447,57.53569366274053,LV,LV00,LV008,0250000,Valmiera,23125,19.373717160000002,2019,LV_0250000,official,TRUE
LV_0270000,21.576275034599423,57.39324337776328,LV,LV00,LV003,0270000,Ventspils,34377,57.97216119,2019,LV_0270000,official,TRUE
LV_0320200,25.25796226868723,56.601992642512194,LV,LV00,LV009,0320200,Aizkraukles novads,8036,102.24102684,2019,LV_0320200,official,TRUE
LV_0321000,25.149948844469353,56.589682996512394,LV,LV00,LV009,0321000,Jaunjelgavas novads,5140,684.70711464,2019,LV_0321000,official,TRUE
LV_0321400,25.721608655961173,56.61882724970224,LV,LV00,LV009,0321400,Pļaviņu novads,4904,375.96773003,2019,LV_0321400,official,TRUE
LV_0326100,25.439661056157508,56.65770260057096,LV,LV00,LV009,0326100,Kokneses novads,5013,360.78599036,2019,LV_0326100,official,TRUE
LV_0327100,25.268580842861297,56.22170466508783,LV,LV00,LV009,0327100,Neretas novads,3376,645.03388482,2019,LV_0327100,official,TRUE
LV_0328200,25.121639046820054,56.64679866711712,LV,LV00,LV009,0328200,Skrīveru novads,3339,105.42405672,2019,LV_0328200,official,TRUE
LV_0360200,27.050759369121593,57.42085896816801,LV,LV00,LV008,0360200,Alūksnes novads,14153,1698.22390664,2019,LV_0360200,official,TRUE
LV_0360800,26.599223011688157,57.51254693735247,LV,LV00,LV008,0360800,Apes novads,3295,545.12867269,2019,LV_0360800,official,TRUE
LV_0380200,27.268030787984454,57.126622429342596,LV,LV00,LV005,0380200,Balvu novads,11977,1044.96870164,2019,LV_0380200,official,TRUE
LV_0381600,27.65553010224398,57.192963059219736,LV,LV00,LV005,0381600,Viļakas novads,4596,640.54468731,2019,LV_0381600,official,TRUE
LV_0384400,27.646393870968488,56.943437395466425,LV,LV00,LV005,0384400,Baltinavas novads,963,186.51887503,2019,LV_0384400,official,TRUE
LV_0387500,27.12660428346961,56.98439867384557,LV,LV00,LV005,0387500,Rugāju novads,2108,514.88978002,2019,LV_0387500,official,TRUE
LV_0400200,24.19609979088624,56.40492172631151,LV,LV00,LV009,0400200,Bauskas novads,22784,786.58491286,2019,LV_0400200,official,TRUE
LV_0406400,24.200530320356634,56.59657482412538,LV,LV00,LV009,0406400,Iecavas novads,8359,312.09312046,2019,LV_0406400,official,TRUE
LV_0407700,24.00205831921719,56.40829966128552,LV,LV00,LV009,0407700,Rundāles novads,3356,231.42290615,2019,LV_0407700,official,TRUE
LV_0409500,24.51494715572739,56.56850749833171,LV,LV00,LV009,0409500,Vecumnieku novads,7807,845.04180633,2019,LV_0409500,official,TRUE
LV_0420200,25.27477093536041,57.31099172967187,LV,LV00,LV008,0420200,Cēsu novads,16372,172.9346285,2019,LV_0420200,official,TRUE
LV_0421200,25.039328980143203,57.204485768660795,LV,LV00,LV008,0421200,Līgatnes novads,3264,167.62625827,2019,LV_0421200,official,TRUE
LV_0424701,25.25645995676032,57.16400460212265,LV,LV00,LV008,0424701,Amatas novads,4983,745.87919355,2019,LV_0424701,official,TRUE
LV_0425700,26.01670382466723,57.174007863513175,LV,LV00,LV008,0425700,Jaunpiebalgas novads,2019,251.28765907,2019,LV_0425700,official,TRUE
LV_0427300,25.401707642809406,57.365854962586724,LV,LV00,LV008,0427300,Priekuļu novads,7607,301.67354827,2019,LV_0427300,official,TRUE
LV_0427500,25.038909001181466,57.35257415529041,LV,LV00,LV008,0427500,Pārgaujas novads,3623,486.55298893,2019,LV_0427500,official,TRUE
LV_0427700,25.609446142298463,57.33310033757585,LV,LV00,LV008,0427700,Raunas novads,3023,308.99669714,2019,LV_0427700,official,TRUE
LV_0429300,25.74783716513777,57.10517902911259,LV,LV00,LV008,0429300,Vecpiebalgas novads,3543,542.19494501,2019,LV_0429300,official,TRUE
LV_0440200,26.610569471488667,55.90859852305245,LV,LV00,LV005,0440200,Daugavpils novads,20149,1876.16466448,2019,LV_0440200,official,TRUE
LV_0440801,26.25686869216424,55.98082271666116,LV,LV00,LV005,0440801,Ilūkstes novads,6615,647.40526796,2019,LV_0440801,official,TRUE
LV_0460200,23.280233066862863,56.62260273891605,LV,LV00,LV009,0460200,Dobeles novads,19517,888.56094255,2019,LV_0460200,official,TRUE
LV_0460800,22.928629988780152,56.46718815298421,LV,LV00,LV009,0460800,Auces novads,6153,516.96263566,2019,LV_0460800,official,TRUE
LV_0468900,23.340730598949047,56.465584990806676,LV,LV00,LV009,0468900,Tērvetes novads,3339,223.78501405,2019,LV_0468900,official,TRUE
LV_0500200,26.74909450280584,57.1692386926612,LV,LV00,LV008,0500200,Gulbenes novads,20079,1872.19958839,2019,LV_0500200,official,TRUE
LV_0540200,23.645761021198,56.61286298855482,LV,LV00,LV009,0540200,Jelgavas novads,22011,1317.99920954,2019,LV_0540200,official,TRUE
LV_0546701,23.80014195929235,56.67834058838354,LV,LV00,LV009,0546701,Ozolnieku novads,9969,286.12079903,2019,LV_0546701,official,TRUE
LV_0560200,25.975106948337256,56.361214832295296,LV,LV00,LV009,0560200,Jēkabpils novads,4293,905.72679755,2019,LV_0560200,official,TRUE
LV_0560800,25.769575548143152,56.14722527159269,LV,LV00,LV009,0560800,Aknīstes novads,2492,284.68804046,2019,LV_0560800,official,TRUE
LV_0561800,25.55412498361158,56.335474769884954,LV,LV00,LV009,0561800,Viesītes novads,3567,651.24714919,2019,LV_0561800,official,TRUE
LV_0566900,26.020188829347024,56.52773010939547,LV,LV00,LV009,0566900,Krustpils novads,5496,811.69245423,2019,LV_0566900,official,TRUE
LV_0568700,25.761977894757717,56.497753478158174,LV,LV00,LV009,0568700,Salas novads,3332,317.3413039,2019,LV_0568700,official,TRUE
LV_0600202,27.182057694220234,55.89610562785348,LV,LV00,LV005,0600202,Krāslavas novads,14155,1078.93191425,2019,LV_0600202,official,TRUE
LV_0601000,27.544848522167893,56.10054795657526,LV,LV00,LV005,0601000,Dagdas novads,6777,949.15009204,2019,LV_0601000,official,TRUE
LV_0604300,27.037544576948978,56.1212972346561,LV,LV00,LV005,0604300,Aglonas novads,3191,392.54688815,2019,LV_0604300,official,TRUE
LV_0620200,21.962956982322556,56.9671754674203,LV,LV00,LV003,0620200,Kuldīgas novads,22313,1757.40823326,2019,LV_0620200,official,TRUE
LV_0621200,22.01162994882147,56.66904152700206,LV,LV00,LV003,0621200,Skrundas novads,4661,556.92303136,2019,LV_0621200,official,TRUE
LV_0624200,21.56727819924677,56.97767505910032,LV,LV00,LV003,0624200,Alsungas novads,1289,190.91033997,2019,LV_0624200,official,TRUE
LV_0640600,21.603930132782178,56.71817428406517,LV,LV00,LV003,0640600,Aizputes novads,8192,640.0384611,2019,LV_0640600,official,TRUE
LV_0640801,21.354340014894124,56.594581273234425,LV,LV00,LV003,0640801,Durbes novads,2626,320.47811895,2019,LV_0640801,official,TRUE
LV_0641000,21.17474457807103,56.534234605991834,LV,LV00,LV003,0641000,Grobiņas novads,8394,489.90537033,2019,LV_0641000,official,TRUE
LV_0641401,21.196506457602865,56.832018588091884,LV,LV00,LV003,0641401,Pāvilostas novads,2532,515.06145729,2019,LV_0641401,official,TRUE
LV_0641600,21.581976770940173,56.443526483166835,LV,LV00,LV003,0641600,Priekules novads,5067,519.83931171,2019,LV_0641600,official,TRUE
LV_0647900,21.027216944941163,56.457440367969326,LV,LV00,LV003,0647900,Nīcas novads,3152,350.89487168,2019,LV_0647900,official,TRUE
LV_0648500,21.180139016627603,56.18066176864115,LV,LV00,LV003,0648500,Rucavas novads,1478,448.2167551,2019,LV_0648500,official,TRUE
LV_0649300,21.854408067724137,56.42349774460296,LV,LV00,LV003,0649300,Vaiņodes novads,2285,306.93019468,2019,LV_0649300,official,TRUE
LV_0660200,24.710030480398665,57.50867718899554,LV,LV00,LV007,0660200,Limbažu novads,16301,1171.13746821,2019,LV_0660200,official,TRUE
LV_0661000,24.851934808875125,57.773800455927734,LV,LV00,LV007,0661000,Alojas novads,4630,631.37364914,2019,LV_0661000,official,TRUE
LV_0661400,24.370688594508074,57.74566124988677,LV,LV00,LV007,0661400,Salacgrīvas novads,7228,637.9182497,2019,LV_0661400,official,TRUE
LV_0680200,27.716052295804314,56.54031386301638,LV,LV00,LV005,0680200,Ludzas novads,12196,964.78342652,2019,LV_0680200,official,TRUE
LV_0681000,27.683537710901774,56.77995495752441,LV,LV00,LV005,0681000,Kārsavas novads,5278,628.16727829,2019,LV_0681000,official,TRUE
LV_0681801,28.12286673973294,56.37719110361679,LV,LV00,LV005,0681801,Zilupes novads,2647,308.92954641,2019,LV_0681801,official,TRUE
LV_0684901,27.764619637311416,56.570925130914716,LV,LV00,LV005,0684901,Ciblas novads,2429,509.56789505,2019,LV_0684901,official,TRUE
LV_0700200,26.21599900903539,56.84619298082125,LV,LV00,LV008,0700200,Madonas novads,22261,2160.12527866,2019,LV_0700200,official,TRUE
