gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
NL_GM0003,6.861461739436588,53.318711053137775,NL,NL11,NL112,GM0003,Appingedam,11721,24.58520073,2019,NL_GM0003,official,TRUE
NL_GM0010,6.908638853718734,53.328082929501086,NL,NL11,NL112,GM0010,Delfzijl,24716,136.44923462,2019,NL_GM0010,official,TRUE
NL_GM0014,6.566922474808987,53.21984676568899,NL,NL11,NL113,GM0014,Groningen,231299,197.86201932,2019,NL_GM0014,official,TRUE
NL_GM0024,6.702309342424856,53.33854169428995,NL,NL11,NL112,GM0024,Loppersum,9614,112.0113883,2019,NL_GM0024,official,TRUE
NL_GM0034,5.237141333606614,52.37558511664612,NL,NL23,NL230,GM0034,Almere,207904,248.85918851,2019,NL_GM0034,official,TRUE
NL_GM0037,6.973315297503565,52.983583967383744,NL,NL11,NL111,GM0037,Stadskanaal,31789,119.96824228,2019,NL_GM0037,official,TRUE
NL_GM0047,6.8680108227425265,53.10151504987399,NL,NL11,NL111,GM0047,Veendam,27491,78.7090614,2019,NL_GM0047,official,TRUE
NL_GM0050,5.528323903709499,52.334258949127474,NL,NL23,NL230,GM0050,Zeewolde,22309,269.06740632,2019,NL_GM0050,official,TRUE
NL_GM0059,6.14226512707962,53.20771253298825,NL,NL12,NL124,GM0059,Achtkarspelen,27852,103.99513681,2019,NL_GM0059,official,TRUE
NL_GM0060,5.708644354687365,53.4438160049166,NL,NL12,NL124,GM0060,Ameland,3673,58.26300862,2019,NL_GM0060,official,TRUE
NL_GM0072,5.434793348596923,53.17038170618636,NL,NL12,NL124,GM0072,Harlingen,15758,26.03290496,2019,NL_GM0072,official,TRUE
NL_GM0074,5.925537067009341,52.96273207278857,NL,NL12,NL126,GM0074,Heerenveen,50257,198.31010944,2019,NL_GM0074,official,TRUE
NL_GM0080,5.804011447800298,53.2006383932687,NL,NL12,NL124,GM0080,Leeuwarden,123107,255.63069842,2019,NL_GM0080,official,TRUE
NL_GM0085,6.299973282348348,52.991211408384615,NL,NL12,NL126,GM0085,Ooststellingwerf,25497,226.1154927,2019,NL_GM0085,official,TRUE
NL_GM0086,6.108676544169974,53.04364851551835,NL,NL12,NL126,GM0086,Opsterland,29723,227.60280872,2019,NL_GM0086,official,TRUE
NL_GM0088,6.164796395283569,53.480709391792146,NL,NL12,NL124,GM0088,Schiermonnikoog,936,43.95932595,2019,NL_GM0088,official,TRUE
NL_GM0090,6.090414343009238,53.10726000795922,NL,NL12,NL126,GM0090,Smallingerland,55938,126.19458009,2019,NL_GM0090,official,TRUE
NL_GM0093,5.245129547022448,53.373612428248634,NL,NL12,NL124,GM0093,Terschelling,4890,89.88577682,2019,NL_GM0093,official,TRUE
NL_GM0096,5.069165626515572,53.29708770127054,NL,NL12,NL124,GM0096,Vlieland,1138,42.86485929,2019,NL_GM0096,official,TRUE
NL_GM0098,6.013743627994442,52.87483803805844,NL,NL12,NL126,GM0098,Weststellingwerf,25840,228.26451261,2019,NL_GM0098,official,TRUE
NL_GM0106,6.557073256494125,53.004932723263344,NL,NL13,NL131,GM0106,Assen,67963,83.43806246,2019,NL_GM0106,official,TRUE
NL_GM0109,6.746033965015734,52.692610216300025,NL,NL13,NL132,GM0109,Coevorden,35483,299.60145969,2019,NL_GM0109,official,TRUE
NL_GM0114,6.923562362866888,52.76350320688429,NL,NL13,NL132,GM0114,Emmen,107113,346.19515514,2019,NL_GM0114,official,TRUE
NL_GM0118,6.483179775380815,52.71945563260308,NL,NL13,NL133,GM0118,Hoogeveen,55662,129.20471679,2019,NL_GM0118,official,TRUE
NL_GM0119,6.192774408807216,52.69656437813728,NL,NL13,NL133,GM0119,Meppel,33564,56.99075172,2019,NL_GM0119,official,TRUE
NL_GM0141,6.660591174012777,52.354126893254445,NL,NL21,NL213,GM0141,Almelo,72849,69.41635716,2019,NL_GM0141,official,TRUE
NL_GM0147,6.7516948658571145,52.30032338710498,NL,NL21,NL213,GM0147,Borne,23210,26.15793409,2019,NL_GM0147,official,TRUE
NL_GM0148,6.274248346155272,52.52717322691644,NL,NL21,NL211,GM0148,Dalfsen,28499,166.55223623,2019,NL_GM0148,official,TRUE
NL_GM0150,6.178568174343651,52.26088794828602,NL,NL21,NL212,GM0150,Deventer,99957,134.42352281,2019,NL_GM0150,official,TRUE
NL_GM0153,6.893514019329376,52.214488405684904,NL,NL21,NL213,GM0153,Enschede,158986,142.76612626,2019,NL_GM0153,official,TRUE
NL_GM0158,6.737819475642558,52.160995738261725,NL,NL21,NL213,GM0158,Haaksbergen,24277,105.53169069,2019,NL_GM0158,official,TRUE
