gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
RS_70017,21.079163025873125,43.464765259485915,RS,RS21,RS216,70017,Aleksandrovac,24564,386.54378915,2018,RS_70017,geo,TRUE
RS_70025,21.700411750665026,43.53340631673551,RS,RS22,RS225,70025,Aleksinac,48087,706.81881794,2018,RS_70025,geo,TRUE
RS_70033,20.56459094355346,44.308078369163105,RS,RS21,RS218,70033,Arandjelovac,44197,376.01579186,2018,RS_70033,geo,TRUE
RS_70041,20.099917750051308,43.75114449777974,RS,RS21,RS211,70041,Arilje,18109,349.31997127,2018,RS_70041,geo,TRUE
RS_70050,22.40917244038491,43.063248249132485,RS,RS22,RS226,70050,Babušnica,10659,528.43326447,2018,RS_70050,geo,TRUE
RS_70068,19.56363887132568,43.971770961835205,RS,RS21,RS211,70068,Bajina Bašta,24539,673.34259282,2018,RS_70068,geo,TRUE
RS_70076,21.075421118416465,44.14688355197512,RS,RS21,RS218,70076,Batočina,11085,135.68579365,2018,RS_70076,geo,TRUE
RS_70084,22.314417522483158,43.2207276410169,RS,RS22,RS226,70084,Bela Palanka,11065,516.95936473,2018,RS_70084,geo,TRUE
RS_70092,20.383727189690482,44.600737813038734,RS,RS11,RS110,70092,Belgrade - Barajevo,26964,213.16764686,2018,RS_70092,geo,TRUE
RS_70106,20.487587869050007,44.76463610206474,RS,RS11,RS110,70106,Belgrade - Voždovac,168242,148.55361333,2018,RS_70106,geo,TRUE
RS_70114,20.47743171771975,44.797612276551035,RS,RS11,RS110,70114,Belgrade - Vračar,57483,2.8930159,2018,RS_70114,geo,TRUE
RS_70122,20.603494693697595,44.72402752472411,RS,RS11,RS110,70122,Belgrade - Grocka,86391,299.18625875,2018,RS_70122,geo,TRUE
RS_70149,20.513568354134364,44.7885099178242,RS,RS11,RS110,70149,Belgrade - Zvezdara,163542,31.1969874,2018,RS_70149,geo,TRUE
RS_70157,20.33567934637351,44.866480126865625,RS,RS11,RS110,70157,Belgrade - Zemun,173460,149.86605296,2018,RS_70157,geo,TRUE
RS_70165,20.27133890882532,44.392988584305414,RS,RS11,RS110,70165,Belgrade - Lazarevac,57136,383.37356953,2018,RS_70165,geo,TRUE
RS_70173,20.70174722702639,44.43830914675352,RS,RS11,RS110,70173,Belgrade - Mladenovac,52159,338.99195433,2018,RS_70173,geo,TRUE
RS_70181,20.3814905118447,44.80994467669185,RS,RS11,RS110,70181,Belgrade - Novi Beograd,213985,40.71570103,2018,RS_70181,geo,TRUE
RS_70190,20.197808274017646,44.65342640867541,RS,RS11,RS110,70190,Belgrade - Obrenovac,72209,409.96690160000003,2018,RS_70190,geo,TRUE
RS_70203,20.48129422267682,44.85853525041515,RS,RS11,RS110,70203,Belgrade - Palilula,181414,451.13795675,2018,RS_70203,geo,TRUE
RS_70211,20.4432140244778,44.72904861258091,RS,RS11,RS110,70211,Belgrade - Rakovica,108477,29.9758788,2018,RS_70211,geo,TRUE
RS_70220,20.456756533326168,44.795015707570705,RS,RS11,RS110,70220,Belgrade - Savski venac,36222,14.15152123,2018,RS_70220,geo,TRUE
RS_70238,20.58180281212454,44.53600647598769,RS,RS11,RS110,70238,Belgrade - Sopot,19870,270.64348352,2018,RS_70238,geo,TRUE
RS_70246,20.461384134475267,44.81819324659072,RS,RS11,RS110,70246,Belgrade - Stari grad,45877,5.44585582,2018,RS_70246,geo,TRUE
RS_70254,20.397259194482384,44.7336666170426,RS,RS11,RS110,70254,Belgrade - Čukarica,177586,157.00986463,2018,RS_70254,geo,TRUE
RS_70262,21.28945052248731,43.298276697850426,RS,RS22,RS229,70262,Blace,10651,306.33581356,2018,RS_70262,geo,TRUE
RS_70289,19.45907095960754,44.83057006138355,RS,RS21,RS213,70289,Bogatić,26941,384.46947639,2018,RS_70289,geo,TRUE
RS_70297,21.739013512270642,43.02675247679105,RS,RS22,RS224,70297,Bojnik,10310,263.89985513,2018,RS_70297,geo,TRUE
RS_70319,21.95322501805551,43.83997368282533,RS,RS22,RS223,70319,Boljevac,11560,827.76135966,2018,RS_70319,geo,TRUE
RS_70327,22.099263596091202,44.06544674915984,RS,RS22,RS221,70327,Bor,45834,856.79756288,2018,RS_70327,geo,TRUE
RS_70335,22.474734717168083,42.49515189216337,RS,RS22,RS228,70335,Bosilegrad,7304,571.05108341,2018,RS_70335,geo,TRUE
RS_70343,21.035730284864776,43.38145171417361,RS,RS21,RS216,70343,Brus,15025,605.69921047,2018,RS_70343,geo,TRUE
RS_70351,21.754846906919212,42.45821815792164,RS,RS22,RS228,70351,Bujanovac,37769,460.91329027,2018,RS_70351,geo,TRUE
RS_70360,19.889977485085602,44.27517227488861,RS,RS21,RS212,70360,Valjevo,86677,905.65840169,2018,RS_70360,geo,TRUE
RS_70378,21.3348637614726,43.73787750896185,RS,RS21,RS216,70378,Varvarin,16561,249.20212238,2018,RS_70378,geo,TRUE
RS_70386,21.08263507787478,44.35409517314417,RS,RS22,RS227,70386,Velika Plana,38423,346.08667867,2018,RS_70386,geo,TRUE
RS_70394,21.46707981502365,44.71557218849226,RS,RS22,RS222,70394,Veliko Gradište,16235,343.21455723,2018,RS_70394,geo,TRUE
RS_70408,19.820779313402014,44.628968455479864,RS,RS21,RS213,70408,Vladimirci,16057,337.94972403,2018,RS_70408,geo,TRUE
RS_70416,22.066289537226236,42.70651884007046,RS,RS22,RS228,70416,Vladičin Han,19201,365.91021741,2018,RS_70416,geo,TRUE
RS_70424,22.122303964285702,42.967073940405164,RS,RS22,RS224,70424,Vlasotince,28029,307.93371059,2018,RS_70424,geo,TRUE
RS_70432,21.89760505877999,42.546151178781386,RS,RS22,RS228,70432,Vranje,72020,599.93935425,2018,RS_70432,geo,TRUE
RS_70459,20.89507756108229,43.62626469243495,RS,RS21,RS217,70459,Vrnjačka Banja,26322,239.29735645,2018,RS_70459,geo,TRUE
RS_70467,21.993458675172334,43.192475834070486,RS,RS22,RS225,70467,Gadžin Han,7098,324.74933808,2018,RS_70467,geo,TRUE
RS_70475,21.588739403532212,44.654530350300014,RS,RS22,RS222,70475,Golubac,7541,367.97072399,2018,RS_70475,geo,TRUE
RS_70483,20.459862705951235,44.028165047145976,RS,RS21,RS214,70483,Gornji Milanovac,41872,836.46418149,2018,RS_70483,geo,TRUE
RS_70491,21.41069004683533,44.11728638358042,RS,RS21,RS215,70491,Despotovac,21013,623.26034149,2018,RS_70491,geo,TRUE
RS_70505,22.774074949426332,43.01665950697263,RS,RS22,RS226,70505,Dimitrovgrad,9367,483.24190614,2018,RS_70505,geo,TRUE
RS_70513,21.83818253300708,43.199079145956425,RS,RS22,RS225,70513,Doljevac,18030,121.11660726,2018,RS_70513,geo,TRUE
RS_70521,21.220996909877446,44.401405493984896,RS,RS22,RS222,70521,Žabari,9832,263.76600258,2018,RS_70521,geo,TRUE
RS_70530,21.763763204822233,44.21734487627216,RS,RS22,RS222,70530,Žagubica,11528,760.02789363,2018,RS_70530,geo,TRUE
RS_70548,21.73128714860538,43.201128392998164,RS,RS22,RS229,70548,Žitorađa,15197,214.17789096,2018,RS_70548,geo,TRUE
RS_70556,22.28106406635395,43.91683631964925,RS,RS22,RS223,70556,Zaječar,55205,1068.51636662,2018,RS_70556,geo,TRUE
RS_70564,20.226600644137502,43.58527252267681,RS,RS21,RS214,70564,Ivanjica,30161,1089.7487698,2018,RS_70564,geo,TRUE
RS_70572,22.59956151746059,44.5747258571597,RS,RS22,RS221,70572,Kladovo,18926,627.0744377,2018,RS_70572,geo,TRUE
RS_70599,20.711472163856858,43.938307992185344,RS,RS21,RS218,70599,Knić,13080,413.11025678,2018,RS_70599,geo,TRUE
RS_70602,22.257909392836694,43.57134224451419,RS,RS22,RS223,70602,Knjaževac,28402,1202.62916113,2018,RS_70602,geo,TRUE
RS_70629,19.90435608573448,43.999810944061856,RS,RS21,RS211,70629,Kosjerić,10996,358.3692689,2018,RS_70629,geo,TRUE
RS_70637,19.813332221167773,44.47358279016213,RS,RS21,RS213,70637,Koceljeva,12025,257.40820691,2018,RS_70637,geo,TRUE
RS_70645,20.904776390383404,44.01025672678726,RS,RS21,RS218,70645,Kragujevac,177977,834.55089678,2018,RS_70645,geo,TRUE
RS_70653,20.675970585768635,43.718745714897864,RS,RS21,RS217,70653,Kraljevo,119585,1529.9346766,2018,RS_70653,geo,TRUE
RS_70661,19.370618824417377,44.36943643862551,RS,RS21,RS213,70661,Krupanj,15825,341.72371154,2018,RS_70661,geo,TRUE
RS_70670,21.329119167948623,43.576321127527464,RS,RS21,RS216,70670,Kruševac,122437,854.05219959,2018,RS_70670,geo,TRUE
RS_70688,21.269009481548203,43.13988001088701,RS,RS22,RS229,70688,Kuršumlija,17787,952.00598251,2018,RS_70688,geo,TRUE
RS_70696,21.62534519719477,44.5071357864974,RS,RS22,RS222,70696,Kučevo,13551,721.13997227,2018,RS_70696,geo,TRUE
