gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
IS_0000,-21.86841314841325,64.13067154323694,IS,IS00,IS001,0000,Reykjavíkurborg,NA,244.42257288,2020,IS_0000,geo,TRUE
IS_1000,-21.871167820764978,64.10370962145306,IS,IS00,IS001,1000,Kópavogsbær,NA,109.8771872,2020,IS_1000,geo,TRUE
IS_1100,-21.990355468513286,64.15289498198167,IS,IS00,IS001,1100,Seltjarnarnesbær,NA,2.08016527,2020,IS_1100,geo,TRUE
IS_1300,-21.91978973093812,64.09076476324051,IS,IS00,IS001,1300,Garðabær,NA,45.5812442,2020,IS_1300,geo,TRUE
IS_1400,-21.9602877873655,64.06083524231715,IS,IS00,IS001,1400,Hafnarfjarðarkaupstaður,NA,173.59742755,2020,IS_1400,geo,TRUE
IS_1604,-21.7020772148163,64.16747295743899,IS,IS00,IS001,1604,Mosfellsbær,NA,186.06966387,2020,IS_1604,geo,TRUE
IS_1606,-21.662926640729985,64.31300280132992,IS,IS00,IS001,1606,Kjósarhreppur,NA,284.0824418,2020,IS_1606,geo,TRUE
IS_2000,-22.562132541300343,63.99496389628037,IS,IS00,IS002,2000,Reykjanesbær,NA,144.40137369,2020,IS_2000,geo,TRUE
IS_2300,-22.43949540410709,63.84355889093318,IS,IS00,IS002,2300,Grindavíkurbær,NA,423.64710086,2020,IS_2300,geo,TRUE
IS_2506,-22.378257818911088,63.97842082423987,IS,IS00,IS002,2506,Sveitarfélagið Vogar,NA,164.67080443,2020,IS_2506,geo,TRUE
IS_2510,-22.66555081705531,64.0594871025082,IS,IS00,IS002,2510,Suðurnesjabær,NA,82.31529037,2020,IS_2510,geo,TRUE
IS_3000,-22.058997526304307,64.31971502978159,IS,IS00,IS002,3000,Akraneskaupstaður,NA,8.57410249,2020,IS_3000,geo,TRUE
IS_3506,-21.620555069457957,64.53471306066244,IS,IS00,IS002,3506,Skorradalshreppur,NA,215.87264613,2020,IS_3506,geo,TRUE
IS_3511,-21.96167918616559,64.33457490285724,IS,IS00,IS002,3511,Hvalfjarðarsveit,NA,480.77636539,2020,IS_3511,geo,TRUE
IS_3609,-21.85894328532354,64.57461204361645,IS,IS00,IS002,3609,Borgarbyggð,NA,4923.49214405,2020,IS_3609,geo,TRUE
IS_3709,-23.268519193112965,64.92284394723993,IS,IS00,IS002,3709,Grundarfjarðarbær,NA,148.97445313,2020,IS_3709,geo,TRUE
IS_3710,-22.732130488462133,65.01082575947886,IS,IS00,IS002,3710,Helgafellssveit,NA,241.47739033,2020,IS_3710,geo,TRUE
