gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
DK_101,12.571009572937413,55.68387600254311,DK,DK01,DK011,101,København,632340,91.12222905,2020,DK_101,official,TRUE
DK_147,12.527413559238116,55.681293539314076,DK,DK01,DK011,147,Frederiksberg,104305,8.68730628,2020,DK_147,official,TRUE
DK_151,12.366022866802801,55.72665220492846,DK,DK01,DK012,151,Ballerup,48602,34.01120771,2020,DK_151,official,TRUE
DK_153,12.42005078253316,55.64107742048659,DK,DK01,DK012,153,Brøndby,35090,21.05794208,2020,DK_153,official,TRUE
DK_155,12.65230851199455,55.589685206520144,DK,DK01,DK011,155,Dragør,14494,18.709394,2020,DK_155,official,TRUE
DK_157,12.558198514403012,55.7487303528053,DK,DK01,DK012,157,Gentofte,74830,25.81049326,2020,DK_157,official,TRUE
DK_159,12.487194653066744,55.73920283961759,DK,DK01,DK012,159,Gladsaxe,69262,24.9337317,2020,DK_159,official,TRUE
DK_161,12.404488671331302,55.67116103230217,DK,DK01,DK012,161,Glostrup,23128,13.34880859,2020,DK_161,official,TRUE
DK_163,12.43174258274527,55.730405041151194,DK,DK01,DK012,163,Herlev,28953,12.06767006,2020,DK_163,official,TRUE
DK_165,12.35008271801108,55.67035079534615,DK,DK01,DK012,165,Albertslund,27731,23.46557945,2020,DK_165,official,TRUE
DK_167,12.471798560722346,55.63773502791822,DK,DK01,DK012,167,Hvidovre,53527,23.18904635,2020,DK_167,official,TRUE
DK_169,12.271264783919904,55.65066344200113,DK,DK01,DK012,169,Høje-Taastrup,50759,78.16905355,2020,DK_169,official,TRUE
DK_173,12.495789640903377,55.78217976888806,DK,DK01,DK012,173,Lyngby-Taarbæk,56214,38.94247133,2020,DK_173,official,TRUE
DK_175,12.453563621466625,55.68333952385952,DK,DK01,DK012,175,Rødovre,40652,12.1459998,2020,DK_175,official,TRUE
DK_183,12.354131893030239,55.61528737168462,DK,DK01,DK012,183,Ishøj,22989,26.10696319,2020,DK_183,official,TRUE
DK_185,12.617089283893934,55.62794869465435,DK,DK01,DK011,185,Tårnby,42989,66.7242956,2020,DK_185,official,TRUE
DK_187,12.376130277465611,55.63116415861494,DK,DK01,DK012,187,Vallensbæk,16633,9.15730482,2020,DK_187,official,TRUE
DK_190,12.373184106389669,55.80468894397749,DK,DK01,DK013,190,Furesø,40965,56.73781638,2020,DK_190,official,TRUE
DK_201,12.336945135325795,55.8647668277261,DK,DK01,DK013,201,Allerød,25633,67.48778484,2020,DK_201,official,TRUE
DK_210,12.487081459218972,55.941486206719894,DK,DK01,DK013,210,Fredensborg,40865,112.6965596,2020,DK_210,official,TRUE
DK_217,12.577148435980313,56.02782610496288,DK,DK01,DK013,217,Helsingør,62695,123.57478843,2020,DK_217,official,TRUE
DK_219,12.293829372360674,55.93435234737989,DK,DK01,DK013,219,Hillerød,51183,213.30230176,2020,DK_219,official,TRUE
DK_223,12.503813663602854,55.887867518580784,DK,DK01,DK013,223,Hørsholm,24864,31.57087133,2020,DK_223,official,TRUE
DK_230,12.470759306347132,55.83254601418813,DK,DK01,DK013,230,Rudersdal,56728,73.75258722,2020,DK_230,official,TRUE
DK_240,12.21429531016725,55.767528429971385,DK,DK01,DK013,240,Egedal,43354,125.66742356,2020,DK_240,official,TRUE
DK_250,12.098817140433722,55.84058254326416,DK,DK01,DK013,250,Frederikssund,45223,250.90488736,2020,DK_250,official,TRUE
DK_253,12.28924069188455,55.58802655838831,DK,DK02,DK021,253,Greve,50558,60.60164324,2020,DK_253,official,TRUE
DK_259,12.143547896533827,55.459498473605564,DK,DK02,DK021,259,Køge,60979,257.24242144,2020,DK_259,official,TRUE
DK_260,11.985788478277044,55.96688372395013,DK,DK01,DK013,260,Halsnæs,31384,123.56607203,2020,DK_260,official,TRUE
DK_265,12.084692013304547,55.64778675057897,DK,DK02,DK021,265,Roskilde,87914,212.68591564,2020,DK_265,official,TRUE
DK_269,12.199164456488878,55.53210659407158,DK,DK02,DK021,269,Solrød,23255,40.34237017,2020,DK_269,official,TRUE
DK_270,12.237743118372972,56.05842165894173,DK,DK01,DK013,270,Gribskov,41048,280.49916788,2020,DK_270,official,TRUE
DK_306,11.580723374172253,55.86450831182777,DK,DK02,DK022,306,Odsherred,32957,358.52467962,2020,DK_306,official,TRUE
DK_316,11.683904565980741,55.695749574983594,DK,DK02,DK022,316,Holbæk,71541,579.79064015,2020,DK_316,official,TRUE
DK_320,12.021652937714368,55.304212232317695,DK,DK02,DK022,320,Faxe,36576,405.37298556,2020,DK_320,official,TRUE
DK_326,11.153556531998499,55.63908479225499,DK,DK02,DK022,326,Kalundborg,48436,607.15719453,2020,DK_326,official,TRUE
DK_329,11.795944008072208,55.446670026135656,DK,DK02,DK022,329,Ringsted,34852,295.2702117,2020,DK_329,official,TRUE
DK_330,11.31051212325089,55.37998132804125,DK,DK02,DK022,330,Slagelse,79073,575.39207158,2020,DK_330,official,TRUE
DK_336,12.308861703671159,55.34450603115636,DK,DK02,DK022,336,Stevns,22805,252.03902561,2020,DK_336,official,TRUE
DK_340,11.542823936631555,55.466758632247064,DK,DK02,DK022,340,Sorø,29881,309.12050658,2020,DK_340,official,TRUE
DK_350,11.904870504066981,55.63377342420941,DK,DK02,DK021,350,Lejre,27996,240.72403918,2020,DK_350,official,TRUE
DK_360,11.264561873355804,54.80515469062357,DK,DK02,DK022,360,Lolland,41105,902.2449571,2020,DK_360,official,TRUE
DK_370,11.762784164467028,55.23154556616212,DK,DK02,DK022,370,Næstved,83143,685.45782871,2020,DK_370,official,TRUE
DK_376,11.885173237097474,54.77708213572604,DK,DK02,DK022,376,Guldborgsund,60722,909.26301482,2020,DK_376,official,TRUE
DK_390,11.942475468182147,55.028037059932224,DK,DK02,DK022,390,Vordingborg,45566,628.86378663,2020,DK_390,official,TRUE
DK_400,14.81770513723258,55.10054824239723,DK,DK01,DK014,400,Bornholm,39499,590.42587879,2020,DK_400,official,TRUE
DK_410,9.784007627319047,55.49118291309238,DK,DK03,DK031,410,Middelfart,38853,300.87256905,2020,DK_410,official,TRUE
DK_411,15.19252660197152,55.3215839809538,DK,DK01,DK014,411,Christiansø,84,0.36676024,2020,DK_411,official,TRUE
DK_420,10.031204334844835,55.30319996509737,DK,DK03,DK031,420,Assens,40965,513.65395892,2020,DK_420,official,TRUE
DK_430,10.396781151522303,55.2074857067759,DK,DK03,DK031,430,Faaborg-Midtfyn,51556,639.14266581,2020,DK_430,official,TRUE
DK_440,10.606443092293977,55.42794998141551,DK,DK03,DK031,440,Kerteminde,23812,208.08148299,2020,DK_440,official,TRUE
DK_450,10.770104439510115,55.313481781682235,DK,DK03,DK031,450,Nyborg,32009,278.16312225,2020,DK_450,official,TRUE
DK_461,10.389133256251448,55.39376994018263,DK,DK03,DK031,461,Odense,204895,304.82020133,2020,DK_461,official,TRUE
DK_479,10.60823202202341,55.06950009648617,DK,DK03,DK031,479,Svendborg,58296,417.71841587,2020,DK_479,official,TRUE
DK_480,10.252220670283657,55.51741533562693,DK,DK03,DK031,480,Nordfyns,29665,452.47650594,2020,DK_480,official,TRUE
DK_482,10.730861724984933,54.93167734557259,DK,DK03,DK031,482,Langeland,12491,292.26907061000003,2020,DK_482,official,TRUE
DK_492,10.46948664457325,54.86578804577147,DK,DK03,DK031,492,Ærø,5964,90.81881607,2020,DK_492,official,TRUE
DK_510,9.444368731110389,55.25103700324685,DK,DK03,DK032,510,Haderslev,55670,815.18800878,2020,DK_510,official,TRUE
DK_530,8.990219635321454,55.74612892606652,DK,DK03,DK032,530,Billund,26608,540.51315498,2020,DK_530,official,TRUE
DK_540,9.814240077821346,54.93041855447901,DK,DK03,DK032,540,Sønderborg,74220,498.82883871,2020,DK_540,official,TRUE
DK_550,8.895176885773273,55.031077852727705,DK,DK03,DK032,550,Tønder,37366,1185.79426562,2020,DK_550,official,TRUE
DK_561,8.48097563172854,55.47650806375302,DK,DK03,DK032,561,Esbjerg,115483,759.35881643,2020,DK_561,official,TRUE
DK_563,8.397867184542136,55.443175242968586,DK,DK03,DK032,563,Fanø,3488,65.02032785,2020,DK_563,official,TRUE
DK_573,8.500748909819078,55.658554391992865,DK,DK03,DK032,573,Varde,49961,1238.30074684,2020,DK_573,official,TRUE
DK_575,9.094561373832006,55.466265900737135,DK,DK03,DK032,575,Vejen,42742,814.44578886,2020,DK_575,official,TRUE
DK_580,9.382376829976497,55.01913202216255,DK,DK03,DK032,580,Aabenraa,58761,942.51423594,2020,DK_580,official,TRUE
DK_607,9.734531327438871,55.56552732328296,DK,DK03,DK032,607,Fredericia,51377,135.27389751,2020,DK_607,official,TRUE
DK_615,9.843372076877646,55.86680931091948,DK,DK04,DK042,615,Horsens,90966,524.92928326,2020,DK_615,official,TRUE
