gisco_id,nuts_3,area,area_share
BG_05030,BG334,15123969.780566454,1
BG_05044,BG314,27120784.87688292,0.998932990596605
BG_05044,BG321,28969.042732089758,0.0010670094033950106
BG_05058,BG324,30800251.927179933,1
BG_05061,BG332,68516174.25604886,1
BG_05075,BG333,18613779.669894636,0.9939735399121785
BG_05075,BG334,112855.31833577156,0.006026460087821466
BG_05089,BG425,3478835.575574398,1
BG_05092,BG342,22917495.859816313,0.9979780834413277
BG_05092,BG343,46431.144261687994,0.0020219165586723305
BG_05102,BG331,58606210.623422146,1
BG_05124,BG325,23660572.16219163,1
BG_05133,BG323,51871689.100126505,0.9954996286587967
BG_05133,BG334,230067.6120872721,0.00441536079454056
BG_05133,BG321,4429.575380816532,8.501054666269295e-5
BG_05147,BG412,93431006.71013945,1
BG_00847,BG421,23553816.021161854,1
BG_00850,BG424,34391449.12759924,0.9989338778241053
BG_00850,BG425,36704.618183493614,0.0010661221758947715
BG_00864,BG425,11902752.909396278,0.9991188211888852
BG_00864,BG424,10497.704012036324,8.81178811114844e-4
BG_00878,BG341,51487751.763819695,1
BG_00881,BG423,21416319.944092274,1
BG_00895,BG325,129575779.40161061,1
BG_00905,BG425,2529133.7590910196,1
BG_00919,BG311,23606269.87299013,1
BG_02021,BG334,24949437.402062654,1
BG_05150,BG421,53715936.5450995,1
BG_05164,BG321,32481401.342257738,0.9985273675505213
BG_05164,BG342,47903.71017920971,0.0014726324494786888
BG_05181,BG425,31337128.074212078,0.9994429349086771
BG_05181,BG422,17466.550117796287,5.570650913229465e-4
BG_05195,BG311,123604972.09934342,1
BG_05205,BG425,14805059.003948689,1
BG_05236,BG312,30347516.65109086,1
BG_05253,BG312,15511671.76068312,1
BG_05270,BG421,48869286.669502944,1
BG_05270,BG344,0,0
BG_05284,BG343,72716203.29524088,1
BG_05298,BG422,44596691.77096781,1
BG_05308,BG343,55067146.624215424,0.9992651514112741
BG_05308,BG342,40495.773243784904,7.348485887259078e-4
BG_02035,BG421,30258776.560361147,1
BG_02049,BG415,18665770.653124213,1
BG_02049,BG414,0,0
BG_02052,BG415,5917347.381847262,1
BG_02066,BG414,25505826.23975277,1
BG_02083,BG323,32602679.700497508,1
BG_02097,BG325,72159757.15562916,1
BG_02107,BG413,31699364.23284422,1
BG_02124,BG425,4115892.118555188,1
BG_02138,BG415,15168900.395150661,1
BG_02141,BG425,47638802.544406235,0.9937142746189115
BG_02141,BG422,301338.561723768,0.006285725381088553
BG_03277,BG414,3186109.277233362,1
BG_03280,BG311,48702797.264879405,1
BG_03294,BG413,46654846.58580351,1
BG_03304,BG421,24940967.487665653,1
BG_03318,BG332,62434424.8750028,1
BG_03321,BG424,6409192.588046551,1
BG_03335,BG413,3411755.745797932,1
BG_03349,BG341,77231067.43897963,1
BG_03366,BG314,271819689.44264174,0.9995857171979177
BG_03366,BG321,112656.89441736788,4.1428280208243446e-4
BG_03373,BG315,47903497.49383485,0.9942711765309112
BG_03373,BG313,276011.90416846424,0.005728823469088768
BG_03383,BG312,31318224.941173702,0.9990773779022092
BG_03383,BG313,28921.57007396221,9.226220977907787e-4
BG_05311,BG331,26558726.523500144,1
BG_05325,BG425,11953082.25564158,1
BG_05339,BG421,41267542.758573055,1
BG_05342,BG332,14862175.655037403,1
BG_05356,BG421,40029081.00462079,1
BG_05390,BG412,47327924.67955035,0.9995186217301342
BG_05390,BG411,22793.60684560798,4.813782698657957e-4
BG_05400,BG322,8417211.166765392,1
BG_05414,BG424,38909982.63480353,1
BG_05428,BG311,19573551.20354283,1
BG_05431,BG344,42712334.69822025,1
BG_05445,BG315,121927529.47212267,1
BG_02155,BG425,6332381.347841978,1
BG_02172,BG415,35134443.76257855,1
BG_02227,BG314,69025985.08063674,1
BG_02230,BG414,38163215.86195111,0.9889703215733671
BG_02230,BG415,425622.4777441621,0.011029678426632914
BG_02244,BG333,14501872.98960495,1
BG_02258,BG412,48092455.7914353,1
BG_02261,BG425,12214052.86246872,1
BG_02289,BG412,13618821.383735478,0.9963719363533315
BG_02289,BG411,49589.86596274376,0.003628063646668418
BG_02292,BG425,19709762.935990095,1
BG_02302,BG315,44383621.09557629,1
BG_02347,BG322,26715897.31489277,1
BG_03397,BG312,28040312.725816965,0.9919151894594262
BG_03397,BG313,228548.38628917036,0.008084810540573724
BG_03407,BG344,19024072.459623814,1
BG_03410,BG425,14544129.011942625,1
BG_03424,BG422,14274231.219937325,1
BG_03438,BG313,52804920.77762556,0.9999935562966222
BG_03438,BG312,340.26143892481923,6.443703377833873e-6
BG_03441,BG412,177479576.91237655,0.9934418800524513
BG_03441,BG413,1122736.5329454727,0.00628451741601566
BG_03441,BG415,48879.41862896718,2.7360253153299976e-4
BG_03455,BG341,37593008.100824594,1
BG_03469,BG312,36867135.73955065,1
BG_03472,BG324,24857245.998527765,1
BG_03472,BG333,0,0
BG_03486,BG315,77743267.48982286,1
BG_03486,BG421,0,0
BG_05459,BG423,55044620.34549644,1
BG_05462,BG424,133742402.56138992,0.9986668705310152
BG_05462,BG423,178533.94697334318,0.001333129468984813
BG_05476,BG424,18176428.739875555,1
BG_05480,BG342,42452636.728354454,0.9999057458452334
BG_05480,BG334,4001.71457067132,9.42541547666536e-5
BG_05493,BG314,22139912.662289977,0.9992747657508302
BG_05493,BG315,16068.276200545952,7.252342491697718e-4
BG_05503,BG422,43611395.28923488,1
BG_05517,BG323,57120361.9665457,1
BG_05520,BG343,35220367.43951464,1
BG_05534,BG414,10423246.042196035,1
BG_05548,BG313,155197620.17550373,1
BG_02350,BG415,25680807.705572605,1
BG_02364,BG321,63320966.25136185,1
BG_02381,BG413,14167769.331731081,1
BG_02395,BG311,21301184.19650783,1
BG_02405,BG332,28072629.31732118,1
BG_02448,BG315,68451803.499336,1
BG_02448,BG421,0,0
BG_02467,BG324,60425368.43313646,0.9994631638544585
BG_02467,BG334,32455.94540719688,5.368361455414101e-4
BG_02470,BG321,25699536.44922018,1
BG_02484,BG332,37512436.03261471,1
BG_02508,BG332,141517801.63846016,1
BG_03499,BG425,31668597.604835033,0.9985849294973592
BG_03499,BG422,44876.80216960609,0.0014150705026407964
BG_03504,BG413,232673446.874434,0.9999804837462491
