gisco_id,nuts_3,area,area_share
DK_7002,DK011,2903402.678751707,1
DK_7003,DK011,1777823.7151759267,1
DK_7011,DK011,421943.342210114,1
DK_7024,DK011,2542699.67783916,1
DK_7026,DK011,4364559.17405024,1
DK_7026,DK012,0,0
DK_7027,DK011,3653527.7380580306,1
DK_7027,DK012,0,0
DK_7028,DK011,4352659.885336235,0.9843258687136882
DK_7028,DK012,69310.54507038184,0.01567413128631176
DK_7036,DK011,1511169.181854546,1
DK_7037,DK011,1754650.5215311795,1
DK_7038,DK011,405765.45308071375,1
DK_7039,DK011,757672.8923339844,1
DK_7040,DK011,2286895.5022129565,1
DK_7041,DK011,4039090.1129371077,1
DK_7043,DK011,1391045.5910243988,1
DK_7044,DK011,2604500.7252348512,1
DK_7046,DK011,8591163.76835227,1
DK_7050,DK011,713397.3134890795,1
DK_7051,DK011,1537796.164547205,1
DK_7053,DK011,3406986.1000172906,1
DK_7054,DK011,2811707.9189867973,1
DK_7055,DK011,1451129.4576153755,1
DK_7056,DK011,8653924.428471446,0.9986661925862924
DK_7056,DK012,11558.084819581592,0.0013338074137076523
DK_7057,DK011,5865873.3781859875,1
DK_7057,DK012,0,0
DK_7058,DK011,6607106.200616956,1
DK_7058,DK012,0,0
DK_7059,DK011,3486865.9459118545,1
DK_7060,DK011,3281348.1242536455,1
DK_7061,DK011,2191449.907010317,1
DK_7062,DK011,2119312.013074875,1
DK_7063,DK011,996284.5173550323,1
DK_7064,DK011,5080132.728072166,1
DK_7065,DK011,4532837.8216125965,0.9945720965879592
DK_7065,DK012,24738.081796750426,0.005427903412040778
DK_7066,DK011,4436917.078984261,0.9411245610687493
DK_7066,DK012,277567.33947110176,0.058875438931250725
DK_7067,DK011,5837489.062274277,0.9858099824490759
DK_7067,DK012,84026.40845775604,0.014190017550924085
DK_7068,DK011,5927172.758137345,1
DK_7070,DK011,7507477.188978672,0.9997789904605227
DK_7070,DK012,1659.5908615845256,2.2100953947729664e-4
DK_7080,DK011,10735581.479411826,1
DK_7081,DK011,1585741.933148265,1
DK_7082,DK011,20677438.106426205,1
DK_7083,DK011,888899.4350020885,1
DK_7084,DK011,4269222.604888916,1
DK_7085,DK011,3548491.3281861544,1
DK_7086,DK011,2132412.151632428,1
DK_7087,DK011,3999487.776810944,1
DK_7088,DK011,5628929.695023119,1
DK_7089,DK011,6673576.479464889,1
DK_7090,DK011,40765288.585775316,1
DK_7102,DK011,749135.1492059231,1
DK_7103,DK011,2318132.568033181,1
DK_7104,DK011,3558389.357523203,1
DK_7105,DK011,2873127.3896079063,1
DK_7106,DK011,1885661.03693825,1
DK_7107,DK011,2994682.3838303387,1
DK_7108,DK011,3515924.754318416,1
DK_7109,DK011,2042727.8773169518,1
DK_7110,DK012,6751657.622550689,0.9859188867110859
DK_7110,DK011,96428.67902474478,0.014081113288914149
DK_7111,DK012,6830169.169190243,1
DK_7112,DK012,12670556.186458826,1
DK_7113,DK012,13535993.455042243,1
DK_7114,DK012,7463048.379026115,0.9984786953273581
DK_7114,DK011,11370.868927195668,0.0015213046726418654
DK_7115,DK012,14356724.460797906,1
DK_7116,DK012,9192679.805677176,1
DK_7117,DK012,4974984.391990554,0.9945833243779283
DK_7117,DK011,27094.639549820684,0.005416675622071684
DK_7118,DK012,5101447.169358015,1
DK_7119,DK012,21218630.934188604,1
DK_7120,DK012,6604756.325206697,1
DK_7121,DK012,19732858.572129883,0.9830391124603315
DK_7121,DK013,340461.32125956885,0.016960887539668495
DK_7122,DK012,18824303.826166153,0.9978090746870024
DK_7122,DK013,41333.201710198075,0.0021909253129975452
DK_7123,DK012,20989413.695713043,0.9835125253155715
DK_7123,DK013,351863.7719819844,0.01648747468442842
DK_7124,DK012,34263117.81444651,0.9956221520085079
DK_7124,DK013,150658.28055716679,0.004377847991491986
DK_7125,DK013,27067200.84133017,0.9894472565987141
DK_7125,DK012,288679.5866729766,0.01055274340128591
DK_7126,DK013,38873042.96426311,0.9983321566272261
DK_7126,DK012,64942.46094059199,0.0016678433727738817
DK_7127,DK013,30066644.932229295,0.9938663176858477
DK_7127,DK012,185557.3983995365,0.006133682314152348
DK_7128,DK013,16957435.17782402,1
DK_7129,DK013,12753097.71897246,1
DK_7129,DK012,0,0
DK_7130,DK012,15695192.330291212,1
DK_7131,DK012,6409047.282865673,1
DK_7132,DK012,20675390.591985703,0.9852429913757577
DK_7132,DK013,309676.82079064846,0.014757008624242385
DK_7133,DK012,12129909.219589591,1
DK_7134,DK012,10270630.46204412,0.9963932887933894
DK_7134,DK011,37177.28571944684,0.00360671120661064
DK_7135,DK012,5858588.401611537,1
DK_7136,DK012,8152313.26078558,1
DK_7136,DK011,0,0
DK_7137,DK012,12275556.685337134,0.9904147975679394
DK_7137,DK011,118802.44124393805,0.009585202432060656
DK_7138,DK012,7319133.456032634,0.9920101542660272
DK_7138,DK011,58949.746601462364,0.007989845733972795
DK_7139,DK012,14257122.460264921,0.996849880921534
DK_7139,DK011,45053.55753725767,0.00315011907846601
DK_7140,DK012,4207607.6266640425,1
DK_7140,DK011,0,0
DK_7141,DK012,8249941.494619802,0.9907458875606701
DK_7141,DK011,77058.9988489151,0.009254112439329904
DK_7142,DK012,14031261.817072868,0.9999846766412616
DK_7142,DK011,215.00935304164886,1.5323358738455468e-5
DK_7143,DK012,8506743.827238798,0.9694753749547149
DK_7143,DK011,267840.90900182724,0.030524625045285133
DK_7144,DK012,29332419.82018584,1
DK_7145,DK012,12922052.796104737,1
DK_7146,DK012,40093114.8299177,1
DK_7147,DK012,41784618.82183039,1
DK_7148,DK012,29035082.417760134,1
DK_7149,DK012,28621997.84203024,1
DK_7150,DK012,26335725.291448653,0.9975131678691658
DK_7150,DK021,65655.80280358624,0.0024868321308342445
DK_7151,DK012,54936827.17817354,0.9886923680940498
DK_7151,DK021,628310.1193641424,0.011307631905950234
DK_7152,DK012,28873270.24510944,1
DK_7153,DK012,28361306.73748207,1
DK_7154,DK013,96622103.32470274,0.990837674312463
DK_7154,DK012,893469.4372517467,0.009162325687537078
DK_7155,DK012,32493990.334107876,0.9954809229532212
DK_7155,DK013,147509.45245790482,0.004519077046778809
DK_7156,DK021,34332697.17161572,1
DK_7156,DK012,0,0
DK_7157,DK021,10030242.054337054,1
DK_8005,DK041,110687272.3869952,0.9914812325681864
DK_8005,DK042,951020.6549086217,0.008518767431813498
DK_8006,DK042,44899488.814414024,0.9889318561958718
DK_8006,DK041,502515.91736706626,0.011068143804128293
DK_8007,DK042,198307749.00706768,0.9901781814678721
DK_8007,DK041,1967062.8587016375,0.009821818532127878
DK_8010,DK042,32279175.85190296,1
DK_8011,DK042,24097013.762980223,1
