gisco_id,nuts_3,area,area_share
FR_01337,FRK21,35091361.614459395,1
FR_01337,FRC13,0,0
FR_01338,FRK21,58178157.699943185,0.994540903050661
FR_01338,FRK24,319343.53051112447,0.005459096949338948
FR_01339,FRK21,6439028.971425474,1
FR_01339,FRK26,0,0
FR_01341,FRK21,10181402.580462307,1
FR_01342,FRK21,21838630.664794825,1
FR_01343,FRK21,35207326.924532115,1
FR_01344,FRK21,26671297.413026154,1
FR_01345,FRK21,5327388.572685808,1
FR_01346,FRK21,32571499.394223273,1
FR_01347,FRK21,13847862.070035845,1
FR_01348,FRK21,54116086.26375958,1
FR_01348,FRC13,0,0
FR_01348,FRK26,0,0
FR_05029,FRL02,20831029.70056498,1
FR_05031,FRL02,61539800.558307864,1
FR_05032,FRL02,201845813.67909348,1
FR_05033,FRL02,39523579.19522774,1
FR_05035,FRL02,52292027.80467087,1
FR_05036,FRL02,181656841.6221714,1
FR_05037,FRL02,13937181.619330913,1
FR_05038,FRL02,132927178.79508585,1
FR_05039,FRL02,54961521.230513096,1
FR_05040,FRL02,111837564.19420362,1
FR_05040,FRL01,0,0
FR_05043,FRL02,17384870.95031774,1
FR_05044,FRL02,106777680.44233346,1
FR_05044,FRL01,0,0
FR_05045,FRL02,110677749.91803113,0.9984759183339379
FR_05045,FRL01,168939.40694386687,0.0015240816660620185
FR_05046,FRL02,70763109.03070924,1
FR_05047,FRL02,51238587.036417134,0.9884127656508267
FR_05047,FRK23,334355.1490481943,0.0064498440861656715
FR_05047,FRL01,266318.51315460727,0.00513739026300769
FR_05048,FRL02,66089689.112606764,1
FR_05048,FRK23,0,0
FR_05049,FRL02,47826754.53791827,1
FR_05050,FRL02,26845413.772667527,1
FR_05050,FRL01,0,0
FR_05051,FRL02,27577364.09999469,0.9992214058661362
FR_05051,FRK23,21488.304583579302,7.785941338638664e-4
FR_05052,FRL02,60156268.16398078,1
FR_05053,FRL02,69175167.60580909,1
FR_05054,FRL02,20289101.686950937,1
FR_05055,FRL02,61387844.532968506,1
FR_05056,FRL02,14537735.083092138,1
FR_05057,FRL02,14394925.419656456,1
FR_05058,FRL02,179595207.23964858,1
FR_05059,FRL02,15514902.030353308,1
FR_05060,FRL02,27253042.803012222,1
FR_05061,FRL02,214900052.91618025,1
FR_05062,FRL02,42922393.104640484,1
FR_05062,FRK24,0,0
FR_05063,FRL02,247034765.47500098,0.9962532387623897
FR_05063,FRK24,687679.2022287621,0.002773304523080459
FR_05063,FRK27,241382.05209016055,9.734567145298008e-4
FR_05064,FRL02,253277189.4554233,0.9973455511704409
FR_05064,FRK24,674100.7049311809,0.0026544488295591182
FR_05065,FRL02,100113038.89919001,1
FR_05066,FRL02,14318481.98303008,0.9985845498413881
FR_05066,FRK23,20295.82532313466,0.0014154501586119217
FR_05068,FRL02,44548943.63013703,0.9997219623530372
FR_05068,FRL01,12389.728272499517,2.78037646962854e-4
FR_05070,FRL02,44162132.59826574,0.9991040719124962
FR_05070,FRL01,39601.57516235113,8.959280875038077e-4
FR_05071,FRL02,28837713.836832464,1
FR_05071,FRL01,0,0
FR_05072,FRL02,20853526.816367432,1
FR_05073,FRL02,43613418.8647877,1
FR_05074,FRL02,8469504.956453443,1
FR_05074,FRL01,0,0
FR_05075,FRL02,49557472.442456424,1
FR_05076,FRL02,21522561.116801083,1
FR_05077,FRL02,105741811.6219492,1
FR_05078,FRL02,14849245.551825404,1
FR_05078,FRL01,0,0
FR_05079,FRL02,268095158.0436327,0.9996601186298504
FR_05079,FRK27,91151.53035337105,3.3988137014959955e-4
FR_05080,FRL02,50318731.55871534,0.9945900179422372
FR_05080,FRK23,273704.1695484221,0.00540998205776275
FR_05081,FRL02,41763671.38111073,1
FR_05082,FRL02,1142896.0880322456,1
FR_05084,FRL02,29300119.543807477,1
FR_05085,FRL02,79455795.9034119,1
FR_05086,FRL02,53714957.74735908,0.9930771669910129
FR_05086,FRK23,374451.9508957062,0.006922833008987118
FR_05087,FRL02,96998661.55139475,1
FR_05088,FRL02,50342214.70241654,1
FR_05088,FRK23,0,0
FR_05089,FRL02,8344684.836312413,1
FR_05090,FRL02,109954415.35616055,1
FR_05091,FRL02,21124201.15060103,1
FR_05091,FRK23,0,0
FR_05092,FRL02,16954322.54347551,1
FR_05093,FRL02,382529135.5484792,0.9980313923342337
FR_05093,FRK27,754535.1723441086,0.0019686076657664292
FR_05094,FRL02,8425871.055161774,1
FR_05095,FRL02,43681961.85174221,1
FR_05096,FRL02,197837916.75544143,1
FR_05097,FRL02,53554097.72497594,1
FR_05098,FRL02,145610545.54540482,0.9988135540394814
FR_05098,FRL01,172964.2563144802,0.0011864459605186453
FR_05099,FRL02,23294451.123000145,1
FR_05100,FRL02,25431156.129504085,1
FR_05101,FRL02,399715531.40432084,0.9991002297198104
FR_05101,FRK24,359976.05144045316,8.99770280189566e-4
FR_05102,FRL02,42473683.07622971,0.9960588731378415
FR_05102,FRK23,168056.5053139925,0.003941126862158577
FR_05103,FRL02,29592671.14466387,0.9985788404771629
FR_05103,FRL01,42115.75961626135,0.0014211595228369467
FR_05104,FRL02,27362405.74131465,1
FR_05106,FRL02,30249056.362723768,1
FR_05106,FRL01,0,0
FR_05107,FRL02,31450205.32254517,1
FR_05108,FRL02,22192908.34586996,1
FR_05109,FRL02,15522114.597312927,1
FR_02266,FRE21,7205673.341269991,1
FR_02267,FRE21,16894276.56497073,1
FR_02268,FRE21,10338861.622410178,1
FR_02269,FRE21,24667378.26819803,1
FR_02270,FRE21,12109661.620593399,1
FR_02271,FRE21,37350433.09616379,0.9963992408387737
FR_02271,FRF23,134975.9299631411,0.0036007591612262873
FR_02272,FRE21,12268694.468671352,1
FR_02273,FRE21,18974972.253116667,1
FR_02274,FRE21,30039006.113659218,1
FR_02275,FRE21,6462816.862985373,1
FR_02276,FRE21,19622341.966619223,1
FR_02277,FRE21,26301116.171804428,1
FR_02278,FRE21,18083481.501973227,1
FR_02279,FRE21,46638476.89779727,1
FR_02280,FRE21,44506490.536750145,1
FR_02281,FRE21,28414863.753526032,1
FR_02282,FRE21,18877884.023193836,1
FR_02283,FRE21,21273231.408001363,1
FR_02284,FRE21,17387885.021847755,1
FR_02286,FRE21,39610420.283984184,1
FR_02287,FRE21,31827755.603583217,1
FR_02288,FRE21,11706807.541600078,1
FR_02289,FRE21,17162900.94748403,1
FR_02290,FRE21,66108098.16430467,1
FR_02291,FRE21,17635369.583489615,1
FR_02292,FRE21,4910924.5500738025,1
FR_02293,FRE21,32987529.949702352,1
FR_02294,FRE21,5894778.542337537,1
FR_02295,FRE21,41983162.92971611,1
FR_02296,FRE21,20778458.13727662,1
FR_02297,FRE21,12182467.167026684,1
FR_02298,FRE21,24662797.37692055,1
FR_02299,FRE21,21223856.17160076,0.9941284511008189
FR_02299,FRF21,125352.92517053382,0.005871548899181064
FR_02301,FRE21,17367579.634788163,1
FR_02302,FRE21,32474108.214708645,1
FR_02303,FRE21,14960930.335675817,1
FR_02304,FRE21,15671945.626594394,1
FR_02305,FRE21,49348597.48800346,1
FR_02306,FRE21,57076602.31851204,1
FR_02307,FRE21,44339039.74740142,0.9876172726747845
FR_02307,FRE22,555922.0704666227,0.012382727325215536
FR_02308,FRE21,38737986.537634104,0.9971533627470516
FR_02308,FRE11,110587.79893039912,0.0028466372529483853
FR_02309,FRE21,16128164.907539606,1
FR_02310,FRE21,19080976.0958775,1
FR_02311,FRE21,11643099.001357138,1
FR_02312,FRE21,64138981.84699926,0.9880108754629541
FR_02312,FRE11,778301.3933755383,0.011989124537045934
FR_02313,FRE21,32885409.9166653,1
FR_02315,FRE21,31653354.642007947,1
FR_02316,FRE21,15434286.541843496,1
FR_02317,FRE21,13484839.774636105,1
FR_02318,FRE21,20739847.302661914,1
FR_02319,FRE21,23210094.508377947,1
FR_02320,FRE21,12556068.43728751,1
FR_02321,FRE21,47554788.84054819,1
FR_02322,FRE21,29335957.90544206,1
FR_02323,FRE21,14398777.025213763,1
FR_02324,FRE21,23991509.980799675,0.9971557180294875
FR_02324,FRE11,68433.26277926564,0.002844281970512501
FR_02326,FRE21,21039913.09554416,1
FR_02327,FRE21,11565809.225930661,0.9991034431976902
FR_02327,FRE23,10378.710038810968,8.965568023098773e-4
FR_02328,FRE21,17327832.754311383,1
FR_02329,FRE21,22898801.18007636,1
FR_02330,FRE21,13102479.133679032,1
FR_02331,FRE21,6795661.277523845,1
FR_02332,FRE21,21129417.777556077,1
FR_02333,FRE21,16548303.133401573,1
FR_02334,FRE21,36815730.6414963,1
FR_02335,FRE21,6853575.07133916,1
FR_02336,FRE21,36506811.0453587,1
FR_02337,FRE21,11718757.881034195,1
FR_02338,FRE21,21109151.760978162,1
FR_02339,FRE21,23767218.265518412,0.992589136931545
FR_02339,FR102,177450.66264611483,0.007410863068454932
FR_02340,FRE21,14738123.426613867,1
FR_02341,FRE21,15545909.589514703,1
FR_02342,FRE21,14432574.092421591,1
FR_02791,FRE21,8955672.281957805,1
FR_02792,FRE21,17213619.20274476,1
FR_02793,FRE21,7126944.444910407,1
FR_02794,FRE21,25429358.563631415,0.9756850048982646
FR_02794,FRF23,633723.7180143446,0.024314995101735445
