gisco_id,nuts_3,area,area_share
CH_CH6417,CH024,92362083.07622457,0.9930179569507557
CH_CH6417,CH011,649410.2504815608,0.006982043049244297
CH_CH9040,CH040,17007959.695380688,1
CH_CH9051,CH040,120713599.50057536,1
CH_CH9051,CH055,0,0
CH_CH9051,CH063,0,0
CH_CH9052,CH063,35935581.43771039,1
CH_CH9052,CH055,0,0
CH_CH9052,CH040,0,0
CH_CH9053,CH055,22611757.787651777,0.99995772417773
CH_CH9053,CH063,955.971067905426,4.227582226997387e-5
CH_CH9053,CH040,0,0
CH_CH9073,CH021,97331206.95712167,1
CH_CH9089,CH021,59996233.805075765,1
CH_CH9149,CH021,80797187.98053557,1
CH_CH9149,CH024,0,0
CH_CH9150,CH024,784772.8917833343,1
CH_CH9150,CH021,0,0
CH_CH9152,CH021,4220022.709773421,1
CH_CH9152,CH011,0,0
CH_CH9152,CH024,0,0
CH_CH9153,CH022,113773337.05735385,0.9999994452971839
CH_CH9153,CH011,63.11042547225952,5.547028161168767e-7
CH_CH9153,CH024,0,0
CH_CH9154,CH011,157299526.43182707,1
CH_CH9154,CH021,0,0
CH_CH9154,CH022,0,0
CH_CH9154,CH024,0,0
CH_CH9155,CH024,177127945.0097611,0.9999978558635543
CH_CH9155,CH022,329.43842911720276,1.8598856478468473e-6
CH_CH9155,CH011,50.348867654800415,2.8425079790308456e-7
CH_CH9155,CH021,0,0
CH_CH9157,CH061,10251523.058651507,1
CH_CH9163,CH061,29938080.95202124,1
CH_CH9173,CH061,2949333.203415245,0.9999822847619071
CH_CH9173,CH033,52.24906551837921,1.7715238092881994e-5
CH_CH9174,CH033,17883045.429681063,1
CH_CH9174,CH061,0,0
CH_CH9176,CH061,4685357.332128167,1
CH_CH9176,CH063,0,0
CH_CH9176,CH066,0,0
CH_CH9177,CH063,21449578.76218903,1
CH_CH9177,CH066,0,0
CH_CH9177,CH061,0,0
CH_CH9178,CH066,49745855.67690182,0.9999996334625617
CH_CH9178,CH063,18.23372519016266,3.665374383194314e-7
CH_CH9178,CH061,0,0
CH_CH9180,CH061,85707941.39461851,1
CH_CH9180,CH063,0,0
CH_CH9180,CH065,0,0
CH_CH9181,CH062,38730121.80712724,1
CH_CH9181,CH063,0,0
CH_CH9181,CH065,0,0
CH_CH9182,CH063,34202361.0471704,0.9999976838876404
CH_CH9182,CH065,79.21669462323189,2.3161123595886974e-6
CH_CH9182,CH061,0,0
CH_CH9182,CH062,0,0
CH_CH9183,CH064,3950660.460486889,1
CH_CH9183,CH065,0,0
CH_CH9184,CH065,71237194.03443408,0.9999995078008186
CH_CH9184,CH063,35.062905851751566,4.921991814678941e-7
CH_CH9184,CH064,0,0
CH_CH9184,CH061,0,0
CH_CH9184,CH062,0,0
CH_CH9216,CH063,22086760.03372225,1
CH_CH9239,CH064,14543132.74427855,1
CH_CH9268,CH051,8229593.986604154,1
CH_CH9268,CH055,0,0
CH_CH9269,CH055,40661524.757472515,1
CH_CH9269,CH051,0,0
CH_CH9270,CH066,13330508.995182514,1
CH_CH9276,CH022,18931861.822909713,1
CH_CH9295,CH022,30029768.57810694,1
CH_CH9295,CH011,0,0
CH_CH9296,CH011,16751498.821706772,1
CH_CH9296,CH022,0,0
CH_CH9327,CH052,369863.0406450927,0.8940751460068364
CH_CH9327,CH057,43819.23460547626,0.10592485399316366
CH_CH9328,CH055,101220101.39371118,1
CH_CH9328,CH057,0,0
CH_CH9329,CH057,274078069.4206273,0.9605612198469557
CH_CH9329,CH055,11199915.2856161,0.039252335335241154
CH_CH9329,CH052,53198.52047023177,1.8644481780304462e-4
CH_CH9710,CH070,54900336.79685354,1
CH_CH9711,CH070,83194308.49787664,1
CH_CH9751,CH011,17922812.727936268,1
CH_CH9758,CH011,617514418.7742504,1
CH_CH9758,CH012,0,0
CH_CH9758,CH013,0,0
CH_CH9759,CH012,20950407.174618065,1
CH_CH9759,CH011,0,0
CH_CH9760,CH013,75288067.89064437,1
CH_CH9760,CH011,0,0
CH_CH2050,CH022,21846058.33072312,0.9989542481042164
CH_CH2050,CH011,22869.472709193826,0.001045751895783591
CH_CH2051,CH022,15901886.088574503,0.9969557936960618
CH_CH2051,CH011,48556.43768905406,0.0030442063039381115
CH_CH2053,CH022,55211563.614550576,0.9918675295028136
CH_CH2053,CH011,452687.88305221195,0.008132470497186281
CH_CH2054,CH022,86310538.80109426,0.9871954764713198
CH_CH2054,CH011,1119499.9887986016,0.012804523528680152
CH_CH2055,CH022,21173836.620728493,1
CH_CH2055,CH011,0,0
CH_CH2061,CH022,3853148.28408283,0.9561879991724899
CH_CH2061,CH011,176549.1053609252,0.04381200082751013
CH_CH2063,CH022,9278677.116909385,0.9910492190712228
CH_CH2063,CH011,83801.49500561343,0.008950780928777225
CH_CH2066,CH022,3973393.2036554217,0.9938223853029025
CH_CH2066,CH011,24698.671125995927,0.006177614697097536
CH_CH2067,CH022,15888600.515013276,1
CH_CH2068,CH022,13227601.121847935,0.9891013185996334
CH_CH2068,CH011,145751.91399224848,0.010898681400366664
CH_CH2072,CH022,9951769.879680745,0.9875152113368786
CH_CH2072,CH011,125816.53664213419,0.012484788663121409
CH_CH2079,CH022,6593452.047847748,1
CH_CH2086,CH022,9792049.918622375,1
CH_CH2087,CH022,17717102.77703774,1
CH_CH2089,CH022,4753647.21601975,0.9791121311257212
CH_CH2089,CH011,101411.83687371947,0.020887868874278896
CH_CH2096,CH022,23533644.22456366,0.9942750976452918
CH_CH2096,CH011,135503.55988512933,0.005724902354708288
CH_CH2097,CH022,23799356.43737793,1
CH_CH2097,CH011,0,0
CH_CH2099,CH022,42868182.99095291,1
CH_CH2099,CH011,0,0
CH_CH2102,CH022,32017707.67062196,0.9983558698856255
CH_CH2102,CH011,52727.96901624091,0.0016441301143745783
CH_CH2111,CH022,11955990.35931778,1
CH_CH2111,CH011,0,0
CH_CH2113,CH022,52096819.9324494,1
CH_CH2114,CH022,32642559.88874632,1
CH_CH2115,CH022,21634194.206772596,0.9993590424393587
CH_CH2115,CH011,13875.493947967887,6.409575606413553e-4
CH_CH2116,CH022,21262108.15172731,1
CH_CH2116,CH011,0,0
CH_CH2121,CH022,127580084.04239905,0.9958474182804701
CH_CH2121,CH011,531995.8811414465,0.00415258171952989
CH_CH2122,CH022,21444014.30659163,1
CH_CH2123,CH022,9187598.244591743,1
CH_CH2124,CH022,20283408.536574304,1
CH_CH2125,CH022,51285573.375166625,1
CH_CH2128,CH022,4225194.4558852315,1
CH_CH2129,CH022,20502085.331598356,1
CH_CH2130,CH022,3966793.2957626283,1
CH_CH2131,CH022,9703313.198973462,1
CH_CH2134,CH022,50597270.334500074,1
CH_CH2134,CH011,0,0
CH_CH2135,CH022,59377939.02779865,1
CH_CH2137,CH022,21909260.056358486,1
