gisco_id,nuts_3,area,area_share
RO_130892,RO316,96832278.3413229,1
RO_130954,RO316,167199476.69287324,0.9966023448231075
RO_130954,RO122,570022.9088464258,0.0033976551768923734
RO_130981,RO316,135161360.18027496,1
RO_131069,RO316,69759972.74791873,1
RO_131103,RO316,102571510.46949369,1
RO_131210,RO316,153727936.25523138,0.9969200793268996
RO_131210,RO313,466940.35541680455,0.003028091233789723
RO_131210,RO122,7992.248233052727,5.182943931067089e-5
RO_131256,RO316,48457243.89031315,1
RO_131274,RO316,31481043.748102188,1
RO_131336,RO316,181868576.90848684,0.9996841228737748
RO_131336,RO313,57466.275706514716,3.158771262250355e-4
RO_131407,RO316,38786205.58616328,1
RO_131407,RO222,0,0
RO_131443,RO316,16145945.024537086,1
RO_131461,RO316,51681024.928423524,1
RO_131540,RO316,178739088.44040495,0.9973388145731356
RO_131540,RO313,476927.04868026264,0.002661185426864425
RO_131577,RO316,80339330.48080444,1
RO_131620,RO316,87659272.6960839,1
RO_13169,RO311,81341670.83118582,1
RO_131817,RO316,42974616.58915186,1
RO_131835,RO316,65996985.81323123,1
RO_13187,RO311,81060223.2696557,1
RO_131899,RO316,44736823.37656641,0.9979957404600147
RO_131899,RO313,89844.2762889862,0.0020042595399853073
RO_131933,RO316,99642623.09155679,1
RO_131988,RO316,54315597.154664874,1
RO_132011,RO316,40192218.52437639,1
RO_132075,RO316,163089060.733387,1
RO_132137,RO316,40750971.850711584,1
RO_132164,RO316,157466545.34002626,0.9920451025444429
RO_132164,RO222,1262674.6683673412,0.00795489745555715
RO_132226,RO316,69570603.94706392,0.9834703674716332
RO_132226,RO322,1169304.6949426066,0.016529632528366797
RO_147465,RO215,63366078.213265896,1
RO_147526,RO215,122891488.62538934,1
RO_14753,RO311,91446461.32509398,1
RO_147580,RO215,54808932.122112036,1
RO_147633,RO215,54118183.43114805,1
RO_147660,RO215,73393509.52351522,1
RO_147713,RO215,660165032.9642305,0.9962957116318429
RO_147713,RO114,1354507.0783030242,0.002044170057642842
RO_147713,RO112,1100026.8759463206,0.0016601183105141438
RO_147786,RO215,182730145.86042595,1
RO_147884,RO215,320357271.4430573,1
RO_147937,RO215,110129021.75612253,1
RO_148006,RO215,238971715.26855063,0.9941858997737673
RO_148006,RO213,1373918.4062190242,0.0057158660194056915
RO_148006,RO212,23612.48224186129,9.823420682709712e-5
RO_148097,RO215,92767395.52116776,1
RO_148097,RO213,0,0
RO_148131,RO215,294171985.55412483,1
RO_148202,RO215,299006066.0621071,1
RO_148293,RO215,71119938.6593709,1
RO_148328,RO215,70756941.13243294,1
RO_148382,RO215,62855435.43169373,0.9932845524027343
RO_148382,RO214,315068.45162284374,0.004978927021936087
RO_148382,RO213,109887.70200282335,0.0017365205753296336
RO_148426,RO215,105751166.51420331,0.9996590789118661
RO_148426,RO212,36065.09811194055,3.4092108813387286e-4
RO_148453,RO215,90276182.02030876,0.9927501361953938
RO_148453,RO212,659269.6395442956,0.007249863804606312
RO_14851,RO311,82149885.54680407,1
RO_148514,RO215,143260337.02327728,0.9978146126594817
RO_148514,RO213,303218.95090189576,0.0021119334655483146
RO_148514,RO214,10546.074140787125,7.345387496999867e-5
RO_100638,RO312,101528390.63514519,1
RO_100683,RO315,107687042.70413637,1
RO_100709,RO315,30833281.796896458,1
RO_100709,RO222,0,0
RO_100736,RO315,66615481.16033888,1
RO_100754,RO315,93267492.10545826,1
RO_100754,RO316,0,0
RO_100781,RO314,151530329.5840578,0.9984001680495539
RO_100781,RO322,242811.52035841066,0.0015998319504461087
RO_100834,RO322,118501579.45982361,1
RO_100834,RO315,0,0
RO_100852,RO315,86358638.4526099,1
RO_100870,RO315,94600910.08952522,1
RO_100870,RO222,0,0
RO_100923,RO315,240830401.9550138,0.9992218182898679
RO_100923,RO312,187555.76651228964,7.781817101321261e-4
RO_100969,RO322,100732030.26488805,1
RO_101001,RO314,218583431.77799678,1
RO_10104,RO421,532946444.72178805,1
RO_101056,RO315,222673474.2463999,0.998757630311071
RO_101056,RO312,276986.8950548768,0.0012423696889289574
RO_101083,RO312,153390317.4528049,0.9888722345110904
RO_101083,RO315,1625464.195904891,0.010478995273067348
RO_101083,RO322,100634.9110521716,6.487702158423692e-4
RO_101145,RO322,53524934.70126057,0.9997019473323608
RO_101145,RO314,15958.005899154581,2.980526676392269e-4
RO_101145,RO321,0,0
RO_101145,RO312,0,0
RO_101163,RO314,55344110.13873681,0.9988401261004833
RO_101163,RO322,64266.730144798756,0.0011598738995166663
RO_101190,RO314,73286672.83119035,1
RO_101243,RO315,43801637.899612546,0.9948023799617396
RO_101243,RO316,228853.76577447332,0.005197620038260404
RO_101243,RO322,0,0
RO_101298,RO322,104811754.48885608,0.9939469556783882
RO_101298,RO312,638293.8161060335,0.00605304432161173
RO_101341,RO313,71258160.36440396,0.9996432473796484
RO_101341,RO314,25430.6078674373,3.567526203517097e-4
RO_115389,RO125,191096967.7097571,1
RO_11539,RO421,271575799.1958082,1
RO_115520,RO125,175685038.39466095,0.99769553605287
RO_115520,RO112,405794.9769249024,0.0023044639471300372
RO_115575,RO125,77479480.45832503,0.9892271058389509
RO_115575,RO126,843768.0667097485,0.01077289416104915
RO_115600,RO125,59640459.141969204,1
RO_115637,RO125,162864467.6381234,1
RO_115637,RO126,0,0
RO_115708,RO125,96885948.83004206,1
RO_115771,RO125,96331005.75512624,0.9964274792002034
RO_115771,RO121,345378.39321909565,0.003572520799796658
RO_115824,RO125,63815497.14175761,1
RO_11584,RO421,490743364.7148571,1
RO_115851,RO125,87433507.3560301,1
RO_115897,RO125,186192766.65763825,0.9993850015897131
RO_115897,RO112,114578.72123277187,6.149984102868665e-4
RO_115959,RO125,176052039.8407027,1
RO_116046,RO125,120777160.9468025,0.9888744164651486
RO_116046,RO113,1336225.0130717084,0.010940468543133141
RO_116046,RO121,22609.20373321604,1.8511499171828792e-4
RO_116126,RO125,245988456.97957683,1
RO_116171,RO125,57203709.97822285,1
RO_116224,RO125,62715990.6360755,0.9959706608780281
RO_116224,RO112,253726.34412783384,0.004029339121971937
RO_116288,RO125,102310821.983881,1
RO_116340,RO125,48871980.65526509,0.9942400991170459
RO_116340,RO112,283128.55695316195,0.005759900882954116
RO_11637,RO421,69492697.0896051,1
RO_132271,RO316,73602913.45823622,1
RO_132315,RO316,43164952.572529316,1
RO_132342,RO316,105382046.97858953,1
RO_132379,RO316,75677022.3459425,0.9994532845173449
RO_132379,RO222,41396.43186798692,5.467154826550376e-4
RO_132379,RO315,0,0
RO_132404,RO316,117203244.69975683,1
RO_132459,RO316,40180621.035291195,1
RO_132486,RO316,43605761.82525742,0.9927277530582258
RO_132486,RO222,319434.87738764286,0.0072722469417742484
RO_132510,RO316,94774796.46929932,1
RO_132574,RO316,245605803.14643848,0.9999111907997688
RO_132574,RO122,21813.99223279953,8.88092002312763e-5
RO_132574,RO222,0,0
RO_132645,RO316,63681971.23424935,0.9995915473260161
