gisco_id,nuts_3,area,area_share
SK_521493,SK042,81865106.88906384,1
SK_521507,SK042,10328996.60616839,1
SK_521523,SK042,31914453.975095987,1
SK_521540,SK042,35977425.09227753,0.9994174020134982
SK_521540,SK041,20972.594009321183,5.825979865017835e-4
SK_521558,SK042,7863063.063435197,1
SK_521566,SK042,18177646.320815086,1
SK_521574,SK042,90953533.52118489,1
SK_521582,SK042,17949651.731217384,1
SK_521591,SK042,19626674.500260472,1
SK_521604,SK042,30099244.14962268,1
SK_521612,SK042,15030446.5972507,1
SK_521639,SK042,24446600.863158703,1
SK_521655,SK042,23114399.04866743,1
SK_521663,SK042,88591530.05680788,0.9958472450483863
SK_521663,SK041,369433.080167396,0.004152754951613678
SK_521671,SK042,73083366.76873899,1
SK_521680,SK042,53096266.69611502,1
SK_521698,SK042,45597513.51953077,1
SK_521701,SK042,13686799.712018013,1
SK_521701,SK041,0,0
SK_521728,SK042,30060830.61990547,1
SK_521736,SK042,28444063.208325624,1
SK_521744,SK042,7013932.490485787,1
SK_521752,SK042,13561553.306168973,1
SK_521761,SK042,9062202.844833136,1
SK_521779,SK042,15128892.54258132,1
SK_521787,SK042,39193329.69905026,1
SK_521795,SK042,4599707.498028643,0.9544156534689076
SK_521795,SK041,219689.04194909334,0.0455843465310925
SK_521809,SK042,24753056.989219785,1
SK_521817,SK042,22499120.469448686,0.9718630108690921
SK_521817,SK041,651385.535845995,0.02813698913090792
SK_521825,SK042,23235511.789588332,1
SK_521833,SK042,32550245.772390127,1
SK_521841,SK042,27325353.6268785,0.9943170805918136
SK_521841,SK041,156175.31418581307,0.005682919408186489
SK_521850,SK042,47330359.18771124,1
SK_521868,SK042,25935905.58820796,1
SK_527360,SK041,15093007.450039864,1
SK_527378,SK041,30432068.68792001,1
SK_527386,SK041,21664400.385621548,1
SK_527394,SK041,9605271.605609298,1
SK_527408,SK041,27207729.29099536,1
SK_527416,SK041,13737932.595362186,1
SK_527424,SK041,21081527.612248898,1
SK_527432,SK041,7109551.869909763,1
SK_527441,SK041,8353812.627327442,1
SK_527459,SK041,15305552.90409851,1
SK_527467,SK041,9732437.306034327,1
SK_527475,SK041,5938048.768777847,1
SK_527483,SK041,19722084.666739464,1
SK_527491,SK041,30236239.845760822,1
SK_527505,SK041,36968829.7051878,1
SK_527513,SK041,17410278.45878148,1
SK_527521,SK041,10558950.539063156,1
SK_527530,SK041,26133049.150794506,1
SK_527548,SK041,8615999.957202196,1
SK_527556,SK041,12615988.098406315,1
SK_527564,SK041,25156662.520035267,1
SK_527572,SK041,28970083.60821104,1
SK_527581,SK041,14241308.99277401,1
SK_527599,SK041,14353561.132669449,1
SK_527602,SK041,26579578.19911766,1
SK_527611,SK041,10336054.634631634,1
SK_527629,SK041,11512957.573359251,1
SK_527637,SK041,27054454.417318344,1
SK_527645,SK041,17139677.73458779,1
SK_527653,SK041,28447475.507362798,1
SK_527661,SK041,16342131.981613398,1
SK_527670,SK041,22888988.817807198,1
SK_527688,SK041,12389663.57708478,1
SK_527696,SK041,35641276.24609083,1
SK_527700,SK041,20166181.595394135,1
SK_527718,SK041,8323088.124313593,1
SK_527726,SK041,12978777.84744586,1
SK_527734,SK041,22037401.19045469,1
SK_527742,SK041,14765366.155998945,1
SK_527751,SK041,24624109.51508975,1
SK_527769,SK041,10712028.983414263,1
SK_509795,SK031,73445309.81656647,1
SK_509809,SK031,58051439.468027115,1
SK_509817,SK031,50705053.22657275,1
SK_509825,SK031,44971277.43001473,1
SK_509833,SK031,15588262.528505921,1
SK_509850,SK031,151850317.08452177,1
SK_509868,SK031,104173451.79258424,1
SK_509876,SK031,64589188.81476474,1
SK_509884,SK031,89178868.02774167,1
SK_509892,SK031,56004826.68415737,1
SK_509906,SK031,153721504.01319838,1
SK_509914,SK031,200720691.4872818,1
SK_509922,SK031,31058738.038686007,1
SK_509931,SK031,98576728.16566885,1
SK_509949,SK031,41890016.88309765,1
SK_509957,SK031,81981701.4183383,1
SK_509965,SK031,9557520.264429271,1
SK_509973,SK031,122219647.35442376,1
SK_509981,SK031,46346490.56070497,1
SK_509990,SK031,9314712.803347588,1
SK_510009,SK031,20743115.317937613,1
SK_510017,SK031,22697906.796642303,1
SK_510025,SK031,58658758.286287785,1
SK_510033,SK031,52289743.699710846,1
SK_510041,SK031,27034207.039782524,1
SK_510050,SK031,34154573.69646597,1
SK_510076,SK031,51989938.886157036,1
SK_510084,SK031,28889288.866844416,1
SK_510092,SK031,16046182.61999631,1
SK_515795,SK032,11342090.736457586,1
SK_515809,SK032,11478569.526765123,1
SK_515817,SK032,8611533.573994875,1
SK_515833,SK032,10905540.133685827,1
SK_515841,SK032,13572423.791863918,1
SK_515850,SK032,33556340.93029213,1
SK_515868,SK032,18114559.14999318,1
SK_515876,SK032,13544347.460155964,1
SK_515884,SK032,17610264.28793472,1
SK_515892,SK032,27210668.442788374,1
SK_515906,SK032,35742674.06879787,1
SK_515914,SK032,28079700.5170269,1
SK_515922,SK032,83390178.14969468,1
SK_515922,SK023,0,0
SK_515931,SK032,15943382.144331813,1
SK_515949,SK032,55995213.75923005,1
SK_515957,SK032,16102723.611507893,1
SK_515965,SK032,48023196.98133165,1
SK_515973,SK032,21685514.58509493,1
SK_515981,SK032,40210506.12105656,1
SK_515990,SK032,10952925.478497744,1
SK_516007,SK032,10080062.63493085,1
SK_516015,SK032,18602278.73598957,1
SK_516023,SK032,23607173.095745325,1
SK_516031,SK032,28801319.46150446,1
SK_516040,SK032,52739110.40166259,0.9986835793149293
SK_516040,SK023,69518.3712669015,0.0013164206850706504
SK_516058,SK032,8457680.749709606,1
SK_516066,SK032,19154652.733801126,1
SK_516074,SK032,30434805.13392973,0.9999996960553464
SK_516074,SK023,9.250499114394188,3.039446535651276e-7
SK_516082,SK032,10807500.83942914,1
SK_516091,SK032,19832199.753492177,1
SK_516104,SK032,15920337.009083748,0.9894717809494779
SK_516104,SK023,169396.23606944084,0.010528219050522116
SK_516112,SK032,11601087.377628565,1
SK_516121,SK032,46736820.06751758,1
SK_516139,SK032,15076285.501255035,1
SK_521876,SK042,95675686.61741185,1
SK_521884,SK042,24104243.89228785,1
SK_521884,SK041,0,0
SK_521892,SK042,60558891.34234914,1
SK_521906,SK042,23709528.16532874,1
SK_521914,SK042,33897959.187353134,1
SK_521914,SK041,0,0
SK_521922,SK042,29211740.04116106,1
SK_521931,SK042,51303902.57429886,1
SK_521949,SK042,53014853.104103684,1
SK_521957,SK042,47320940.548196316,1
SK_521965,SK042,19501077.91725564,1
SK_521973,SK042,52157186.97971839,1
SK_521981,SK042,84140287.02638698,1
SK_522007,SK042,46915384.37487841,1
SK_522015,SK042,33134937.38056134,1
SK_522023,SK042,68391832.29754591,1
SK_522031,SK042,35856976.737442076,1
SK_522040,SK042,62709182.205580235,1
SK_522066,SK042,39473704.26696396,1
SK_522074,SK042,70327500.36715508,1
SK_522082,SK042,18077154.759153843,1
SK_522082,SK041,0,0
SK_522091,SK042,14658079.459525704,1
SK_522104,SK042,29913905.97338724,1
SK_522121,SK042,8790592.724079907,1
SK_522139,SK042,19258483.818285435,1
SK_522147,SK042,70972947.10385156,1
SK_522155,SK042,45488721.805716515,0.9995755911899842
SK_522155,SK041,19314.011327266693,4.2440881001577226e-4
SK_522163,SK042,7889207.568841934,1
SK_522163,SK041,0,0
SK_522171,SK042,8525702.878812075,1
SK_522180,SK042,26270994.428043067,1
SK_522180,SK041,0,0
SK_522198,SK042,20099485.55686283,1
SK_522201,SK042,10561104.765081286,1
SK_522210,SK042,41106559.02663469,1
SK_522244,SK042,38321788.94975948,1
SK_527777,SK041,30806064.864848614,1
SK_527785,SK041,26109656.39869213,1
SK_527793,SK041,19440750.91183062,1
SK_527807,SK041,16768765.425909996,1
