gisco_id,nuts_3,area,area_share
CY_1406,CY000,8308171.52393827,1
CY_1407,CY000,3292742.554620409,1
CY_1408,CY000,9917560.549266167,1
CY_2103,CY000,8799005.931748457,1
CY_2104,CY000,13253953.429985119,1
CY_2110,CY000,12384131.750320137,1
CY_2111,CY000,16178007.486768952,1
CY_1137,CY000,2798894.8215225604,1
CY_1138,CY000,17818561.358602803,1
CY_1139,CY000,31813388.268364772,1
CY_1301,CY000,7893291.61086867,1
CY_1302,CY000,7833711.687820495,1
CY_1303,CY000,14203509.320870958,1
CY_1409,CY000,5361090.7026599515,1
CY_1410,CY000,9718146.119966604,1
CY_1411,CY000,13718522.127612611,1
CY_2112,CY000,10892094.442601966,1
CY_2113,CY000,2078403.5757590875,1
CY_2114,CY000,7832973.830970538,1
CY_1141,CY000,2045540.6741954228,1
CY_1142,CY000,4089089.8850191087,1
CY_1143,CY000,9185680.281973707,1
CY_1304,CY000,2531284.417907404,1
CY_1305,CY000,8141999.832381194,1
CY_1306,CY000,9307467.105364772,1
CY_1307,CY000,3134267.9464491196,1
CY_1412,CY000,5216911.691014027,1
CY_1414,CY000,7060183.064096252,1
CY_1415,CY000,5060361.743285989,1
CY_2120,CY000,13007169.725534786,1
CY_2121,CY000,11258428.803225847,1
CY_2122,CY000,12054620.424496938,1
CY_1144,CY000,3705370.7224837705,1
CY_1200,CY000,5318962.5340805,1
CY_1201,CY000,15153831.35485572,1
CY_1308,CY000,2800300.4299987243,1
CY_1309,CY000,21042125.04788393,1
CY_1310,CY000,19324204.00299951,1
CY_1416,CY000,6926689.344019907,1
CY_1417,CY000,793850.4982355259,1
CY_1420,CY000,10540511.137048185,1
CY_2123,CY000,22040175.632868413,1
CY_2124,CY000,7377177.328380317,1
CY_2125,CY000,6640050.933232841,1
CY_1202,CY000,3534836.388576261,1
CY_1203,CY000,40940179.24887831,1
CY_1204,CY000,16563870.736511277,1
CY_1320,CY000,16289519.363561446,1
CY_1321,CY000,21327588.745838642,1
CY_1322,CY000,33250716.71857688,1
CY_1421,CY000,95869586.68502691,1
CY_1422,CY000,8438842.504949255,1
CY_1423,CY000,3289531.1448765974,1
CY_1013,CY000,31791723.83153256,1
CY_1014,CY000,7772271.575368657,1
CY_1015,CY000,5963153.124090351,1
CY_1205,CY000,6175165.376301399,1
CY_1206,CY000,17077172.37452088,1
CY_1207,CY000,8387469.829337529,1
CY_1208,CY000,6486819.053913352,1
CY_1323,CY000,7807255.083192021,1
CY_1324,CY000,20809899.19202143,1
CY_1325,CY000,4811203.347203137,1
CY_1424,CY000,34338416.575239934,1
CY_1425,CY000,26499731.719139397,1
CY_1426,CY000,31920525.50793372,1
CY_1021,CY000,27201935.423513215,1
CY_1022,CY000,394824.9688780231,1
CY_1023,CY000,16370676.534859639,1
CY_1209,CY000,18981178.72932455,1
CY_1210,CY000,12499023.54999901,1
CY_1211,CY000,13678458.25827759,1
CY_1326,CY000,13324461.539561627,1
CY_1327,CY000,19917263.62898225,1
CY_1328,CY000,4300921.705491342,1
CY_1427,CY000,68907065.68757805,1
CY_1430,CY000,2519863.154062739,1
CY_1431,CY000,3219211.5050072297,1
CY_1024,CY000,32708202.12111274,1
CY_1100,CY000,17424395.58962972,1
CY_1101,CY000,21722100.441349417,1
CY_1212,CY000,9475524.494462477,1
CY_1213,CY000,24384219.034429938,1
CY_1220,CY000,21092996.938430965,1
CY_1329,CY000,23430269.589862384,1
CY_1330,CY000,10984102.299048798,1
CY_1340,CY000,58601606.88683263,1
CY_1432,CY000,16181671.661301889,1
CY_1433,CY000,4700504.4347084,1
CY_1435,CY000,27522040.365922447,1
CY_1436,CY000,25096206.904285215,1
CY_1102,CY000,16593551.646252654,1
CY_1103,CY000,24557648.402335662,1
CY_1221,CY000,4413003.256572313,1
CY_1222,CY000,10742561.671526518,1
CY_1223,CY000,13421124.965525376,1
CY_1350,CY000,15999551.529518468,1
CY_1351,CY000,23636945.488450576,1
CY_1352,CY000,6304960.304279148,1
CY_1437,CY000,4503971.81426198,1
CY_1438,CY000,13569659.592043106,1
CY_1439,CY000,4977643.944408574,1
CY_1104,CY000,4814324.843299263,1
CY_1105,CY000,9568943.303183373,1
CY_1106,CY000,8249641.359923481,1
CY_1224,CY000,9492881.118520223,1
CY_1225,CY000,27290090.96413366,1
CY_1226,CY000,18385690.743044328,1
CY_1353,CY000,10515860.27290766,1
CY_1354,CY000,3969287.6377203073,1
CY_1355,CY000,8892894.3600517,1
CY_1441,CY000,10063263.096413055,1
CY_1443,CY000,9523866.523373239,1
CY_1450,CY000,12175312.108816227,1
CY_1107,CY000,31350993.035231248,1
CY_1108,CY000,23977979.228087336,1
CY_1227,CY000,22426451.006367493,1
CY_1228,CY000,4463562.81881239,1
CY_1229,CY000,8694559.760970589,1
CY_1230,CY000,11785653.533027569,1
CY_1357,CY000,26800507.822375458,1
CY_1360,CY000,25365627.449358687,1
CY_1361,CY000,24548899.453177605,1
CY_1451,CY000,15076876.398933554,1
CY_1452,CY000,27590508.650537867,1
CY_1453,CY000,8137234.408605135,1
CY_1109,CY000,42455105.02410076,1
CY_1110,CY000,28811488.702817068,1
CY_1120,CY000,11099181.062807012,1
CY_1231,CY000,4014980.133684952,1
CY_1232,CY000,18043270.739814654,1
CY_1233,CY000,7314237.609798772,1
CY_1362,CY000,18073691.717893157,1
CY_1363,CY000,7585276.6181880245,1
CY_1364,CY000,10003948.440730063,1
CY_1454,CY000,3367859.4200887,1
CY_1455,CY000,5404004.9167357,1
CY_1456,CY000,28218238.338541586,1
CY_1457,CY000,6562866.127359147,1
CY_1121,CY000,10612786.982979847,1
CY_1122,CY000,9407992.27651149,1
CY_1240,CY000,18867564.767885607,1
CY_1241,CY000,36693946.604662605,1
CY_1242,CY000,13762367.151133267,1
CY_1365,CY000,10113511.071535498,1
CY_1366,CY000,4050879.5323004634,1
CY_1458,CY000,4438679.092017418,1
CY_1459,CY000,2743174.9645209964,1
CY_1460,CY000,17385723.75183863,1
CY_1123,CY000,16460991.20393497,1
CY_1124,CY000,15885388.11520048,1
CY_1243,CY000,23857900.624932308,1
CY_1244,CY000,19331806.32677665,1
CY_1245,CY000,46229487.04374905,1
CY_1367,CY000,18486772.738535218,1
CY_1368,CY000,23366363.56898183,1
CY_1369,CY000,16893359.764407523,1
CY_1461,CY000,4222233.258139391,1
CY_1464,CY000,5315831.136022042,1
CY_1465,CY000,48746597.76229083,1
CY_1466,CY000,9878609.502183408,1
CY_1125,CY000,28428907.017889746,1
CY_1130,CY000,20772786.22984179,1
CY_1246,CY000,19755953.320042204,1
CY_1247,CY000,17688965.34199777,1
CY_1248,CY000,14486441.071999617,1
CY_1249,CY000,5139608.042532957,1
CY_1400,CY000,13803599.779017124,1
CY_1402,CY000,5329052.385687596,1
CY_1403,CY000,16185573.35162821,1
CY_1467,CY000,1904309.0367947004,1
CY_1468,CY000,1530893.355632715,1
CY_2000,CY000,10394849.888487998,1
CY_1131,CY000,16901138.487144105,1
CY_1132,CY000,17978801.260618005,1
CY_1133,CY000,20055576.335203983,1
CY_1250,CY000,8046145.888886131,1
CY_1251,CY000,24107949.626449917,1
CY_1300,CY000,17068862.14194067,1
CY_1404,CY000,32862407.227508448,1
CY_1405,CY000,21433396.996922888,1
CY_2100,CY000,15348638.99949926,1
CY_2101,CY000,28363964.764561564,1
CY_2102,CY000,14524691.365219042,1
CY_1134,CY000,12385018.076492945,1
CY_1135,CY000,12641006.851469971,1
CY_1136,CY000,4537563.909540711,1
CY_1000,CY000,50636382.98945868,1
CY_1010,CY000,12071096.137632238,1
CY_1011,CY000,9167096.636616157,1
CY_1012,CY000,25495875.519956257,1
CY_6201,CY000,7111894.563838423,1
CY_6202,CY000,8594148.695529591,1
CY_6203,CY000,6829901.566136319,1
CY_6330,CY000,8733823.787151087,1
CY_6331,CY000,9567028.591388386,1
CY_6332,CY000,2487353.1416723337,1
CY_5224,CY000,4412711.517672038,1
CY_5225,CY000,19087048.74985753,1
CY_5226,CY000,21357766.221799005,1
CY_5363,CY000,4547205.723737199,1
CY_5364,CY000,5863492.372756824,1
CY_5365,CY000,32295244.1840733,1
CY_6204,CY000,8086589.159885686,1
CY_6205,CY000,4638980.85718537,1
CY_6206,CY000,9142519.08169479,1
CY_6207,CY000,6124888.172887931,1
CY_6333,CY000,2699048.4242205983,1
CY_6334,CY000,2802910.6905429754,1
CY_6335,CY000,6538927.879271997,1
CY_5227,CY000,37819925.976401344,1
CY_5300,CY000,20777904.832257085,1
CY_5302,CY000,10336949.974072764,1
CY_5366,CY000,10211977.464512097,1
CY_5367,CY000,3776163.0959173604,1
CY_5368,CY000,3016172.060092723,1
CY_6208,CY000,9063726.410276936,1
CY_6210,CY000,18056144.710504156,1
CY_6211,CY000,15974363.99933643,1
CY_6336,CY000,10867474.317928933,1
CY_6337,CY000,2311648.1436422965,1
CY_6338,CY000,1576412.5674246391,1
CY_5303,CY000,5328172.694235315,1
CY_5304,CY000,17177775.45778186,1
CY_5305,CY000,14331384.574645901,1
CY_5369,CY000,10208430.042419862,1
CY_6000,CY000,17293244.03438753,1
CY_6010,CY000,14740058.785029124,1
CY_6212,CY000,5945349.373071345,1
CY_6213,CY000,5025454.503167354,1
CY_6214,CY000,4024252.0548790363,1
CY_6339,CY000,1857700.447312189,1
CY_6340,CY000,236574.54664676538,1
CY_6341,CY000,6648274.016708228,1
CY_6343,CY000,19888647.64474612,1
CY_5306,CY000,16682537.25111863,1
CY_5307,CY000,12975515.18855586,1
CY_5308,CY000,28753929.024323683,1
CY_6011,CY000,6300335.085103884,1
CY_6012,CY000,1398443.4331528242,1
CY_6014,CY000,9509331.755402066,1
CY_6215,CY000,4337535.195824269,1
CY_6216,CY000,3243561.2940257727,1
CY_6217,CY000,8762751.12164785,1
CY_5125,CY000,25546488.41419466,1
CY_5126,CY000,19376383.36896776,1
CY_5127,CY000,17276707.781027704,1
CY_5310,CY000,5697110.752957831,1
CY_5311,CY000,4943860.591866195,1
CY_5312,CY000,8005546.808715065,1
CY_6020,CY000,5063955.905557902,1
CY_6021,CY000,1302651.371085117,1
CY_6022,CY000,6229601.446320123,1
CY_6218,CY000,27722655.931009006,1
CY_6219,CY000,19868110.882265173,1
CY_6220,CY000,15366774.956235996,1
CY_5128,CY000,7894105.965637924,1
CY_5129,CY000,14598467.986143272,1
CY_5130,CY000,19583229.834761865,1
CY_5313,CY000,7202784.726841131,1
CY_5314,CY000,6726308.713754005,1
CY_5315,CY000,8087359.828591561,1
CY_6023,CY000,5683523.485191154,1
CY_6024,CY000,3738913.794632908,1
CY_6025,CY000,4098986.631148408,1
CY_6026,CY000,9409908.938557127,1
CY_6221,CY000,7430378.309565177,1
CY_6222,CY000,14288084.152022121,1
CY_6223,CY000,4135360.0252688425,1
CY_5131,CY000,17267590.047754027,1
CY_5132,CY000,10997620.218355944,1
CY_5133,CY000,17623369.355946094,1
CY_5316,CY000,15289783.71037984,1
CY_5317,CY000,1242488.431961579,1
CY_5318,CY000,14765520.764085658,1
CY_6027,CY000,8704703.807019496,1
CY_6100,CY000,41457143.03883553,1
CY_6101,CY000,7169386.98077856,1
CY_6224,CY000,7813905.749427071,1
CY_6225,CY000,5336535.058053947,1
CY_6226,CY000,10886022.581972595,1
CY_5134,CY000,3055754.8007608415,1
CY_5135,CY000,3954826.7719419394,1
CY_5136,CY000,9142097.114204222,1
CY_5320,CY000,17325366.983829837,1
CY_5321,CY000,4244602.86276097,1
CY_5322,CY000,10068342.990399342,1
CY_6102,CY000,2843960.2776418175,1
CY_6103,CY000,16718479.432253785,1
CY_6104,CY000,10777195.328756146,1
CY_6227,CY000,16549326.627468996,1
CY_6228,CY000,4535679.668721883,1
CY_6229,CY000,1836691.524086995,1
CY_5137,CY000,6889096.668490242,1
CY_5138,CY000,12823516.897605663,1
CY_5140,CY000,23545683.59250553,1
CY_5323,CY000,2844832.5090984097,1
CY_5324,CY000,13249856.817843895,1
CY_5325,CY000,8136933.436618542,1
CY_5326,CY000,14373935.328397494,1
CY_6106,CY000,7933602.10106352,1
CY_6107,CY000,15612688.044737244,1
CY_6108,CY000,4991027.338082916,1
CY_6110,CY000,12308022.34094346,1
CY_6230,CY000,54155786.902430825,1
CY_6231,CY000,11638022.416486612,1
CY_6300,CY000,2178308.5420907796,1
CY_5141,CY000,11968870.147812815,1
CY_5142,CY000,5283289.311373654,1
CY_5143,CY000,8974971.659108492,1
