gisco_id,nuts_3,area,area_share
CZ_579475,CZ052,5755602.463346166,1
CZ_579483,CZ052,4458372.4092440335,1
CZ_579491,CZ032,4769224.033804825,1
CZ_579505,CZ052,26565813.304083686,1
CZ_579513,CZ052,6936807.220631291,1
CZ_579530,CZ052,3199296.852411897,1
CZ_579548,CZ052,26266115.249403294,1
CZ_579556,CZ052,13788893.020034462,1
CZ_579564,CZ052,8009521.394881427,1
CZ_579581,CZ052,51719598.64407433,1
CZ_579599,CZ052,17058428.95665242,1
CZ_579602,CZ052,8224430.251700719,1
CZ_579629,CZ052,10987922.45837874,1
CZ_579637,CZ052,13706897.060035089,1
CZ_579645,CZ052,42526109.78692767,1
CZ_579661,CZ052,17542895.85870675,1
CZ_579696,CZ052,17680898.547383018,1
CZ_579726,CZ052,4163487.847627059,1
CZ_579734,CZ052,8071256.462246506,1
CZ_579742,CZ052,76292422.24235485,0.9986408632646901
CZ_579742,CZ051,103832.95688138982,0.0013591367353098726
CZ_579751,CZ052,1441674.7232820862,1
CZ_579769,CZ052,13696619.707596112,1
CZ_579777,CZ052,15368212.78775818,1
CZ_579785,CZ052,17088813.724578023,1
CZ_579793,CZ052,8274205.438268478,1
CZ_579815,CZ052,24307576.535865925,1
CZ_579823,CZ052,20027374.603673276,1
CZ_579831,CZ052,11928123.200933374,1
CZ_579858,CZ052,27703306.127875406,0.9956671088184729
CZ_579858,CZ051,120557.774538783,0.004332891181527185
CZ_579866,CZ052,9141352.57993635,1
CZ_586056,CZ064,8830137.325676389,0.980449577972016
CZ_586056,CZ072,176075.2568623718,0.01955042202798393
CZ_586064,CZ064,2156188.7397961337,1
CZ_586072,CZ064,3087968.127323988,1
CZ_586081,CZ064,40233534.31559447,1
CZ_586099,CZ064,13149941.940241344,1
CZ_586102,CZ064,24812420.9928504,1
CZ_586111,CZ064,6314064.356340448,0.9997241646142925
CZ_586111,CZ072,1742.122916259651,2.75835385707492e-4
CZ_586129,CZ064,23116385.749452014,1
CZ_586137,CZ064,19756086.43176583,1
CZ_586145,CZ064,7011840.942004163,0.9997921712037071
CZ_586145,CZ072,1457.5653868338563,2.0782879629289904e-4
CZ_586153,CZ064,5137818.149576184,1
CZ_586161,CZ064,22460291.37765833,1
CZ_586170,CZ064,21148957.15918007,1
CZ_586188,CZ064,9133960.373916486,1
CZ_586196,CZ064,13371640.646378705,1
CZ_586200,CZ064,8441108.900423912,1
CZ_586218,CZ064,24222271.036093593,1
CZ_586226,CZ064,5621616.458499228,1
CZ_586226,CZ072,0,0
CZ_586234,CZ064,6706729.442051398,1
CZ_586242,CZ064,1970304.63601677,1
CZ_586251,CZ064,2659090.978690292,1
CZ_586269,CZ064,15914432.198353115,1
CZ_586277,CZ064,4905383.661401495,1
CZ_586285,CZ064,2670481.554820203,1
CZ_586293,CZ064,9803971.833068825,1
CZ_586307,CZ064,30169345.635985054,0.9977517875887353
CZ_586307,CZ072,67979.93062229699,0.002248212411264664
CZ_586315,CZ064,2330920.8789641806,1
CZ_586315,CZ072,0,0
CZ_586323,CZ064,15166296.854468958,1
CZ_586331,CZ064,9402380.508138917,1
CZ_586340,CZ064,16694654.481314532,1
CZ_586358,CZ064,7549987.559885268,1
CZ_586366,CZ064,4340798.080569312,1
CZ_579874,CZ052,21810098.61561027,1
CZ_579891,CZ053,36598473.766635984,1
CZ_579947,CZ053,4338201.238712658,1
CZ_579963,CZ053,3715052.851786732,1
CZ_579971,CZ053,17845891.320150327,1
CZ_579980,CZ053,18352809.98644333,0.999038298286747
CZ_579980,CZ071,17666.919113348977,9.617017132530244e-4
CZ_579998,CZ053,6149206.544297625,1
CZ_580015,CZ053,47492187.357833,0.9940109334807096
CZ_580015,CZ071,286147.6264015244,0.005989066519290489
CZ_580023,CZ053,8051856.509336726,1
CZ_580031,CZ053,40815446.58360724,1
CZ_580040,CZ053,9902313.544003898,1
CZ_580058,CZ053,9104793.794716537,1
CZ_580066,CZ053,6415843.572317408,1
CZ_580074,CZ053,12648917.386828648,1
CZ_580091,CZ053,8559861.546769628,1
CZ_580112,CZ053,15078644.250135595,1
CZ_580121,CZ053,30611987.721486025,1
CZ_580147,CZ053,21692959.30416562,1
CZ_580163,CZ053,35964949.583483726,0.9948063658393241
CZ_580163,CZ071,187763.96810265124,0.005193634160675947
CZ_580210,CZ053,6668929.854444917,1
CZ_580228,CZ053,4556760.015830733,1
CZ_580261,CZ053,11299375.882740343,1
CZ_580279,CZ053,17784855.48436276,1
CZ_580295,CZ053,15615650.83348325,1
CZ_580295,CZ071,0,0
CZ_580325,CZ053,28033588.768783417,1
CZ_580333,CZ053,9391229.424023548,1
CZ_580341,CZ053,6022131.756415537,1
CZ_580350,CZ053,21882376.71728683,0.9957080251418726
CZ_580350,CZ052,94323.44455924538,0.004291974858127294
CZ_580376,CZ053,4253847.88588707,1
CZ_580392,CZ053,10803335.396147436,1
CZ_586374,CZ064,15373047.368024187,1
CZ_586382,CZ064,12467571.796654154,1
CZ_586391,CZ064,10679283.11527077,0.9744123634271096
CZ_586391,CZ072,280433.2390154389,0.025587636572890406
CZ_586404,CZ064,14468022.749199025,0.9917960202445641
CZ_586404,CZ072,119677.19502075245,0.0082039797554359
CZ_586412,CZ064,32243769.67919364,1
CZ_586421,CZ064,13080292.712170882,1
CZ_586439,CZ064,4188747.1292449217,1
CZ_586447,CZ064,6679935.844503978,1
CZ_586455,CZ064,25829881.674502693,0.999141498248008
CZ_586455,CZ072,22194.052304091147,8.585017519919096e-4
CZ_586463,CZ064,2872563.3979948713,1
CZ_586471,CZ064,1611590.7405129473,1
CZ_586480,CZ064,11437355.206578495,1
CZ_586498,CZ064,14448955.540130932,1
CZ_586501,CZ064,23812809.84637941,1
CZ_586510,CZ064,12817015.457359245,1
CZ_586528,CZ064,17075837.201863658,1
CZ_586536,CZ064,2910565.9496341185,1
CZ_586536,CZ072,0,0
CZ_586544,CZ064,5389489.052194042,1
CZ_586552,CZ064,7005992.42180058,1
CZ_586561,CZ064,5590075.953363268,1
CZ_586579,CZ064,4893362.009344742,1
CZ_586587,CZ064,31046241.424927358,1
CZ_586595,CZ064,6156204.49814865,1
CZ_586609,CZ064,9244804.217329403,1
CZ_586617,CZ064,14206791.657939896,0.9996662042377856
CZ_586617,CZ072,4743.750293829275,3.337957622144678e-4
CZ_586625,CZ064,22938570.874833316,1
CZ_586633,CZ064,4089807.769197071,0.996431086756395
CZ_586633,CZ072,14648.448151893257,0.003568913243604916
CZ_586641,CZ064,17241132.516294632,1
CZ_586650,CZ064,6259807.314827584,1
CZ_580406,CZ053,5580960.151664238,1
CZ_580414,CZ053,5973122.893753069,1
CZ_580422,CZ053,5545797.422579849,0.9928074142060233
CZ_580422,CZ052,40177.60462619117,0.007192585793976771
CZ_580431,CZ053,18092735.300224233,0.9993615987945477
CZ_580431,CZ052,11557.802540666095,6.38401205452257e-4
CZ_580465,CZ053,6205300.924887584,0.9965329671420077
CZ_580465,CZ052,21588.831388104198,0.0034670328579924164
CZ_580481,CZ053,52139179.929032266,0.9965042643385971
CZ_580481,CZ071,182904.17528237047,0.003495735661402823
CZ_580490,CZ053,5119014.385856046,1
CZ_580503,CZ053,29114509.362193547,0.9971263281961511
CZ_580503,CZ052,83906.66485397468,0.002873671803848845
CZ_580511,CZ053,20693992.076876074,1
CZ_580538,CZ053,23777136.82305291,1
CZ_580562,CZ053,4782668.754688833,1
CZ_580571,CZ053,9109607.806919655,1
CZ_580589,CZ053,11281039.374541787,1
CZ_580619,CZ053,5097580.99298715,1
CZ_580627,CZ053,10905611.520888032,1
CZ_580635,CZ053,14728363.313207338,1
CZ_580643,CZ053,4706643.207015066,1
CZ_580651,CZ053,12409793.870712928,1
CZ_580660,CZ053,4600439.175991558,1
CZ_580678,CZ053,1297926.523882526,1
CZ_580686,CZ053,11111567.05365907,1
CZ_580694,CZ053,13171658.0783529,1
CZ_580708,CZ053,4514374.358550441,1
CZ_580716,CZ053,13055224.784512224,1
CZ_580724,CZ053,8343318.958290587,1
CZ_580732,CZ053,18367560.93909457,1
CZ_580741,CZ053,3396200.2103439323,1
CZ_580759,CZ053,8563872.724429525,1
CZ_580767,CZ053,2589701.691581143,1
CZ_580775,CZ053,8887961.842948476,1
CZ_580783,CZ053,2661612.8854862633,0.9835931332288684
CZ_580783,CZ052,44397.146069074035,0.0164068667711316
CZ_580805,CZ053,3228596.260073383,1
CZ_580821,CZ053,7330351.472417992,1
CZ_586668,CZ064,3902968.051698709,1
CZ_586676,CZ064,3796866.9696498266,1
CZ_586684,CZ064,17216572.350306433,1
CZ_586692,CZ064,6983001.224261829,1
CZ_586706,CZ064,14429775.96314144,1
CZ_586714,CZ064,26093479.02711163,1
CZ_586714,CZ072,0,0
CZ_586722,CZ064,35489348.82609516,0.9975286149375554
CZ_586722,CZ072,87925.14345083752,0.002471385062444669
CZ_586731,CZ064,8241709.410513299,1
CZ_586749,CZ064,8532256.837731622,1
CZ_586757,CZ064,17016438.2800709,1
CZ_586765,CZ064,44412672.884852774,1
CZ_586773,CZ064,6420099.969612386,0.9997968373619641
CZ_586773,CZ072,1304.589490123062,2.0316263803590637e-4
CZ_586781,CZ064,5563317.733761243,1
CZ_586790,CZ064,14711602.709079998,1
CZ_586803,CZ064,20543529.3562433,1
CZ_586811,CZ064,6161065.2838393105,1
CZ_586820,CZ064,7010237.906751148,0.99999932463222585
CZ_586820,CZ072,4.734491968402126,6.753677740835751e-7
CZ_586838,CZ064,2311054.2462403607,1
CZ_586846,CZ063,88171533.01221105,1
CZ_586854,CZ063,11237726.268590057,1
CZ_586862,CZ063,42826040.768224224,1
CZ_586871,CZ072,11074388.311494317,1
CZ_586889,CZ063,5158484.808556904,1
CZ_586897,CZ063,6485538.657781744,1
CZ_586901,CZ063,3993751.670541388,1
CZ_586919,CZ072,9747758.327286862,1
CZ_586927,CZ063,2592756.5844604047,1
CZ_586943,CZ063,75206491.6131946,1
CZ_586951,CZ063,7962122.50316497,1
CZ_586960,CZ072,3863063.888152017,1
CZ_580830,CZ053,2950484.9378011003,1
CZ_580848,CZ053,15682923.690606011,1
CZ_580872,CZ053,8299983.712714708,1
CZ_580881,CZ053,4272036.54082971,1
CZ_580902,CZ053,2326810.823381767,1
CZ_580929,CZ053,4372073.249135882,1
CZ_580929,CZ052,0,0
CZ_580945,CZ053,4614957.810706967,1
CZ_580961,CZ053,13497637.388674442,0.9929961592132663
CZ_580961,CZ052,95202.08350275907,0.007003840786733745
CZ_580970,CZ053,6435912.746473168,1
CZ_580988,CZ053,10770502.625514587,1
CZ_580996,CZ053,5339481.552318136,1
CZ_581003,CZ053,6405857.565219744,1
CZ_581011,CZ053,4394182.237500773,0.9933663417366043
CZ_581011,CZ052,29344.16245642519,0.006633658263395721
CZ_581038,CZ053,3708704.519660797,1
CZ_581046,CZ053,26313025.900255393,0.9975011459976785
CZ_581046,CZ071,65917.12736157299,0.002498854002321557
CZ_581054,CZ053,18926871.396514118,1
CZ_581062,CZ053,11162504.468757242,1
CZ_581071,CZ053,11507108.81860942,1
CZ_581089,CZ053,16925082.62205765,1
CZ_581089,CZ052,0,0
CZ_581101,CZ053,5799319.185757998,1
CZ_581101,CZ052,0,0
CZ_581119,CZ053,6006981.7641365025,1
CZ_581127,CZ053,3001590.577227643,1
CZ_581143,CZ053,7568968.726118348,1
CZ_581151,CZ053,14134410.54560825,1
CZ_581178,CZ053,21642551.369663388,0.9999974270278468
CZ_581178,CZ071,55.685825275317534,2.5729721531489595e-6
CZ_581186,CZ053,41864118.236955516,1
CZ_581194,CZ053,4100951.2854496944,1
CZ_581208,CZ053,13422664.789815573,0.9953892083083564
CZ_581208,CZ052,62175.7909127604,0.0046107916916435805
CZ_581216,CZ053,7818000.0192656275,1
CZ_581224,CZ053,7190142.418121051,1
CZ_581232,CZ053,2804490.870661548,1
CZ_581259,CZ053,16900262.728200167,1
CZ_586978,CZ063,12666961.704261359,1
CZ_586986,CZ063,8794920.007385734,1
CZ_586994,CZ072,3828073.8109218036,1
CZ_587001,CZ063,7400195.138123002,0.9982372168713722
CZ_587001,CZ031,13067.975144145988,0.0017627831286277811
CZ_587010,CZ063,11244081.128108075,1
CZ_587028,CZ063,13848318.83131727,1
CZ_587036,CZ063,10004896.711771341,1
CZ_587044,CZ063,15774819.461919125,1
CZ_587052,CZ072,2022323.717590113,1
CZ_587061,CZ063,5444175.739959187,0.9853352534978164
CZ_587061,CZ031,81025.67817037542,0.01466474650218361
CZ_587079,CZ063,4820815.882499304,1
CZ_587087,CZ063,8076795.588140751,1
CZ_587095,CZ063,4970078.158891029,1
CZ_587109,CZ063,15233852.308983559,1
CZ_587117,CZ063,6830014.063905532,1
CZ_587125,CZ063,5875097.672668723,1
CZ_587141,CZ063,12351529.776654849,1
CZ_587150,CZ063,6535028.470687772,1
CZ_587168,CZ063,10193036.451670315,1
CZ_587176,CZ063,6475346.699998707,1
CZ_587184,CZ063,5105919.634993415,1
CZ_587192,CZ063,4448299.700725279,1
CZ_587206,CZ063,3757487.9357018336,1
CZ_587214,CZ063,3468982.429005334,0.9831494269857054
CZ_587214,CZ031,59456.21296294519,0.016850573014294663
CZ_587222,CZ063,2598763.7743700356,1
CZ_587231,CZ063,3755207.178748251,0.99420716372741
CZ_587231,CZ031,21880.047891213566,0.005792836272590029
CZ_587249,CZ063,11151997.914099324,1
CZ_587257,CZ072,6940153.777107336,1
CZ_587265,CZ063,6078004.00838021,1
CZ_587273,CZ063,5426162.466961467,1
CZ_587281,CZ063,4363872.164125955,1
CZ_587290,CZ063,8151139.095042116,1
CZ_587303,CZ063,3639996.3254920864,1
CZ_587320,CZ063,4750607.4381231,1
CZ_587338,CZ063,8628015.22656214,1
CZ_587346,CZ063,34403792.840630524,1
CZ_575046,CZ053,6213962.266511146,1
CZ_575054,CZ053,9868659.48366319,1
CZ_575062,CZ053,3952515.8470425564,1
CZ_575071,CZ053,8473228.563202636,0.9860451562608361
CZ_575071,CZ020,119915.98946046158,0.01395484373916397
CZ_575089,CZ053,9989223.09574532,1
CZ_575097,CZ053,7692530.55642278,0.9852168222141517
CZ_575097,CZ052,115426.4160685931,0.014783177785848207
CZ_575101,CZ053,8194149.499348712,1
CZ_575119,CZ053,5021625.148874615,1
CZ_575127,CZ053,3436856.100001697,1
CZ_575135,CZ053,3222139.8402245287,1
CZ_575143,CZ053,4449427.32753145,1
CZ_575151,CZ053,4506754.70362612,1
CZ_575151,CZ052,0,0
CZ_575178,CZ053,23940317.026266724,0.9981424614952914
CZ_575178,CZ020,44496.57507798089,0.0018551935184365363
CZ_575178,CZ052,56.24419052387355,2.3449862720161217e-6
CZ_575194,CZ053,5919382.046932766,0.9910872064620162
CZ_575194,CZ020,53232.68196054733,0.008912793537983823
CZ_575232,CZ053,5939398.896776747,1
CZ_575259,CZ053,4296601.945894559,0.9746877354673298
CZ_575259,CZ020,111581.09524577482,0.02531226453267022
CZ_575305,CZ053,5814583.168600879,0.9864281702102542
CZ_575305,CZ052,80000.28329052209,0.013571829789745757
CZ_575313,CZ053,5444193.979946302,1
CZ_581267,CZ053,5556314.071918025,1
CZ_581275,CZ053,10752787.185542509,1
CZ_581283,CZ064,44941228.27431324,1
CZ_581291,CZ064,3959738.3280004812,1
CZ_581313,CZ064,6156539.313050907,1
CZ_581321,CZ064,4004476.818820697,1
CZ_581321,CZ063,0,0
CZ_581330,CZ064,13165260.274241235,0.9861181064836827
CZ_581330,CZ071,185331.49329678513,0.013881893516317297
CZ_581356,CZ064,7199846.736344069,1
CZ_581364,CZ064,9992915.74765829,1
CZ_581372,CZ064,28208836.831051435,1
CZ_581381,CZ064,7219637.381286997,1
CZ_581402,CZ064,2990710.03014801,1
CZ_581429,CZ064,7298604.923626721,1
CZ_581437,CZ064,3242092.106136004,1
CZ_581445,CZ064,2580358.1131096254,1
CZ_581453,CZ064,8663657.6059896,1
CZ_581461,CZ064,5305809.199946846,1
CZ_581470,CZ064,8521871.625214387,0.997068163837372
CZ_581470,CZ071,25058.197934953132,0.002931836162628019
CZ_581496,CZ064,16342704.881216927,1
CZ_581500,CZ064,12779368.014961604,0.9896790587377899
CZ_581500,CZ063,133270.58452545345,0.01032094126221015
CZ_581518,CZ064,3275765.253632256,0.9984603751291657
CZ_581518,CZ053,5051.226649685004,0.001539624870834263
CZ_581526,CZ064,5362764.642820464,1
CZ_581534,CZ064,2672628.5877057873,1
CZ_581542,CZ064,10629843.35103249,1
CZ_581551,CZ064,8054413.699447814,1
CZ_581569,CZ064,9556154.023445165,1
CZ_581577,CZ064,4330144.921859207,1
CZ_581593,CZ064,2873863.635113139,0.9949200103745933
CZ_581593,CZ063,14673.739897654428,0.0050799896254067325
CZ_581615,CZ064,6108902.822032601,0.9990800358265082
CZ_581615,CZ071,5625.146669019045,9.199641734917942e-4
CZ_581631,CZ064,4857840.942934317,0.9984584873177271
CZ_581631,CZ053,7499.9847435965985,0.001541512682272838
CZ_581666,CZ064,2395715.5212939167,1
CZ_581682,CZ064,14062813.301479572,1
CZ_581721,CZ064,5170892.084919865,0.9954644120222581
CZ_581721,CZ053,23559.89394630304,0.004535587977741905
CZ_574279,CZ052,23264372.55569134,1
CZ_574287,CZ052,11267260.698886452,1
CZ_574295,CZ052,6785761.091729718,1
CZ_574309,CZ053,6898814.568056069,1
CZ_574317,CZ052,10432614.47568544,1
CZ_574325,CZ053,10640414.905310113,1
CZ_574325,CZ071,0,0
CZ_574333,CZ053,6328536.569528533,1
CZ_574341,CZ052,24678389.061504796,1
CZ_574350,CZ052,15640535.61806019,1
CZ_574368,CZ052,3224300.780993735,1
CZ_574376,CZ052,5606210.80370984,1
CZ_574384,CZ052,5484806.880803139,1
CZ_574392,CZ053,5784487.535948036,1
CZ_574406,CZ052,11190752.048413191,1
CZ_574422,CZ052,10107016.67360857,1
CZ_574431,CZ052,5484170.758153114,1
CZ_574449,CZ053,1468128.8069900437,1
CZ_574457,CZ052,3713999.1845492306,1
CZ_574465,CZ052,16596425.05666652,1
CZ_574481,CZ052,10900332.750676386,1
CZ_574490,CZ052,13028321.73248894,1
CZ_574511,CZ052,20371218.945472397,1
CZ_574538,CZ052,55812734.79988534,1
CZ_574546,CZ052,6739964.341845943,1
CZ_574554,CZ052,7980512.899816956,1
CZ_574562,CZ052,15176700.435179872,1
CZ_575330,CZ053,10160567.358609533,0.9874901418250894
CZ_575330,CZ020,128717.49423028078,0.012509858174910484
CZ_575372,CZ053,3632319.0023030485,1
CZ_575381,CZ053,1628334.4488138254,1
CZ_575399,CZ053,16617660.83018806,1
CZ_575429,CZ053,11826608.27229811,0.995174902403267
CZ_575429,CZ052,57341.21611624319,0.004825097596732893
CZ_575437,CZ053,6365950.591529445,1
CZ_575445,CZ053,18384143.4367482,1
CZ_575461,CZ053,13318379.232364928,0.9995987762460465
CZ_575461,CZ052,5345.794972111918,4.0122375395346626e-4
CZ_575470,CZ053,1702844.313677656,1
CZ_575500,CZ053,30404073.436910108,1
CZ_575518,CZ053,4639864.289114725,1
CZ_575526,CZ053,2473336.789891597,0.9662778496202922
CZ_575526,CZ052,86317.03107047682,0.03372215037970784
CZ_575534,CZ053,2251714.5402332316,1
CZ_575542,CZ053,4626079.195521069,1
CZ_575551,CZ053,4324616.95226256,1
CZ_575569,CZ053,3414941.7285018764,0.9596011478366648
CZ_575569,CZ052,143767.77929785656,0.040398852163335136
CZ_575577,CZ053,11442695.91909992,1
CZ_575593,CZ053,5159816.381580299,1
CZ_575607,CZ053,5744326.2309785355,1
