gisco_id,nuts_3,area,area_share
HU_10348,HU223,54676494.858911894,0.9984120846776234
HU_10348,HU232,86959.72864585371,0.0015879153223765207
HU_10357,HU311,31536552.765318956,1
HU_10366,HU311,9788397.686344093,1
HU_10375,HU311,3817535.134774815,1
HU_10384,HU222,31375199.256801464,1
HU_10393,HU321,87815326.94186865,0.9976748952619005
HU_10393,HU323,204655.6786383859,0.0023251047380996063
HU_10409,HU213,12234814.524938792,1
HU_10418,HU312,18881250.295569073,1
HU_10427,HU232,18863326.860361576,1
HU_10436,HU323,11979390.371756857,1
HU_10445,HU213,20000547.362896014,0.9980370044287854
HU_10445,HU221,39338.20662060842,0.001962995571214596
HU_10454,HU221,35383250.835350975,1
HU_10463,HU233,38671810.602139406,1
HU_10472,HU331,81739455.42804213,1
HU_10481,HU211,76800498.00748278,0.9993613799179508
HU_10481,HU212,49077.68233247162,6.386200820491427e-4
HU_10490,HU212,11656734.154724529,1
HU_10506,HU232,14913308.547866145,1
HU_10515,HU333,46398099.10676527,1
HU_10524,HU311,9669769.894975422,1
HU_10533,HU331,69647471.00533031,0.9988941369841997
HU_10533,HU231,77105.83081541964,0.001105863015800297
HU_10542,HU231,6818806.872109905,1
HU_10551,HU120,46720174.89256446,1
HU_10560,HU221,10948023.01541042,1
HU_10579,HU222,9996151.724185519,1
HU_10579,HU221,0,0
HU_10588,HU221,26641865.061948977,1
HU_10588,HU222,0,0
HU_10597,HU222,16876315.685313765,1
HU_15088,HU213,4152271.9293270176,1
HU_15088,HU222,0,0
HU_15097,HU223,9723365.506415037,1
HU_15103,HU232,27466071.59483145,0.9983868475983159
HU_15103,HU231,44378.54872048116,0.0016131524016840878
HU_15112,HU223,18687136.434716612,0.992386706912807
HU_15112,HU222,143362.10435592144,0.007613293087193141
HU_15121,HU221,18787302.412768308,1
HU_15130,HU321,461043787.80043733,1
HU_15149,HU311,10774053.222683895,1
HU_15158,HU331,86790125.14023629,1
HU_15158,HU333,0,0
HU_15167,HU321,34726132.60023231,1
HU_15176,HU211,51439925.0987318,1
HU_15185,HU120,10452987.261665754,1
HU_15194,HU232,19960647.26728427,1
HU_15200,HU332,193642371.73666814,1
HU_15219,HU231,11533064.06483455,1
HU_15228,HU221,27260571.168224372,1
HU_15237,HU221,21599413.565691505,1
HU_15237,HU222,0,0
