gisco_id,nuts_3,area,area_share
IS_7300,IS002,1583009449.3371625,1
IS_7502,IS002,1890269728.936856,1
IS_7505,IS002,1509191077.8133197,1
IS_7509,IS002,435411799.3314261,1
IS_7617,IS002,1122359486.3401668,1
IS_7620,IS002,8827300085.900984,1
IS_7708,IS002,6264644899.945261,1
IS_8000,IS002,15430197.308536733,1
IS_8200,IS002,155372868.14210203,1
IS_8508,IS002,743357226.2044941,1
IS_8509,IS002,6898531250.717557,1
IS_8610,IS002,2922965300.491607,1
IS_8613,IS002,1826485704.9728086,1
IS_8614,IS002,3166334128.685756,1
IS_8710,IS002,1363814095.6344876,1
IS_8716,IS002,8708300.319316542,1
IS_8717,IS002,731450721.4390773,0.9998905091678203
IS_8717,IS001,80095.91795759548,1.0949083217980609e-4
IS_8719,IS002,894363525.4489347,1
IS_8719,IS001,0,0
IS_8720,IS002,2217796090.532196,1
IS_8721,IS002,3280036970.010915,0.9999965859528851
IS_8721,IS001,11198.238985438755,3.41404711486712e-6
IS_8722,IS002,287227636.1697388,1
IS_4901,IS002,693365654.7222362,1
IS_4902,IS002,454617465.6751382,1
IS_4911,IS002,1821130168.4227104,1
IS_5200,IS002,4149411309.8178363,1
IS_5508,IS002,3002020973.589049,1
IS_5604,IS002,182127918.27540413,1
IS_5609,IS002,52476307.525046736,1
IS_5611,IS002,485045305.94336295,1
IS_5612,IS002,3791378200.70963,1
IS_5706,IS002,1354309890.7965508,1
IS_6000,IS002,134194009.2281936,1
IS_6100,IS002,3703231375.355406,1
IS_6250,IS002,359966157.3018845,1
IS_6400,IS002,593038050.7789598,1
IS_6513,IS002,1764322037.9554427,1
IS_6515,IS002,889065941.2908671,1
IS_6601,IS002,54034785.15130409,1
IS_6602,IS002,427348649.42718214,1
IS_6607,IS002,6010808963.423617,1
IS_6611,IS002,197396310.3231675,1
IS_6612,IS002,5930224257.180326,1
IS_6706,IS002,1145367246.6329455,1
IS_6709,IS002,1317662737.2615967,1
IS_7000,IS002,209835153.0465302,1
IS_0000,IS001,239802397.212194,0.9998709415397865
IS_0000,IS002,30952.52282465396,1.2905846021352762e-4
IS_1000,IS001,109099550.54164934,0.9955147179496917
IS_1000,IS002,491546.98259909364,0.004485282050308261
IS_1100,IS001,1824159.7525117083,1
IS_1300,IS001,44700935.28191241,1
IS_1400,IS001,171449455.31107447,0.9855123194823118
IS_1400,IS002,2520419.9728150642,0.014487680517688268
IS_1604,IS001,184919054.73125646,0.9999978700108516
IS_1604,IS002,393.87641885496305,2.1299891483594587e-6
IS_1606,IS001,281234328.90779316,0.9995241819861442
IS_1606,IS002,133880.06235435183,4.7581801385584467e-4
IS_2000,IS002,142501734.0995158,1
IS_2300,IS002,417876976.4856187,0.9986977786838354
IS_2300,IS001,544877.857875239,0.001302221316164652
IS_2506,IS002,163055213.00929335,0.9999839632363564
IS_2506,IS001,2614.919846736472,1.6036763643588065e-5
IS_2510,IS002,81171826.0739938,1
IS_3000,IS002,8357477.231426685,1
IS_3506,IS002,214604737.92806023,1
IS_3511,IS002,477118523.9775759,0.9997750336823286
IS_3511,IS001,107359.74975963603,2.2496631767143703e-4
IS_3609,IS002,4887710747.069838,1
IS_3709,IS002,147352732.88100624,1
IS_3710,IS002,238201339.94253162,1
IS_3711,IS002,8466738.800194085,1
IS_3713,IS002,380132489.658369,1
IS_3714,IS002,675679992.7614993,1
IS_3811,IS002,2393693323.9014516,1
IS_4100,IS002,107120101.55123922,1
IS_4200,IS002,2326606149.1214514,1
IS_4502,IS002,1068296541.2193437,1
IS_4604,IS002,173642690.2781952,1
IS_4607,IS002,1314883627.2221892,1
IS_4803,IS002,741735021.731617,1
