gisco_id,nuts_3,area,area_share
LU_0101,LU000,17570249.039165623,1
LU_0102,LU000,20575793.258109026,1
LU_0103,LU000,32744056.91584621,1
LU_0104,LU000,33440384.186634555,1
LU_0105,LU000,28125650.47815017,1
LU_0106,LU000,19117684.45961293,1
LU_0107,LU000,7961409.792959123,1
LU_0108,LU000,27749288.472446635,1
LU_0110,LU000,11754417.813930226,1
LU_0201,LU000,21684638.559355505,1
LU_0202,LU000,21791821.31237052,1
LU_0203,LU000,20898504.067159258,1
LU_0204,LU000,14512688.778165765,1
LU_0205,LU000,18238962.435086533,1
LU_0206,LU000,14979747.726831198,1
LU_0207,LU000,13776530.48454277,1
LU_0208,LU000,21126414.842833452,1
LU_0209,LU000,11611656.057379073,1
LU_0210,LU000,19928988.246535253,1
LU_0211,LU000,23955613.424293578,1
LU_0212,LU000,6709991.27670143,1
LU_0213,LU000,24705310.82729047,1
LU_0214,LU000,8007399.826943084,1
LU_0301,LU000,17087845.42400872,1
LU_0302,LU000,20740887.177128457,1
LU_0303,LU000,26997923.716443848,1
LU_0304,LU000,52292307.80180516,1
LU_0305,LU000,41324814.04814436,1
LU_0306,LU000,7892618.24550639,1
LU_0307,LU000,15899862.519182451,1
LU_0308,LU000,21842531.62721024,1
LU_0309,LU000,10531667.531055447,1
LU_0310,LU000,6768505.299367068,1
LU_0311,LU000,17234161.281320795,1
LU_0401,LU000,12207538.837324142,1
LU_0402,LU000,20722101.439205427,1
LU_0403,LU000,37791140.28188212,1
LU_0404,LU000,19005987.956408978,1
LU_0405,LU000,13335934.435207983,1
LU_0406,LU000,15252464.434733683,1
LU_0407,LU000,15456873.065036835,1
LU_0408,LU000,17783753.125302378,1
LU_0409,LU000,48917122.04182766,1
LU_0410,LU000,23303000.21073989,1
LU_0501,LU000,85426186.33008584,1
LU_0502,LU000,112827851.43150559,1
LU_0503,LU000,69697446.60937808,1
LU_0504,LU000,38332287.30567449,1
LU_0505,LU000,34517359.29369788,1
LU_0601,LU000,23129680.10798438,1
LU_0602,LU000,37371156.57888142,1
LU_0603,LU000,12296945.301091168,1
LU_0604,LU000,17912793.245057814,1
LU_0605,LU000,15153820.551549204,1
LU_0606,LU000,22579085.58631104,1
LU_0607,LU000,11129355.451333191,1
LU_0608,LU000,14890073.056564463,1
LU_0609,LU000,10166301.711378232,1
LU_0610,LU000,39715303.32842571,1
LU_0701,LU000,28323475.025960527,1
LU_0702,LU000,15585502.109970191,1
LU_0703,LU000,21722808.59942192,1
LU_0704,LU000,78511870.14512752,1
LU_0705,LU000,20033190.08743239,1
LU_0706,LU000,32105544.34987793,1
LU_0707,LU000,14807673.373263769,1
LU_0708,LU000,24132972.143262,1
LU_0709,LU000,12465964.054253861,1
LU_0710,LU000,20239892.222864486,1
LU_0801,LU000,31968798.052398868,1
LU_0802,LU000,50910838.59506797,1
LU_0804,LU000,29448067.666153096,1
LU_0805,LU000,33676829.58685535,1
LU_0806,LU000,48669078.43841273,1
LU_0807,LU000,38959468.66500027,1
LU_0808,LU000,30646140.373196,1
LU_0901,LU000,41831473.78202607,1
LU_0902,LU000,27558675.58099214,1
LU_0903,LU000,9058602.977102388,1
LU_1001,LU000,13530150.253872309,1
LU_1002,LU000,22860990.27353462,1
LU_1003,LU000,21575889.558487035,1
LU_1004,LU000,26121901.56081021,1
LU_1005,LU000,20504548.797276556,1
LU_1006,LU000,56954640.86812701,1
LU_1008,LU000,22968176.82822685,1
LU_1101,LU000,26086394.491600428,1
LU_1102,LU000,23025176.54998408,1
LU_1103,LU000,29910495.428949736,1
LU_1104,LU000,16432545.279203339,1
LU_1105,LU000,55617718.218343,1
LU_1106,LU000,27561180.574459866,1
LU_1107,LU000,15583972.673056558,1
LU_1108,LU000,17414782.465843026,1
LU_1201,LU000,15265142.003840908,1
LU_1202,LU000,19164296.09263435,1
LU_1203,LU000,20504794.142064065,1
LU_1204,LU000,13691003.618076848,1
LU_1205,LU000,5240083.555541016,1
LU_1206,LU000,30890063.176371902,1
LU_1207,LU000,10071302.489903772,1
LU_1208,LU000,12551599.253370637,1
