gisco_id,nuts_3,area,area_share
NO_1857,NO071,118158589.26158558,1
NO_1859,NO071,1245566045.6534312,1
NO_3452,NO020,1966004727.3783877,0.9999999695320363
NO_3452,NO082,59.9001624584198,3.046796368249786e-8
NO_3453,NO020,4149934745.8552217,1
NO_3454,NO020,6465700500.190454,0.9989914228269382
NO_3454,NO0A2,5833062.2714289855,9.012448346163465e-4
NO_3454,NO082,694679.392150891,1.0733233844545217e-4
NO_3801,NO091,269985291.795666,1
NO_3802,NO091,1669313343.4175744,0.9980585149641932
NO_3802,NO082,3247251.366252963,0.0019414850358068247
NO_3803,NO091,1261081296.581693,1
NO_3804,NO091,1601418184.1031108,1
NO_1124,NO0A1,253113142.2888481,1
NO_1127,NO0A1,90656612.6664211,1
NO_1130,NO0A1,974016757.9121181,1
NO_1133,NO0A1,4028641822.3979263,0.9997737066214295
NO_1133,NO092,911861.3172191083,2.26293378570501e-4
NO_1134,NO0A1,6679820561.646985,0.9995839938032806
NO_1134,NO092,2574241.784306852,3.85215569793432e-4
NO_1134,NO0A2,129750.96823009523,1.941623877862116e-5
NO_1134,NO091,76010.49265909195,1.1374388147396075e-5
NO_1815,NO071,833221225.562089,1
NO_1860,NO071,2969145051.197839,1
NO_1867,NO071,1779669215.833401,1
NO_3805,NO091,3076076841.096457,0.9994393793113844
NO_3805,NO082,1725479.656483231,5.606206886156085e-4
NO_3806,NO091,611621666.7385943,1
NO_3807,NO091,2970817439.063147,0.9997802654933035
NO_3807,NO082,652934.5767148137,2.197345066964307e-4
NO_3808,NO091,3836202295.8025045,0.9988698652342064
NO_3808,NO082,4340330.741770019,0.0011301347657936176
NO_3812,NO091,817353335.5944574,0.9999998607125463
NO_3812,NO082,113.84708070755005,1.3928745365341858e-7
NO_3813,NO091,1133372429.89251,1
NO_1135,NO0A1,2135687389.248249,0.9973693175541735
NO_1135,NO0A2,5633134.312218614,0.002630682445826538
NO_1144,NO0A1,17316607.11805436,1
NO_1145,NO0A1,170921970.35171708,1
NO_1146,NO0A1,1596959249.392845,0.999536918495935
NO_1146,NO0A2,739864.9088942409,4.6308150406504573e-4
NO_1865,NO071,3353297898.003891,1
NO_3811,NO091,351236493.652294,1
NO_3814,NO091,1107823278.9136834,0.9989450329188948
NO_3814,NO092,1169951.3510977887,0.0010549670811051328
NO_1149,NO0A1,840999567.69021,1
NO_1151,NO0A1,22232217.910933588,1
NO_1160,NO0A1,2386467659.5250325,0.9996477492294871
NO_1160,NO0A2,840931.2905668372,3.522507705128903e-4
NO_1505,NO0A3,410661221.09628564,1
NO_1818,NO071,269248277.6298237,1
NO_1866,NO071,4105756385.1961584,1
NO_1868,NO071,2344898673.140176,1
NO_3815,NO091,4014246169.2632456,0.9999321893587743
NO_3815,NO092,272227.0666673273,6.781064122565691e-5
NO_3816,NO091,1645717714.3694892,1
NO_3817,NO091,1995638626.461435,1
NO_3817,NO082,0,0
NO_3818,NO091,8141843140.690262,0.9989093059599936
NO_3818,NO082,8889956.010253737,0.001090694040006348
NO_3819,NO091,3102717690.3612814,1
NO_3820,NO091,2777736727.6553946,1
NO_3821,NO091,2718391359.82133,1
NO_3822,NO091,3406541971.2871213,0.9993249498972081
NO_3822,NO092,2301139.8926032474,6.750501027918748e-4
NO_3823,NO091,4853658278.153533,0.9991541852286401
NO_3823,NO092,4108771.1261057905,8.458147713598334e-4
NO_1506,NO0A3,7045681108.795925,0.9999359636884911
NO_1506,NO020,451208.3239916563,6.403631150884862e-5
NO_1511,NO0A3,1737952884.7854238,0.9980270383451267
NO_1511,NO0A2,3435692.8899879428,0.0019729616548733
NO_1514,NO0A3,415000044.14155513,1
NO_1820,NO071,1020381015.7664903,1
NO_1822,NO071,2768337429.8104486,1
NO_1870,NO071,5328915440.002035,0.9982704799842377
NO_1870,NO074,9232433.594484093,0.001729520015762291
