gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
FR_01001,FR,FRK2,FRK21,01001,Abergement-Clémenciat,767,15.66088814,2017,FR_01001
FR_01002,FR,FRK2,FRK21,01002,Abergement-de-Varey,241,9.12505466,2017,FR_01002
FR_01004,FR,FRK2,FRK21,01004,Ambérieu-en-Bugey,14127,24.5775566,2017,FR_01004
FR_01005,FR,FRK2,FRK21,01005,Ambérieux-en-Dombes,1619,16.06330486,2017,FR_01005
FR_01006,FR,FRK2,FRK21,01006,Ambléon,109,6.03925813,2017,FR_01006
FR_01007,FR,FRK2,FRK21,01007,Ambronay,2615,33.62914497,2017,FR_01007
FR_01008,FR,FRK2,FRK21,01008,Ambutrix,747,5.19520721,2017,FR_01008
FR_01009,FR,FRK2,FRK21,01009,Andert-et-Condon,342,6.98240372,2017,FR_01009
FR_01010,FR,FRK2,FRK21,01010,Anglefort,1133,29.46523965,2017,FR_01010
FR_01011,FR,FRK2,FRK21,01011,Apremont,390,15.07234234,2017,FR_01011
FR_01012,FR,FRK2,FRK21,01012,Aranc,327,21.70290028,2017,FR_01012
FR_01013,FR,FRK2,FRK21,01013,Arandas,153,14.04549012,2017,FR_01013
FR_01014,FR,FRK2,FRK21,01014,Arbent,3392,23.7569228,2017,FR_01014
FR_01015,FR,FRK2,FRK21,01015,Arboys en Bugey,637,22.52202933,2017,FR_01015
FR_01016,FR,FRK2,FRK21,01016,Arbigny,453,17.61369888,2017,FR_01016
FR_01017,FR,FRK2,FRK21,01017,Argis,433,7.88877091,2017,FR_01017
FR_01019,FR,FRK2,FRK21,01019,Armix,24,6.92629941,2017,FR_01019
FR_01021,FR,FRK2,FRK21,01021,Ars-sur-Formans,1370,5.58958695,2017,FR_01021
FR_01022,FR,FRK2,FRK21,01022,Artemare,1210,3.35439223,2017,FR_01022
FR_01023,FR,FRK2,FRK21,01023,Asnières-sur-Saône,64,4.69917585,2017,FR_01023
FR_01024,FR,FRK2,FRK21,01024,Attignat,3328,18.94241622,2017,FR_01024
FR_01025,FR,FRK2,FRK21,01025,Bâgé-la-Ville,3177,39.95295546,2017,FR_01025
FR_01026,FR,FRK2,FRK21,01026,Bâgé-le-Châtel,902,0.85968449,2017,FR_01026
FR_01027,FR,FRK2,FRK21,01027,Balan,2997,17.86814165,2017,FR_01027
FR_01028,FR,FRK2,FRK21,01028,Baneins,597,9.07092143,2017,FR_01028
FR_01029,FR,FRK2,FRK21,01029,Beaupont,682,14.05734634,2017,FR_01029
FR_01030,FR,FRK2,FRK21,01030,Beauregard,889,0.9412861,2017,FR_01030
FR_01031,FR,FRK2,FRK21,01031,Bellignat,3612,7.80703436,2017,FR_01031
FR_01032,FR,FRK2,FRK21,01032,Béligneux,3300,13.35265928,2017,FR_01032
FR_01033,FR,FRK2,FRK21,01033,Bellegarde-sur-Valserine,11809,15.41631573,2017,FR_01033
FR_01034,FR,FRK2,FRK21,01034,Belley,9058,22.6298653,2017,FR_01034
FR_01035,FR,FRK2,FRK21,01035,Belleydoux,315,17.85739626,2017,FR_01035
FR_01036,FR,FRK2,FRK21,01036,Belmont-Luthézieu,572,19.71069299,2017,FR_01036
FR_01037,FR,FRK2,FRK21,01037,Bénonces,288,15.35401258,2017,FR_01037
FR_01038,FR,FRK2,FRK21,01038,Bény,747,18.29072449,2017,FR_01038
FR_01039,FR,FRK2,FRK21,01039,Béon,475,10.23031081,2017,FR_01039
FR_01040,FR,FRK2,FRK21,01040,Béréziat,484,11.3149596,2017,FR_01040
FR_01041,FR,FRK2,FRK21,01041,Bettant,753,3.45173811,2017,FR_01041
FR_01042,FR,FRK2,FRK21,01042,Bey,271,2.80055908,2017,FR_01042
FR_01043,FR,FRK2,FRK21,01043,Beynost,4529,10.73322397,2017,FR_01043
FR_01044,FR,FRK2,FRK21,01044,Billiat,601,14.02681866,2017,FR_01044
FR_01045,FR,FRK2,FRK21,01045,Birieux,287,15.82163118,2017,FR_01045
FR_01046,FR,FRK2,FRK21,01046,Biziat,838,11.67110906,2017,FR_01046
FR_01047,FR,FRK2,FRK21,01047,Blyes,1000,9.35157845,2017,FR_01047
FR_01049,FR,FRK2,FRK21,01049,Boisse,2937,9.39381197,2017,FR_01049
FR_01050,FR,FRK2,FRK21,01050,Boissey,331,9.41304283,2017,FR_01050
FR_01051,FR,FRK2,FRK21,01051,Bolozon,89,4.98968844,2017,FR_01051
FR_01052,FR,FRK2,FRK21,01052,Bouligneux,309,26.27061912,2017,FR_01052
FR_01053,FR,FRK2,FRK21,01053,Bourg-en-Bresse,40819,24.08644291,2017,FR_01053
FR_01054,FR,FRK2,FRK21,01054,Bourg-Saint-Christophe,1284,8.92494077,2017,FR_01054
FR_01056,FR,FRK2,FRK21,01056,Boyeux-Saint-Jérôme,362,16.70848335,2017,FR_01056
FR_01057,FR,FRK2,FRK21,01057,Boz,516,7.74636963,2017,FR_01057
FR_01058,FR,FRK2,FRK21,01058,Brégnier-Cordon,856,11.37175881,2017,FR_01058
FR_01059,FR,FRK2,FRK21,01059,Brénaz,100,9.86409882,2017,FR_01059
FR_01060,FR,FRK2,FRK21,01060,Brénod,536,24.06822296,2017,FR_01060
FR_01061,FR,FRK2,FRK21,01061,Brens,1171,6.86238042,2017,FR_01061
FR_01062,FR,FRK2,FRK21,01062,Bressolles,871,7.69737766,2017,FR_01062
FR_01063,FR,FRK2,FRK21,01063,Brion,515,4.48708691,2017,FR_01063
FR_01064,FR,FRK2,FRK21,01064,Briord,1000,12.3859733,2017,FR_01064
FR_01065,FR,FRK2,FRK21,01065,Buellas,1771,10.2429303,2017,FR_01065
FR_01066,FR,FRK2,FRK21,01066,Burbanche,71,11.09550921,2017,FR_01066
FR_01067,FR,FRK2,FRK21,01067,Ceignes,256,10.22427955,2017,FR_01067
FR_01068,FR,FRK2,FRK21,01068,Cerdon,779,12.1253468,2017,FR_01068
FR_01069,FR,FRK2,FRK21,01069,Certines,1552,16.00801582,2017,FR_01069
FR_01071,FR,FRK2,FRK21,01071,Cessy,4817,6.45955337,2017,FR_01071
FR_01072,FR,FRK2,FRK21,01072,Ceyzériat,3118,9.21163528,2017,FR_01072
FR_01073,FR,FRK2,FRK21,01073,Ceyzérieu,1016,19.74797652,2017,FR_01073
FR_01074,FR,FRK2,FRK21,01074,Chalamont,2407,33.04382653,2017,FR_01074
FR_01075,FR,FRK2,FRK21,01075,Chaleins,1270,17.07469493,2017,FR_01075
FR_01076,FR,FRK2,FRK21,01076,Chaley,144,4.69893077,2017,FR_01076
