gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
MK_MK0010101,MK,MK00,MK001,MK0010101,Bašino Selo,NA,9.56715507,2016,MK_MK0010101
MK_MK0010102,MK,MK00,MK001,MK0010102,Beleštevica,NA,7.76409194,2016,MK_MK0010102
MK_MK0010103,MK,MK00,MK001,MK0010103,Buzalkovo,NA,10.37714894,2016,MK_MK0010103
MK_MK0010104,MK,MK00,MK001,MK0010104,Veles,NA,61.41870824,2016,MK_MK0010104
MK_MK0010105,MK,MK00,MK001,MK0010105,Vetersko,NA,10.59597004,2016,MK_MK0010105
MK_MK0010106,MK,MK00,MK001,MK0010106,Gorno Kalaslari,NA,10.85194929,2016,MK_MK0010106
MK_MK0010107,MK,MK00,MK001,MK0010107,Gorno Orizari,NA,27.19790828,2016,MK_MK0010107
MK_MK0010108,MK,MK00,MK001,MK0010108,Dolno Kalaslari,NA,8.92293823,2016,MK_MK0010108
MK_MK0010109,MK,MK00,MK001,MK0010109,Dolno Orizari,NA,7.02149405,2016,MK_MK0010109
MK_MK0010110,MK,MK00,MK001,MK0010110,Ivankovci,NA,31.25732668,2016,MK_MK0010110
MK_MK0010111,MK,MK00,MK001,MK0010111,Karabunjište,NA,12.12328332,2016,MK_MK0010111
MK_MK0010112,MK,MK00,MK001,MK0010112,Krušje,NA,11.14112234,2016,MK_MK0010112
MK_MK0010113,MK,MK00,MK001,MK0010113,Kumarino,NA,6.35553094,2016,MK_MK0010113
MK_MK0010114,MK,MK00,MK001,MK0010114,Lugunci,NA,11.88055165,2016,MK_MK0010114
MK_MK0010115,MK,MK00,MK001,MK0010115,Mamutčevo,NA,9.983089,2016,MK_MK0010115
MK_MK0010116,MK,MK00,MK001,MK0010116,Novačani,NA,13.35521454,2016,MK_MK0010116
MK_MK0010117,MK,MK00,MK001,MK0010117,Novo Selo,NA,6.11681897,2016,MK_MK0010117
MK_MK0010118,MK,MK00,MK001,MK0010118,Oraovec,NA,15.54296187,2016,MK_MK0010118
MK_MK0010119,MK,MK00,MK001,MK0010119,Otovica,NA,6.36398448,2016,MK_MK0010119
MK_MK0010120,MK,MK00,MK001,MK0010120,Raštani,NA,12.13209473,2016,MK_MK0010120
MK_MK0010121,MK,MK00,MK001,MK0010121,Rlevci,NA,24.71508084,2016,MK_MK0010121
MK_MK0010122,MK,MK00,MK001,MK0010122,Rudnik,NA,14.94517968,2016,MK_MK0010122
MK_MK0010123,MK,MK00,MK001,MK0010123,S'lp,NA,26.95607877,2016,MK_MK0010123
MK_MK0010124,MK,MK00,MK001,MK0010124,Slivnik,NA,3.00581676,2016,MK_MK0010124
MK_MK0010125,MK,MK00,MK001,MK0010125,Sojaklari,NA,14.93074588,2016,MK_MK0010125
MK_MK0010126,MK,MK00,MK001,MK0010126,Sopot,NA,8.30604084,2016,MK_MK0010126
MK_MK0010127,MK,MK00,MK001,MK0010127,Crkvino,NA,19.6527758,2016,MK_MK0010127
MK_MK0010128,MK,MK00,MK001,MK0010128,Čaloševo,NA,9.06260728,2016,MK_MK0010128
MK_MK0010129,MK,MK00,MK001,MK0010129,Džidimirci,NA,14.88065191,2016,MK_MK0010129
MK_MK0010201,MK,MK00,MK001,MK0010201,Viničani,NA,15.79510412,2016,MK_MK0010201
MK_MK0010202,MK,MK00,MK001,MK0010202,Vodovrati,NA,15.12068585,2016,MK_MK0010202
MK_MK0010203,MK,MK00,MK001,MK0010203,Gorno Čičevo,NA,14.34424851,2016,MK_MK0010203
MK_MK0010204,MK,MK00,MK001,MK0010204,Gradsko,NA,8.63968355,2016,MK_MK0010204
MK_MK0010205,MK,MK00,MK001,MK0010205,Grnčište,NA,17.95466949,2016,MK_MK0010205
MK_MK0010206,MK,MK00,MK001,MK0010206,Dvorište,NA,7.23885488,2016,MK_MK0010206
MK_MK0010207,MK,MK00,MK001,MK0010207,Dolno Čičevo,NA,15.79104075,2016,MK_MK0010207
MK_MK0010208,MK,MK00,MK001,MK0010208,Zgropolci,NA,7.10138589,2016,MK_MK0010208
MK_MK0010209,MK,MK00,MK001,MK0010209,Kočilari,NA,20.39914769,2016,MK_MK0010209
MK_MK0010210,MK,MK00,MK001,MK0010210,Kuridere,NA,12.63284898,2016,MK_MK0010210
MK_MK0010211,MK,MK00,MK001,MK0010211,Nogaevci,NA,14.30313232,2016,MK_MK0010211
MK_MK0010212,MK,MK00,MK001,MK0010212,Podles,NA,27.07814208,2016,MK_MK0010212
MK_MK0010213,MK,MK00,MK001,MK0010213,Svećani,NA,11.63875618,2016,MK_MK0010213
