gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
CH_CH0001,CH,CH04,CH040,CH0001,Aeugst am Albis,1981,7.88800853,2017,CH_CH0001
CH_CH0002,CH,CH04,CH040,CH0002,Affoltern am Albis,11708,10.59189006,2017,CH_CH0002
CH_CH0003,CH,CH04,CH040,CH0003,Bonstetten,5326,7.44205791,2017,CH_CH0003
CH_CH0004,CH,CH04,CH040,CH0004,Hausen am Albis,3477,13.66417444,2017,CH_CH0004
CH_CH0005,CH,CH04,CH040,CH0005,Hedingen,3660,6.53856425,2017,CH_CH0005
CH_CH0006,CH,CH04,CH040,CH0006,Kappel am Albis,1033,7.84597378,2017,CH_CH0006
CH_CH0007,CH,CH04,CH040,CH0007,Knonau,2097,6.55546373,2017,CH_CH0007
CH_CH0008,CH,CH04,CH040,CH0008,Maschwanden,641,4.57798319,2017,CH_CH0008
CH_CH0009,CH,CH04,CH040,CH0009,Mettmenstetten,4669,12.92005059,2017,CH_CH0009
CH_CH0010,CH,CH04,CH040,CH0010,Obfelden,5009,7.53779886,2017,CH_CH0010
CH_CH0011,CH,CH04,CH040,CH0011,Ottenbach,2569,4.98643505,2017,CH_CH0011
CH_CH0012,CH,CH04,CH040,CH0012,Rifferswil,1057,6.53826064,2017,CH_CH0012
CH_CH0013,CH,CH04,CH040,CH0013,Stallikon,3455,12.0139763,2017,CH_CH0013
CH_CH0014,CH,CH04,CH040,CH0014,Wettswil am Albis,4920,3.74843894,2017,CH_CH0014
CH_CH0021,CH,CH04,CH040,CH0021,Adlikon,662,6.70571298,2017,CH_CH0021
CH_CH0022,CH,CH04,CH040,CH0022,Benken (ZH),860,5.5912747,2017,CH_CH0022
CH_CH0023,CH,CH04,CH040,CH0023,Berg am Irchel,573,6.9874933,2017,CH_CH0023
CH_CH0024,CH,CH04,CH040,CH0024,Buch am Irchel,966,10.15150113,2017,CH_CH0024
CH_CH0025,CH,CH04,CH040,CH0025,Dachsen,1988,2.73496694,2017,CH_CH0025
CH_CH0026,CH,CH04,CH040,CH0026,Dorf,624,5.55450149,2017,CH_CH0026
CH_CH0027,CH,CH04,CH040,CH0027,Feuerthalen,3567,2.58346319,2017,CH_CH0027
CH_CH0028,CH,CH04,CH040,CH0028,Flaach,1359,10.08830909,2017,CH_CH0028
CH_CH0029,CH,CH04,CH040,CH0029,Flurlingen,1438,2.4103743,2017,CH_CH0029
CH_CH0030,CH,CH04,CH040,CH0030,Andelfingen,2170,6.56952103,2017,CH_CH0030
CH_CH0031,CH,CH04,CH040,CH0031,Henggart,2249,3.10585123,2017,CH_CH0031
CH_CH0032,CH,CH04,CH040,CH0032,Humlikon,504,3.64811449,2017,CH_CH0032
CH_CH0033,CH,CH04,CH040,CH0033,Kleinandelfingen,2082,10.31561816,2017,CH_CH0033
CH_CH0034,CH,CH04,CH040,CH0034,Laufen-Uhwiesen,1634,6.21872554,2017,CH_CH0034
CH_CH0035,CH,CH04,CH040,CH0035,Marthalen,1956,14.15517679,2017,CH_CH0035
