gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
EE_0105,EE,EE00,EE008,0105,Abja,2125,290.1912068,2017,EE_0105
EE_0112,EE,EE00,EE001,0112,Aegviidu,706,11.91220531,2017,EE_0112
EE_0117,EE,EE00,EE008,0117,Ahja,1012,72.0980255,2017,EE_0117
EE_0122,EE,EE00,EE007,0122,Alajõe,552,108.92483218,2017,EE_0122
EE_0126,EE,EE00,EE008,0126,Alatskivi,1263,128.5154394,2017,EE_0126
EE_0129,EE,EE00,EE006,0129,Albu,1118,257.0105562,2017,EE_0129
EE_0134,EE,EE00,EE006,0134,Ambla,1954,166.57296092,2017,EE_0134
EE_0140,EE,EE00,EE001,0140,Anija,5471,520.55468558,2017,EE_0140
EE_0143,EE,EE00,EE008,0143,Antsla,3303,270.87927669,2017,EE_0143
EE_0149,EE,EE00,EE004,0149,Are,1264,159.905134,2017,EE_0149
EE_0154,EE,EE00,EE007,0154,Aseri,1555,67.13290594,2017,EE_0154
EE_0160,EE,EE00,EE004,0160,Audru,5686,388.76266817,2017,EE_0160
EE_0164,EE,EE00,EE007,0164,Avinurme,1245,193.59004515,2017,EE_0164
EE_0170,EE,EE00,EE008,0170,Elva,5669,9.86437247,2017,EE_0170
EE_0175,EE,EE00,EE004,0175,Emmaste,1210,199.11575316,2017,EE_0175
EE_0181,EE,EE00,EE008,0181,Haanja,1078,170.79201746,2017,EE_0181
EE_0183,EE,EE00,EE004,0183,Haapsalu,9946,11.11213519,2017,EE_0183
EE_0185,EE,EE00,EE008,0185,Haaslava,2162,109.76208104,2017,EE_0185
EE_0188,EE,EE00,EE004,0188,Halinga,2833,363.43387071,2017,EE_0188
EE_0190,EE,EE00,EE006,0190,Haljala,2431,181.82433581,2017,EE_0190
EE_0192,EE,EE00,EE008,0192,Halliste,1451,266.59098603,2017,EE_0192
EE_0195,EE,EE00,EE004,0195,Hanila,1411,233.11011905,2017,EE_0195
EE_0198,EE,EE00,EE001,0198,Harku,13735,159.18994502,2017,EE_0198
EE_0203,EE,EE00,EE008,0203,Helme,1957,312.89313654,2017,EE_0203
EE_0204,EE,EE00,EE004,0204,Hiiu,4519,387.21409342,2017,EE_0204
EE_0208,EE,EE00,EE008,0208,Hummuli,802,162.41567123,2017,EE_0208
EE_0213,EE,EE00,EE004,0213,Häädemeeste,2487,390.44564529,2017,EE_0213
EE_0224,EE,EE00,EE007,0224,Iisaku,1189,257.56046654,2017,EE_0224
EE_0229,EE,EE00,EE007,0229,Illuka,1017,537.60725829,2017,EE_0229
EE_0234,EE,EE00,EE006,0234,Imavere,872,139.64073344,2017,EE_0234
EE_0240,EE,EE00,EE006,0240,Juuru,1453,152.43446691,2017,EE_0240
EE_0245,EE,EE00,EE001,0245,Jõelähtme,6219,210.91692821,2017,EE_0245
EE_0248,EE,EE00,EE008,0248,Jõgeva,4307,458.91972311,2017,EE_0248
EE_0249,EE,EE00,EE008,0249,Jõgeva,5236,3.94650373,2017,EE_0249
EE_0251,EE,EE00,EE007,0251,Jõhvi,11620,123.95939915,2017,EE_0251
EE_0257,EE,EE00,EE006,0257,Järva-Jaani,1525,126.73985649,2017,EE_0257
EE_0260,EE,EE00,EE006,0260,Järvakandi,1225,4.85286007,2017,EE_0260
EE_0272,EE,EE00,EE006,0272,Kadrina,5009,353.83795665,2017,EE_0272
EE_0277,EE,EE00,EE006,0277,Kaiu,1236,261.06910486,2017,EE_0277
EE_0279,EE,EE00,EE008,0279,Kallaste,769,2.26974269,2017,EE_0279
EE_0282,EE,EE00,EE008,0282,Kambja,2557,188.9491289,2017,EE_0282
EE_0285,EE,EE00,EE008,0285,Kanepi,2431,231.50015533,2017,EE_0285
EE_0288,EE,EE00,EE006,0288,Kareda,589,91.64297298,2017,EE_0288
EE_0289,EE,EE00,EE008,0289,Karula,951,229.78115976,2017,EE_0289
EE_0292,EE,EE00,EE006,0292,Kehtna,4360,507.1229503,2017,EE_0292
EE_0295,EE,EE00,EE001,0295,Keila,4810,179.61702156,2017,EE_0295
EE_0296,EE,EE00,EE001,0296,Keila,9695,11.14839928,2017,EE_0296
EE_0297,EE,EE00,EE001,0297,Kernu,2034,174.82595596,2017,EE_0297
EE_0301,EE,EE00,EE004,0301,Kihelkonna,748,247.21871209,2017,EE_0301
EE_0303,EE,EE00,EE004,0303,Kihnu,686,17.17514083,2017,EE_0303
EE_0304,EE,EE00,EE001,0304,Kiili,5065,100.39579181,2017,EE_0304
EE_0309,EE,EE00,EE007,0309,Kiviõli,5235,11.78597616,2017,EE_0309
EE_0314,EE,EE00,EE006,0314,Koeru,2088,236.94989762,2017,EE_0314
EE_0317,EE,EE00,EE006,0317,Kohila,6933,230.14913006,2017,EE_0317
EE_0320,EE,EE00,EE007,0320,Kohtla,1532,101.59087028,2017,EE_0320
EE_0322,EE,EE00,EE007,0322,Kohtla-Järve,35187,41.78746989,2017,EE_0322
EE_0323,EE,EE00,EE007,0323,Kohtla-Nõmme,982,4.61157366,2017,EE_0323
EE_0325,EE,EE00,EE006,0325,Koigi,938,204.23695539,2017,EE_0325
EE_0328,EE,EE00,EE008,0328,Kolga-Jaani,1388,313.25403549,2017,EE_0328
EE_0331,EE,EE00,EE008,0331,Konguta,1400,107.59902943,2017,EE_0331
EE_0334,EE,EE00,EE004,0334,Koonga,1035,439.62261934000003,2017,EE_0334
EE_0338,EE,EE00,EE001,0338,Kose,7103,532.88570676,2017,EE_0338
EE_0342,EE,EE00,EE004,0342,Kullamaa,1093,224.50996934,2017,EE_0342
EE_0345,EE,EE00,EE006,0345,Kunda,3059,10.08569597,2017,EE_0345
EE_0349,EE,EE00,EE004,0349,Kuressaare,13382,15.38280917,2017,EE_0349
EE_0353,EE,EE00,EE001,0353,Kuusalu,6506,709.81286299,2017,EE_0353
EE_0354,EE,EE00,EE008,0354,Kõlleste,1073,150.38714226,2017,EE_0354
EE_0357,EE,EE00,EE008,0357,Kõo,1038,149.3829299,2017,EE_0357
EE_0360,EE,EE00,EE008,0360,Kõpu,611,258.97151866,2017,EE_0360
EE_0368,EE,EE00,EE004,0368,Käina,2053,187.93890473,2017,EE_0368
EE_0375,EE,EE00,EE006,0375,Käru,600,214.96554396,2017,EE_0375
EE_0381,EE,EE00,EE006,0381,Laekvere,1469,352.14488653,2017,EE_0381
EE_0383,EE,EE00,EE008,0383,Laeva,745,233.4633236,2017,EE_0383
EE_0385,EE,EE00,EE008,0385,Laheda,1168,91.43949772,2017,EE_0385
EE_0386,EE,EE00,EE004,0386,Laimjala,686,115.88008792,2017,EE_0386
EE_0389,EE,EE00,EE008,0389,Lasva,1691,172.25032447,2017,EE_0389
EE_0403,EE,EE00,EE004,0403,Leisi,1987,348.9286698,2017,EE_0403
EE_0411,EE,EE00,EE004,0411,Lihula,2217,375.35949093,2017,EE_0411
EE_0420,EE,EE00,EE007,0420,Lohusuu,692,104.55275225,2017,EE_0420
EE_0424,EE,EE00,EE001,0424,Loksa,2637,3.80992479,2017,EE_0424
EE_0432,EE,EE00,EE008,0432,Luunja,4202,131.75241289,2017,EE_0432
EE_0433,EE,EE00,EE004,0433,Lääne-Saare,7061,807.87498141,2017,EE_0433
EE_0436,EE,EE00,EE004,0436,Lääne-Nigula,4036,508.77811635,2017,EE_0436
EE_0438,EE,EE00,EE007,0438,Lüganuse,2876,438.59465786,2017,EE_0438
EE_0446,EE,EE00,EE001,0446,Maardu,15077,23.39055734,2017,EE_0446
EE_0452,EE,EE00,EE004,0452,Martna,739,270.60638941,2017,EE_0452
EE_0454,EE,EE00,EE008,0454,Meeksi,581,143.58461297,2017,EE_0454
EE_0460,EE,EE00,EE008,0460,Meremäe,1007,134.2117496,2017,EE_0460
EE_0465,EE,EE00,EE008,0465,Mikitamäe,937,104.31869953,2017,EE_0465
EE_0468,EE,EE00,EE008,0468,Misso,615,188.59571706,2017,EE_0468
EE_0473,EE,EE00,EE008,0473,Mooste,1427,185.04236762,2017,EE_0473
EE_0478,EE,EE00,EE004,0478,Muhu,1823,207.88413506,2017,EE_0478
EE_0483,EE,EE00,EE004,0483,Mustjala,657,235.60195364,2017,EE_0483
EE_0485,EE,EE00,EE008,0485,Mustvee,1286,5.82567858,2017,EE_0485
EE_0490,EE,EE00,EE008,0490,Mõisaküla,762,2.21079955,2017,EE_0490
EE_0493,EE,EE00,EE008,0493,Mõniste,844,176.29411436,2017,EE_0493
EE_0498,EE,EE00,EE007,0498,Mäetaguse,1736,285.14042098,2017,EE_0498
EE_0501,EE,EE00,EE008,0501,Mäksa,1723,134.18708141,2017,EE_0501
EE_0504,EE,EE00,EE006,0504,Märjamaa,6433,867.63896651,2017,EE_0504
EE_0511,EE,EE00,EE007,0511,Narva,57130,68.51281972,2017,EE_0511
EE_0513,EE,EE00,EE007,0513,Narva-Jõesuu,2651,10.23509695,2017,EE_0513
EE_0518,EE,EE00,EE001,0518,Nissi,2834,264.70201267,2017,EE_0518
EE_0520,EE,EE00,EE004,0520,Noarootsi,835,303.00447703,2017,EE_0520
EE_0528,EE,EE00,EE008,0528,Nõo,4109,169.20371268,2017,EE_0528
EE_0531,EE,EE00,EE004,0531,Nõva,349,129.77403514,2017,EE_0531
EE_0547,EE,EE00,EE008,0547,Orava,694,175.49376819,2017,EE_0547
EE_0550,EE,EE00,EE004,0550,Orissaare,1768,163.32352658,2017,EE_0550
EE_0562,EE,EE00,EE001,0562,Padise,1715,367.60001899,2017,EE_0562
EE_0565,EE,EE00,EE006,0565,Paide,1663,300.65292209,2017,EE_0565
EE_0566,EE,EE00,EE006,0566,Paide,8226,10.12836868,2017,EE_0566
EE_0568,EE,EE00,EE004,0568,Paikuse,3860,175.46331204,2017,EE_0568
EE_0573,EE,EE00,EE008,0573,Pajusi,1225,232.46278695,2017,EE_0573
EE_0576,EE,EE00,EE008,0576,Pala,1072,156.65318086,2017,EE_0576
EE_0578,EE,EE00,EE008,0578,Palamuse,2065,215.88792834,2017,EE_0578
EE_0580,EE,EE00,EE001,0580,Paldiski,3681,59.89103763,2017,EE_0580
EE_0582,EE,EE00,EE008,0582,Palupera,1003,123.51053474,2017,EE_0582
EE_0587,EE,EE00,EE008,0587,Peipsiääre,648,32.03356298,2017,EE_0587
EE_0592,EE,EE00,EE004,0592,Pihtla,1382,228.49350034,2017,EE_0592
EE_0595,EE,EE00,EE008,0595,Piirissaare,99,8.85105574,2017,EE_0595
EE_0600,EE,EE00,EE008,0600,Karksi,3288,321.78990346,2017,EE_0600
EE_0605,EE,EE00,EE008,0605,Puhja,2194,167.22867352,2017,EE_0605
EE_0608,EE,EE00,EE008,0608,Puka,1523,200.80770316,2017,EE_0608
EE_0611,EE,EE00,EE008,0611,Puurmani,1491,292.64541783,2017,EE_0611
EE_0613,EE,EE00,EE008,0613,Põdrala,737,126.82727701,2017,EE_0613
EE_0616,EE,EE00,EE008,0616,Põltsamaa,3622,416.79659215,2017,EE_0616
EE_0617,EE,EE00,EE008,0617,Põltsamaa,4105,6.01905457,2017,EE_0617
EE_0621,EE,EE00,EE008,0621,Põlva,9407,234.14256039,2017,EE_0621
EE_0625,EE,EE00,EE004,0625,Pärnu,39620,33.09259778,2017,EE_0625
