gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
ES_01001,ES,ES21,ES211,01001,Alegría-Dulantzi,2913,19.94546181,2017,ES_01001
ES_01002,ES,ES21,ES211,01002,Amurrio,10291,96.33036406,2017,ES_01002
ES_01003,ES,ES21,ES211,01003,Aramaio,1496,73.27197428,2017,ES_01003
ES_01004,ES,ES21,ES211,01004,Artziniega,1829,27.44113696,2017,ES_01004
ES_01006,ES,ES21,ES211,01006,Armiñón,239,12.93877576,2017,ES_01006
ES_01008,ES,ES21,ES211,01008,Arratzua-Ubarrundia,976,57.40206104,2017,ES_01008
ES_01009,ES,ES21,ES211,01009,Asparrena,1640,65.34921689,2017,ES_01009
ES_01010,ES,ES21,ES211,01010,Ayala,2969,140.85723127,2017,ES_01010
ES_01011,ES,ES21,ES211,01011,Baños de Ebro,306,9.45333043,2017,ES_01011
ES_01013,ES,ES21,ES211,01013,Barrundia,898,97.38054361,2017,ES_01013
ES_01014,ES,ES21,ES211,01014,Berantevilla,443,35.69752924,2017,ES_01014
ES_01016,ES,ES21,ES211,01016,Bernedo,504,130.44503121,2017,ES_01016
ES_01017,ES,ES21,ES211,01017,Campezo,1048,85.39469653,2017,ES_01017
ES_01018,ES,ES21,ES211,01018,Zigoitia,1766,102.06735815,2017,ES_01018
ES_01019,ES,ES21,ES211,01019,Kripan,184,12.5279563,2017,ES_01019
ES_01020,ES,ES21,ES211,01020,Kuartango,372,84.09053207,2017,ES_01020
ES_01021,ES,ES21,ES211,01021,Elburgo,607,32.10097358,2017,ES_01021
ES_01022,ES,ES21,ES211,01022,Elciego,1030,16.32074416,2017,ES_01022
ES_01023,ES,ES21,ES211,01023,Elvillar,353,17.5094811,2017,ES_01023
ES_01027,ES,ES21,ES211,01027,Iruraiz-Gauna,530,47.1545244,2017,ES_01027
ES_01028,ES,ES21,ES211,01028,Labastida,1454,38.20961461,2017,ES_01028
ES_01030,ES,ES21,ES211,01030,Lagrán,166,45.60557762,2017,ES_01030
ES_01031,ES,ES21,ES211,01031,Laguardia,1474,81.0148869,2017,ES_01031
ES_01032,ES,ES21,ES211,01032,Lanciego,673,24.18833685,2017,ES_01032
