gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
IS_0000,IS,IS00,IS001,0000,Reykjavík,123246,274.25970342,2017,IS_0000
IS_1000,IS,IS00,IS001,1000,Kópavogur,35246,80.02985283,2017,IS_1000
IS_1100,IS,IS00,IS001,1100,Seltjarnarnes,4450,2.08016522,2017,IS_1100
IS_1300,IS,IS00,IS001,1300,Garðabær,15230,75.50231341,2017,IS_1300
IS_1400,IS,IS00,IS001,1400,Hafnarfjörður,28703,143.64552849,2017,IS_1400
IS_1604,IS,IS00,IS001,1604,Mosfellsbær,9783,186.06994115,2017,IS_1604
IS_1606,IS,IS00,IS001,1606,Kjósarhreppur,220,284.08244169,2017,IS_1606
IS_2000,IS,IS00,IS002,2000,Reykjanesbær,16350,144.40137319,2017,IS_2000
IS_2300,IS,IS00,IS002,2300,Grindavíkurbær,3218,423.64710156,2017,IS_2300
IS_2503,IS,IS00,IS002,2503,Sandgerði,1708,61.64438047,2017,IS_2503
IS_2504,IS,IS00,IS002,2504,Sveitarfélagið Garður,1511,20.67407407,2017,IS_2504
IS_2506,IS,IS00,IS002,2506,Sveitarfélagið Vogar,1206,164.67080429,2017,IS_2506
IS_3000,IS,IS00,IS002,3000,Akranes,7051,8.57410257,2017,IS_3000
IS_3506,IS,IS00,IS002,3506,Skorradalshreppur,58,215.77602173,2017,IS_3506
IS_3511,IS,IS00,IS002,3511,Hvalfjarðarsveit,636,480.78984545,2017,IS_3511
IS_3609,IS,IS00,IS002,3609,Borgarbyggð,3677,4923.72590659,2017,IS_3609
IS_3709,IS,IS00,IS002,3709,Grundarfjarðarbær,869,148.97445317,2017,IS_3709
IS_3710,IS,IS00,IS002,3710,Helgafellssveit,52,241.47739012,2017,IS_3710
IS_3711,IS,IS00,IS002,3711,Stykkishólmur,1168,9.13792646,2017,IS_3711
IS_3713,IS,IS00,IS002,3713,Eyja- og Miklaholtshreppur,120,383.39713054,2017,IS_3713
IS_3714,IS,IS00,IS002,3714,Snæfellsbær,1625,682.14228255,2017,IS_3714
IS_3811,IS,IS00,IS002,3811,Dalabyggð,673,2415.06159234,2017,IS_3811
IS_4100,IS,IS00,IS002,4100,Bolungarvík,908,108.04824253,2017,IS_4100
IS_4200,IS,IS00,IS002,4200,Ísafjarðarbær,3608,2381.62437771,2017,IS_4200
IS_4502,IS,IS00,IS002,4502,Reykhólahreppur,282,1082.5702573,2017,IS_4502
IS_4604,IS,IS00,IS002,4604,Tálknafjarðarhreppur,236,175.39975504,2017,IS_4604
IS_4607,IS,IS00,IS002,4607,Vesturbyggð,1030,1335.17160596,2017,IS_4607
IS_4803,IS,IS00,IS002,4803,Súðavíkurhreppur,186,750.25031851,2017,IS_4803
IS_4901,IS,IS00,IS002,4901,Árneshreppur,46,705.05220774,2017,IS_4901
IS_4902,IS,IS00,IS002,4902,Kaldrananeshreppur,106,458.09994611,2017,IS_4902
IS_4911,IS,IS00,IS002,4911,Strandabyggð,468,1835.16768544,2017,IS_4911
IS_5200,IS,IS00,IS002,5200,Sveitarfélagið Skagafjörður,3932,4177.46737709,2017,IS_5200
IS_5508,IS,IS00,IS002,5508,Húnaþing vestra,1174,3022.96979579,2017,IS_5508
IS_5604,IS,IS00,IS002,5604,Blönduóssbær,866,182.73796467,2017,IS_5604
IS_5609,IS,IS00,IS002,5609,Sveitarfélagið Skagaströnd,479,52.7173454,2017,IS_5609
IS_5611,IS,IS00,IS002,5611,Skagabyggð,101,488.24678295,2017,IS_5611
IS_5612,IS,IS00,IS002,5612,Húnavatnshreppur,408,3816.7571166,2017,IS_5612
IS_5706,IS,IS00,IS002,5706,Akrahreppur,196,1364.41964546,2017,IS_5706
IS_6000,IS,IS00,IS002,6000,Akureyri,18488,135.52774927,2017,IS_6000
IS_6100,IS,IS00,IS002,6100,Norðurþing,2963,3732.67152271,2017,IS_6100
IS_6250,IS,IS00,IS002,6250,Fjallabyggð,2033,363.82225514,2017,IS_6250
IS_6400,IS,IS00,IS002,6400,Dalvíkurbyggð,1831,597.39098027,2017,IS_6400
IS_6513,IS,IS00,IS002,6513,Eyjafjarðarsveit,1015,1775.83271825,2017,IS_6513
IS_6515,IS,IS00,IS002,6515,Hörgársveit,574,893.93452583,2017,IS_6515
IS_6601,IS,IS00,IS002,6601,Svalbarðsstrandarhreppur,451,54.7397431,2017,IS_6601
