gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
LT_11,LT,LT02,LT021,11,Alytaus miesto savivaldybė,52792,39.47808092,2017,LT_11
LT_12,LT,LT02,LT022,12,Birštono savivaldybė,4254,121.75408547,2017,LT_12
LT_13,LT,LT01,LT011,13,Vilniaus miesto savivaldybė,545280,400.54270368,2017,LT_13
LT_15,LT,LT02,LT021,15,Druskininkų savivaldybė,20041,453.3557417,2017,LT_15
LT_18,LT,LT02,LT024,18,Marijampolės savivaldybė,55757,755.12773192,2017,LT_18
LT_19,LT,LT02,LT022,19,Kauno miesto savivaldybė,292691,156.93812634,2017,LT_19
LT_21,LT,LT02,LT023,21,Klaipėdos miesto savivaldybė,151309,88.28280147,2017,LT_21
LT_23,LT,LT02,LT023,23,Neringos savivaldybė,3097,89.41296811,2017,LT_23
LT_25,LT,LT02,LT023,25,Palangos miesto savivaldybė,15449,78.89317905,2017,LT_25
LT_27,LT,LT02,LT025,27,Panevėžio miesto savivaldybė,91054,50.16938945,2017,LT_27
LT_29,LT,LT02,LT026,29,Šiaulių miesto savivaldybė,101214,81.11810708,2017,LT_29
LT_30,LT,LT02,LT029,30,Visagino savivaldybė,19178,58.05100208,2017,LT_30
LT_32,LT,LT02,LT026,32,Akmenės rajono savivaldybė,20210,843.98225036,2017,LT_32
LT_33,LT,LT02,LT021,33,Alytaus rajono savivaldybė,26563,1403.9337406,2017,LT_33
LT_34,LT,LT02,LT029,34,Anykščių rajono savivaldybė,24999,1764.62434838,2017,LT_34
LT_36,LT,LT02,LT025,36,Biržų rajono savivaldybė,24645,1476.0510225,2017,LT_36
LT_38,LT,LT02,LT021,38,Varėnos rajono savivaldybė,22399,2216.86965873,2017,LT_38
LT_39,LT,LT02,LT024,39,Vilkaviškio rajono savivaldybė,37473,1263.22910804,2017,LT_39
LT_41,LT,LT01,LT011,41,Vilniaus rajono savivaldybė,95940,2129.45146419,2017,LT_41
LT_42,LT,LT01,LT011,42,Elektrėnų savivaldybė,23770,508.85667876,2017,LT_42
LT_43,LT,LT02,LT029,43,Zarasų rajono savivaldybė,16169,1299.06178488,2017,LT_43
LT_45,LT,LT02,LT029,45,Ignalinos rajono savivaldybė,15892,1440.63141786,2017,LT_45
LT_46,LT,LT02,LT022,46,Jonavos rajono savivaldybė,42561,943.91952096,2017,LT_46
LT_47,LT,LT02,LT026,47,Joniškio rajono savivaldybė,22449,1152.08360355,2017,LT_47
LT_48,LT,LT02,LT024,48,Kalvarijos savivaldybė,11067,440.32819544,2017,LT_48
LT_49,LT,LT02,LT022,49,Kaišiadorių rajono savivaldybė,30836,1087.07490751,2017,LT_49
LT_52,LT,LT02,LT022,52,Kauno rajono savivaldybė,91073,1463.71736052,2017,LT_52
LT_53,LT,LT02,LT022,53,Kėdainių rajono savivaldybė,47872,1677.23248293,2017,LT_53
LT_54,LT,LT02,LT026,54,Kelmės rajono savivaldybė,27745,1705.11512862,2017,LT_54
LT_55,LT,LT02,LT023,55,Klaipėdos rajono savivaldybė,54635,1237.54000892,2017,LT_55
LT_56,LT,LT02,LT023,56,Kretingos rajono savivaldybė,38558,989.0445997,2017,LT_56
LT_57,LT,LT02,LT025,57,Kupiškio rajono savivaldybė,17670,1080.39750555,2017,LT_57
LT_58,LT,LT02,LT024,58,Kazlų Rūdos savivaldybė,12125,554.76002716,2017,LT_58
LT_59,LT,LT02,LT021,59,Lazdijų rajono savivaldybė,19821,1306.82734979,2017,LT_59
LT_61,LT,LT02,LT028,61,Mažeikių rajono savivaldybė,53380,1219.49067152,2017,LT_61
LT_62,LT,LT02,LT029,62,Molėtų rajono savivaldybė,18407,1367.10036649,2017,LT_62
LT_63,LT,LT02,LT027,63,Pagėgių savivaldybė,8094,535.08541728,2017,LT_63
LT_65,LT,LT02,LT026,65,Pakruojo rajono savivaldybė,20311,1315.66914008,2017,LT_65
LT_66,LT,LT02,LT025,66,Panevėžio rajono savivaldybė,36417,2177.98433307,2017,LT_66
LT_67,LT,LT02,LT025,67,Pasvalio rajono savivaldybė,24796,1289.3784871,2017,LT_67
LT_68,LT,LT02,LT028,68,Plungės rajono savivaldybė,34737,1105.40581965,2017,LT_68
LT_69,LT,LT02,LT022,69,Prienų rajono savivaldybė,27121,1032.97093235,2017,LT_69
LT_71,LT,LT02,LT026,71,Radviliškio rajono savivaldybė,37112,1634.68631018,2017,LT_71
LT_72,LT,LT02,LT022,72,Raseinių rajono savivaldybė,33467,1573.36049931,2017,LT_72
LT_73,LT,LT02,LT025,73,Rokiškio rajono savivaldybė,30451,1806.6781912,2017,LT_73
LT_74,LT,LT02,LT028,74,Rietavo savivaldybė,7727,585.62684211,2017,LT_74
LT_75,LT,LT02,LT023,75,Skuodo rajono savivaldybė,17557,911.04110211,2017,LT_75
LT_77,LT,LT02,LT027,77,Tauragės rajono savivaldybė,39923,1178.7989619,2017,LT_77
LT_78,LT,LT02,LT028,78,Telšių rajono savivaldybė,41925,1438.8132573,2017,LT_78
LT_79,LT,LT01,LT011,79,Trakų rajono savivaldybė,32701,1207.69888299,2017,LT_79
LT_81,LT,LT01,LT011,81,Ukmergės rajono savivaldybė,35265,1395.27254925,2017,LT_81
LT_82,LT,LT02,LT029,82,Utenos rajono savivaldybė,38836,1230.33340225,2017,LT_82
LT_84,LT,LT02,LT024,84,Šakių rajono savivaldybė,28938,1454.18175372,2017,LT_84
LT_85,LT,LT01,LT011,85,Šalčininkų rajono savivaldybė,31789,1493.16826222,2017,LT_85
LT_86,LT,LT01,LT011,86,Švenčionių rajono savivaldybė,24565,1691.21485736,2017,LT_86
LT_87,LT,LT02,LT027,87,Šilalės rajono savivaldybė,23791,1188.18270135,2017,LT_87
LT_88,LT,LT02,LT023,88,Šilutės rajono savivaldybė,39902,1425.46221759,2017,LT_88
LT_89,LT,LT01,LT011,89,Širvintų rajono savivaldybė,15863,905.72713663,2017,LT_89
LT_91,LT,LT02,LT026,91,Šiaulių rajono savivaldybė,41441,1807.37959242,2017,LT_91
LT_94,LT,LT02,LT027,94,Jurbarko rajono savivaldybė,26800,1506.44485278,2017,LT_94
