gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
RS_70017,RS,RS21,RS216,70017,Aleksandrovac,24564,386.54378915,2018,RS_70017
RS_70025,RS,RS22,RS225,70025,Aleksinac,48087,706.81881794,2018,RS_70025
RS_70033,RS,RS21,RS218,70033,Arandjelovac,44197,376.01579186,2018,RS_70033
RS_70041,RS,RS21,RS211,70041,Arilje,18109,349.31997127,2018,RS_70041
RS_70050,RS,RS22,RS226,70050,Babušnica,10659,528.43326447,2018,RS_70050
RS_70068,RS,RS21,RS211,70068,Bajina Bašta,24539,673.34259282,2018,RS_70068
RS_70076,RS,RS21,RS218,70076,Batočina,11085,135.68579365,2018,RS_70076
RS_70084,RS,RS22,RS226,70084,Bela Palanka,11065,516.95936473,2018,RS_70084
RS_70092,RS,RS11,RS110,70092,Belgrade - Barajevo,26964,213.16764686,2018,RS_70092
RS_70106,RS,RS11,RS110,70106,Belgrade - Voždovac,168242,148.55361333,2018,RS_70106
RS_70114,RS,RS11,RS110,70114,Belgrade - Vračar,57483,2.8930159,2018,RS_70114
RS_70122,RS,RS11,RS110,70122,Belgrade - Grocka,86391,299.18625875,2018,RS_70122
RS_70149,RS,RS11,RS110,70149,Belgrade - Zvezdara,163542,31.1969874,2018,RS_70149
RS_70157,RS,RS11,RS110,70157,Belgrade - Zemun,173460,149.86605296,2018,RS_70157
RS_70165,RS,RS11,RS110,70165,Belgrade - Lazarevac,57136,383.37356953,2018,RS_70165
RS_70173,RS,RS11,RS110,70173,Belgrade - Mladenovac,52159,338.99195433,2018,RS_70173
RS_70181,RS,RS11,RS110,70181,Belgrade - Novi Beograd,213985,40.71570103,2018,RS_70181
RS_70190,RS,RS11,RS110,70190,Belgrade - Obrenovac,72209,409.96690160000003,2018,RS_70190
RS_70203,RS,RS11,RS110,70203,Belgrade - Palilula,181414,451.13795675,2018,RS_70203
RS_70211,RS,RS11,RS110,70211,Belgrade - Rakovica,108477,29.9758788,2018,RS_70211
RS_70220,RS,RS11,RS110,70220,Belgrade - Savski venac,36222,14.15152123,2018,RS_70220
RS_70238,RS,RS11,RS110,70238,Belgrade - Sopot,19870,270.64348352,2018,RS_70238
RS_70246,RS,RS11,RS110,70246,Belgrade - Stari grad,45877,5.44585582,2018,RS_70246
RS_70254,RS,RS11,RS110,70254,Belgrade - Čukarica,177586,157.00986463,2018,RS_70254
RS_70262,RS,RS22,RS229,70262,Blace,10651,306.33581356,2018,RS_70262
RS_70289,RS,RS21,RS213,70289,Bogatić,26941,384.46947639,2018,RS_70289
RS_70297,RS,RS22,RS224,70297,Bojnik,10310,263.89985513,2018,RS_70297
