gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
BG_BGS01,BG,BG34,BG341,BGS01,Айтос,28242,402.80887103,2017,BG_BGS01
BG_BGS04,BG,BG34,BG341,BGS04,Бургас,209331,560.02368221,2017,BG_BGS04
BG_BGS06,BG,BG34,BG341,BGS06,Средец,14842,1150.14167443,2017,BG_BGS06
BG_BGS08,BG,BG34,BG341,BGS08,Камено,10071,354.87663487,2017,BG_BGS08
BG_BGS09,BG,BG34,BG341,BGS09,Карнобат,23830,834.3476655,2017,BG_BGS09
BG_BGS12,BG,BG34,BG341,BGS12,Малко Търново,3460,783.36672038,2017,BG_BGS12
BG_BGS13,BG,BG34,BG341,BGS13,Царево,9335,513.60879539,2017,BG_BGS13
BG_BGS15,BG,BG34,BG341,BGS15,Несебър,27273,421.64241486,2017,BG_BGS15
BG_BGS17,BG,BG34,BG341,BGS17,Поморие,27399,414.02332862,2017,BG_BGS17
BG_BGS18,BG,BG34,BG341,BGS18,Руен,28170,689.78888024,2017,BG_BGS18
BG_BGS21,BG,BG34,BG341,BGS21,Созопол,12738,480.29234979,2017,BG_BGS21
BG_BGS23,BG,BG34,BG341,BGS23,Сунгурларе,11759,795.40739914,2017,BG_BGS23
BG_BGS27,BG,BG34,BG341,BGS27,Приморско,6234,350.5017183,2017,BG_BGS27
BG_BLG01,BG,BG41,BG413,BLG01,Банско,12774,475.93962672,2017,BG_BLG01
BG_BLG02,BG,BG41,BG413,BLG02,Белица,9541,293.41042516,2017,BG_BLG02
BG_BLG03,BG,BG41,BG413,BLG03,Благоевград,75862,620.07037103,2017,BG_BLG03
BG_BLG11,BG,BG41,BG413,BLG11,Гоце Делчев,30197,330.93056658,2017,BG_BLG11
BG_BLG13,BG,BG41,BG413,BLG13,Гърмен,14847,388.47089509,2017,BG_BLG13
BG_BLG28,BG,BG41,BG413,BLG28,Кресна,5389,344.59098017,2017,BG_BLG28
BG_BLG33,BG,BG41,BG413,BLG33,Петрич,50890,650.50115533,2017,BG_BLG33
BG_BLG37,BG,BG41,BG413,BLG37,Разлог,19697,440.18538803,2017,BG_BLG37
BG_BLG40,BG,BG41,BG413,BLG40,Сандански,38153,996.18080359,2017,BG_BLG40
BG_BLG42,BG,BG41,BG413,BLG42,Сатовча,14498,332.32504159,2017,BG_BLG42
BG_BLG44,BG,BG41,BG413,BLG44,Симитли,13642,552.97929453,2017,BG_BLG44
BG_BLG49,BG,BG41,BG413,BLG49,Струмяни,5316,357.94233807,2017,BG_BLG49
BG_BLG52,BG,BG41,BG413,BLG52,Хаджидимово,9405,327.68672601,2017,BG_BLG52
BG_BLG53,BG,BG41,BG413,BLG53,Якоруда,10110,339.31485618,2017,BG_BLG53
BG_DOB03,BG,BG33,BG332,DOB03,Балчик,19875,524.60387265,2017,BG_DOB03
BG_DOB12,BG,BG33,BG332,DOB12,Генерал Тошево,13595,981.7952146,2017,BG_DOB12
BG_DOB15,BG,BG33,BG332,DOB15,Добрич - селска,20882,1294.91682054,2017,BG_DOB15
BG_DOB17,BG,BG33,BG332,DOB17,Каварна,14394,481.73214956,2017,BG_DOB17
BG_DOB20,BG,BG33,BG332,DOB20,Крушари,4126,417.47503773,2017,BG_DOB20
BG_DOB27,BG,BG33,BG332,DOB27,Тервел,15554,579.80243258,2017,BG_DOB27
BG_DOB28,BG,BG33,BG332,DOB28,Добрич,85402,109.02202877,2017,BG_DOB28
BG_DOB29,BG,BG33,BG332,DOB29,Шабла,4610,330.56068102,2017,BG_DOB29
BG_GAB05,BG,BG32,BG322,GAB05,Габрово,59663,555.34464788,2017,BG_GAB05
BG_GAB12,BG,BG32,BG322,GAB12,Дряново,8975,248.45020498,2017,BG_GAB12
