gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
DK_101,DK,DK01,DK011,101,København,602481,91.12165289,2017,DK_101
DK_147,DK,DK01,DK011,147,Frederiksberg,105037,8.70477054,2017,DK_147
DK_151,DK,DK01,DK012,151,Ballerup,48231,34.07886466,2017,DK_151
DK_153,DK,DK01,DK012,153,Brøndby,35594,21.05660461,2017,DK_153
DK_155,DK,DK01,DK011,155,Dragør,14288,18.68702863,2017,DK_155
DK_157,DK,DK01,DK012,157,Gentofte,75805,25.7733503,2017,DK_157
DK_159,DK,DK01,DK012,159,Gladsaxe,68775,24.94812287,2017,DK_159
DK_161,DK,DK01,DK012,161,Glostrup,22528,13.35132507,2017,DK_161
DK_163,DK,DK01,DK012,163,Herlev,28406,12.07228023,2017,DK_163
DK_165,DK,DK01,DK012,165,Albertslund,27896,23.22694818,2017,DK_165
DK_167,DK,DK01,DK012,167,Hvidovre,52964,23.2105034,2017,DK_167
DK_169,DK,DK01,DK012,169,Høje Taastrup,50246,78.26450366,2017,DK_169
DK_173,DK,DK01,DK012,173,Lyngby-Taarbæk,55240,38.96261145,2017,DK_173
DK_175,DK,DK01,DK012,175,Rødovre,38492,12.13190078,2017,DK_175
DK_183,DK,DK01,DK012,183,Ishøj,22719,26.1055042,2017,DK_183
DK_185,DK,DK01,DK011,185,Tårnby,43010,66.74910954,2017,DK_185
DK_187,DK,DK01,DK012,187,Vallensbæk,15705,9.12810243,2017,DK_187
DK_190,DK,DK01,DK013,190,Furesø,40613,56.7438641,2017,DK_190
DK_201,DK,DK01,DK013,201,Allerød,24942,67.4509515,2017,DK_201
DK_210,DK,DK01,DK013,210,Fredensborg,40504,112.74157927,2017,DK_210
DK_217,DK,DK01,DK013,217,Helsingør,62443,123.56137456,2017,DK_217
DK_219,DK,DK01,DK013,219,Hillerød,50109,213.26825977,2017,DK_219
DK_223,DK,DK01,DK013,223,Hørsholm,24977,31.61233957,2017,DK_223
DK_230,DK,DK01,DK013,230,Rudersdal,56133,73.69291941,2017,DK_230
DK_240,DK,DK01,DK013,240,Egedal,43082,125.74668988,2017,DK_240
DK_250,DK,DK01,DK013,250,Frederikssund,45036,250.97257607,2017,DK_250
DK_253,DK,DK02,DK021,253,Greve,49921,60.60166511,2017,DK_253
DK_259,DK,DK02,DK021,259,Køge,60109,257.24751709,2017,DK_259
DK_260,DK,DK01,DK013,260,Halsnæs,31162,123.49700759,2017,DK_260
DK_265,DK,DK02,DK021,265,Roskilde,87015,212.7182801,2017,DK_265
DK_269,DK,DK02,DK021,269,Solrød,22147,40.34633853,2017,DK_269
DK_270,DK,DK01,DK013,270,Gribskov,41213,280.55917114,2017,DK_270
DK_306,DK,DK02,DK022,306,Odsherred,33023,358.49332745,2017,DK_306
DK_316,DK,DK02,DK022,316,Holbæk,70950,579.77783239,2017,DK_316
DK_320,DK,DK02,DK022,320,Faxe,35916,405.33581052,2017,DK_320
DK_326,DK,DK02,DK022,326,Kalundborg,48736,607.23628379,2017,DK_326
DK_329,DK,DK02,DK022,329,Ringsted,34259,295.24892796,2017,DK_329
DK_330,DK,DK02,DK022,330,Slagelse,78828,575.32595028,2017,DK_330
DK_336,DK,DK02,DK022,336,Stevns,22492,252.07042168,2017,DK_336
DK_340,DK,DK02,DK022,340,Sorø,29595,309.13844644,2017,DK_340
DK_350,DK,DK02,DK021,350,Lejre,27402,240.70691447,2017,DK_350
DK_360,DK,DK02,DK022,360,Lolland,42285,902.2221731,2017,DK_360
DK_370,DK,DK02,DK022,370,Næstved,82581,685.44002671,2017,DK_370
DK_376,DK,DK02,DK022,376,Guldborgsund,61257,909.28568957,2017,DK_376
DK_390,DK,DK02,DK022,390,Vordingborg,46037,628.88638309,2017,DK_390
DK_400,DK,DK01,DK014,400,Bornholm,39695,590.42564985,2017,DK_400
DK_410,DK,DK03,DK031,410,Middelfart,38093,300.90912346,2017,DK_410
DK_411,DK,DK01,DK014,411,"Christiansø, not a municipality",78,0.36676024,2017,DK_411
DK_420,DK,DK03,DK031,420,Assens,41390,513.69512417,2017,DK_420
DK_430,DK,DK03,DK031,430,Faaborg-Midtfyn,51376,638.98631186,2017,DK_430
DK_440,DK,DK03,DK031,440,Kerteminde,23774,208.06604769,2017,DK_440
DK_450,DK,DK03,DK031,450,Nyborg,32142,278.26149445,2017,DK_450
DK_461,DK,DK03,DK031,461,Odense,200563,304.79631069,2017,DK_461
DK_479,DK,DK03,DK031,479,Svendborg,58510,417.74911979,2017,DK_479
DK_480,DK,DK03,DK031,480,Nordfyn,29446,452.46534809,2017,DK_480
DK_482,DK,DK03,DK031,482,Langeland,12578,292.26901544,2017,DK_482
DK_492,DK,DK03,DK031,492,Ærø,6177,90.81880064,2017,DK_492
DK_510,DK,DK03,DK032,510,Haderslev,56045,815.20577014,2017,DK_510
DK_530,DK,DK03,DK032,530,Billund,26481,540.55861187,2017,DK_530
DK_540,DK,DK03,DK032,540,Sønderborg,74801,498.8173171,2017,DK_540
DK_550,DK,DK03,DK032,550,Tønder,37928,1185.71105624,2017,DK_550
DK_561,DK,DK03,DK032,561,Esbjerg,115905,759.47096853,2017,DK_561
DK_563,DK,DK03,DK032,563,Fanø,3345,65.02032672,2017,DK_563
DK_573,DK,DK03,DK032,573,Varde,50452,1238.19551841,2017,DK_573
DK_575,DK,DK03,DK032,575,Vejen,42822,814.33470667,2017,DK_575
DK_580,DK,DK03,DK032,580,Aabenraa,59003,942.55827122,2017,DK_580
DK_607,DK,DK03,DK032,607,Fredericia,50868,135.31985415,2017,DK_607
DK_615,DK,DK04,DK042,615,Horsens,89030,524.93211561,2017,DK_615
DK_621,DK,DK03,DK032,621,Kolding,92282,605.98681317,2017,DK_621
DK_630,DK,DK03,DK032,630,Vejle,113243,1063.42707176,2017,DK_630
DK_657,DK,DK04,DK041,657,Herning,88386,1323.86543747,2017,DK_657
DK_661,DK,DK04,DK041,661,Holstebro,58125,804.14339447,2017,DK_661
DK_665,DK,DK04,DK041,665,Lemvig,20291,518.33655298,2017,DK_665
DK_671,DK,DK04,DK041,671,Struer,21347,250.69443629,2017,DK_671
DK_706,DK,DK04,DK042,706,Syddjurs,42021,698.5170922,2017,DK_706
DK_707,DK,DK04,DK042,707,Norddjurs,38099,725.17627853,2017,DK_707
DK_710,DK,DK04,DK042,710,Favrskov,47915,540.66583041,2017,DK_710
